,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 00:00:00,3.872442882027368e-07,2.497641054825059e-08,2.1491954569594234e-08,2.2446538812523062e-08
2019-10-31 00:30:00,3.941410547481062e-07,2.539455485427969e-08,2.198193036896628e-08,2.2916113461638377e-08
2019-10-31 01:00:00,5.078937872512674e-07,2.5612372849872613e-08,2.207827341815917e-08,2.3008545164081874e-08
2019-10-31 01:30:00,5.164555148765065e-07,2.5300371657431038e-08,2.172995602053939e-08,2.2632729506671092e-08
2019-10-31 02:00:00,4.1090166193871124e-07,2.4665203490948675e-08,2.1143011353713467e-08,2.206980709863185e-08
2019-10-31 02:30:00,4.07024146263174e-07,3.09792604105548e-08,2.4311270479858447e-08,2.5121451562606826e-08
2019-10-31 03:00:00,3.9489176905636043e-07,3.8933728559402623e-08,3.1350247098951e-08,3.216483815521967e-08
2019-10-31 03:30:00,4.072893251827442e-07,3.366347479638157e-08,2.9415035213129898e-08,3.046693167323005e-08
2019-10-31 04:00:00,4.796350751388762e-07,3.899583824723389e-08,3.33385617060783e-08,3.5610977987199645e-08
2019-10-31 04:30:00,5.618288817388217e-07,5.803591280295895e-08,5.214025835538342e-08,5.457910111092085e-08
2019-10-31 05:00:00,5.887505245199735e-07,7.851827863697963e-08,7.295869435444517e-08,7.524533238042649e-08
2019-10-31 05:30:00,6.512002047244709e-07,9.631505480733696e-08,8.920917887884738e-08,9.203353150680097e-08
2019-10-31 06:00:00,6.829749865292742e-07,1.5055521066100525e-07,1.4115151232191444e-07,1.4449612717584487e-07
2019-10-31 06:30:00,6.669404825034768e-07,1.6203816991784568e-07,1.5150754365110233e-07,1.5498670053201166e-07
2019-10-31 07:00:00,6.960139305635511e-07,1.3870227283453844e-07,1.2717820029938042e-07,1.30696213434214e-07
2019-10-31 07:30:00,6.788289429103991e-07,1.341062392870116e-07,1.230915136605833e-07,1.267230299113222e-07
2019-10-31 08:00:00,7.158275970124909e-07,1.3482808096060502e-07,1.2093345380843682e-07,1.246278693739471e-07
2019-10-31 08:30:00,7.39528315807714e-07,1.2526629512304685e-07,1.122081171328103e-07,1.1566306563563639e-07
2019-10-31 09:00:00,6.69291797164487e-07,1.2390605506432436e-07,1.0977172565590455e-07,1.1330099273712578e-07
2019-10-31 09:30:00,6.34861684258433e-07,1.29112215824104e-07,1.1339310482366996e-07,1.168130105052295e-07
2019-10-31 10:00:00,6.776512552669687e-07,1.335133260184081e-07,1.1677481150281301e-07,1.2043994828351708e-07
2019-10-31 10:30:00,6.339782621323328e-07,1.274125151277065e-07,1.1079035524262647e-07,1.1408037190625913e-07
2019-10-31 11:00:00,5.979750521152208e-07,1.1356543159766105e-07,1.0204406737108782e-07,1.0533983698425384e-07
2019-10-31 11:30:00,5.975045147712455e-07,1.2035712208115575e-07,1.084153868510037e-07,1.1169571219510213e-07
2019-10-31 12:00:00,5.816226067957119e-07,1.2261796486120068e-07,1.0857284981426696e-07,1.1213985428265199e-07
2019-10-31 12:30:00,6.214477880477486e-07,1.2547286383544205e-07,1.099656679725188e-07,1.1348890401438065e-07
2019-10-31 13:00:00,6.905095933808998e-07,1.3052322269381127e-07,1.0392539034751625e-07,1.0742585907669835e-07
2019-10-31 13:30:00,6.214593467822795e-07,1.4110966936137376e-07,1.1560320869878196e-07,1.1884112197824898e-07
2019-10-31 14:00:00,5.998032410277661e-07,1.277760234526215e-07,1.0520612640239596e-07,1.0863291912074833e-07
2019-10-31 14:30:00,6.658787743090773e-07,1.213969577859083e-07,1.046049754081613e-07,1.0830274272558885e-07
2019-10-31 15:00:00,6.749200406153302e-07,1.2224375710721215e-07,1.0678833879627338e-07,1.105839660088399e-07
2019-10-31 15:30:00,6.621040110114511e-07,1.1789317636394942e-07,1.0137600412246364e-07,1.0518734436034033e-07
2019-10-31 16:00:00,6.923750733583294e-07,1.167972383765815e-07,9.97187663173753e-08,1.0398681116794599e-07
2019-10-31 16:30:00,6.848110017861254e-07,1.1484362885518583e-07,9.878817745794823e-08,1.024259825734167e-07
2019-10-31 17:00:00,6.783419037369043e-07,1.173350701088567e-07,1.0373107905592354e-07,1.0655593742224653e-07
2019-10-31 17:30:00,6.83804414067027e-07,1.0657030286263329e-07,9.137198091772049e-08,9.39639847346272e-08
2019-10-31 18:00:00,6.818732186746824e-07,9.11838936645617e-08,7.756090305048105e-08,8.032455917315048e-08
2019-10-31 18:30:00,6.420323723382361e-07,8.641482842673722e-08,7.250923949676416e-08,7.514256142662613e-08
2019-10-31 19:00:00,6.225937285189049e-07,8.282701889052122e-08,6.897978950484786e-08,7.144794913207448e-08
2019-10-31 19:30:00,5.982122101008234e-07,6.409280388201127e-08,5.376293993686676e-08,5.6346952549081855e-08
2019-10-31 20:00:00,5.466098546556445e-07,7.018464933327287e-08,6.254947179867822e-08,6.459650268399701e-08
2019-10-31 20:30:00,5.571803377743968e-07,5.962712335381363e-08,5.260990462253526e-08,5.481140465343599e-08
2019-10-31 21:00:00,5.854174214090034e-07,6.364729423703397e-08,5.7952433083945184e-08,5.995808966302706e-08
2019-10-31 21:30:00,5.382950469696671e-07,5.35496753524468e-08,4.70540428028524e-08,4.9397261703640675e-08
2019-10-31 22:00:00,5.621177359710488e-07,5.951677467244032e-08,5.42096093558916e-08,5.625556209161605e-08
2019-10-31 22:30:00,5.316938728504427e-07,4.4739095347048035e-08,3.77999663159011e-08,4.0398418016858434e-08
2019-10-31 23:00:00,4.292685374750259e-07,4.0380445005683076e-08,3.488160244085025e-08,3.681683586528456e-08
2019-11-01 00:00:01,3.4770365853941467e-07,2.9131670006701523e-08,2.5818603758955573e-08,2.683981251830906e-08
2019-11-01 00:30:01,3.433641184236795e-07,2.6018746926143463e-08,2.263292330658984e-08,2.3516246345808896e-08
2019-11-01 01:00:01,3.5148531275991626e-07,2.532967727846096e-08,2.1974671119940442e-08,2.278255399741969e-08
2019-11-01 01:30:01,3.429580327559115e-07,3.526734439225216e-08,3.216275108321501e-08,3.293774192540834e-08
2019-11-01 02:00:01,3.448636943615356e-07,3.3580061940556055e-08,3.01861650779546e-08,3.1083818866211736e-08
2019-11-01 02:30:01,3.64351840077417e-07,2.631415425751296e-08,2.2968649791583162e-08,2.386362768975497e-08
2019-11-01 03:00:01,3.7389321283647275e-07,2.790777862743071e-08,2.4734623007399953e-08,2.5567859288275308e-08
2019-11-01 03:30:01,3.889278963055176e-07,3.093111430064659e-08,2.7064446699974098e-08,2.8143377714414088e-08
2019-11-01 04:00:01,4.483726978053296e-07,3.527995737916546e-08,3.022442160521568e-08,3.2167842434314195e-08
2019-11-01 04:30:01,4.952004427674336e-07,5.842876678203151e-08,5.138745535213487e-08,5.354135866125321e-08
2019-11-01 05:00:01,5.883207876692437e-07,7.60640550797647e-08,6.884312645338267e-08,7.10805195366991e-08
2019-11-01 05:30:01,6.303041051298055e-07,1.0240287373568838e-07,9.411508721783689e-08,9.730866621133629e-08
2019-11-01 06:00:01,6.776377276496597e-07,1.2479351934795563e-07,1.1415541886794383e-07,1.182769845968901e-07
2019-11-01 06:30:01,7.383234845084032e-07,1.3882241006688458e-07,1.2860475050233903e-07,1.318991716717023e-07
2019-11-01 07:00:01,7.663186965790077e-07,1.329869941187853e-07,1.2186831501621922e-07,1.2505666478295147e-07
2019-11-01 07:30:01,6.974100229900977e-07,1.317326122102325e-07,1.1675673659139202e-07,1.204862721681109e-07
2019-11-01 08:00:01,6.543658781214211e-07,1.303049624715747e-07,1.1547806342058037e-07,1.1938649326200897e-07
2019-11-01 08:30:01,6.985551208317239e-07,1.243871240545154e-07,1.0881329220876659e-07,1.1254064508739507e-07
2019-11-01 09:00:01,6.78109452107831e-07,1.1780746086179856e-07,1.0127775961418122e-07,1.0474103639192294e-07
2019-11-01 09:30:01,6.760771138670044e-07,1.0957050226072013e-07,9.492594577172866e-08,9.898595042934237e-08
2019-11-01 10:00:01,6.492827491248816e-07,1.0866766272624406e-07,9.096332804863621e-08,9.519249052013957e-08
2019-11-01 10:30:01,6.448277985668086e-07,1.2039652351329813e-07,1.0578109975829522e-07,1.0901344752471235e-07
2019-11-01 11:00:01,6.20505349955325e-07,1.2140847366299852e-07,1.0944006453074759e-07,1.1236422576593246e-07
2019-11-01 11:30:01,6.351073335581161e-07,1.1073599670305662e-07,9.971104377940083e-08,1.0276610928369646e-07
2019-11-01 12:00:01,6.490256714760881e-07,1.1155233344730347e-07,1.0017443591788835e-07,1.0367457607076756e-07
2019-11-01 12:30:01,6.859724295936463e-07,1.1847520323085628e-07,1.0646884550428016e-07,1.0976846165907823e-07
2019-11-01 13:00:01,7.014070247979466e-07,1.2134413287644787e-07,1.0658267725436736e-07,1.0944609657927363e-07
2019-11-01 13:30:01,6.857777355397629e-07,1.3355084892250192e-07,1.151368861355164e-07,1.1779254439358172e-07
2019-11-01 14:00:01,6.36653592800803e-07,1.1443247417465731e-07,9.888403211967646e-08,1.0196387975148976e-07
2019-11-01 14:30:01,6.612623874888018e-07,1.025573981687343e-07,8.943419162534993e-08,9.286461063046811e-08
2019-11-01 15:00:01,7.019560688540437e-07,1.1012020640127375e-07,9.665665284693518e-08,1.0051598586204693e-07
2019-11-01 15:30:01,6.447262722656227e-07,1.0998474124415443e-07,9.73201714351952e-08,1.0115419241149654e-07
2019-11-01 16:00:01,7.021406062014513e-07,1.1143381737590264e-07,9.834159030108013e-08,1.0226608227896751e-07
2019-11-01 16:30:01,6.975282723461779e-07,1.1243955259006918e-07,9.873819113823975e-08,1.0213820221238666e-07
2019-11-01 17:00:01,6.470582519620124e-07,1.0350931343290397e-07,9.331646747157461e-08,9.581137055184193e-08
2019-11-01 17:30:01,6.705468288736264e-07,9.887874351152824e-08,8.929457268990918e-08,9.157523472847435e-08
2019-11-01 18:00:01,6.485582174923586e-07,8.853562605916507e-08,7.953697707689703e-08,8.18615894351344e-08
2019-11-01 18:30:01,5.943920534418884e-07,7.687904868135362e-08,6.722647150528366e-08,6.962083865026854e-08
2019-11-01 19:00:01,5.759251016583449e-07,7.092337518228913e-08,6.283099455218311e-08,6.523013021257559e-08
2019-11-01 19:30:01,5.893672760922442e-07,5.8791565896070866e-08,5.1132349975071466e-08,5.346553518239837e-08
2019-11-01 20:00:01,5.793320796988723e-07,5.787778580651751e-08,5.1103740390953525e-08,5.3369659935406874e-08
2019-11-01 20:30:01,6.11775472266128e-07,5.488783357522031e-08,4.7900342531699874e-08,5.001183863670328e-08
2019-11-01 21:00:01,6.082551161365676e-07,5.7922118054529816e-08,5.09492840316459e-08,5.2939311787241796e-08
2019-11-01 21:30:01,5.763284223791494e-07,5.0973317250442305e-08,4.513253352623955e-08,4.7367570886278385e-08
2019-11-01 22:00:01,6.075743245188782e-07,5.440227938107736e-08,4.894449370326905e-08,5.101278911252368e-08
2019-11-01 22:30:01,5.729946020132112e-07,4.5037464415070904e-08,3.914524841379113e-08,4.16024748585901e-08
2019-11-01 23:00:01,5.207916070962954e-07,4.1638335751251967e-08,3.553687773722098e-08,3.822675921775735e-08
2019-11-02 00:00:01,3.9695026346022277e-07,3.1443899008964604e-08,2.822864624428767e-08,2.9206630586287343e-08
2019-11-02 00:30:01,3.770322174501516e-07,2.5310532519996776e-08,2.234139472232246e-08,2.3165310931073984e-08
2019-11-02 01:00:01,3.882263758297041e-07,2.524510554238789e-08,2.2250089717773638e-08,2.307726597419405e-08
