,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 00:00:01,1.3714148105394813e-06,2.7259701403648665e-08,2.6148458799691846e-08,2.6866742538284083e-08
2019-10-31 00:30:01,3.615623008125876e-07,1.316163343432513e-08,1.1593316417015482e-08,1.2402363949890748e-08
2019-10-31 01:00:01,4.192336455535306e-07,1.1477725891311034e-08,1.004038669538936e-08,1.0610509530030128e-08
2019-10-31 01:30:01,3.9768291354838107e-07,1.1280847228090338e-08,1.0098217643474119e-08,1.0401241127729373e-08
2019-10-31 02:00:01,3.3735083513268e-07,1.4038750701046055e-08,1.299987665879107e-08,1.3327927773558798e-08
2019-10-31 02:30:01,3.509052837256683e-07,1.2395491770036597e-08,1.1189200408241089e-08,1.1568710877587083e-08
2019-10-31 03:00:01,1.682983559198377e-06,4.1868357124737784e-08,4.083450735062991e-08,4.1572053723148804e-08
2019-10-31 03:30:01,2.6825778844735094e-06,5.499544996977966e-08,5.3570955067543975e-08,5.471181393262819e-08
2019-10-31 04:00:01,3.344882732270099e-06,5.621309362507092e-08,5.491583539080245e-08,5.589117036957099e-08
2019-10-31 04:30:01,3.837765441502174e-06,5.663935148781258e-08,5.5020305314104414e-08,5.6194660184214855e-08
2019-10-31 05:00:01,5.3303101759275856e-06,6.99547818553488e-08,6.784949418131426e-08,6.92133687821627e-08
2019-10-31 05:30:01,7.302939025232022e-06,7.999819997655888e-08,7.666910904829579e-08,7.845580710602253e-08
2019-10-31 06:00:01,7.156746018147953e-06,7.725943396895041e-08,7.351545990659442e-08,7.563268445088295e-08
2019-10-31 06:30:01,6.822301095674104e-06,7.478967249305101e-08,7.173253308820477e-08,7.359009752121526e-08
2019-10-31 07:00:01,7.134313253501378e-06,7.953833554128269e-08,7.66989764408292e-08,7.854567571996877e-08
2019-10-31 07:30:01,7.3279305932985834e-06,9.128976717214938e-08,8.889246833702279e-08,9.059341289559992e-08
2019-10-31 08:00:01,7.0597794999092e-06,9.755511146917927e-08,9.481441916649427e-08,9.668361107230035e-08
2019-10-31 08:30:01,8.117276264858382e-06,8.409354066868051e-08,8.032888723366979e-08,8.251650474539139e-08
2019-10-31 09:00:01,7.304060446704507e-06,7.325800298412327e-08,6.942890276997513e-08,7.196053854678147e-08
2019-10-31 09:30:01,5.9349851005453525e-06,7.66934866613464e-08,7.355930163887286e-08,7.583411452350156e-08
2019-10-31 10:00:01,5.943632895236588e-06,7.746878073228784e-08,7.425754039499e-08,7.66298171315431e-08
2019-10-31 10:30:01,6.0631495359875365e-06,6.769473751056233e-08,6.470857644059614e-08,6.695875105164993e-08
2019-10-31 11:00:01,6.066760122470214e-06,6.12683105621773e-08,5.849436188290361e-08,6.043436323973747e-08
2019-10-31 11:30:01,6.348718756647492e-06,6.590300980874997e-08,6.285339266553084e-08,6.481806868820277e-08
2019-10-31 12:00:01,6.029245413080591e-06,7.793331307996082e-08,7.434092934734351e-08,7.665180551514225e-08
2019-10-31 12:30:01,5.911844279525204e-06,7.91636910705654e-08,7.584682873285305e-08,7.812406849517516e-08
2019-10-31 13:00:01,5.9449526604732945e-06,7.379390043828369e-08,7.050427617565552e-08,7.293681149843047e-08
2019-10-31 13:30:01,5.8378898203944645e-06,7.735620827066663e-08,7.395352150500787e-08,7.633524684634107e-08
2019-10-31 14:00:01,6.581384799838063e-06,7.938288966340297e-08,7.611838986018209e-08,7.837963116439855e-08
2019-10-31 14:30:01,6.583218064763537e-06,7.527983821582461e-08,7.182757124982819e-08,7.399310848733065e-08
2019-10-31 15:00:01,6.438234923000641e-06,8.099607175033916e-08,7.788570409332257e-08,8.010500328644072e-08
2019-10-31 15:30:01,6.375552727601412e-06,8.732092092076783e-08,8.498707306909472e-08,8.67224319491999e-08
2019-10-31 16:00:01,6.7313296320469165e-06,7.109800819692668e-08,6.892266230570906e-08,7.046104759406134e-08
2019-10-31 16:30:01,6.653294387307613e-06,6.126238424403333e-08,5.883820387699066e-08,6.04932687685085e-08
