,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 00:00:00,2.8155845698250597e-07,6.804625755463919e-09,4.320803451003986e-09,4.325885557396951e-09
2019-10-31 00:30:00,2.7504016620323955e-07,6.61868920872222e-09,3.896210914498613e-09,3.902811423345451e-09
2019-10-31 01:00:00,3.7095896062727413e-07,7.67997001634184e-09,5.104480540620247e-09,5.111777261250421e-09
2019-10-31 01:30:00,3.6434348626208765e-07,9.989475035411094e-09,7.617725489917642e-09,7.630478333489514e-09
2019-10-31 02:00:00,2.8980982191778763e-07,1.0652030602820282e-08,8.420564913846783e-09,8.437502518638844e-09
2019-10-31 02:30:00,2.7129631311150455e-07,1.0939262244152309e-08,8.598905282002726e-09,8.61683158020722e-09
2019-10-31 03:00:00,2.7597832484005315e-07,1.3219287681024563e-08,1.1006738837842266e-08,1.1022947887599494e-08
2019-10-31 03:30:00,2.693183106579408e-07,1.5079189965451726e-08,1.2608112552490331e-08,1.2624529696679923e-08
2019-10-31 04:00:00,2.7042036323203404e-07,1.148681663706433e-08,8.693804447059517e-09,8.727218174361538e-09
2019-10-31 04:30:00,2.8532557275904794e-07,1.2820293967392399e-08,9.41547540530076e-09,9.50717268162932e-09
2019-10-31 05:00:00,2.8103217232258806e-07,1.6529219735173712e-08,1.3157708143803013e-08,1.325199170028724e-08
2019-10-31 05:30:00,2.6934343434627455e-07,2.0005555679511987e-08,1.679221044920368e-08,1.6888915077914295e-08
2019-10-31 06:00:00,2.73910285121331e-07,2.151797774738162e-08,1.8073563444787916e-08,1.8196416627263347e-08
2019-10-31 06:30:00,2.692409701371072e-07,2.3287162876137837e-08,1.976492831293303e-08,1.987733064814171e-08
2019-10-31 07:00:00,2.6072953003837326e-07,2.1505204140782916e-08,1.8149885558411182e-08,1.824512537257872e-08
2019-10-31 07:30:00,2.5556756308771276e-07,1.936129742153492e-08,1.59210056001005e-08,1.6016894401694982e-08
2019-10-31 08:00:00,2.6245366066027014e-07,1.8440434758522002e-08,1.4705431926308154e-08,1.4815188743613852e-08
2019-10-31 08:30:00,2.707571717481505e-07,2.014186809379602e-08,1.658243341735974e-08,1.670642280708793e-08
2019-10-31 09:00:00,2.629743761027121e-07,2.1331876544663856e-08,1.7236084452896238e-08,1.735462702954306e-08
2019-10-31 09:30:00,2.510849065935465e-07,2.332594501175929e-08,1.9447159090500563e-08,1.953794845821466e-08
2019-10-31 10:00:00,2.46540643829018e-07,2.326092375521644e-08,1.9664726953146667e-08,1.9746938383238867e-08
2019-10-31 10:30:00,2.639703469050636e-07,2.168496266655163e-08,1.8123632059581207e-08,1.8199433576727587e-08
2019-10-31 11:00:00,2.682233595798701e-07,1.9341173979066325e-08,1.5923422370446516e-08,1.6020773097881654e-08
2019-10-31 11:30:00,2.667270160776428e-07,1.875801417427703e-08,1.508617119209771e-08,1.518667702007768e-08
2019-10-31 12:00:00,2.6400119837443106e-07,1.880740001457747e-08,1.490260748473096e-08,1.50186074930962e-08
2019-10-31 12:30:00,2.6059749034580103e-07,1.7029395165733176e-08,1.3171019180063899e-08,1.3286020620053532e-08
2019-10-31 13:00:00,2.6288051540203005e-07,1.870729649862048e-08,1.4708925584056602e-08,1.4813050350650758e-08
2019-10-31 13:30:00,2.6156187726051753e-07,1.8823522205964624e-08,1.482776888838541e-08,1.4937196890515496e-08
2019-10-31 14:00:00,2.5423200553179856e-07,1.955523942787782e-08,1.5454486836196243e-08,1.5537530622318388e-08
2019-10-31 14:30:00,2.4424689897893896e-07,1.8212134152328305e-08,1.4001701764306112e-08,1.4074516349811331e-08
2019-10-31 15:00:00,2.4742438173728637e-07,1.7464136602361565e-08,1.3186255011349858e-08,1.3253753659180076e-08
2019-10-31 15:30:00,2.5266817760307153e-07,1.759536807618722e-08,1.396857731739296e-08,1.4031605854595918e-08
2019-10-31 16:00:00,2.6474637385873144e-07,1.513601938275873e-08,1.2195215945986008e-08,1.2260012419394023e-08
2019-10-31 16:30:00,2.478327934200016e-07,1.4798606138094835e-08,1.1853727367823333e-08,1.1915216860444806e-08
2019-10-31 17:00:00,2.4085678660152467e-07,1.391921955410715e-08,1.10670459755351e-08,1.1117240072334996e-08
2019-10-31 17:30:00,2.3662393458885067e-07,1.4336448004488458e-08,1.1663148252750784e-08,1.1707148021608908e-08
