,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 00:00:01,3.066733843681503e-07,2.5057007760822046e-08,3.3652219569849607e-09,3.4908355339824727e-09
2019-10-31 00:30:01,2.7449847670800864e-07,2.148304252265333e-08,3.183871349590565e-09,3.2881041748379743e-09
2019-10-31 01:00:01,3.0195325304239217e-07,2.0640442816398505e-08,3.333581835795328e-09,3.454195908012023e-09
2019-10-31 01:30:01,3.012954707659414e-07,1.962977452176868e-08,2.8630851171062874e-09,2.9990404962253443e-09
2019-10-31 02:00:01,2.6579678070083244e-07,1.9935312903041472e-08,3.803212124212579e-09,3.906713122477553e-09
2019-10-31 02:30:01,2.596102920960908e-07,1.9430422051611496e-08,4.534554945148875e-09,4.649676301631671e-09
2019-10-31 03:00:01,2.455105234303526e-07,2.0445607738852606e-08,5.3000825649242095e-09,5.4232654583405385e-09
2019-10-31 03:30:01,3.9496852405040454e-07,2.3834686573810506e-08,9.68891659976721e-09,9.9241926324332e-09
2019-10-31 04:00:01,6.106966917978343e-07,2.4089547050215733e-08,1.0041615203502453e-08,1.032518078634876e-08
2019-10-31 04:30:01,7.931643174108976e-07,3.218134564785965e-08,1.4857068047552233e-08,1.523993943762169e-08
2019-10-31 05:00:01,8.329712068830312e-07,3.482209732692598e-08,1.579346255988939e-08,1.616526762584733e-08
2019-10-31 05:30:01,8.347008386716042e-07,3.7507162785043435e-08,1.822320157290117e-08,1.857499528667752e-08
2019-10-31 06:00:01,1.034868617108945e-06,5.379579528669958e-08,2.646068962822358e-08,2.6845579361530095e-08
2019-10-31 06:30:01,1.0307818963662307e-06,6.08038441103609e-08,2.897242401764584e-08,2.936883741197488e-08
2019-10-31 07:00:01,8.052545201542726e-07,6.359581826716029e-08,3.072120654965633e-08,3.102093567966651e-08
2019-10-31 07:30:01,8.767198857948686e-07,7.113778984724066e-08,3.815468345455884e-08,3.842260929677497e-08
2019-10-31 08:00:01,6.853124781652313e-07,7.175620889118401e-08,3.680525998775028e-08,3.714856750023318e-08
2019-10-31 08:30:01,6.069433406741144e-07,6.734199781819233e-08,3.2936813661213396e-08,3.3271788875392954e-08
2019-10-31 09:00:01,7.980943194741694e-07,7.106102779559332e-08,3.7586568311749224e-08,3.7926365780604884e-08
2019-10-31 09:30:01,9.266123574797586e-07,7.071675208597221e-08,3.795550830117225e-08,3.82665539448846e-08
