,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 00:00:01,3.454526502471114e-07,2.571901885442143e-08,1.8478556598359857e-08,1.9045108678229582e-08
2019-10-31 00:30:01,2.9968333424189955e-07,2.453816751303132e-08,1.7963400862634522e-08,1.904414234130911e-08
2019-10-31 01:00:01,4.0364105016687404e-07,2.161288201242898e-08,1.3561461532721625e-08,1.5079596191021064e-08
2019-10-31 01:30:01,4.0799663766798207e-07,2.016821181183139e-08,1.2854588354366918e-08,1.34342386171705e-08
2019-10-31 02:00:01,3.30111195930093e-07,2.2562656097756272e-08,1.4955477596098994e-08,1.529996995664472e-08
2019-10-31 02:30:01,2.8909437941366506e-07,2.0357040269903734e-08,1.0805509812971284e-08,1.1288132136025187e-08
2019-10-31 03:00:01,3.5313452343513605e-07,2.0416345279258104e-08,1.037329516785253e-08,1.1089386212641867e-08
2019-10-31 03:30:01,6.046992041282193e-07,2.355173727986331e-08,1.1535992386416266e-08,1.2558170391534508e-08
2019-10-31 04:00:01,8.300119244807826e-07,2.6899540247117755e-08,1.4873128738278794e-08,1.61188004716936e-08
2019-10-31 04:30:01,9.024759214695815e-07,2.9920851973290536e-08,1.8130374826337147e-08,1.9678922852966842e-08
2019-10-31 05:00:01,9.486023128555963e-07,3.375583527308599e-08,1.9792043669831163e-08,2.137186855529284e-08
2019-10-31 05:30:01,9.451781450505592e-07,3.756311975926633e-08,2.131509304426195e-08,2.3069794544836306e-08
2019-10-31 06:00:01,9.088273791530399e-07,4.1064023715521785e-08,2.1996202936741286e-08,2.4001039635754575e-08
2019-10-31 06:30:01,9.369311889665603e-07,4.41260508946093e-08,2.332705630998547e-08,2.524763598418617e-08
2019-10-31 07:00:01,8.943206213303267e-07,4.486878827986866e-08,2.3387103383464308e-08,2.519910671834498e-08
2019-10-31 07:30:01,9.551084775478725e-07,4.261480142422168e-08,2.2649355373465013e-08,2.4389822679383185e-08
2019-10-31 08:00:01,9.343720417129298e-07,4.2392900509670023e-08,2.287824596845979e-08,2.4580677032043058e-08
2019-10-31 08:30:01,8.950263801868676e-07,4.22894408469431e-08,2.1302557433738014e-08,2.3144526452618392e-08
2019-10-31 09:00:01,8.651368541550827e-07,4.065156319582476e-08,2.055494599227417e-08,2.24583159707836e-08
2019-10-31 09:30:01,8.217609896503399e-07,4.1384562253186276e-08,2.035976536333218e-08,2.2185973912504573e-08
2019-10-31 10:00:01,8.776521018381938e-07,4.106561994419029e-08,2.003185701763662e-08,2.1574370860306527e-08
2019-10-31 10:30:01,8.782111935013376e-07,4.067745113221882e-08,1.9880159190774274e-08,2.14335930700742e-08
2019-10-31 11:00:01,8.4725156654492e-07,4.067999917750366e-08,1.99876290511164e-08,2.1533311346099053e-08
2019-10-31 11:30:01,8.423082088280976e-07,4.114515007506366e-08,2.0518641764437886e-08,2.215730188104008e-08
2019-10-31 12:00:01,8.40229199418911e-07,4.15391218241789e-08,2.0353519267279705e-08,2.1892864579121144e-08
2019-10-31 12:30:01,9.171179568708636e-07,4.1629448489666265e-08,2.0186321164890652e-08,2.189088290491101e-08
2019-10-31 13:00:01,8.876287442578708e-07,4.190468153157652e-08,2.0908618657132458e-08,2.2409866288436408e-08
2019-10-31 13:30:01,8.627458843089028e-07,4.04933811563626e-08,2.0759529559995154e-08,2.2270829361937188e-08
2019-10-31 14:00:01,8.532137432991963e-07,4.042209092947835e-08,2.0673993727896193e-08,2.230124174684672e-08
2019-10-31 14:30:01,8.924235050866655e-07,4.0108403051573596e-08,2.0892025511777092e-08,2.261980243536157e-08
2019-10-31 15:00:01,9.949524894940016e-07,3.966675582706527e-08,2.2018799777724707e-08,2.364173574726675e-08
2019-10-31 15:30:01,9.684380291487507e-07,3.886294350508569e-08,2.2246483146525657e-08,2.3932994823967702e-08
2019-10-31 16:00:01,1.0062604062858746e-06,3.758911583766817e-08,2.0154075718419237e-08,2.2001568055917984e-08
2019-10-31 16:30:01,9.677871396081744e-07,3.882774697106798e-08,2.1254154775384123e-08,2.309998369510744e-08
2019-10-31 17:00:01,9.467323761634027e-07,3.8124105725805726e-08,2.0579407176151482e-08,2.2456792836068503e-08
2019-10-31 17:30:01,9.20408808484572e-07,3.933377513411501e-08,2.0579407176151482e-08,2.239183397083075e-08
2019-10-31 18:00:01,9.747679167388326e-07,3.831030144178857e-08,2.0105894192739787e-08,2.175602807514851e-08
2019-10-31 18:30:01,9.361691556856903e-07,3.595442261224729e-08,1.961706798648719e-08,2.1189797989350124e-08
2019-10-31 19:00:01,9.003454277254212e-07,3.573446149929367e-08,1.9472438851490618e-08,2.1000950649629068e-08
2019-10-31 19:30:01,8.835855187502896e-07,3.4476891286000516e-08,1.8969775950521016e-08,2.0592002866549222e-08
2019-10-31 20:00:01,8.98459377334169e-07,3.378227567098776e-08,1.7572480750980127e-08,1.9234583645386093e-08
2019-10-31 20:30:01,7.763534553107043e-07,3.1021616963828085e-08,1.7123407745497594e-08,1.8552348508647978e-08
2019-10-31 21:00:01,8.365068104502047e-07,3.032971502157763e-08,1.6869184931585804e-08,1.812989546968933e-08
2019-10-31 21:30:01,8.467498527896798e-07,2.9553688029670457e-08,1.742712810407566e-08,1.865016094948469e-08
2019-10-31 22:00:01,7.381688808442291e-07,2.927114202736372e-08,1.694785144729008e-08,1.820311451826946e-08
2019-10-31 22:30:01,7.248194240300504e-07,2.642134011850336e-08,1.525188600818027e-08,1.6481917535144284e-08
2019-11-01 00:00:00,3.2159711786319703e-07,2.1271769506861686e-08,8.598759290676375e-09,9.3702931722125e-09
2019-11-01 00:30:00,2.7633743050353556e-07,1.9887917105758422e-08,7.281935944878439e-09,7.832598007287948e-09
2019-11-01 01:00:00,2.721916252865924e-07,1.743584750437934e-08,6.475740633561128e-09,7.0893030116939686e-09
2019-11-01 01:30:00,2.67818735535089e-07,1.7834491988388923e-08,6.6813958609732564e-09,8.31680287677621e-09
2019-11-01 02:00:00,2.682083019797129e-07,2.0142283479998464e-08,7.800819809662684e-09,9.29104645397053e-09
2019-11-01 02:30:00,2.6819958336061237e-07,2.118033515060752e-08,7.991667261103373e-09,8.616673190068432e-09
2019-11-01 03:00:00,3.159125198591828e-07,2.102517347961364e-08,8.648846077649203e-09,9.541478443166954e-09
2019-11-01 03:30:00,5.35761778378179e-07,2.1888885190427166e-08,1.149784960563042e-08,1.2619604994507171e-08
2019-11-01 04:00:00,6.718166200574676e-07,2.5022721557939215e-08,1.4723081931360305e-08,1.6135497261166795e-08
2019-11-01 04:30:00,7.832943603053967e-07,2.9418578003404796e-08,1.79557723283288e-08,1.957736964702385e-08
2019-11-01 05:00:00,8.83043233193264e-07,3.481245190120111e-08,2.0328593136455184e-08,2.2067196674274117e-08
2019-11-01 05:30:00,9.110664197558891e-07,3.9591558116183386e-08,2.1784850524623535e-08,2.356640102222766e-08
2019-11-01 06:00:00,8.98610309886292e-07,4.3229325399889314e-08,2.2910626875388122e-08,2.486339458971755e-08
2019-11-01 06:30:00,9.10470487002491e-07,4.386989902106922e-08,2.3518327332734163e-08,2.5403320265122565e-08
2019-11-01 07:00:00,8.960246447025261e-07,4.446615262334316e-08,2.3029455897568928e-08,2.4867533325035746e-08
2019-11-01 07:30:00,9.318866868995114e-07,4.3151603746809737e-08,2.288681447867085e-08,2.4735493763310832e-08
2019-11-01 08:00:00,9.585775092092079e-07,4.162181234809055e-08,2.2251074153860023e-08,2.3998038373184588e-08
2019-11-01 08:30:00,9.065775325591835e-07,4.262703930596701e-08,2.0230201547943232e-08,2.2137222035085322e-08
2019-11-01 09:00:00,8.934096586677608e-07,4.112486713327219e-08,1.954383656261107e-08,2.1414582266401152e-08
2019-11-01 09:30:00,9.490762711482219e-07,4.216314467075737e-08,2.0824706078517345e-08,2.2525049465210927e-08
2019-11-01 10:00:00,9.228967708644375e-07,4.277768106015753e-08,2.1735211066362977e-08,2.3543354722672667e-08
2019-11-01 10:30:00,9.288315172119151e-07,4.207073052772098e-08,2.127739302429927e-08,2.3034966524089288e-08
2019-11-01 11:00:00,9.810579915744435e-07,3.9731753594952864e-08,2.0086334446732607e-08,2.1624962750233878e-08
2019-11-01 11:30:00,1.0268587749827304e-06,3.8757645361494813e-08,1.9791787827271666e-08,2.137163162502924e-08
