,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-11-01 00:00:00.008393,3.24699534798e-07,1.42854904535e-08,4.02800315691e-09,4.15161036658e-09
2019-11-01 00:15:00.008393,3.21495544616e-07,1.40799032012e-08,3.51322587398e-09,3.59566552816e-09
2019-11-01 00:30:00.008393,3.18548995977e-07,1.52197005338e-08,3.63315450885e-09,3.70113444679e-09
2019-11-01 00:45:00.008393,3.39983597438e-07,1.29079108684e-08,3.36691648892e-09,3.45586885915e-09
2019-11-01 01:00:00.008393,3.34598623177e-07,1.21553758578e-08,3.00479482001e-09,3.08818639406e-09
2019-11-01 01:15:00.008393,3.15189830178e-07,1.15788097401e-08,2.88559797399e-09,2.95663067055e-09
2019-11-01 01:30:00.008393,2.92203958787e-07,1.1664149939e-08,3.46629218995e-09,3.56961454491e-09
2019-11-01 01:45:00.008393,2.9281941229e-07,1.11843199974e-08,3.46425054257e-09,3.5884237575e-09
2019-11-01 02:00:00.008393,2.97614715988e-07,1.05047029344e-08,2.92539475332e-09,3.02082608288e-09
2019-11-01 02:15:00.008393,2.98987898634e-07,1.02175133039e-08,2.8051701165e-09,2.91100254839e-09
2019-11-01 02:30:00.008393,3.04354988556e-07,9.81106265325e-09,2.71370869123e-09,2.81772552232e-09
2019-11-01 02:45:00.008393,3.12921398856e-07,9.69893596759e-09,2.85400607062e-09,2.96884447777e-09
2019-11-01 03:00:00.008393,3.09205619315e-07,9.58516380058e-09,2.96441444906e-09,3.08575646367e-09
2019-11-01 03:15:00.008393,3.00240893386e-07,9.93287469361e-09,2.85232988075e-09,2.95672463991e-09
2019-11-01 03:30:00.008393,2.87674312432e-07,1.05436634032e-08,2.98553075639e-09,3.09989595788e-09
2019-11-01 03:45:00.008393,2.96956776359e-07,1.02844426092e-08,3.1396538948e-09,3.2686798306e-09
2019-11-01 04:00:00.008393,3.05608574058e-07,8.98869925024e-09,2.4706859837e-09,2.55541629535e-09
2019-11-01 04:15:00.008393,2.91711825939e-07,8.83312088118e-09,2.0153122216e-09,2.06361165389e-09
2019-11-01 04:30:00.008393,2.8383666496e-07,8.91179180576e-09,2.16234959455e-09,2.2415639384e-09
2019-11-01 04:45:00.008393,2.86875524957e-07,9.04264035268e-09,2.44589272399e-09,2.55010348978e-09
2019-11-01 05:00:00.008393,2.99599199035e-07,8.77726544176e-09,2.18547679321e-09,2.26568425266e-09
2019-11-01 05:15:00.008393,2.81767202454e-07,8.3436565808e-09,1.82133343689e-09,1.86958851615e-09
2019-11-01 05:30:00.008393,2.80204650742e-07,8.3929147789e-09,1.69794832983e-09,1.73326053582e-09
2019-11-01 05:45:00.008393,3.04362750745e-07,8.61720922184e-09,1.58184352531e-09,1.61482899091e-09
2019-11-01 06:00:00.008393,2.8776385641e-07,8.33238278309e-09,1.42385153958e-09,1.45588033059e-09
2019-11-01 06:15:00.008393,2.921271265e-07,8.0536103721e-09,1.71310290972e-09,1.79503186229e-09
2019-11-01 06:30:00.008393,2.95265546841e-07,7.84073567674e-09,1.98439309463e-09,2.10617917225e-09
2019-11-01 06:45:00.008393,3.13402248034e-07,7.66576610368e-09,1.8948986223e-09,2.01146900724e-09
2019-11-01 07:00:00.008393,3.07261366779e-07,7.99442832704e-09,1.95988955488e-09,2.06972009259e-09
2019-11-01 07:15:00.008393,2.78780877297e-07,8.04534976796e-09,1.97278775796e-09,2.08366313691e-09
2019-11-01 07:30:00.008393,2.83592276081e-07,7.99422773762e-09,1.88556474561e-09,1.99535489319e-09
2019-11-01 07:45:00.008393,2.73466982163e-07,7.81883276477e-09,1.61139798898e-09,1.70841161598e-09
2019-11-01 08:00:00.008393,2.65886629463e-07,7.7218566244e-09,1.18716835786e-09,1.22453610475e-09
2019-11-01 08:15:00.008393,2.70279562423e-07,7.93296880307e-09,1.08949396433e-09,1.13119453156e-09
2019-11-01 08:30:00.008393,2.72150282642e-07,7.88618704616e-09,1.10020498354e-09,1.12520800364e-09
2019-11-01 08:45:00.008393,2.82413038888e-07,7.75793262563e-09,1.13052091891e-09,1.15346709576e-09
2019-11-01 09:00:00.008393,2.50374951597e-07,7.87022522646e-09,1.26829280829e-09,1.28858778576e-09
2019-11-01 09:15:00.008393,2.48363941272e-07,1.33099827575e-08,1.28111614646e-09,1.3000888328e-09
2019-11-01 09:30:00.008393,2.657187321e-07,1.32302927266e-08,1.25119002387e-09,1.26918545999e-09
2019-11-01 09:45:00.008393,2.78492302408e-07,7.91631310391e-09,1.34090976327e-09,1.35816613777e-09
2019-11-01 10:00:00.008393,2.68934443108e-07,7.45747031799e-09,1.29032803686e-09,1.3078928636e-09
2019-11-01 10:15:00.008393,2.85063486332e-07,7.44229877758e-09,1.23713289892e-09,1.25604579834e-09
2019-11-01 10:30:00.008393,2.79811206128e-07,7.94896624691e-09,1.24690884449e-09,1.26677472852e-09
2019-11-01 10:45:00.008393,2.76341450846e-07,8.86569043127e-09,1.62938172529e-09,1.64412087474e-09
2019-11-01 11:00:00.008393,2.78716436744e-07,8.26031900306e-09,1.55036057065e-09,1.5658232735e-09
2019-11-01 11:15:00.008393,2.61722600783e-07,7.35428180164e-09,1.32991481092e-09,1.3598626091e-09
2019-11-01 11:30:00.008393,2.6900556791e-07,8.13526411291e-09,2.00165813979e-09,2.08089328723e-09
2019-11-01 11:45:00.008393,2.71721827326e-07,8.29989748489e-09,2.17547510386e-09,2.27628150413e-09
2019-11-01 12:00:00.008393,2.83787799158e-07,8.08712300076e-09,2.0852098862e-09,2.18813886479e-09
2019-11-01 12:15:00.008393,2.83214741597e-07,9.14772195772e-09,2.32490856633e-09,2.42009679405e-09
2019-11-01 12:30:00.008393,2.564727288e-07,9.60527538974e-09,2.39212528178e-09,2.49183096752e-09
2019-11-01 12:45:00.008393,2.84121231346e-07,1.10060446749e-08,2.70930519946e-09,2.80052117505e-09
2019-11-01 13:00:00.008393,2.91093784291e-07,1.05940540502e-08,2.50989597738e-09,2.60118828864e-09
2019-11-01 13:15:00.008393,2.68870314012e-07,1.09885082153e-08,2.30160420313e-09,2.35296792305e-09
2019-11-01 13:30:00.008393,2.61873646071e-07,1.19122481766e-08,2.53725707121e-09,2.56328571849e-09
2019-11-01 13:45:00.008393,2.57135101849e-07,1.24610561934e-08,2.72889743839e-09,2.7637849553e-09
