,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:59.019538,3.8530239357e-07,7.0750104255e-08,3.8998516604e-08,4.10174490197e-08
2019-10-31 23:44:59.019538,3.87221443631e-07,7.01424025849e-08,3.82848191595e-08,4.01208444237e-08
2019-10-31 23:59:59.019538,4.12067463885e-07,6.58905313266e-08,3.6253736422e-08,3.81181297031e-08
2019-11-01 00:14:59.019538,4.34154432909e-07,6.46957290456e-08,3.56137293649e-08,3.74641183726e-08
2019-11-01 00:29:59.019538,3.85226868394e-07,6.69670740054e-08,3.68806928796e-08,3.87889575799e-08
2019-11-01 00:44:59.019538,3.51164500526e-07,6.73971543583e-08,3.73727109079e-08,3.92693782929e-08
2019-11-01 00:59:59.019538,3.48739310492e-07,6.64276036298e-08,3.70215204246e-08,3.88800995012e-08
2019-11-01 01:14:59.019538,3.67783236039e-07,6.08520465202e-08,3.41451439861e-08,3.57903731819e-08
2019-11-01 01:29:59.019538,3.7982265609e-07,5.91832654768e-08,3.31816055509e-08,3.48810212271e-08
2019-11-01 01:44:59.019538,3.74783832716e-07,5.94291901341e-08,3.25912138824e-08,3.43389195913e-08
2019-11-01 01:59:59.019538,3.7003203842e-07,5.93021556883e-08,3.24614526683e-08,3.42657330597e-08
2019-11-01 02:14:59.019538,3.36675690828e-07,5.72824243655e-08,3.19201867006e-08,3.35922348699e-08
2019-11-01 02:29:59.019538,3.34022997289e-07,5.52493337015e-08,3.07967429502e-08,3.23267632642e-08
2019-11-01 02:44:59.019538,3.67144316116e-07,5.63347124537e-08,3.02318458399e-08,3.17709280737e-08
2019-11-01 02:59:59.019538,3.8400869095e-07,5.81887526893e-08,3.05379817884e-08,3.21876111999e-08
2019-11-01 03:14:59.019538,4.03568135267e-07,5.73593355492e-08,2.97370910542e-08,3.13372391517e-08
2019-11-01 03:29:59.019538,3.58325927393e-07,5.25159214118e-08,2.73642613722e-08,2.89550589701e-08
2019-11-01 03:44:59.019538,3.58068485012e-07,4.94096649244e-08,2.73371759395e-08,2.88893915236e-08
2019-11-01 03:59:59.019538,3.52576586865e-07,4.90026039857e-08,2.7458033984e-08,2.89180695668e-08
2019-11-01 04:14:59.019538,3.56986593235e-07,4.86580564784e-08,2.75953425093e-08,2.9059489267e-08
2019-11-01 04:29:59.019538,3.60174157413e-07,4.8844232602e-08,2.61104217147e-08,2.76793686608e-08
2019-11-01 04:44:59.019538,3.48596394503e-07,5.25712055044e-08,2.70582883563e-08,2.86101220653e-08
2019-11-01 04:59:59.019538,3.68419551012e-07,5.00655049772e-08,2.63854554043e-08,2.78817422357e-08
2019-11-01 05:14:59.019538,3.59736878472e-07,4.52286298986e-08,2.39996194411e-08,2.55748456069e-08
2019-11-01 05:29:59.019538,3.73616071447e-07,4.3515595696e-08,2.28868619961e-08,2.44978172045e-08
2019-11-01 05:44:59.019538,3.5152032553e-07,4.45505576885e-08,2.2694870043e-08,2.42189627929e-08
2019-11-01 05:59:59.019538,3.63018770125e-07,4.3533319692e-08,2.25800819066e-08,2.40376889488e-08
2019-11-01 06:14:59.019538,3.42758644263e-07,4.36214140109e-08,2.28601240232e-08,2.42805578524e-08
2019-11-01 06:29:59.019538,3.53171544376e-07,4.1779121919e-08,2.10231756169e-08,2.24382918885e-08
2019-11-01 06:44:59.019538,3.83429087884e-07,4.16679290466e-08,2.08263749091e-08,2.22293402398e-08
2019-11-01 06:59:59.019538,3.53377676861e-07,4.06635023962e-08,2.10219885245e-08,2.24437941756e-08
2019-11-01 07:14:59.019538,3.32250512968e-07,4.20798172192e-08,2.02664719445e-08,2.17302151215e-08
2019-11-01 07:29:59.019538,3.60169504513e-07,4.11580711764e-08,1.92274755563e-08,2.06857875467e-08
2019-11-01 07:44:59.019538,3.51254314074e-07,4.00907217279e-08,1.96821258739e-08,2.11636113072e-08
2019-11-01 07:59:59.019538,3.34864099794e-07,3.84354686132e-08,1.97730103053e-08,2.13043758037e-08
2019-11-01 08:14:59.019538,3.36977593576e-07,3.89608228352e-08,2.02403936101e-08,2.1683136415e-08
2019-11-01 08:29:59.019538,3.42889545985e-07,3.87799606464e-08,2.0528444641e-08,2.1852941396e-08
2019-11-01 08:44:59.019538,3.18694729472e-07,4.45788623568e-08,2.14033247162e-08,2.2719947619e-08
2019-11-01 08:59:59.019538,3.48001705351e-07,4.32622494813e-08,1.97818564201e-08,2.11964973375e-08
2019-11-01 09:14:59.019538,3.56894887032e-07,4.21331621429e-08,1.96676161625e-08,2.1077143969e-08
2019-11-01 09:29:59.019538,3.51682770396e-07,4.01490833989e-08,1.93309314572e-08,2.07042532365e-08
2019-11-01 09:44:59.019538,3.57027496305e-07,4.12077612175e-08,1.99811102463e-08,2.13638363958e-08
2019-11-01 09:59:59.019538,3.33902453469e-07,4.26699295395e-08,2.09601599042e-08,2.23778810804e-08
2019-11-01 10:14:59.019538,3.37821765771e-07,5.04965941284e-08,2.26798685779e-08,2.39774868979e-08
2019-11-01 10:29:59.019538,3.35013668678e-07,5.03686209272e-08,2.34570731349e-08,2.46706817405e-08
2019-11-01 10:44:59.019538,3.34249045249e-07,4.93395430702e-08,2.33249735615e-08,2.45900691057e-08
2019-11-01 10:59:59.019538,3.36874001697e-07,5.156955405e-08,2.46291784914e-08,2.59179896833e-08
2019-11-01 11:14:59.019538,3.12093181603e-07,5.78546946848e-08,2.61324182242e-08,2.74812810891e-08
2019-11-01 11:29:59.019538,3.22175581295e-07,6.17847480611e-08,2.68217378894e-08,2.81570662799e-08
2019-11-01 11:44:59.019538,3.4635064617e-07,6.78216468789e-08,3.0373323137e-08,3.1645856038e-08
2019-11-01 11:59:59.019538,3.60509462145e-07,7.15316219733e-08,3.14450885107e-08,3.27309630631e-08
2019-11-01 12:14:59.019538,3.47394682119e-07,7.65885780857e-08,3.32768385827e-08,3.44532456666e-08
2019-11-01 12:29:59.019538,3.44674990732e-07,8.21070687705e-08,3.45992486537e-08,3.58208658817e-08
2019-11-01 12:44:59.019538,3.42956064131e-07,7.9054508634e-08,3.48010770098e-08,3.61141228189e-08
2019-11-01 12:59:59.019538,3.24723652302e-07,8.67069874392e-08,3.83832817949e-08,3.97903164264e-08
2019-11-01 13:14:59.019538,3.26576587961e-07,9.21913998892e-08,4.04111929023e-08,4.18903715795e-08
2019-11-01 13:29:59.019538,3.48159561081e-07,9.19524843678e-08,4.07062404216e-08,4.23255113701e-08
2019-11-01 13:44:59.019538,3.43687229558e-07,8.70122182475e-08,4.23738704184e-08,4.39129347829e-08
2019-11-01 13:59:59.019538,3.2609775826e-07,9.47623667579e-08,4.49021243391e-08,4.65165539141e-08
2019-11-01 14:14:59.019538,3.21206523242e-07,9.50872188076e-08,4.38896751659e-08,4.55766342211e-08
2019-11-01 14:29:59.019538,3.17023191766e-07,9.29445975065e-08,4.50219998484e-08,4.67404134925e-08
2019-11-01 14:44:59.019538,3.37353913035e-07,9.07203826573e-08,4.27051614262e-08,4.43044668873e-08
