,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:59.000,3.46048924011e-07,3.10700133962e-09,1.37961220367e-09,1.77000144847e-09
2019-10-31 23:44:59.000,3.49889760754e-07,3.36992520386e-09,1.44944025104e-09,1.94505589562e-09
2019-10-31 23:59:59.000,3.62648724187e-07,3.28418359753e-09,1.35151238454e-09,1.85900566368e-09
2019-11-01 00:14:59.000,3.56688483608e-07,2.82670273202e-09,1.17354923107e-09,1.55176970959e-09
2019-11-01 00:29:59.000,3.5735059776e-07,2.68534791986e-09,1.17018343245e-09,1.47485684382e-09
2019-11-01 00:44:59.000,3.48677928554e-07,3.14712332315e-09,1.30013480494e-09,1.73016720524e-09
2019-11-01 00:59:59.000,3.34404621287e-07,3.02453483411e-09,1.22170566884e-09,1.60576261333e-09
2019-11-01 01:14:59.000,3.17945600444e-07,3.02555199269e-09,1.20752952367e-09,1.60921299126e-09
2019-11-01 01:29:59.000,3.13960869916e-07,2.91972705056e-09,1.17771609476e-09,1.55576431812e-09
2019-11-01 01:44:59.000,3.26378967836e-07,2.56820708771e-09,1.10938716352e-09,1.37059657779e-09
2019-11-01 01:59:59.000,3.35850453482e-07,2.43737953119e-09,1.04181679531e-09,1.25576378294e-09
2019-11-01 02:14:59.000,3.08152382616e-07,2.45393739985e-09,1.0754876666e-09,1.2802191239e-09
2019-11-01 02:29:59.000,3.00760202415e-07,2.38406025141e-09,9.82755823963e-10,1.15311069633e-09
2019-11-01 02:44:59.000,3.28389193212e-07,2.19121572229e-09,7.65039074719e-10,8.49553432444e-10
2019-11-01 02:59:59.000,3.16814634614e-07,2.05945347677e-09,7.23467455883e-10,7.62567119731e-10
2019-11-01 03:14:59.000,3.12044253358e-07,2.02281000509e-09,7.192293806e-10,7.54385205838e-10
2019-11-01 03:29:59.000,3.00056081997e-07,2.01663395595e-09,7.27650947936e-10,7.67791107964e-10
2019-11-01 03:44:59.000,2.97879293925e-07,2.11244754421e-09,7.82867961447e-10,8.16864640504e-10
2019-11-01 03:59:59.000,3.05036290429e-07,2.12029922799e-09,7.79821727027e-10,8.06415102915e-10
