,4.0-14.0,5.0-20.0
2019-10-31 23:29:56.870000,1.52698813612e-09,1.15365707725e-09
2019-10-31 23:44:56.870000,1.92436637934e-09,1.52935462378e-09
2019-10-31 23:59:56.870000,2.13174654625e-09,1.83258685618e-09
2019-11-01 00:14:56.870000,1.50475136309e-09,1.12335017834e-09
2019-11-01 00:29:56.870000,2.09675355817e-09,1.46791985276e-09
2019-11-01 00:44:56.870000,2.82541730523e-09,1.91063263512e-09
2019-11-01 00:59:56.870000,2.53529476359e-09,1.88161512526e-09
2019-11-01 01:14:56.870000,2.64855595767e-09,2.12242026398e-09
2019-11-01 01:29:56.870000,3.48104641187e-09,2.72275949309e-09
2019-11-01 01:44:56.870000,2.21897236944e-09,1.82223682839e-09
2019-11-01 01:59:56.870000,2.32199577899e-09,1.88265467877e-09
2019-11-01 02:14:56.870000,1.81091114239e-09,1.37366022721e-09
2019-11-01 02:29:56.870000,2.37266788045e-09,1.83382797852e-09
2019-11-01 02:44:56.870000,2.71883471224e-09,1.99834867338e-09
2019-11-01 02:59:56.870000,3.52021222787e-09,2.80408407874e-09
2019-11-01 03:14:56.870000,5.44794354205e-09,4.30662112733e-09
2019-11-01 03:29:56.870000,5.34960421497e-09,3.88109852415e-09
2019-11-01 03:44:56.870000,6.31258129315e-09,4.62875208155e-09
2019-11-01 03:59:56.870000,8.14630636142e-09,5.89602518462e-09
2019-11-01 04:14:56.870000,1.00672542117e-08,6.58087954987e-09
2019-11-01 04:29:56.870000,1.00267623344e-08,7.1672839151e-09
2019-11-01 04:44:56.870000,1.18175258592e-08,8.97749449237e-09
2019-11-01 04:59:56.870000,1.38624043516e-08,1.01183265789e-08
2019-11-01 05:14:56.870000,1.36016356972e-08,9.45117066031e-09
2019-11-01 05:29:56.870000,1.24109959248e-08,9.23838752634e-09
2019-11-01 05:44:56.870000,1.34471851291e-08,1.074592614e-08
2019-11-01 05:59:56.870000,1.45678483953e-08,1.10931056457e-08
2019-11-01 06:14:56.870000,1.37658705262e-08,1.01070646479e-08
2019-11-01 06:29:56.870000,1.23604154234e-08,9.18405325198e-09
2019-11-01 06:44:56.870000,1.20139422489e-08,8.49328379031e-09
2019-11-01 06:59:56.870000,1.38237246827e-08,9.75529013665e-09
2019-11-01 07:14:56.870000,1.40417231363e-08,1.01249781247e-08
2019-11-01 07:29:56.870000,1.28123149016e-08,9.06700672785e-09
2019-11-01 07:44:56.870000,1.24630289709e-08,9.28568754168e-09
2019-11-01 07:59:56.870000,1.24269397562e-08,9.49812677716e-09
2019-11-01 08:14:56.870000,1.21569979662e-08,8.6485435331e-09
2019-11-01 08:29:56.870000,1.23212512104e-08,8.94465596861e-09
2019-11-01 08:44:56.870000,1.27131428309e-08,8.6414503736e-09
2019-11-01 08:59:56.870000,1.24328753387e-08,7.82659563243e-09
2019-11-01 09:14:56.870000,1.06557310485e-08,7.60184499292e-09
2019-11-01 09:29:56.870000,1.36506008879e-08,9.18782428155e-09
2019-11-01 09:44:56.870000,1.35994842697e-08,9.16770581332e-09
2019-11-01 09:59:56.870000,1.84538322118e-08,1.2892316921e-08
