,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-11-30 23:29:56.600000,4.356563313473272e-08,9.413604276989864e-10,2.998454484663488e-10,3.139856671256657e-10
2019-11-30 23:44:56.600000,4.380737468371392e-08,9.074572383433196e-10,8.654584664153775e-11,8.973253567233317e-11
2019-11-30 23:59:56.600000,4.48585928722195e-08,8.626136182414829e-10,8.507101051208704e-11,8.769113124783494e-11
2019-12-01 00:14:56.600000,4.302007762167312e-08,8.442892926353556e-10,7.931493679424324e-11,8.364088441883176e-11
2019-12-01 00:29:56.600000,4.175131064518155e-08,8.727316198885126e-10,8.561247689503237e-11,9.376561049025522e-11
2019-12-01 00:44:56.600000,4.1693166394306676e-08,8.298439782629999e-10,8.96122674537177e-11,9.582433725268383e-11
2019-12-01 00:59:56.600000,4.162848439133773e-08,7.940930189381272e-10,8.448846531870538e-11,8.77244641209392e-11
2019-12-01 01:14:56.600000,4.313285695382861e-08,8.100244949711854e-10,1.0258597409208385e-10,1.0484313106190728e-10
2019-12-01 01:29:56.600000,4.491523824756883e-08,8.306591562970726e-10,2.0093964497617668e-10,2.4603459825926545e-10
2019-12-01 01:44:56.600000,4.561311644823666e-08,8.172654221522714e-10,1.80544186415868e-10,2.0916619208504886e-10
2019-12-01 01:59:56.600000,4.445874047381522e-08,7.873153295297197e-10,1.4073268496177762e-10,1.4624653274559796e-10
2019-12-01 02:14:56.600000,4.4506951914537566e-08,7.830324210697603e-10,1.223462912190292e-10,1.3893189475413537e-10
2019-12-01 02:29:56.600000,4.4525461995714475e-08,8.05368266996359e-10,1.1104524467351986e-10,1.183089532838022e-10
2019-12-01 02:44:56.600000,4.4742654703643836e-08,8.1104473053383e-10,1.075803218967784e-10,1.1046844838960481e-10
2019-12-01 02:59:56.600000,4.4677698037900557e-08,8.222572751409726e-10,1.0978308247351528e-10,1.2129138708959998e-10
2019-12-01 03:14:56.600000,4.4468381841832374e-08,8.274518704382978e-10,1.195499642991934e-10,1.444543912551296e-10
2019-12-01 03:29:56.600000,4.4853140800344686e-08,8.364996212777498e-10,1.5018519107619153e-10,1.8520356658877128e-10
2019-12-01 03:44:56.600000,4.3671041605409584e-08,8.83215277500821e-10,1.6165928095847544e-10,2.0478249228740533e-10
2019-12-01 03:59:56.600000,4.3622001446792154e-08,8.44958510820443e-10,1.6341509013968548e-10,1.9109551740045469e-10
2019-12-01 04:14:56.600000,4.404407255069987e-08,8.475388440000512e-10,1.9622062791658741e-10,2.3275979151829963e-10
2019-12-01 04:29:56.600000,4.377760125491009e-08,9.16744661040059e-10,2.4360543271699576e-10,3.1027988221649215e-10
2019-12-01 04:44:56.600000,4.626407313262461e-08,9.426967300186636e-10,2.3792748787150413e-10,3.0756917084177366e-10
2019-12-01 04:59:56.600000,4.4713431212247425e-08,9.30277383412644e-10,1.966380437011267e-10,2.361915780359517e-10
2019-12-01 05:14:56.600000,4.517513367847239e-08,9.242601747982623e-10,1.9436524411867787e-10,2.625247680786576e-10
2019-12-01 05:29:56.600000,4.5095150473909676e-08,9.603933118100847e-10,2.0605140620472423e-10,3.1619585177733705e-10
2019-12-01 05:44:56.600000,4.659350154097783e-08,9.71466079087128e-10,2.094151493411481e-10,3.3897870657901936e-10
2019-12-01 05:59:56.600000,4.9322890634962945e-08,9.949198272406216e-10,2.557806736305653e-10,4.410935346775367e-10
2019-12-01 06:14:56.600000,4.602119176157109e-08,1.0626050629583172e-09,3.7262088405382926e-10,6.054459914297987e-10
2019-12-01 06:29:56.600000,4.259635141433385e-08,9.93751936019546e-10,3.198680191177302e-10,5.132358768729034e-10
2019-12-01 06:44:56.600000,4.358686296842748e-08,9.902368961799343e-10,2.8114960902603963e-10,5.046140092972107e-10
2019-12-01 06:59:56.600000,4.2950388058807475e-08,1.019578792050249e-09,2.8299466834996146e-10,5.459710328525419e-10
2019-12-01 07:14:56.600000,4.398840436556116e-08,9.516068678646985e-10,2.3757415430437713e-10,3.75854911492884e-10
2019-12-01 07:29:56.600000,4.305479966129172e-08,9.875380726740247e-10,2.931798087518769e-10,4.53590051449876e-10
2019-12-01 07:44:56.600000,4.403726827906445e-08,1.0802520546673822e-09,3.6816363948985267e-10,6.173195185561915e-10
2019-12-01 07:59:56.600000,4.774370410216748e-08,1.123490639894875e-09,3.892240052428004e-10,6.488237465870136e-10
2019-12-01 08:14:56.600000,4.9790588000299367e-08,1.0138335562041767e-09,3.6919287456959893e-10,5.289678796820868e-10
2019-12-01 08:29:56.600000,4.596117828111581e-08,9.467311780916056e-10,3.1640611604112013e-10,4.4551077129265056e-10
2019-12-01 08:44:56.600000,4.162390754563856e-08,9.815571800104745e-10,2.7743297845895133e-10,4.168853042721627e-10
2019-12-01 08:59:56.600000,4.3776373685482315e-08,9.879877307911691e-10,2.445324882337033e-10,3.878180264118779e-10
2019-12-01 09:14:56.600000,4.2634470141217784e-08,9.857714439660566e-10,2.4864749578092873e-10,3.062571179409065e-10
2019-12-01 09:29:56.600000,4.4178897080617855e-08,9.81420028609373e-10,2.2755395407618869e-10,2.8107970281354534e-10
