,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-11-30 23:29:59.024997,6.133649993955895e-07,1.2204045119578911e-08,7.144245458911295e-10,1.6178648832809489e-09
2019-11-30 23:44:59.024997,6.401286449173304e-07,1.342918393171463e-08,6.962300182820317e-10,1.657914130665054e-09
2019-11-30 23:59:59.024997,6.16509915354589e-07,1.480396983441267e-08,6.919871903022396e-10,1.6974045392973052e-09
2019-12-01 00:14:59.024997,5.865532639363038e-07,1.590701164368917e-08,7.413695163652047e-10,1.7013836012935391e-09
2019-12-01 00:29:59.024997,5.737236230548792e-07,1.571296537418998e-08,7.154623363324091e-10,1.6646091215900631e-09
2019-12-01 00:44:59.024997,5.918852981851366e-07,1.531803230439618e-08,5.75221259610582e-10,1.604775851563167e-09
2019-12-01 00:59:59.024997,6.020151986660175e-07,1.574649600849944e-08,5.472902659963122e-10,1.6450516273076932e-09
2019-12-01 01:14:59.024997,6.11380443396061e-07,1.5691345050360617e-08,5.622915791665537e-10,1.6158490985254065e-09
2019-12-01 01:29:59.024997,5.981445833526718e-07,1.554112961645194e-08,5.755577023873826e-10,1.5806460564962095e-09
2019-12-01 01:44:59.024997,5.95477545712766e-07,1.5226533139769788e-08,6.03006760017418e-10,1.6063691452028463e-09
2019-12-01 01:59:59.024997,5.806756101317e-07,1.5153438794803116e-08,5.911778102998635e-10,1.5711995833564234e-09
2019-12-01 02:14:59.024997,5.675803638073843e-07,1.5576132954841576e-08,5.490987487939417e-10,1.5613921145832486e-09
2019-12-01 02:29:59.024997,5.750221168478969e-07,1.6129477125330682e-08,5.278629883785111e-10,1.5712983581955453e-09
2019-12-01 02:44:59.024997,5.596382449578236e-07,1.5889120462415177e-08,4.984591124892183e-10,1.548891927164899e-09
2019-12-01 02:59:59.024997,5.618807089600124e-07,1.610568809419617e-08,5.226156217016346e-10,1.5888930294596347e-09
2019-12-01 03:14:59.024997,5.229528098787434e-07,1.630408301890103e-08,5.188585401416776e-10,1.5971360870596677e-09
2019-12-01 03:29:59.024997,5.173977967597408e-07,1.549523580398099e-08,4.076619760953677e-10,1.5277339941286884e-09
2019-12-01 03:44:59.024997,5.062206682703319e-07,1.5734195083519748e-08,3.679885528468993e-10,1.4729359216456364e-09
2019-12-01 03:59:59.024997,5.401114317607167e-07,1.6517908413224275e-08,4.342969094858052e-10,1.5867486275257188e-09
2019-12-01 04:14:59.024997,5.182054046058477e-07,1.6636158987867324e-08,5.066244373707589e-10,1.552941764767813e-09
2019-12-01 04:29:59.024997,5.021207612469348e-07,1.604184407671812e-08,4.2136625438700776e-10,1.5187453731275682e-09
2019-12-01 04:44:59.024997,5.185942503314772e-07,1.6945421937489792e-08,3.461907219324583e-10,1.5354523085924828e-09
2019-12-01 04:59:59.024997,5.03950229448159e-07,1.763864500180991e-08,2.918992350033029e-10,1.5280390070826553e-09
2019-12-01 05:14:59.024997,4.975027066580731e-07,1.7384370821645667e-08,3.2372958129605685e-10,1.5153378725239333e-09
2019-12-01 05:29:59.024997,4.986464384253123e-07,1.7036491049803644e-08,2.9611803877692295e-10,1.458423092557211e-09
2019-12-01 05:44:59.024997,4.840371991616829e-07,1.7491656185511986e-08,2.5627255879789493e-10,1.461933448801006e-09
2019-12-01 05:59:59.024997,4.71671833252326e-07,1.8234618253989177e-08,3.5978124759857697e-10,1.5678921193068723e-09
2019-12-01 06:14:59.024997,4.811637910678681e-07,1.8741489256678104e-08,2.8665350385819647e-10,1.584827257960604e-09
2019-12-01 06:29:59.024997,5.041237316955097e-07,1.7759081192094932e-08,2.0306654150339205e-10,1.5385026709371558e-09
2019-12-01 06:44:59.024997,4.773870198273e-07,1.7818955240856222e-08,4.827026834195954e-10,1.497845798261665e-09
2019-12-01 06:59:59.024997,4.822957760777678e-07,1.911394731637464e-08,4.775069320683324e-10,1.5303888314251316e-09
2019-12-01 07:14:59.024997,4.7261670263887387e-07,1.923558854470356e-08,2.4100256688058855e-10,1.4924983187039667e-09
2019-12-01 07:29:59.024997,4.571128817877996e-07,1.863721108351988e-08,3.3245069892936286e-10,1.5716473758383546e-09
2019-12-01 07:44:59.024997,4.5427832602481873e-07,1.76642823855529e-08,2.390363667552309e-10,1.477263272276717e-09
2019-12-01 07:59:59.024997,4.825150778591779e-07,1.6819805753832968e-08,2.2041215685355883e-10,1.4783205359981472e-09
2019-12-01 08:14:59.024997,4.869222270046925e-07,1.6241181350876223e-08,2.3186356312496446e-10,1.4991732563083485e-09
2019-12-01 08:29:59.024997,4.896378271521889e-07,1.5790560608829572e-08,1.9679231622793248e-10,1.5173901765219492e-09
2019-12-01 08:44:59.024997,4.904853504827616e-07,1.583544357023526e-08,2.6309208592274593e-10,1.4951475378085466e-09
2019-12-01 08:59:59.024997,4.992248792540435e-07,1.6169197937831833e-08,3.227374404730393e-10,1.4899174053443134e-09
2019-12-01 09:14:59.024997,4.952809084116539e-07,1.632285465404141e-08,3.2584158332602737e-10,1.4959201017170054e-09
2019-12-01 09:29:59.024997,4.943128761634823e-07,1.692592205061183e-08,3.6831608481101964e-10,1.5485625771029583e-09
2019-12-01 09:44:59.024997,4.938536091461186e-07,1.6936472856365763e-08,3.763844780312302e-10,1.557508722897728e-09
2019-12-01 09:59:59.024997,4.80162418014977e-07,1.697881267545167e-08,4.713911751923347e-10,1.5516876010580243e-09
2019-12-01 10:14:59.024997,4.6359202211731847e-07,1.76984944542533e-08,5.883676918019876e-10,1.5704413365721387e-09
2019-12-01 10:29:59.024997,4.6870369134015356e-07,1.7712934498217765e-08,6.768705804711526e-10,1.6349180993953264e-09
2019-12-01 10:44:59.024997,4.7462273487447164e-07,1.807293819440944e-08,6.621187983394033e-10,1.608295422895596e-09
2019-12-01 10:59:59.024997,4.823230715174305e-07,1.873250639940183e-08,5.108479276344553e-10,1.604617527150629e-09
2019-12-01 11:14:59.024997,4.812885801722412e-07,1.9276447346942905e-08,7.651340519665635e-10,1.7125048530856076e-09
2019-12-01 11:29:59.024997,4.911214349606479e-07,2.0758514585301707e-08,8.605915815907024e-10,1.7733108347905019e-09
2019-12-01 11:44:59.024997,4.889532017325742e-07,2.035241425473658e-08,8.08119973923372e-10,1.701499644095788e-09
2019-12-01 11:59:59.024997,4.842851957034336e-07,2.0257761378600462e-08,8.890389625729272e-10,1.7692195667391413e-09
2019-12-01 12:14:59.024997,5.178472129446146e-07,2.12520140166853e-08,9.031415798762727e-10,1.7842928409918333e-09
2019-12-01 12:29:59.024997,5.225721151479225e-07,2.2639085628236283e-08,9.815570960052125e-10,1.8068908521155663e-09
2019-12-01 12:44:59.024997,5.177321631260882e-07,2.2510215646715326e-08,1.077128675480364e-09,1.8656350143240747e-09
2019-12-01 12:59:59.024997,5.215249415341595e-07,2.244368583903926e-08,8.838815263260816e-10,1.7352084879655292e-09
2019-12-01 13:14:59.024997,5.374601846653881e-07,2.3439577557102987e-08,9.661111865848833e-10,1.7822935529044985e-09
2019-12-01 13:29:59.024997,5.422675305070131e-07,2.3020736521611346e-08,9.747889614299029e-10,1.7820344296051466e-09
2019-12-01 13:44:59.024997,5.549566389580411e-07,2.3376494013044998e-08,9.168819403133235e-10,1.7622133643168787e-09
2019-12-01 13:59:59.024997,5.64539125980601e-07,2.382734464910761e-08,9.964024108020678e-10,1.831235117156747e-09
2019-12-01 14:14:59.024997,5.56717509115419e-07,2.4799344171962352e-08,9.86419230972589e-10,1.8140992462742277e-09
2019-12-01 14:29:59.024997,5.737871430992044e-07,2.3912623791499316e-08,1.0181809533875722e-09,1.8515330275713497e-09
2019-12-01 14:44:59.024997,5.704458222688719e-07,2.3669487340323788e-08,1.0378948800419036e-09,1.847551519109671e-09
2019-12-01 14:59:59.024997,5.549388609652512e-07,2.4748169204451888e-08,1.9802413994335473e-09,2.5222441765760535e-09
2019-12-01 15:14:59.024997,5.603709103557165e-07,2.558308017254572e-08,1.4326020734195137e-09,2.1073084372214547e-09
2019-12-01 15:29:59.024997,5.53060288538178e-07,2.429898595530485e-08,9.386203092361657e-10,1.7655639651466114e-09
2019-12-01 15:44:59.024997,5.536553790943893e-07,2.4342815993726033e-08,9.318978364801876e-10,1.7928453353391818e-09
2019-12-01 15:59:59.024997,5.577590647049009e-07,2.4842996474185374e-08,1.009859073673241e-09,1.843603103994798e-09
2019-12-01 16:14:59.024997,5.658411225915559e-07,2.4962244020230403e-08,1.1188544796744867e-09,1.8885608476805213e-09
2019-12-01 16:29:59.024997,5.637674007106451e-07,2.441514178412305e-08,1.1101170752981773e-09,1.9082540177309907e-09
2019-12-01 16:44:59.024997,5.674179395719819e-07,2.4618356474314912e-08,1.047884659400325e-09,1.891900888387725e-09
2019-12-01 16:59:59.024997,5.748316002358156e-07,2.365749804369098e-08,9.291098087647181e-10,1.76749838759232e-09
2019-12-01 17:14:59.024997,5.75638244132334e-07,2.437754601181171e-08,9.458240294442386e-10,1.7744065731775927e-09
2019-12-01 17:29:59.024997,5.698329411392627e-07,2.4092422744799906e-08,9.258652136221028e-10,1.7299456102432812e-09
2019-12-01 17:44:59.024997,5.897154403290824e-07,2.3673135746209305e-08,1.0763134930421993e-09,1.8364477229308692e-09
2019-12-01 17:59:59.024997,5.734713764787628e-07,2.4622746952506985e-08,1.0562596867728124e-09,1.8535244107169958e-09
2019-12-01 18:14:59.024997,5.793366819800347e-07,2.37605522437555e-08,9.562493008798915e-10,1.8136383376551016e-09
2019-12-01 18:29:59.024997,5.807619788256827e-07,2.289373325402034e-08,9.282395366761711e-10,1.7729123409874193e-09
2019-12-01 18:44:59.024997,5.721223171093024e-07,2.399341380311164e-08,9.485588967280225e-10,1.796872185310323e-09
2019-12-01 18:59:59.024997,5.729229440221741e-07,2.35055118489249e-08,9.4293676477964e-10,1.8136931603032165e-09
2019-12-01 19:14:59.024997,5.791777420550429e-07,2.3731755506853575e-08,9.209981420131324e-10,1.784835249495147e-09
2019-12-01 19:29:59.024997,6.003088353581362e-07,2.493057778633695e-08,8.27403412695608e-10,1.7503675089736414e-09
2019-12-01 19:44:59.024997,5.934424098964744e-07,2.48396971139378e-08,7.808675007188131e-10,1.742547364982997e-09
2019-12-01 19:59:59.024997,5.864760247619137e-07,2.480662561245433e-08,8.262763122148212e-10,1.7248968505520898e-09
2019-12-01 20:14:59.024997,6.052012314699985e-07,2.3538696582468078e-08,9.571505407952614e-10,1.7817799110399083e-09
2019-12-01 20:29:59.024997,6.021198885592166e-07,2.2857206838450052e-08,8.167019335449546e-10,1.6558962251218186e-09
2019-12-01 20:44:59.024997,6.188804404576729e-07,2.2932074324424402e-08,7.409206023110681e-10,1.6574973807687767e-09
2019-12-01 20:59:59.024997,6.23096346526557e-07,2.359966713181994e-08,7.148382522739547e-10,1.6752448168556552e-09
2019-12-01 21:14:59.024997,6.212456386208306e-07,2.3915032130734625e-08,9.293789815100351e-10,1.7806817616767117e-09
2019-12-01 21:29:59.024997,6.243671456929277e-07,2.3164876699700258e-08,9.410943784945563e-10,1.791741008549437e-09
2019-12-01 21:44:59.024997,6.243671122700265e-07,2.2333843008466137e-08,9.917696306445069e-10,1.8037446145465927e-09
2019-12-01 21:59:59.024997,6.189766454348123e-07,2.237696231593556e-08,8.090830576111007e-10,1.7230333441602122e-09
2019-12-01 22:14:59.024997,6.351688112387564e-07,2.2343993210355996e-08,6.922018235007325e-10,1.6413052027670098e-09
2019-12-01 22:29:59.024997,6.242180297474927e-07,2.294997257672634e-08,7.512409218166014e-10,1.6847167637762586e-09
2019-12-01 22:44:59.024997,6.27236023848475e-07,2.3274851690615092e-08,7.076531009883046e-10,1.6685931192752785e-09
2019-12-01 22:59:59.024997,6.325496097269643e-07,2.3020784873867492e-08,7.668840983849196e-10,1.6904303755633638e-09
2019-12-01 23:14:59.024997,6.48123626654255e-07,2.264966959084015e-08,6.993946814433578e-10,1.6426631477435532e-09
2019-12-01 23:29:59.024997,6.270097876719962e-07,2.2550568744567268e-08,6.862179751178759e-10,1.648951931986727e-09
2019-12-01 23:44:59.024997,6.28164337824302e-07,2.253581813688684e-08,6.789252265993271e-10,1.5839165890316624e-09
2019-12-01 23:59:59.024997,6.511264812313282e-07,2.3381702571962903e-08,7.234668167734102e-10,1.6470092223485516e-09
2019-12-02 00:14:59.024997,6.706631540370805e-07,2.3338558772986905e-08,7.324325151276088e-10,1.6081377823983585e-09
2019-12-02 00:29:59.024997,6.910801879444191e-07,2.453592805821596e-08,6.70648659789914e-10,1.5656353166933186e-09
2019-12-02 00:44:59.024997,6.68746632280766e-07,2.4243394026480835e-08,5.82808937270653e-10,1.5993849911217512e-09
2019-12-02 00:59:59.024997,6.577458628158385e-07,2.4239705670094606e-08,5.788848840742442e-10,1.6010266027332806e-09
2019-12-02 01:14:59.024997,6.550519645130429e-07,2.4320395247113235e-08,5.612496130316605e-10,1.5691657861331884e-09
2019-12-02 01:29:59.024997,6.807555359912189e-07,2.4809070930773966e-08,5.060400349706217e-10,1.5684325331908352e-09
2019-12-02 01:44:59.024997,7.160737531562072e-07,2.4671154234402732e-08,4.889269482308316e-10,1.5613099740253482e-09
2019-12-02 01:59:59.024997,7.293813506189877e-07,2.4721444243173845e-08,6.171813508330129e-10,1.6078546772927342e-09
2019-12-02 02:14:59.024997,7.302379385862276e-07,2.6469970751990198e-08,6.060432001382115e-10,1.607212291791905e-09
2019-12-02 02:29:59.024997,7.345093400629412e-07,2.6679626810205114e-08,4.3318317481837717e-10,1.5097612466345906e-09
2019-12-02 02:44:59.024997,7.037137639060026e-07,2.5440701925895338e-08,3.96468975967558e-10,1.5277760765967105e-09
2019-12-02 02:59:59.024997,7.363747938190886e-07,2.5240535891808788e-08,4.794685785533624e-10,1.5070214667130264e-09
2019-12-02 03:14:59.024997,7.652204103426144e-07,2.58489548314213e-08,4.2313493657944924e-10,1.5428914747326229e-09
2019-12-02 03:29:59.024997,7.592397527078909e-07,2.5388702102180626e-08,3.4999558863391425e-10,1.5242333681200486e-09
2019-12-02 03:44:59.024997,7.898750130276754e-07,2.536917281760729e-08,3.3672255558714387e-10,1.5576724821885139e-09
2019-12-02 03:59:59.024997,8.105339901607982e-07,2.513985665972701e-08,4.618947625724756e-10,1.5384969655590139e-09
2019-12-02 04:14:59.024997,7.933211252204773e-07,2.604905246615555e-08,5.374899893176946e-10,1.5095330552815126e-09
2019-12-02 04:29:59.024997,8.543890349650319e-07,2.660040508467596e-08,4.0631635877120094e-10,1.470042905393715e-09
2019-12-02 04:44:59.024997,8.61684059111885e-07,2.6993630970501808e-08,3.123206654544834e-10,1.4918830207405796e-09
2019-12-02 04:59:59.024997,8.708486287453111e-07,2.652728754943026e-08,3.002678154942093e-10,1.5546525169420293e-09
2019-12-02 05:14:59.024997,8.75745616141486e-07,2.60761119803419e-08,2.5087603950965406e-10,1.5148066480457908e-09
2019-12-02 05:29:59.024997,8.930269062264752e-07,2.6719893223468017e-08,2.5002965078156254e-10,1.483926496143101e-09
2019-12-02 05:44:59.024997,9.339138771353764e-07,2.734262850923808e-08,2.62638971184434e-10,1.491275695417074e-09
2019-12-02 05:59:59.024997,9.59081856618375e-07,2.694476150541129e-08,2.47445950173532e-10,1.5456432322924365e-09
2019-12-02 06:14:59.024997,9.518127833284179e-07,2.6952530868178833e-08,2.740430710687723e-10,1.5263339058652512e-09
2019-12-02 06:29:59.024997,9.728513922541706e-07,2.8689965475115543e-08,3.3797692179638114e-10,1.4980342648226675e-09
2019-12-02 06:44:59.024997,9.71678039985307e-07,2.8685566839350766e-08,2.3501321330119286e-10,1.4426390100733761e-09
2019-12-02 06:59:59.024997,9.564851364320143e-07,2.7478048338516117e-08,3.0508271249517907e-10,1.5161254535512469e-09
2019-12-02 07:14:59.024997,9.968540368961328e-07,2.6864222635513755e-08,3.6782608400212363e-10,1.5590084621338904e-09
2019-12-02 07:29:59.024997,1.048665449180135e-06,2.849992324073996e-08,2.808138983565463e-10,1.560412039316886e-09
2019-12-02 07:44:59.024997,1.093663350777588e-06,2.834921096808978e-08,2.4795253108757656e-10,1.5101593494683382e-09
2019-12-02 07:59:59.024997,1.0592042034545967e-06,2.8308654603165678e-08,2.744400284990304e-10,1.5497968709019911e-09
2019-12-02 08:14:59.024997,1.0401774432326088e-06,2.8864819650146736e-08,3.0050428001369624e-10,1.5358841261996486e-09
