,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-11-30 23:29:59.000000,1.0222367097188158e-07,4.717198438247553e-09,1.5337414741818391e-09,2.143628576254554e-09
2019-11-30 23:44:59.000000,1.0039538005812668e-07,5.086629685295263e-09,1.705097933141161e-09,2.295254483148402e-09
2019-11-30 23:59:59.000000,9.873824528722811e-08,5.050098386667315e-09,2.2881708770781244e-09,2.7523336458659706e-09
2019-12-01 00:14:59.000000,9.512094969070716e-08,4.090902646039071e-09,1.866661725063431e-09,2.4245375496538754e-09
2019-12-01 00:29:59.000000,9.609996076108896e-08,7.1467672038039725e-09,2.2572649305481105e-09,2.7523160903919066e-09
2019-12-01 00:44:59.000000,9.746593986583063e-08,1.3672558094347381e-08,3.616677639946686e-09,3.925886880372968e-09
2019-12-01 00:59:59.000000,9.452073704396345e-08,3.5765643755269158e-09,1.3590391022748056e-09,2.0118079557696084e-09
2019-12-01 01:14:59.000000,9.531468326200901e-08,3.6115766308520255e-09,1.5027362288306175e-09,2.1138122191414454e-09
2019-12-01 01:29:59.000000,9.783763887856327e-08,3.3784514443450266e-09,1.398419080144757e-09,2.0400309433361498e-09
2019-12-01 01:44:59.000000,9.567558403740543e-08,3.3222679627787776e-09,1.1895199856668326e-09,1.8839055854831413e-09
2019-12-01 01:59:59.000000,9.777593639423547e-08,3.0510472797460692e-09,1.1076591817150094e-09,1.8617923763726512e-09
2019-12-01 02:14:59.000000,1.0119115550079999e-07,2.874173880098429e-09,9.044561447230826e-10,1.72108721294617e-09
2019-12-01 02:29:59.000000,9.780721751972809e-08,3.2211869908369733e-09,1.1231342891822e-09,1.8701515758493258e-09
2019-12-01 02:44:59.000000,8.939460162422813e-08,3.068721909735078e-09,1.0201325009104362e-09,1.8601954234998085e-09
2019-12-01 02:59:59.000000,8.740633335799037e-08,2.8427037736487517e-09,1.0141863667527887e-09,1.782901429995594e-09
2019-12-01 03:14:59.000000,9.16289093200122e-08,2.7787799085142335e-09,9.198934456347979e-10,1.6685362381589382e-09
2019-12-01 03:29:59.000000,9.431347161160884e-08,2.638015609490995e-09,7.435070255763834e-10,1.5589147053553267e-09
2019-12-01 03:44:59.000000,8.87371287612648e-08,2.500481792035609e-09,7.658076577216769e-10,1.642934773570215e-09
2019-12-01 03:59:59.000000,8.170924100034034e-08,2.610587075242298e-09,9.33882015117686e-10,1.7483671171744422e-09
2019-12-01 04:14:59.000000,8.551482585494342e-08,2.6222253804690524e-09,1.071748569695017e-09,1.8227362749628324e-09
2019-12-01 04:29:59.000000,8.737923132966482e-08,2.3640178439963864e-09,6.075628529337862e-10,1.5917058392999103e-09
2019-12-01 04:44:59.000000,8.364072151694983e-08,2.4251072108048876e-09,5.822978155926819e-10,1.5719467804685722e-09
2019-12-01 04:59:59.000000,7.663018374192704e-08,2.3563845156922878e-09,5.846570815116179e-10,1.619483356412657e-09
2019-12-01 05:14:59.000000,7.872703177779055e-08,2.659605929343933e-09,7.184839767096794e-10,1.7050802381148057e-09
2019-12-01 05:29:59.000000,8.161906033839863e-08,2.3082758697277796e-09,6.292635550914815e-10,1.613994037407998e-09
2019-12-01 05:44:59.000000,8.542851024636104e-08,2.2023331465955508e-09,6.257770769047309e-10,1.594827257039383e-09
2019-12-01 05:59:59.000000,8.637838454145812e-08,2.723102491926945e-09,1.2331543604404423e-09,1.9350123150678176e-09
2019-12-01 06:14:59.000000,8.491877504172234e-08,2.5289734638388045e-09,1.091112790264151e-09,1.8298372604663385e-09
2019-12-01 06:29:59.000000,8.225893840415184e-08,2.17724739289406e-09,6.595216810509285e-10,1.6558698679149647e-09
2019-12-01 06:44:59.000000,8.136519724221393e-08,2.21202431256096e-09,8.830104381765458e-10,1.657700733706551e-09
2019-12-01 06:59:59.000000,8.417795566826746e-08,2.0562320048848116e-09,4.522083496530159e-10,1.4764056397535873e-09
2019-12-01 07:14:59.000000,8.072247754102536e-08,2.0820351707032803e-09,4.71234579431069e-10,1.5429136131062172e-09
2019-12-01 07:29:59.000000,8.407022622603415e-08,2.177968214229333e-09,4.4648557351868425e-10,1.5299673757153043e-09
2019-12-01 07:44:59.000000,8.654089855314115e-08,2.389531016738163e-09,7.869557239480088e-10,1.7088004970142718e-09
2019-12-01 07:59:59.000000,8.746850142818902e-08,2.3834786786888865e-09,7.542158710033219e-10,1.6911636135396578e-09
2019-12-01 08:14:59.000000,8.429611240930826e-08,2.316722399588748e-09,5.787954048119811e-10,1.5768336131571352e-09
2019-12-01 08:29:59.000000,8.484767093089604e-08,2.2011849552968523e-09,6.722277725799967e-10,1.590727186773154e-09
2019-12-01 08:44:59.000000,8.579068626220985e-08,2.354039926258574e-09,6.169174693364736e-10,1.5715370537242306e-09
2019-12-01 08:59:59.000000,8.75360394946561e-08,2.4063570614566552e-09,4.2230123731003173e-10,1.5653053012847474e-09
2019-12-01 09:14:59.000000,8.400428086798548e-08,2.5146815705069033e-09,5.321946022173257e-10,1.550934433526778e-09
2019-12-01 09:29:59.000000,7.768082056702287e-08,2.755529745759465e-09,7.256374905981858e-10,1.6140119045777202e-09
2019-12-01 09:44:59.000000,8.127698046070175e-08,2.5050240193665288e-09,5.444515989287087e-10,1.5274148183035003e-09
2019-12-01 09:59:59.000000,8.752140204431149e-08,2.5053692620249923e-09,5.847360079229687e-10,1.6105006938968677e-09
2019-12-01 10:14:59.000000,9.401802889306753e-08,2.219959481789943e-09,5.839561125711629e-10,1.5929012920992718e-09
2019-12-01 10:29:59.000000,9.532259723960822e-08,3.058581587838179e-09,1.1446134042913351e-09,1.91564756193696e-09
2019-12-01 10:44:59.000000,9.708177983547423e-08,3.3862148512990362e-09,1.556829334605575e-09,2.1750425805363463e-09
2019-12-01 10:59:59.000000,1.008452475459663e-07,3.3873919766673033e-09,1.6247460502301756e-09,2.241049002961386e-09
2019-12-01 11:14:59.000000,9.600234356215098e-08,5.170680412653552e-09,2.3559704577100945e-09,2.8532698677526806e-09
2019-12-01 11:29:59.000000,9.901276727408049e-08,6.448586568880362e-09,2.0233432036763392e-09,2.5094567606226132e-09
2019-12-01 11:44:59.000000,9.91484291889229e-08,7.55251557611763e-09,1.4463197038772025e-09,2.0388990570496763e-09
2019-12-01 11:59:59.000000,9.998617248237987e-08,6.134691298170585e-09,1.3563703515238855e-09,2.0343394204772854e-09
2019-12-01 12:14:59.000000,1.0051522817456395e-07,5.37589665391969e-09,1.5621603546935636e-09,2.1479197496182356e-09
2019-12-01 12:29:59.000000,1.0570591638750269e-07,4.856942236513706e-09,1.6123805129245047e-09,2.189797459624244e-09
2019-12-01 12:44:59.000000,1.051285038719529e-07,5.1405164433147445e-09,1.8651182795005314e-09,2.3885794697463305e-09
2019-12-01 12:59:59.000000,1.010395575333437e-07,5.267151774776814e-09,1.7882847555719976e-09,2.3593040644959924e-09
2019-12-01 13:14:59.000000,1.0460683478886936e-07,4.522836010581477e-09,1.7292305543083431e-09,2.3133362259865463e-09
2019-12-01 13:29:59.000000,1.0644146953020908e-07,4.281745949541458e-09,1.6132505842400963e-09,2.21979099360471e-09
2019-12-01 13:44:59.000000,1.0370973154455761e-07,4.173528825738669e-09,1.4879316665245916e-09,2.072462066814866e-09
2019-12-01 13:59:59.000000,9.9251784353054e-08,4.2987694037990026e-09,1.6988024197203935e-09,2.275725062983879e-09
2019-12-01 14:14:59.000000,9.760005044229047e-08,5.403431643919317e-09,1.7777103330311648e-09,2.358296184241443e-09
2019-12-01 14:29:59.000000,9.700871675816602e-08,5.7666833667479395e-09,2.1024861377202075e-09,2.6119935789279603e-09
2019-12-01 14:44:59.000000,9.220390224587938e-08,5.110222688263028e-09,1.9776306599394086e-09,2.464763892920077e-09
2019-12-01 14:59:59.000000,9.55383420598726e-08,4.689732774979273e-09,1.8242372959272316e-09,2.3399012574510868e-09
2019-12-01 15:14:59.000000,9.407517957560333e-08,5.977320548630317e-09,2.269674886348338e-09,2.7127533714512496e-09
2019-12-01 15:29:59.000000,9.109211848389833e-08,6.589244094679889e-09,2.5541949531078757e-09,2.962261500580938e-09
2019-12-01 15:44:59.000000,9.314991782477168e-08,4.967684090488408e-09,1.8680112531826424e-09,2.37293418925666e-09
2019-12-01 15:59:59.000000,9.575217285106045e-08,4.019027478336132e-09,1.5854438830165107e-09,2.187600889260415e-09
2019-12-01 16:14:59.000000,9.59526463745674e-08,4.442925092841826e-09,1.935258257611083e-09,2.480740331791584e-09
2019-12-01 16:29:59.000000,9.166221740604006e-08,4.5476829181264805e-09,2.1477883110005715e-09,2.671033617351405e-09
2019-12-01 16:44:59.000000,9.490381836844574e-08,4.141265533725601e-09,2.0672054615166584e-09,2.5512082476720315e-09
2019-12-01 16:59:59.000000,8.912273729726499e-08,4.0626752191100985e-09,1.8595280030820223e-09,2.3919498228598308e-09
2019-12-01 17:14:59.000000,8.952786102323947e-08,4.015545296070859e-09,1.4936469272408128e-09,2.1209262108667284e-09
2019-12-01 17:29:59.000000,8.32376481431115e-08,4.722756634065717e-09,1.5461322681431012e-09,2.174660111066259e-09
2019-12-01 17:44:59.000000,8.904260574984222e-08,5.070458420895091e-09,1.7411313348786534e-09,2.335786423376437e-09
