,0.1-1.0,2.0-4.0,4.0-14.0,4.0-8.0,8.0-14.0
2019-11-01 00:00:01.580,1.82310563496e-07,1.25586934806e-10,3.54884164977e-11,3.05655882723e-11,1.78891483554e-11
2019-11-01 00:15:01.580,1.88515372326e-07,1.2681634911e-10,3.10595451606e-11,2.77369112405e-11,1.38290503863e-11
2019-11-01 00:30:01.580,1.92142033902e-07,1.26913634917e-10,3.02354795343e-11,2.67942143803e-11,1.38453281548e-11
2019-11-01 00:45:01.580,1.87325566419e-07,1.22331745719e-10,3.10063763238e-11,2.7681493361e-11,1.37992136761e-11
2019-11-01 01:00:01.580,1.86858319314e-07,1.2496961477e-10,3.12165852501e-11,2.77117689397e-11,1.41934501772e-11
2019-11-01 01:15:01.580,1.80462792441e-07,1.30835958175e-10,3.43476254035e-11,3.01080868934e-11,1.63329226375e-11
2019-11-01 01:30:01.580,1.7642669878e-07,1.31343502907e-10,4.08196457583e-11,3.4731183612e-11,2.12401515047e-11
2019-11-01 01:45:01.580,1.8287731177e-07,1.34915750907e-10,4.67654779003e-11,3.80249497783e-11,2.70224240647e-11
2019-11-01 02:00:01.580,1.88853162342e-07,1.33712307966e-10,4.69074074165e-11,3.93914862663e-11,2.52423594594e-11
2019-11-01 02:15:01.580,1.93854759652e-07,1.36275423961e-10,4.27964739324e-11,3.6047628106e-11,2.28610202668e-11
2019-11-01 02:30:01.580,1.88094642108e-07,1.3632354918e-10,3.93029895915e-11,3.30629382373e-11,2.10401317685e-11
2019-11-01 02:45:01.580,1.84365416927e-07,1.32290958835e-10,3.68153193269e-11,3.16292214199e-11,1.86459427245e-11
2019-11-01 03:00:01.580,1.82270775908e-07,1.27924756003e-10,3.32740769194e-11,2.89014146975e-11,1.63010054998e-11
2019-11-01 03:15:01.580,1.84368449462e-07,1.27498018411e-10,3.44188165477e-11,2.80680154207e-11,1.97577112437e-11
2019-11-01 03:30:01.580,1.86570504298e-07,1.24684007352e-10,3.44895068152e-11,2.8493259737e-11,1.92846480743e-11
2019-11-01 03:45:01.580,1.91125822854e-07,1.23267296074e-10,3.04274671973e-11,2.65800494755e-11,1.45413909316e-11
2019-11-01 04:00:01.580,1.84091845107e-07,1.28423494636e-10,3.06388267079e-11,2.63358423416e-11,1.54007199016e-11
2019-11-01 04:15:01.580,1.78971683951e-07,1.27240940375e-10,3.12403318077e-11,2.68228882898e-11,1.58537769151e-11
2019-11-01 04:30:01.580,1.81273348206e-07,1.27755665804e-10,3.31414063149e-11,2.82183030499e-11,1.71653500003e-11
2019-11-01 04:45:01.580,1.90879145107e-07,1.2785399248e-10,3.45761801663e-11,2.92843573241e-11,1.81410059401e-11
2019-11-01 05:00:01.580,1.95282917799e-07,1.3313452872e-10,3.73404642329e-11,3.13115081068e-11,2.01564828469e-11
2019-11-01 05:15:01.580,2.06616100327e-07,1.5438884594e-10,5.62485779203e-11,5.03934778295e-11,2.47887651233e-11
2019-11-01 05:30:01.580,2.02695955997e-07,1.59517780119e-10,7.38591395303e-11,6.55244094635e-11,3.39069431952e-11
2019-11-01 05:45:01.580,1.86146577044e-07,1.64737160033e-10,9.25989655782e-11,7.25611643713e-11,5.72406328406e-11
2019-11-01 06:00:01.580,1.88741756786e-07,2.02949470788e-10,1.36277145407e-10,1.13102174693e-10,7.55465498031e-11
2019-11-01 06:15:01.580,1.91259742571e-07,2.83697051229e-10,1.558599595e-10,1.39388071345e-10,6.92280750772e-11
2019-11-01 06:30:01.580,1.86867081139e-07,3.31281012091e-10,1.67107747849e-10,1.40017511463e-10,9.062148001e-11
2019-11-01 06:45:01.580,1.88890331455e-07,3.33161690841e-10,1.56813599216e-10,1.37859166919e-10,7.42141143036e-11
2019-11-01 07:00:01.580,1.8845720435e-07,3.6334830175e-10,1.71372041799e-10,1.47151062669e-10,8.72401543839e-11
2019-11-01 07:15:01.580,1.92004766545e-07,3.72396946135e-10,1.64317243419e-10,1.44367757658e-10,7.79405995189e-11
2019-11-01 07:30:01.580,1.88783590031e-07,3.61964220797e-10,1.72861855979e-10,1.57502378803e-10,7.05076348031e-11
2019-11-01 07:45:01.580,1.85153622712e-07,3.67322207622e-10,1.84573388779e-10,1.67337731434e-10,7.72445978513e-11
2019-11-01 08:00:01.580,1.85359245595e-07,3.17371228734e-10,1.67337950136e-10,1.48255943705e-10,7.70725407851e-11
2019-11-01 08:15:01.580,1.90905897538e-07,2.98149486856e-10,1.7152876617e-10,1.43672608062e-10,9.31751317898e-11
2019-11-01 08:30:01.580,1.95917654999e-07,3.00874844582e-10,1.69195126944e-10,1.38812073435e-10,9.60835241288e-11
2019-11-01 08:45:01.580,1.8791275797e-07,2.93949710462e-10,2.09336965744e-10,1.87325580324e-10,9.28703741165e-11
2019-11-01 09:00:01.580,1.82150409938e-07,2.89916697976e-10,2.47341811875e-10,2.3584430309e-10,7.41449667004e-11
2019-11-01 09:15:01.580,1.84856499026e-07,2.99634280305e-10,2.61342471139e-10,2.53959938471e-10,6.11132803972e-11
2019-11-01 09:30:01.580,1.89536267579e-07,6.11789747443e-10,2.67797696096e-10,2.56726548298e-10,7.56434804884e-11
2019-11-01 09:45:01.580,1.8405195605e-07,8.01423283515e-10,1.95321520268e-10,1.77630005929e-10,8.06800847324e-11
2019-11-01 10:00:01.580,1.80746682639e-07,2.57779529212e-10,1.27540686982e-10,1.11130325925e-10,6.21529726139e-11
2019-11-01 10:15:01.580,1.81959068733e-07,2.8446731428e-10,1.78894314113e-10,1.57984393293e-10,8.31666364827e-11
2019-11-01 10:30:01.580,1.76880898068e-07,2.99070430555e-10,2.22139592802e-10,1.98831802901e-10,9.7730244241e-11
2019-11-01 10:45:01.580,1.74582508727e-07,3.06497809201e-10,2.40288685425e-10,2.23190628774e-10,8.77439308711e-11
2019-11-01 11:00:01.580,1.82206069097e-07,3.08975560382e-10,2.3480608683e-10,2.22969909972e-10,7.31532844313e-11
2019-11-01 11:15:01.580,1.85226607302e-07,3.00394227812e-10,2.32625671181e-10,2.2204278171e-10,6.89608558629e-11
2019-11-01 11:30:01.580,1.83442615858e-07,3.14238075575e-10,2.21816513181e-10,2.06620942789e-10,8.01601293422e-11
2019-11-01 11:45:01.580,1.78044269671e-07,3.60875670111e-10,2.69586453873e-10,2.49787112233e-10,1.00761658178e-10
2019-11-01 12:00:01.580,1.81176701958e-07,3.84864650502e-10,2.86207969953e-10,2.72255880767e-10,8.76353965379e-11
2019-11-01 12:15:01.580,1.8148959914e-07,3.82174166496e-10,2.92385283462e-10,2.75909989239e-10,9.60875439221e-11
2019-11-01 12:30:01.580,1.80541125886e-07,3.72783120514e-10,2.96464674421e-10,2.7231324078e-10,1.16251504577e-10
2019-11-01 12:45:01.580,1.77351957861e-07,3.22852376509e-10,2.12996305704e-10,1.84536800123e-10,1.05283048575e-10
2019-11-01 13:00:01.580,1.74319602444e-07,2.77339783786e-10,1.53251433825e-10,1.19840498865e-10,9.46712606488e-11
2019-11-01 13:15:01.580,1.72036374527e-07,2.88998447989e-10,1.81341745833e-10,1.60637564473e-10,8.37001645883e-11
2019-11-01 13:30:01.580,1.74941295557e-07,3.57486289092e-10,2.57511125867e-10,2.48147844766e-10,6.82700740438e-11
2019-11-01 13:45:01.580,1.75515222793e-07,3.8356988876e-10,2.69198929231e-10,2.59387598187e-10,7.1409373184e-11
2019-11-01 14:00:01.580,1.76913143533e-07,7.93444469038e-10,3.46112960773e-10,3.32415193357e-10,9.56797468237e-11
2019-11-01 14:15:01.580,1.79853476103e-07,3.03039730391e-09,6.48127153845e-10,5.89295661515e-10,2.61862745801e-10
2019-11-01 14:30:01.580,1.77811524041e-07,2.19445678233e-09,4.56649244903e-10,4.04632984089e-10,2.04969618178e-10
2019-11-01 14:45:01.580,1.78316779946e-07,3.76072555142e-10,2.83399057829e-10,2.69839118481e-10,8.59966492204e-11
2019-11-01 15:00:01.580,1.76700222939e-07,3.68573833895e-10,2.92591714734e-10,2.75221842585e-10,9.86734893459e-11
2019-11-01 15:15:01.580,1.77123785923e-07,3.60394976445e-10,2.74589506484e-10,2.66518016353e-10,6.53752467245e-11
2019-11-01 15:30:01.580,1.75882874808e-07,3.47978604153e-10,2.67965289884e-10,2.61149718015e-10,5.93154174055e-11
2019-11-01 15:45:01.580,1.78675187591e-07,2.69840680301e-10,2.19573101659e-10,2.06250126782e-10,7.46859989553e-11
2019-11-01 16:00:01.580,1.77497928138e-07,2.32176754644e-10,1.78805231676e-10,1.59562974967e-10,8.01174287297e-11
2019-11-01 16:15:01.580,1.79425383461e-07,2.21068288959e-10,1.14937895251e-10,9.29472477631e-11,6.71724317826e-11
2019-11-01 16:30:01.580,1.81237901627e-07,2.14399110261e-10,1.1041229702e-10,8.67694752761e-11,6.78234722348e-11
2019-11-01 16:45:01.580,1.87298923434e-07,2.0220431758e-10,9.54363732063e-11,7.54567256285e-11,5.80981129882e-11
2019-11-01 17:00:01.580,1.93634659735e-07,1.87412040437e-10,9.32768444418e-11,7.02987176434e-11,6.10142067172e-11
2019-11-01 17:15:01.580,1.86850268483e-07,1.79770903144e-10,8.33551294776e-11,6.27411057942e-11,5.46082363788e-11
2019-11-01 17:30:01.580,1.88203848556e-07,1.74972074616e-10,9.65436125853e-11,8.31780794693e-11,4.871717165e-11
2019-11-01 17:45:01.580,1.99645829204e-07,1.73314367144e-10,8.82370755355e-11,7.33914102024e-11,4.87391462901e-11
2019-11-01 18:00:01.580,1.94000475014e-07,1.64352178599e-10,7.22336620696e-11,5.54034161542e-11,4.61044826761e-11
2019-11-01 18:15:01.580,1.91596986182e-07,1.58478874502e-10,6.40844204313e-11,5.02681589526e-11,3.95332402648e-11
2019-11-01 18:30:01.580,1.97593816692e-07,1.60976256657e-10,6.07954975634e-11,4.76743981345e-11,3.75275487396e-11
2019-11-01 18:45:01.580,2.06088052938e-07,1.61438048732e-10,6.11103460391e-11,4.76403504307e-11,3.80431535632e-11
2019-11-01 19:00:01.580,2.11796420784e-07,1.59661055196e-10,6.05512508494e-11,4.76157430838e-11,3.71874476758e-11
