,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-11-18 10:12:03.670,3.2691095097e-07,2.70320055288e-08,1.62489382108e-08,1.69298349496e-08
2019-11-18 10:27:03.670,3.51820257075e-07,2.79996145264e-08,1.67758619064e-08,1.73844456486e-08
2019-11-18 10:42:03.670,3.52751640246e-07,2.66222262836e-08,1.62997503734e-08,1.69474177983e-08
2019-11-18 10:57:03.670,3.11031262991e-07,2.42424947458e-08,1.50721049721e-08,1.56712364135e-08
2019-11-18 11:12:03.670,3.12777745361e-07,2.52293347669e-08,1.57767449735e-08,1.63635206811e-08
2019-11-18 11:27:03.670,3.62852196854e-07,2.52694294044e-08,1.63134577598e-08,1.69019743441e-08
2019-11-18 11:42:03.670,3.69834837539e-07,2.51668463918e-08,1.59261182478e-08,1.6475590675e-08
2019-11-18 11:57:03.670,3.78139525301e-07,2.68008716146e-08,1.60966632711e-08,1.66744894215e-08
2019-11-18 12:12:03.670,3.72661350135e-07,2.74313187764e-08,1.68063508558e-08,1.72754252782e-08
2019-11-18 12:27:03.670,3.79114419265e-07,2.86036329847e-08,1.78313488047e-08,1.82518091326e-08
2019-11-18 12:42:03.670,3.86748145503e-07,2.72874476168e-08,1.68632699767e-08,1.73233751062e-08
2019-11-18 12:57:03.670,3.63222554598e-07,2.6479414489e-08,1.62015836467e-08,1.67388503631e-08
2019-11-18 13:12:03.670,3.89276204601e-07,2.6645938132e-08,1.63263151209e-08,1.68757011314e-08
2019-11-18 13:27:03.670,3.91513587298e-07,2.63588798192e-08,1.62876672128e-08,1.68135675641e-08
2019-11-18 13:42:03.670,3.9497746398e-07,2.61509579074e-08,1.62744513021e-08,1.68195640259e-08
2019-11-18 13:57:03.670,3.78794620438e-07,2.61531481908e-08,1.68488675888e-08,1.73745533706e-08
2019-11-18 14:12:03.670,3.72638227477e-07,2.72360951215e-08,1.73208189557e-08,1.79866166586e-08
2019-11-18 14:27:03.670,3.82790123064e-07,2.82681766455e-08,1.81570394517e-08,1.88781439904e-08
2019-11-18 14:42:03.670,3.78298797985e-07,2.66716001371e-08,1.72838499349e-08,1.78229608508e-08
2019-11-18 14:57:03.670,3.75515679607e-07,2.43039394945e-08,1.53576355832e-08,1.60157848347e-08
2019-11-18 15:12:03.670,3.91822611071e-07,2.40768973954e-08,1.53169666058e-08,1.59940059073e-08
2019-11-18 15:27:03.670,3.97234622294e-07,2.37747326584e-08,1.53780293617e-08,1.59664305389e-08
2019-11-18 15:42:03.670,4.15723935917e-07,2.33548612753e-08,1.51373771757e-08,1.57423381014e-08
2019-11-18 15:57:03.670,4.11244110935e-07,2.31903537639e-08,1.48744885458e-08,1.55080063364e-08
2019-11-18 16:12:03.670,4.07591166334e-07,2.3451125216e-08,1.49126460606e-08,1.54667658566e-08
2019-11-18 16:27:03.670,4.24033805599e-07,2.43048945964e-08,1.59921499049e-08,1.65474007492e-08
2019-11-18 16:42:03.670,4.42985987822e-07,2.43722277914e-08,1.62685193407e-08,1.68726465379e-08
2019-11-18 16:57:03.670,4.23525055024e-07,2.31369166209e-08,1.54407409675e-08,1.60134114797e-08
2019-11-18 17:12:03.670,4.40764740786e-07,2.1540284053e-08,1.37658622792e-08,1.43402724687e-08
2019-11-18 17:27:03.670,4.39580219845e-07,2.10122582038e-08,1.32401878047e-08,1.38463726025e-08
2019-11-18 17:42:03.670,4.39693717428e-07,2.08181600824e-08,1.29482430651e-08,1.35318758039e-08
2019-11-18 17:57:03.670,4.35049831479e-07,2.07591235195e-08,1.29966623782e-08,1.35913107162e-08
2019-11-18 18:12:03.670,4.41637345435e-07,2.05125295781e-08,1.30000737102e-08,1.36152716542e-08
2019-11-18 18:27:03.670,4.45929149947e-07,2.02764097813e-08,1.27745584598e-08,1.33607706082e-08
2019-11-18 18:42:03.670,4.5312768127e-07,2.09757870785e-08,1.28802803365e-08,1.34649006066e-08
2019-11-18 18:57:03.670,4.61209096811e-07,2.14256427841e-08,1.26013011043e-08,1.32211872427e-08
2019-11-18 19:12:03.670,4.51105121137e-07,2.16297473051e-08,1.2294656845e-08,1.2857765439e-08
2019-11-18 19:27:03.670,4.78193310321e-07,1.9454757719e-08,1.16271764564e-08,1.21716650076e-08
2019-11-18 19:42:03.670,4.73464647623e-07,1.76107498931e-08,1.11493693141e-08,1.17646053403e-08
2019-11-18 19:57:03.670,4.87729329386e-07,1.69426016617e-08,1.05347081828e-08,1.11088005814e-08
2019-11-18 20:12:03.670,4.99063256451e-07,2.39279885217e-08,1.01716842087e-08,1.07271678396e-08
2019-11-18 20:27:03.670,5.19398320185e-07,2.30158564287e-08,1.07867822577e-08,1.13441949564e-08
2019-11-18 20:42:03.670,4.97533894522e-07,1.80235449156e-08,1.10588309974e-08,1.16214848004e-08
2019-11-18 20:57:03.670,4.77958450236e-07,1.57549052759e-08,1.01697963013e-08,1.07216533645e-08
2019-11-18 21:12:03.670,4.93221158233e-07,2.20419456456e-08,1.05665107186e-08,1.11271515148e-08
2019-11-18 21:27:03.670,4.71498230827e-07,1.72794303323e-08,1.05066174887e-08,1.11353195682e-08
2019-11-18 21:42:03.670,4.7902357357e-07,1.53670128094e-08,1.00708913836e-08,1.0712956037e-08
2019-11-18 21:57:03.670,4.97145089886e-07,1.43358199271e-08,9.20241686854e-09,9.86258894844e-09
2019-11-18 22:12:03.670,4.81690504138e-07,1.3914360086e-08,9.2448746066e-09,9.90488662257e-09
2019-11-18 22:27:03.670,4.69282750974e-07,1.35642127697e-08,8.81816436704e-09,9.4543472912e-09
2019-11-18 22:42:03.670,4.6690249324e-07,1.30757527457e-08,8.0820370147e-09,8.69990032136e-09
2019-11-18 22:57:03.670,4.66090813693e-07,1.27137430508e-08,7.73669301892e-09,8.34101959239e-09
2019-11-18 23:12:03.670,4.82558920188e-07,1.24761093859e-08,7.52930721825e-09,8.09753473697e-09
2019-11-18 23:27:03.670,4.78547472671e-07,1.22009061747e-08,7.18269555556e-09,7.70695782904e-09
2019-11-18 23:42:03.670,4.80711270703e-07,1.10600609289e-08,6.24826743535e-09,6.7368857715e-09
2019-11-18 23:57:03.670,4.72274183194e-07,1.02510558664e-08,6.04525596874e-09,6.46320606703e-09
2019-11-19 00:14:59.000,4.71791406629e-07,8.03659348803e-09,4.18751754315e-09,4.72489869012e-09
2019-11-19 00:29:59.000,4.6448284089e-07,7.38806967573e-09,3.79801458517e-09,4.47847572797e-09
2019-11-19 00:44:59.000,4.82818360741e-07,7.38941842114e-09,3.88659124845e-09,4.47702174504e-09
2019-11-19 00:59:59.000,4.77596709387e-07,7.30939246017e-09,3.88400502785e-09,4.38318023003e-09
2019-11-19 01:14:59.000,4.76663418419e-07,7.38475999216e-09,3.93662385631e-09,4.41962626499e-09
2019-11-19 01:29:59.000,4.90715972269e-07,7.00893233881e-09,3.63381450135e-09,4.1523913651e-09
2019-11-19 01:44:59.000,4.88408202376e-07,7.13930455035e-09,3.70436548192e-09,4.18970348186e-09
2019-11-19 01:59:59.000,4.80074229374e-07,7.40501089973e-09,3.90249275227e-09,4.46136136529e-09
2019-11-19 02:14:59.000,4.99269872695e-07,7.03863123112e-09,3.64025557553e-09,4.17306425555e-09
2019-11-19 02:29:59.000,4.78279353239e-07,7.18979082121e-09,3.58682885059e-09,4.08915687901e-09
2019-11-19 02:44:59.000,4.77091639378e-07,7.49868759352e-09,3.60475011977e-09,4.13580927558e-09
2019-11-19 02:59:59.000,4.75476449638e-07,7.65531143751e-09,3.84186938168e-09,4.38467555734e-09
2019-11-19 03:14:59.000,4.37496114345e-07,8.23270835904e-09,4.16284518845e-09,4.75354810491e-09
2019-11-19 03:29:59.000,4.64431627066e-07,8.76515189079e-09,4.32274337337e-09,4.98954632748e-09
2019-11-19 03:44:59.000,4.72051880572e-07,1.02319080695e-08,5.81001660799e-09,6.34979585196e-09
