,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-11-20 20:20:17.359998,1.63412324578e-07,3.37106454144e-09,4.26603926758e-10,4.36076515509e-10
2019-11-20 20:35:17.359998,1.65221038903e-07,3.34559957642e-09,8.45307189119e-10,8.69805129417e-10
2019-11-20 20:50:17.359998,1.57205744453e-07,3.39440802212e-09,9.74890584984e-10,1.00311669892e-09
2019-11-20 21:05:17.359998,1.55332345645e-07,3.41077616354e-09,7.61770084064e-10,7.86466483182e-10
2019-11-20 21:20:17.359998,1.57609554752e-07,3.16968744543e-09,4.46155176958e-10,4.56105160387e-10
2019-11-20 21:35:17.359998,1.52204176897e-07,3.18732893456e-09,5.3143710605e-10,5.39954964765e-10
2019-11-20 21:50:17.359998,1.49405181052e-07,3.12762025571e-09,5.12638770511e-10,5.20764796779e-10
2019-11-20 22:05:17.359998,1.49986740108e-07,3.0987015225e-09,3.75330236058e-10,3.85812190585e-10
2019-11-20 22:20:17.359998,1.59048433958e-07,3.15025969118e-09,3.56140801303e-10,3.69197988656e-10
2019-11-20 22:35:17.359998,1.59347213146e-07,3.1293036798e-09,3.12770215162e-10,3.26291197883e-10
2019-11-20 22:50:17.359998,1.60236033017e-07,3.06037138169e-09,3.23504220161e-10,3.34961532168e-10
2019-11-20 23:05:17.359998,1.63856402277e-07,3.05110699304e-09,3.2841831185e-10,3.39658693228e-10
2019-11-20 23:20:17.359998,1.69821643952e-07,3.02551200142e-09,2.85593081307e-10,2.98397976136e-10
2019-11-20 23:35:17.359998,1.67973944281e-07,2.98485428581e-09,2.67290838967e-10,2.82669920509e-10
2019-11-20 23:50:17.359998,1.75436608285e-07,3.12369565547e-09,2.79597227938e-10,2.93997091486e-10
2019-11-21 00:14:59.000000,1.73153091436e-07,2.94446353872e-09,3.32378906239e-10,3.45653262289e-10
2019-11-21 00:29:59.000000,1.6474500976e-07,2.92975572349e-09,3.11911508642e-10,3.2667316384e-10
2019-11-21 00:44:59.000000,1.65317457181e-07,2.93348461663e-09,2.5242857662e-10,2.6656413141e-10
2019-11-21 00:59:59.000000,1.66426865574e-07,2.87777318583e-09,2.51627204516e-10,2.65549263416e-10
