,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:59.000000,2.28883192025e-07,2.21850526575e-09,3.44136141805e-10,3.50726424713e-10
2019-10-31 23:44:59.000000,2.18878980514e-07,2.21336634779e-09,4.07279869191e-10,4.12360618711e-10
2019-10-31 23:59:59.000000,2.23867608125e-07,2.11435424438e-09,2.71867584303e-10,2.75731443072e-10
2019-11-01 00:14:59.000000,2.32379486643e-07,2.13258358379e-09,3.96229006287e-10,4.03791480673e-10
2019-11-01 00:29:59.000000,2.31867362016e-07,2.20101451129e-09,3.84168528396e-10,3.91674419629e-10
2019-11-01 00:44:59.000000,2.26857389789e-07,2.22924284397e-09,1.55192837479e-10,1.58668185851e-10
2019-11-01 00:59:59.000000,2.32007656466e-07,2.23978080411e-09,1.44331263504e-10,1.4810540769e-10
2019-11-01 01:14:59.000000,2.32648342344e-07,2.25831675486e-09,1.40476026727e-10,1.44281133498e-10
2019-11-01 01:29:59.000000,2.29447718784e-07,2.10915404891e-09,1.3120674902e-10,1.34416718601e-10
2019-11-01 01:44:59.000000,2.37926670183e-07,2.1357379973e-09,1.37207248468e-10,1.40733521016e-10
2019-11-01 01:59:59.000000,2.45052655444e-07,2.27466253051e-09,1.60186178841e-10,1.63492258106e-10
2019-11-01 02:14:59.000000,2.41533394656e-07,2.26454197107e-09,1.49081086144e-10,1.52251158282e-10
2019-11-01 02:29:59.000000,2.4691260743e-07,2.26274574327e-09,1.54178162417e-10,1.58396630489e-10
2019-11-01 02:44:59.000000,2.34543501532e-07,2.16176809943e-09,2.32374056334e-10,2.37418148466e-10
2019-11-01 02:59:59.000000,2.35203948972e-07,2.09193963633e-09,1.80545242234e-10,1.85181104047e-10
2019-11-01 03:14:59.000000,2.44970791411e-07,2.16952422997e-09,1.29293575057e-10,1.32933416806e-10
2019-11-01 03:29:59.000000,2.47890714511e-07,2.15491021829e-09,1.27475204967e-10,1.31053286736e-10
2019-11-01 03:44:59.000000,2.50305037687e-07,2.19988612697e-09,1.61081549818e-10,1.67490285135e-10
2019-11-01 03:59:59.000000,2.3864892254e-07,2.22277936217e-09,1.94600776057e-10,1.99818015386e-10
2019-11-01 04:14:59.000000,2.50304517249e-07,2.21051122915e-09,1.92490471684e-10,1.96394412812e-10
2019-11-01 04:29:59.000000,2.50789591365e-07,2.36709448184e-09,1.40185126339e-10,1.43759756316e-10
2019-11-01 04:44:59.000000,2.40358703993e-07,2.42475190312e-09,1.83892901362e-10,1.87329982138e-10
