,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:59,2.40880964159e-07,5.16839947688e-09,1.71758539149e-09,1.74297763754e-09
2019-10-31 23:44:59,2.46651587309e-07,5.01167708634e-09,1.56287815244e-09,1.58187483287e-09
2019-10-31 23:59:59,2.49714329079e-07,5.11786190235e-09,1.84645921948e-09,1.88120056257e-09
2019-11-01 00:14:59,2.39689135676e-07,4.8323766366e-09,1.66193950664e-09,1.68477477371e-09
2019-11-01 00:29:59,2.42390720169e-07,4.32493454023e-09,1.3760499012e-09,1.39425696945e-09
2019-11-01 00:44:59,2.42986678665e-07,4.29753554623e-09,1.52001670891e-09,1.55556225633e-09
2019-11-01 00:59:59,2.37547239112e-07,4.43151169575e-09,1.55500073842e-09,1.59049753119e-09
2019-11-01 01:14:59,2.35663040466e-07,4.29649180388e-09,1.28719350999e-09,1.29840967597e-09
2019-11-01 01:29:59,2.39500629958e-07,4.45184318075e-09,1.2314105321e-09,1.2567620768e-09
2019-11-01 01:44:59,2.39874228857e-07,4.33830941733e-09,1.19826156915e-09,1.22075076972e-09
2019-11-01 01:59:59,2.31530102065e-07,4.26638920114e-09,1.09068024771e-09,1.10766937415e-09
2019-11-01 02:14:59,2.39087379277e-07,4.28771972988e-09,1.32285203479e-09,1.34621093775e-09
2019-11-01 02:29:59,2.39034267992e-07,4.7490150426e-09,2.17466250498e-09,2.23879715725e-09
2019-11-01 02:44:59,2.35937287361e-07,4.66285432793e-09,2.02626180408e-09,2.07679815687e-09
2019-11-01 02:59:59,2.26975195071e-07,4.38447994187e-09,1.32858203873e-09,1.35024175526e-09
2019-11-01 03:14:59,2.39967277863e-07,4.31289085859e-09,1.42410501616e-09,1.44432171232e-09
2019-11-01 03:29:59,2.48054950269e-07,4.42865235761e-09,1.41841486087e-09,1.43179719891e-09
2019-11-01 03:44:59,2.39224287303e-07,4.57270372378e-09,1.38217476121e-09,1.3940921734e-09
2019-11-01 03:59:59,2.31428330275e-07,4.62982682599e-09,1.39331809628e-09,1.40732679306e-09
2019-11-01 04:14:59,2.30534289954e-07,4.92349852979e-09,1.65638084288e-09,1.68679764772e-09
2019-11-01 04:29:59,2.35090641332e-07,5.36115194445e-09,2.20544846036e-09,2.26506519958e-09
2019-11-01 04:44:59,2.33414591866e-07,5.21255817003e-09,1.85348933959e-09,1.90553331127e-09
2019-11-01 04:59:59,2.35106732704e-07,5.46718842524e-09,1.85239121862e-09,1.88058917998e-09
2019-11-01 05:14:59,2.68781071844e-07,5.77822780706e-09,2.30354488864e-09,2.31778989154e-09
2019-11-01 05:29:59,2.78559906404e-07,5.74976118432e-09,2.73412382368e-09,2.7481054358e-09
2019-11-01 05:44:59,2.43760413641e-07,6.20310709654e-09,3.27755823321e-09,3.31703193483e-09
2019-11-01 05:59:59,2.33249080874e-07,8.02865568207e-09,5.62631698359e-09,5.67497989313e-09
2019-11-01 06:14:59,2.45730218043e-07,1.04063984834e-08,7.94604482674e-09,8.02926871252e-09
2019-11-01 06:29:59,2.57990393452e-07,1.19801072439e-08,9.53230216264e-09,9.6062370178e-09
2019-11-01 06:44:59,2.55820073343e-07,1.12776183501e-08,8.77857444142e-09,8.84795665849e-09
2019-11-01 06:59:59,2.614083997e-07,1.07885197307e-08,8.16794266616e-09,8.23698700294e-09
2019-11-01 07:14:59,2.48784478573e-07,1.06161571323e-08,7.79811589409e-09,7.87607680684e-09
2019-11-01 07:29:59,2.55917931311e-07,1.005783e-08,7.00724728879e-09,7.0813522379e-09
2019-11-01 07:44:59,2.54389998424e-07,1.01246505309e-08,6.92961444666e-09,7.00100323218e-09
2019-11-01 07:59:59,2.41141108219e-07,1.05142127733e-08,7.24317030468e-09,7.31438814269e-09
2019-11-01 08:14:59,2.44015823092e-07,1.00693336308e-08,6.44175531292e-09,6.51855444399e-09
2019-11-01 08:29:59,2.4973837521e-07,1.00149448338e-08,6.09662857073e-09,6.18174368959e-09
2019-11-01 08:44:59,2.49375323265e-07,1.06570528121e-08,6.7000360494e-09,6.80258289243e-09
2019-11-01 08:59:59,2.6696010801e-07,1.14913514378e-08,7.70483633726e-09,7.8259391591e-09
2019-11-01 09:14:59,2.62770766705e-07,1.19169966895e-08,8.21367750116e-09,8.28399391374e-09
2019-11-01 09:29:59,2.62890540487e-07,1.13824204236e-08,7.16404975244e-09,7.30463375485e-09
2019-11-01 09:44:59,2.75522243238e-07,1.10590062748e-08,6.64602864058e-09,6.81992879282e-09
2019-11-01 09:59:59,2.87095039345e-07,1.05580173896e-08,5.8568680977e-09,5.99910868213e-09
2019-11-01 10:14:59,2.82252042577e-07,1.27880404303e-08,9.26206599841e-09,9.52482031518e-09
2019-11-01 10:29:59,2.85862267961e-07,1.36802042587e-08,1.05167926461e-08,1.07131467473e-08
2019-11-01 10:44:59,3.01043414744e-07,1.12381785927e-08,7.19040244109e-09,7.30958105018e-09
2019-11-01 10:59:59,3.11241805689e-07,1.13584930297e-08,7.49127047003e-09,7.63575744941e-09
2019-11-01 11:14:59,3.0648377867e-07,1.20877063019e-08,8.34265314161e-09,8.48161227892e-09
2019-11-01 11:29:59,3.18559972234e-07,1.08586515149e-08,7.02571010437e-09,7.12495270824e-09
2019-11-01 11:44:59,3.09058274925e-07,1.0675966193e-08,6.89369611809e-09,7.07901685972e-09
2019-11-01 11:59:59,3.07754774094e-07,1.14538589713e-08,7.95415555101e-09,8.15129821704e-09
2019-11-01 12:14:59,3.10572190933e-07,1.06515101051e-08,7.09372664827e-09,7.19335840811e-09
2019-11-01 12:29:59,3.00382944056e-07,1.12004160802e-08,7.95236126377e-09,8.13975887472e-09
2019-11-01 12:44:59,3.05171256661e-07,1.09112708191e-08,7.46073902253e-09,7.59140331537e-09
2019-11-01 12:59:59,2.91263627161e-07,9.62270337117e-09,5.60445670371e-09,5.72864209209e-09
2019-11-01 13:14:59,2.99325494798e-07,1.04523753088e-08,7.22424486105e-09,7.44616734797e-09
2019-11-01 13:29:59,2.93322953732e-07,1.18725333242e-08,8.94984346578e-09,9.16587818277e-09
2019-11-01 13:44:59,2.66195167538e-07,1.14397032129e-08,8.17688288243e-09,8.37562463087e-09
2019-11-01 13:59:59,2.68903539967e-07,1.0464878267e-08,7.10162699836e-09,7.24189341401e-09
2019-11-01 14:14:59,2.73391934674e-07,1.09732530439e-08,7.89684111004e-09,8.01937327942e-09
2019-11-01 14:29:59,2.58197296223e-07,1.01390651287e-08,6.65967769667e-09,6.74991203686e-09
2019-11-01 14:44:59,2.47125144168e-07,1.04611054313e-08,6.9034279335e-09,6.95900399493e-09
2019-11-01 14:59:59,2.50654488416e-07,1.06894838521e-08,7.55039975057e-09,7.62199546339e-09
2019-11-01 15:14:59,2.51582269672e-07,1.04161729446e-08,7.18474400426e-09,7.26642521541e-09
2019-11-01 15:29:59,2.41008816132e-07,1.10016020667e-08,8.05310972669e-09,8.12898271693e-09
2019-11-01 15:44:59,2.38251925714e-07,1.19011139767e-08,9.28158353311e-09,9.33873681982e-09
2019-11-01 15:59:59,2.42595392447e-07,1.03195560685e-08,7.73437285475e-09,7.7801567725e-09
2019-11-01 16:14:59,2.46146379879e-07,9.51520392104e-09,7.02452740154e-09,7.07367552354e-09
2019-11-01 16:29:59,2.50815867706e-07,8.83698364323e-09,6.37762692448e-09,6.43700078681e-09
2019-11-01 16:44:59,2.55708236907e-07,8.87124314733e-09,6.64078590107e-09,6.71818514217e-09
2019-11-01 16:59:59,2.45717640206e-07,8.36932257155e-09,6.09373222609e-09,6.20812487787e-09
2019-11-01 17:14:59,2.45089893651e-07,8.20463616396e-09,5.93829181731e-09,6.10710537773e-09
2019-11-01 17:29:59,2.51646917302e-07,7.58938000677e-09,5.32436312878e-09,5.45046621163e-09
2019-11-01 17:44:59,2.48724478798e-07,6.92072418048e-09,4.45728211677e-09,4.54273786973e-09
2019-11-01 17:59:59,2.49373855905e-07,7.43871058635e-09,4.98629612298e-09,5.05166949788e-09
2019-11-01 18:14:59,2.48531120522e-07,7.42583319981e-09,4.82869196892e-09,4.89092608963e-09
2019-11-01 18:29:59,2.55292880878e-07,7.80320109958e-09,5.08722320955e-09,5.28102810319e-09
2019-11-01 18:44:59,2.54057117642e-07,6.91937769767e-09,3.98327825819e-09,4.04622434369e-09
2019-11-01 18:59:59,2.54743670411e-07,6.83783725964e-09,3.71105587748e-09,3.76619127015e-09
2019-11-01 19:14:59,2.63990861586e-07,6.64642615596e-09,3.45143507481e-09,3.52287068112e-09
2019-11-01 19:29:59,2.6889011523e-07,6.27455390074e-09,3.19917434052e-09,3.27661766206e-09
2019-11-01 19:44:59,2.71169825374e-07,6.25153616808e-09,3.1222269455e-09,3.1972060663e-09
2019-11-01 19:59:59,2.91514383377e-07,6.22024304909e-09,3.25538413136e-09,3.33095444417e-09
