,disp4-14
2019-10-31 23:00:00,7.07317167642e-10
2019-11-01 00:00:00,5.49460397269e-10
2019-11-01 01:00:00,5.48076290347e-10
2019-11-01 02:00:00,5.76433586449e-10
2019-11-01 03:00:00,5.45975633604e-10
2019-11-01 04:00:00,6.69868531034e-10
2019-11-01 05:00:00,8.14787854117e-10
2019-11-01 06:00:00,1.21546381595e-09
2019-11-01 07:00:00,2.26099414796e-09
2019-11-01 08:00:00,2.45480887152e-09
2019-11-01 09:00:00,2.29335986321e-09
2019-11-01 10:00:00,2.33902742483e-09
2019-11-01 11:00:00,2.36938470822e-09
2019-11-01 12:00:00,2.01643449106e-09
2019-11-01 13:00:00,2.00332088449e-09
2019-11-01 14:00:00,2.00475738473e-09
2019-11-01 15:00:00,1.61376237199e-09
2019-11-01 16:00:00,1.38567551735e-09
2019-11-01 17:00:00,1.22990471741e-09
2019-11-01 18:00:00,1.13893587154e-09
2019-11-01 19:00:00,9.60742527174e-10
2019-11-01 20:00:00,9.024025171e-10
2019-11-01 21:00:00,8.88119236624e-10
2019-11-01 22:00:00,8.39591070556e-10
2019-11-01 23:00:00,7.0957851165e-10
2019-11-02 00:00:00,6.20106718802e-10
2019-11-02 01:00:00,5.30327032585e-10
2019-11-02 02:00:00,5.10516715452e-10
2019-11-02 03:00:00,5.02174427993e-10
2019-11-02 04:00:00,5.23386674126e-10
2019-11-02 05:00:00,6.03134045851e-10
2019-11-02 06:00:00,8.91042205585e-10
2019-11-02 07:00:00,1.26795971697e-09
2019-11-02 08:00:00,1.32642711935e-09
2019-11-02 09:00:00,1.2684189062e-09
2019-11-02 10:00:00,1.32531041297e-09
2019-11-02 11:00:00,1.24125106491e-09
2019-11-02 12:00:00,1.17329179925e-09
2019-11-02 13:00:00,1.20563814002e-09
2019-11-02 14:00:00,1.09226347803e-09
2019-11-02 15:00:00,1.08262011578e-09
2019-11-02 16:00:00,1.05007855168e-09
2019-11-02 17:00:00,9.23088754539e-10
2019-11-02 18:00:00,8.93536383272e-10
2019-11-02 19:00:00,9.21728256845e-10
2019-11-02 20:00:00,8.74685640097e-10
2019-11-02 21:00:00,7.86426469583e-10
2019-11-02 22:00:00,8.02620704656e-10
2019-11-02 23:00:00,7.1432212405e-10
2019-11-03 00:00:00,5.67786678536e-10
2019-11-03 01:00:00,4.82338736577e-10
2019-11-03 02:00:00,4.55782285467e-10
2019-11-03 03:00:00,4.78595630982e-10
2019-11-03 04:00:00,4.22581289758e-10
2019-11-03 05:00:00,4.35291354312e-10
2019-11-03 06:00:00,5.48172276845e-10
2019-11-03 07:00:00,9.2291932475e-10
2019-11-03 08:00:00,9.10357057578e-10
2019-11-03 09:00:00,9.57858396406e-10
2019-11-03 10:00:00,1.00435388332e-09
2019-11-03 11:00:00,1.0016179675e-09
2019-11-03 12:00:00,9.77701347788e-10
2019-11-03 13:00:00,1.04906601968e-09
2019-11-03 14:00:00,9.64068032581e-10
2019-11-03 15:00:00,9.45426494001e-10
2019-11-03 16:00:00,9.15189884093e-10
2019-11-03 17:00:00,9.37254428693e-10
2019-11-03 18:00:00,8.94662210561e-10
2019-11-03 19:00:00,8.45314598869e-10
2019-11-03 20:00:00,7.6515661643e-10
2019-11-03 21:00:00,7.42020974404e-10
2019-11-03 22:00:00,7.13985173575e-10
2019-11-03 23:00:00,6.24769003701e-10
2019-11-04 00:00:00,5.06678905455e-10
2019-11-04 01:00:00,4.4485821142e-10
2019-11-04 02:00:00,4.33139348842e-10
2019-11-04 03:00:00,4.56546124074e-10
2019-11-04 04:00:00,5.39097384793e-10
2019-11-04 05:00:00,8.17047160933e-10
2019-11-04 06:00:00,1.32616896644e-09
2019-11-04 07:00:00,1.81711522181e-09
2019-11-04 08:00:00,2.17339516538e-09
2019-11-04 09:00:00,2.22102816576e-09
2019-11-04 10:00:00,2.16980761849e-09
2019-11-04 11:00:00,2.41951392311e-09
2019-11-04 12:00:00,2.23971297927e-09
2019-11-04 13:00:00,2.21462141481e-09
2019-11-04 14:00:00,2.3729806813e-09
2019-11-04 15:00:00,2.27935035474e-09
2019-11-04 16:00:00,1.71092300206e-09
2019-11-04 17:00:00,1.32865584644e-09
2019-11-04 18:00:00,1.11467300274e-09
2019-11-04 19:00:00,9.82102474534e-10
2019-11-04 20:00:00,9.02821341303e-10
2019-11-04 21:00:00,8.84563111542e-10
2019-11-04 22:00:00,7.91573020036e-10
2019-11-04 23:00:00,7.02015608536e-10
2019-11-05 00:00:00,5.80420928783e-10
2019-11-05 01:00:00,6.94627203215e-10
2019-11-05 02:00:00,7.40782360119e-10
2019-11-05 03:00:00,5.23315260986e-10
