,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:59,9.76241916239e-08,3.01148711895e-09,1.23883889739e-09,1.27579601609e-09
2019-10-31 23:44:59,9.47080819642e-08,3.08056618654e-09,1.17076689762e-09,1.20431844627e-09
2019-10-31 23:59:59,9.38570296079e-08,2.93763535615e-09,1.16636498602e-09,1.19725971649e-09
2019-11-01 00:14:59,9.50093582993e-08,2.77081650861e-09,1.1383577973e-09,1.17193282613e-09
2019-11-01 00:29:59,9.61197617404e-08,2.70411424368e-09,1.03261518406e-09,1.05566609591e-09
2019-11-01 00:44:59,9.61129625039e-08,2.51092427285e-09,8.40146379007e-10,8.56698760278e-10
2019-11-01 00:59:59,9.42321577832e-08,2.36490822322e-09,7.88727560365e-10,8.06091929549e-10
2019-11-01 01:14:59,9.84045934384e-08,2.60005555958e-09,9.84846419076e-10,1.00344251994e-09
2019-11-01 01:29:59,9.8227384191e-08,2.41447039952e-09,1.01803200356e-09,1.03371767683e-09
2019-11-01 01:44:59,9.39754540863e-08,2.63604717731e-09,1.02459618348e-09,1.03961366743e-09
2019-11-01 01:59:59,9.33832849786e-08,2.65179474332e-09,8.88192377314e-10,9.02950652948e-10
2019-11-01 02:14:59,9.58115368355e-08,2.55694115383e-09,8.12199608521e-10,8.27369928499e-10
2019-11-01 02:29:59,9.90627587458e-08,2.89797972988e-09,1.02573678215e-09,1.03590160937e-09
2019-11-01 02:44:59,1.05474702711e-07,2.98546348691e-09,1.03526905643e-09,1.05757349748e-09
2019-11-01 02:59:59,1.04002322171e-07,2.77288324603e-09,9.31252117932e-10,9.57095688848e-10
2019-11-01 03:14:59,9.81268896464e-08,2.42268994414e-09,8.50163382829e-10,8.63297616882e-10
2019-11-01 03:29:59,9.9136261775e-08,2.2764741543e-09,9.35951875353e-10,9.49608988795e-10
2019-11-01 03:44:59,1.02805885045e-07,2.39266128098e-09,9.59691230211e-10,9.72559424662e-10
2019-11-01 03:59:59,1.00735505428e-07,2.84136559678e-09,1.05753435629e-09,1.06964861981e-09
2019-11-01 04:14:59,1.09786926825e-07,3.04549684517e-09,1.31500547629e-09,1.33136586377e-09
2019-11-01 04:29:59,1.06104703363e-07,3.50006269361e-09,1.76206556746e-09,1.78331733069e-09
