,0.1-1.0,1.0-9.0,4.0-9.0
2019-10-31 23:29:59.019538,7.80646497828e-08,8.89636174076e-07,3.54657801285e-07
2019-10-31 23:44:59.019538,7.67359393222e-08,6.99859431997e-07,3.18020821178e-07
2019-10-31 23:59:59.019538,7.86871889404e-08,7.98872717713e-07,3.61599754338e-07
2019-11-01 00:14:59.019538,7.98601470359e-08,8.33859196464e-07,3.44333991871e-07
2019-11-01 00:29:59.019538,7.88287993134e-08,8.20142107749e-07,4.1092662885e-07
2019-11-01 00:44:59.019538,7.69291817823e-08,9.15806761725e-07,5.03753562457e-07
2019-11-01 00:59:59.019538,7.87750509478e-08,9.68255408158e-07,4.46683638696e-07
2019-11-01 01:14:59.019538,7.97380882635e-08,1.107216278e-06,4.28348779944e-07
2019-11-01 01:29:59.019538,8.03984354532e-08,1.2887253444e-06,4.84237417257e-07
2019-11-01 01:44:59.019538,8.21262264492e-08,1.33985269725e-06,5.41008535947e-07
2019-11-01 01:59:59.019538,8.08556347765e-08,1.12347206614e-06,4.80505741677e-07
2019-11-01 02:14:59.019538,1.20360691786e-07,7.52500415083e-07,3.55235633315e-07
2019-11-01 02:29:59.019538,1.51008297006e-07,8.56242229884e-07,4.92057245853e-07
2019-11-01 02:44:59.019538,9.45895347441e-08,8.23725037007e-07,4.66678527274e-07
2019-11-01 02:59:59.019538,8.0111799078e-08,1.07429703804e-06,5.14463141685e-07
2019-11-01 03:14:59.019538,7.90208367732e-08,1.07850600409e-06,4.86753792843e-07
2019-11-01 03:29:59.019538,7.78965145921e-08,1.25898112761e-06,6.46488083268e-07
2019-11-01 03:44:59.019538,7.81416951843e-08,1.25159824807e-06,6.38233901857e-07
2019-11-01 03:59:59.019538,7.81021323621e-08,1.22410997133e-06,6.12105010457e-07
2019-11-01 04:14:59.019538,7.88230022001e-08,9.53376340733e-07,5.24508356798e-07
2019-11-01 04:29:59.019538,8.04410246813e-08,9.76911947979e-07,4.8382570358e-07
2019-11-01 04:44:59.019538,7.87436715819e-08,8.96670171802e-07,5.29133550998e-07
2019-11-01 04:59:59.019538,7.40770376523e-08,7.45175058709e-07,4.44959295424e-07
2019-11-01 05:14:59.019538,7.48836708084e-08,9.74726440827e-07,5.78392201801e-07
2019-11-01 05:29:59.019538,7.87513307125e-08,8.50355600362e-07,5.2780755732e-07
2019-11-01 05:44:59.019538,7.82170580563e-08,1.10590357895e-06,5.84698614514e-07
2019-11-01 05:59:59.019538,8.50672170356e-08,1.23452454255e-06,5.66797795204e-07
2019-11-01 06:14:59.019538,7.8547555198e-08,1.20290902574e-06,5.91772465252e-07
