,0.1-1.0,1.0-9.0,4.0-9.0
2019-10-31 23:29:59.019539,9.80361053416e-08,1.44130218694e-08,9.4673294603e-09
2019-10-31 23:44:59.019539,1.03703920751e-07,1.91608471871e-08,1.51665306384e-08
2019-10-31 23:59:59.019539,1.08626114237e-07,2.10137650953e-08,1.71074544221e-08
2019-11-01 00:14:59.019539,1.00482682943e-07,2.10983191993e-08,1.65169994936e-08
2019-11-01 00:29:59.019539,1.03994144445e-07,2.07790369176e-08,1.63750738974e-08
2019-11-01 00:44:59.019539,1.04758681206e-07,1.9759585193e-08,1.54298683333e-08
2019-11-01 00:59:59.019539,1.04228880242e-07,1.88434053427e-08,1.45356165549e-08
2019-11-01 01:14:59.019539,1.0442326015e-07,2.23451761648e-08,1.41251563319e-08
2019-11-01 01:29:59.019539,1.10782381089e-07,2.26793984065e-08,1.37192257108e-08
2019-11-01 01:44:59.019539,1.04598076455e-07,1.81645756496e-08,1.25232413956e-08
2019-11-01 01:59:59.019539,1.05880796092e-07,1.70772458981e-08,1.22142696535e-08
2019-11-01 02:14:59.019539,4.78229503411e-07,5.64068952015e-08,1.16674523652e-08
2019-11-01 02:29:59.019539,5.80451247561e-07,5.52149881769e-08,6.7199677524e-09
2019-11-01 02:44:59.019539,2.0082291538e-07,1.55756307831e-08,4.51037401225e-09
2019-11-01 02:59:59.019539,1.20881247966e-07,1.07217911436e-08,3.938467161e-09
2019-11-01 03:14:59.019539,1.1057320428e-07,1.08797527238e-08,4.25167533667e-09
2019-11-01 03:29:59.019539,1.07743126497e-07,1.14946613596e-08,4.86435732011e-09
2019-11-01 03:44:59.019539,1.02821629125e-07,1.0652678456e-08,4.25158056474e-09
2019-11-01 03:59:59.019539,1.03922601588e-07,1.07823850006e-08,4.01996313236e-09
2019-11-01 04:14:59.019539,1.05794547736e-07,1.25042994367e-08,6.72547407492e-09
2019-11-01 04:29:59.019539,1.04370438001e-07,1.63662770255e-08,1.06253522469e-08
2019-11-01 04:44:59.019539,1.0875508348e-07,1.89848385612e-08,1.39316896785e-08
2019-11-01 04:59:59.019539,1.03944751319e-07,2.10272487005e-08,1.73094239205e-08
2019-11-01 05:14:59.019539,1.04695139917e-07,2.06657946477e-08,1.69097925088e-08
2019-11-01 05:29:59.019539,1.02787771871e-07,2.30582973738e-08,1.92787678707e-08
2019-11-01 05:44:59.019539,1.08571159648e-07,2.27192150493e-08,1.73688802609e-08
2019-11-01 05:59:59.019539,1.2514573254e-07,2.04299851035e-08,1.1718036002e-08
2019-11-01 06:14:59.019539,1.09539268683e-07,2.06120892997e-08,1.48301410094e-08
2019-11-01 06:29:59.019539,1.06234979087e-07,2.17928277224e-08,1.55295480592e-08
2019-11-01 06:44:59.019539,1.14811159954e-07,2.2611304602e-08,1.65014576131e-08
2019-11-01 06:59:59.019539,1.0948719968e-07,1.99523945751e-08,1.27068644799e-08
2019-11-01 07:14:59.019539,1.0001211888e-07,1.94100845311e-08,1.19760588176e-08
2019-11-01 07:29:59.019539,1.05898434855e-07,2.1106342031e-08,1.45195848594e-08
2019-11-01 07:44:59.019539,1.02547206522e-07,1.74744760785e-08,9.07469282661e-09
2019-11-01 07:59:59.019539,1.01984803771e-07,1.60534579053e-08,4.72792254641e-09
2019-11-01 08:14:59.019539,1.01512550844e-07,1.86148150378e-08,8.91202806668e-09
2019-11-01 08:29:59.019539,1.03931833036e-07,1.91345124993e-08,8.64930334545e-09
2019-11-01 08:44:59.019539,1.09866238334e-07,1.88451577106e-08,8.38711117835e-09
2019-11-01 08:59:59.019539,1.03860078895e-07,2.08121919754e-08,1.19298025577e-08
2019-11-01 09:14:59.019539,9.9468588738e-08,2.24180789321e-08,1.51143159818e-08
2019-11-01 09:29:59.019539,1.04738890887e-07,1.76032199734e-08,9.88780299652e-09
2019-11-01 09:44:59.019539,1.03393371651e-07,1.66381580031e-08,8.42704398383e-09
2019-11-01 09:59:59.019539,1.09439709522e-07,1.94871781329e-08,1.12949113085e-08
2019-11-01 10:14:59.019539,1.04296076322e-07,2.26734191427e-08,1.67069362734e-08
2019-11-01 10:29:59.019539,1.04751998585e-07,3.51890327753e-08,2.69135626016e-08
2019-11-01 10:44:59.019539,1.07024500496e-07,3.78362737119e-08,2.84708179565e-08
2019-11-01 10:59:59.019539,1.07722022708e-07,2.10353447047e-08,1.71529552727e-08
2019-11-01 11:14:59.019539,1.04329434871e-07,1.64968182679e-08,1.1767124284e-08
2019-11-01 11:29:59.019539,1.06383809907e-07,1.35575103369e-08,7.60020564731e-09
2019-11-01 11:44:59.019539,1.09806957672e-07,2.26546644017e-08,1.10723465197e-08
2019-11-01 11:59:59.019539,1.07581445351e-07,2.25510839537e-08,1.14571662655e-08
2019-11-01 12:14:59.019539,1.04617607188e-07,1.54212265322e-08,1.04464298523e-08
2019-11-01 12:29:59.019539,1.07395096552e-07,1.48786395875e-08,1.0070200749e-08
2019-11-01 12:44:59.019539,1.0484019866e-07,1.00689122358e-08,2.63561159013e-09
2019-11-01 12:59:59.019539,9.81918582418e-08,1.00660740854e-08,2.10871387729e-09
2019-11-01 13:14:59.019539,1.03898167112e-07,1.05116641098e-08,2.21528268657e-09
2019-11-01 13:29:59.019539,1.34601910828e-07,1.07351376991e-07,3.90103439142e-08
2019-11-01 13:44:59.019539,1.45466713082e-07,1.14526786235e-07,3.82311816368e-08
2019-11-01 13:59:59.019539,1.00989044012e-07,1.15178253906e-08,2.11139155879e-09
2019-11-01 14:14:59.019539,9.93745840081e-08,1.24733461488e-08,2.92196789094e-09
2019-11-01 14:29:59.019539,9.95672548137e-08,1.31191322179e-08,2.06329838156e-09
2019-11-01 14:44:59.019539,1.05890009824e-07,2.02425069102e-08,1.04289065776e-08
2019-11-01 14:59:59.019539,1.08307525585e-07,1.57244566013e-08,2.03457493202e-09
2019-11-01 15:14:59.019539,1.04458003355e-07,1.60839439683e-08,3.06779320798e-09
2019-11-01 15:29:59.019539,9.99451041448e-08,1.64231915024e-08,3.66226325476e-09
2019-11-01 15:44:59.019539,1.01216967413e-07,1.91811469394e-08,9.54715349164e-09
2019-11-01 15:59:59.019539,1.05261568453e-07,1.45909694589e-08,1.90428201808e-09
2019-11-01 16:14:59.019539,7.55575519673e-07,6.98786956302e-07,1.53426867135e-07
2019-11-01 16:29:59.019539,7.01551671329e-07,6.07451770213e-07,1.34467077988e-07
