Date,0.1-1.0,1.0-9.0,4.0-9.0
2019-10-31 23:29:59.019538,1.10226183629e-07,2.53258773578e-07,2.38197051589e-07
2019-10-31 23:44:59.019538,1.02250468807e-07,2.64680653522e-07,2.47905780686e-07
2019-10-31 23:59:59.019538,1.03582363662e-07,2.83857465513e-07,2.60087654097e-07
2019-11-01 00:14:59.019538,1.09224372345e-07,2.78126670662e-07,2.3710882337e-07
2019-11-01 00:29:59.019538,1.09254011882e-07,2.57370673192e-07,2.04374984028e-07
2019-11-01 00:44:59.019538,1.02542692041e-07,2.56177265811e-07,2.0904733035e-07
2019-11-01 00:59:59.019538,1.06534289399e-07,2.78752142489e-07,2.32984353865e-07
2019-11-01 01:14:59.019538,1.1047162808e-07,2.95551648973e-07,2.44145264304e-07
2019-11-01 01:29:59.019538,1.08021594674e-07,2.98131794605e-07,2.58201627101e-07
2019-11-01 01:44:59.019538,1.03235179303e-07,2.73480257542e-07,2.44810414918e-07
2019-11-01 01:59:59.019538,9.97709086095e-08,2.59321435803e-07,2.25754385615e-07
2019-11-01 02:14:59.019538,2.05068102441e-07,2.80892506153e-07,2.3663949132e-07
2019-11-01 02:29:59.019538,2.30398515229e-07,3.03629105034e-07,2.49135389233e-07
2019-11-01 02:44:59.019538,1.14794707291e-07,3.23673979617e-07,2.78150027544e-07
2019-11-01 02:59:59.019538,1.04667961919e-07,2.93383223638e-07,2.51569042926e-07
2019-11-01 03:14:59.019538,1.07124061831e-07,2.8825017363e-07,2.32937876609e-07
2019-11-01 03:29:59.019538,1.05494684503e-07,2.83971977916e-07,2.40845483643e-07
2019-11-01 03:44:59.019538,1.01031949966e-07,3.19693217413e-07,2.83477721534e-07
2019-11-01 03:59:59.019538,1.00201895376e-07,3.18197805646e-07,2.83588423944e-07
2019-11-01 04:14:59.019538,1.04502865796e-07,3.37410112521e-07,3.07214783703e-07
2019-11-01 04:29:59.019538,1.06040983531e-07,3.16595198921e-07,2.80721246788e-07
2019-11-01 04:44:59.019538,1.00772255391e-07,2.93766161246e-07,2.43020434495e-07
2019-11-01 04:59:59.019538,1.02229491239e-07,7.75438254691e-07,7.50324886219e-07
2019-11-01 05:14:59.019538,1.04963224844e-07,9.36076093351e-07,9.12734660014e-07
