,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:58.998393,5.35026204645e-08,1.02057916342e-09,1.21095649064e-10,1.2237971238e-10
2019-10-31 23:44:58.998393,5.61961692166e-08,1.03932091643e-09,1.52201645801e-10,1.61450873939e-10
2019-10-31 23:59:58.998393,5.53190045933e-08,1.05626708065e-09,1.44564168702e-10,1.53670770983e-10
2019-11-01 00:14:58.998393,5.34674352985e-08,1.12799218529e-09,1.1771411319e-10,1.1891013792e-10
2019-11-01 00:29:58.998393,5.6055190561e-08,1.14407527469e-09,1.05454604726e-10,1.06266089323e-10
2019-11-01 00:44:58.998393,5.2450517838e-08,1.1342139913e-09,1.09858766036e-10,1.10651313474e-10
2019-11-01 00:59:58.998393,5.24408620617e-08,1.14802382972e-09,1.24461922907e-10,1.25878884094e-10
2019-11-01 01:14:58.998393,5.37779392833e-08,1.14715328222e-09,1.28151237112e-10,1.29444376467e-10
2019-11-01 01:29:58.998393,5.26680872304e-08,1.12870126485e-09,1.26661581743e-10,1.27448756601e-10
2019-11-01 01:44:58.998393,5.36198549458e-08,1.15764050068e-09,1.30153128596e-10,1.30917814512e-10
2019-11-01 01:59:58.998393,5.53321116556e-08,1.16490792507e-09,1.28965389552e-10,1.29940334497e-10
2019-11-01 02:14:58.998393,5.41832985392e-08,1.14842768166e-09,1.28693303775e-10,1.29749456013e-10
2019-11-01 02:29:58.998393,6.31766986492e-08,1.37868609859e-09,1.24709785065e-10,1.25773646691e-10
2019-11-01 02:44:58.998393,6.31129495329e-08,1.30385521751e-09,1.11320360504e-10,1.1190532325e-10
2019-11-01 02:59:58.998393,5.45868053424e-08,1.23171709025e-09,1.24404086487e-10,1.2513961346e-10
2019-11-01 03:14:58.998393,5.28512463404e-08,1.25346488174e-09,1.45891991345e-10,1.46815405137e-10
2019-11-01 03:29:58.998393,5.01788461984e-08,1.29825051445e-09,1.67585221392e-10,1.68972525655e-10
2019-11-01 03:44:58.998393,5.18359285805e-08,1.33194568297e-09,1.83905454524e-10,1.87064938607e-10
2019-11-01 03:59:58.998393,5.46434454657e-08,1.351368702e-09,2.06621623976e-10,2.07994144827e-10
2019-11-01 04:14:58.998393,5.53625665758e-08,1.47948444796e-09,2.4020883156e-10,2.4403058563e-10
2019-11-01 04:29:58.998393,5.21081758341e-08,1.617522767e-09,2.80383491225e-10,2.85084360236e-10
2019-11-01 04:44:58.998393,5.04175219778e-08,1.64524858517e-09,2.90084765312e-10,2.98173730524e-10
2019-11-01 04:59:58.998393,5.34346422723e-08,1.69848485183e-09,2.99116239724e-10,3.07854745729e-10
2019-11-01 05:14:58.998393,6.17977222913e-08,3.24867683941e-09,3.20099908861e-10,3.28910460511e-10
2019-11-01 05:29:58.998393,6.18546671656e-08,2.22381575455e-09,2.9827113285e-10,3.03825169426e-10
2019-11-01 05:44:58.998393,5.27503084008e-08,1.83785273156e-09,3.45494439085e-10,3.49562309514e-10
2019-11-01 05:59:58.998393,5.30898257512e-08,1.84922077392e-09,3.71379224972e-10,3.76244036893e-10
2019-11-01 06:14:58.998393,5.27293437013e-08,1.89257833323e-09,4.26533755564e-10,4.33745727697e-10
2019-11-01 06:29:58.998393,5.22372072592e-08,1.87672370063e-09,4.56049732402e-10,4.72415595644e-10
2019-11-01 06:44:58.998393,5.52066143531e-08,1.91320519773e-09,4.63422921222e-10,4.77333623376e-10
2019-11-01 06:59:58.998393,5.30475696897e-08,1.91202637074e-09,4.52034737053e-10,4.62267602085e-10
2019-11-01 07:14:58.998393,5.22721297238e-08,3.33729908364e-09,8.53430687319e-10,8.59430449427e-10
2019-11-01 07:29:58.998393,5.02774527948e-08,1.86080840809e-09,4.69286781803e-10,4.82916561308e-10
2019-11-01 07:44:58.998393,5.28260929718e-08,1.86559630907e-09,4.55987411558e-10,4.68098191692e-10
2019-11-01 07:59:58.998393,5.63893180763e-08,3.06790761734e-09,4.86541777357e-10,4.91214539848e-10
2019-11-01 08:14:58.998393,9.19784626721e-08,4.30259488189e-09,4.54260187465e-10,4.57361756188e-10
2019-11-01 08:29:58.998393,6.39143535782e-08,3.65612103516e-09,4.5704558988e-10,4.60552971373e-10
2019-11-01 08:44:58.998393,5.43433565014e-08,3.65983838392e-09,5.29950474623e-10,5.33672299926e-10
2019-11-01 08:59:58.998393,5.25812982009e-08,1.67733702151e-09,3.8154786724e-10,3.85083377791e-10
2019-11-01 09:14:58.998393,5.36749129351e-08,1.59111460614e-09,3.01609901215e-10,3.04201049936e-10
2019-11-01 09:29:58.998393,5.13555914559e-08,1.5113926101e-09,2.62701048649e-10,2.65033966456e-10
2019-11-01 09:44:58.998393,5.10641355754e-08,1.54044114063e-09,2.68385938457e-10,2.71251698692e-10
2019-11-01 09:59:58.998393,5.21249123673e-08,1.09192864526e-08,5.32177507457e-09,5.32333854432e-09
2019-11-01 10:14:58.998393,4.91645903015e-08,9.94739866937e-09,4.63633375483e-09,4.6378473185e-09
2019-11-01 10:29:58.998393,4.96973832062e-08,1.59417671939e-09,3.02688364207e-10,3.07759395152e-10
2019-11-01 10:44:58.998393,5.21052186069e-08,1.59042940434e-09,3.14326269226e-10,3.18112834227e-10
2019-11-01 10:59:58.998393,4.97264969457e-08,1.55620309906e-09,3.14709826754e-10,3.1813964966e-10
2019-11-01 11:14:58.998393,5.15654556698e-08,1.53276008462e-09,3.01511606883e-10,3.05540663555e-10
2019-11-01 11:29:58.998393,5.42854813868e-08,1.57267996531e-09,3.2745589503e-10,3.3165073688e-10
2019-11-01 11:44:58.998393,5.28360773472e-08,1.58711308097e-09,3.61844358616e-10,3.66235186879e-10
2019-11-01 11:59:58.998393,5.14938789172e-08,1.61854824299e-09,3.57211983399e-10,3.60943950006e-10
2019-11-01 12:14:58.998393,5.13131267238e-08,1.65900270647e-09,4.23465564636e-10,4.43421585264e-10
2019-11-01 12:29:58.998393,5.10251670399e-08,1.6776037606e-09,5.036756738e-10,5.34730332546e-10
2019-11-01 12:44:58.998393,5.09787924442e-08,1.63244274058e-09,5.16257460591e-10,5.51370220924e-10
2019-11-01 12:59:58.998393,5.30363369169e-08,1.6586504715e-09,5.242751965e-10,5.67115470518e-10
2019-11-01 13:14:58.998393,5.34204926e-08,1.63984926777e-09,5.04144024492e-10,5.47115866402e-10
2019-11-01 13:29:58.998393,4.94334958388e-08,1.558573049e-09,4.70947405783e-10,5.0494050951e-10
2019-11-01 13:44:58.998393,4.99490299991e-08,1.48564961783e-09,3.80297879334e-10,3.92182459037e-10
2019-11-01 13:59:58.998393,5.08096490034e-08,1.49560179022e-09,3.79682581976e-10,3.85443321197e-10
2019-11-01 14:14:58.998393,5.17526070787e-08,1.45119958225e-09,3.77283464016e-10,3.84384327635e-10
2019-11-01 14:29:58.998393,5.25585008771e-08,1.36961317869e-09,3.03033777058e-10,3.14204799704e-10
2019-11-01 14:44:58.998393,5.01971051432e-08,1.31529389543e-09,2.7305274594e-10,2.8130081234e-10
2019-11-01 14:59:58.998393,4.87261655033e-08,1.2805491184e-09,2.79083129472e-10,2.879087101e-10
2019-11-01 15:14:58.998393,4.96908698723e-08,1.21068524761e-09,2.65745903661e-10,2.71535950852e-10
2019-11-01 15:29:58.998393,5.11478754382e-08,1.20101372906e-09,2.54384158999e-10,2.5955277292e-10
2019-11-01 15:44:58.998393,4.97069914302e-08,1.2044651418e-09,2.52460332767e-10,2.57657754488e-10
2019-11-01 15:59:58.998393,4.93904000853e-08,1.18783352402e-09,2.70356037218e-10,2.75162475862e-10
2019-11-01 16:14:58.998393,4.92316638414e-08,1.17891412726e-09,2.74977299258e-10,2.82404611337e-10
2019-11-01 16:29:58.998393,5.02326406899e-08,1.17474327221e-09,2.33842572204e-10,2.38100430452e-10
2019-11-01 16:44:58.998393,5.1235103811e-08,1.11866906786e-09,2.22474744789e-10,2.27155256627e-10
2019-11-01 16:59:58.998393,4.96422820565e-08,1.08235940267e-09,2.08157626131e-10,2.14579262347e-10
2019-11-01 17:14:58.998393,4.88472292936e-08,1.09761736391e-09,1.99195424676e-10,2.03088155871e-10
2019-11-01 17:29:58.998393,5.14295820711e-08,1.08880593159e-09,1.89367897661e-10,1.932357012e-10
2019-11-01 17:44:58.998393,5.06166168714e-08,1.06675475075e-09,1.76540119176e-10,1.81978235326e-10
