,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:59,6.15848530128e-08,2.07790026651e-09,9.84450012876e-10,9.98986364015e-10
2019-10-31 23:44:59,6.08661379573e-08,2.04005483224e-09,8.70275992692e-10,8.82889475626e-10
2019-10-31 23:59:59,5.969889596e-08,2.5328862941e-09,9.31031223456e-10,9.41233376978e-10
2019-11-01 00:14:59,5.85974196718e-08,3.0524277868e-09,1.25642704451e-09,1.26962376147e-09
2019-11-01 00:29:59,6.00929813254e-08,2.6468547829e-09,1.13881211231e-09,1.15238012576e-09
2019-11-01 00:44:59,5.93334258307e-08,2.52109153016e-09,1.02960249078e-09,1.04061933502e-09
2019-11-01 00:59:59,6.11141192399e-08,2.56917609699e-09,1.29224793854e-09,1.31045506387e-09
2019-11-01 01:14:59,6.19157440848e-08,2.3142429121e-09,1.16193406717e-09,1.18161980901e-09
2019-11-01 01:29:59,6.12198121645e-08,2.32173192246e-09,1.20711067719e-09,1.22120913754e-09
2019-11-01 01:44:59,6.07139973857e-08,2.05950077682e-09,9.79537442023e-10,1.00512784538e-09
2019-11-01 01:59:59,6.07251526328e-08,2.16024211653e-09,1.0733265703e-09,1.10253189513e-09
2019-11-01 02:14:59,5.9156224741e-08,2.14397910898e-09,1.19287748173e-09,1.20663228927e-09
2019-11-01 02:29:59,5.99465975246e-08,2.03990906919e-09,1.0997885778e-09,1.11301996762e-09
2019-11-01 02:44:59,6.1420286396e-08,2.31651740323e-09,1.23929112546e-09,1.25218881199e-09
2019-11-01 02:59:59,5.98941214814e-08,2.2362206641e-09,9.03596717303e-10,9.16592896572e-10
2019-11-01 03:14:59,6.00989711676e-08,2.0957015164e-09,8.71418668714e-10,8.87167656189e-10
2019-11-01 03:29:59,5.71233609731e-08,2.05785564731e-09,8.65918181779e-10,8.82521384046e-10
2019-11-01 03:44:59,5.83607129244e-08,1.88189105465e-09,8.17973794711e-10,8.28835656907e-10
2019-11-01 03:59:59,5.90880585612e-08,1.53733875626e-09,8.42177029621e-10,8.63760291882e-10
2019-11-01 04:14:59,5.68242669521e-08,1.38333333931e-09,8.05250978289e-10,8.23168853785e-10
2019-11-01 04:29:59,5.73776402199e-08,1.41798271319e-09,8.56439165896e-10,8.71156926197e-10
2019-11-01 04:44:59,5.796470538e-08,1.60268035157e-09,9.70640869069e-10,9.84250275817e-10
2019-11-01 04:59:59,5.96946847714e-08,1.90812625802e-09,1.33088515725e-09,1.34405298909e-09
2019-11-01 05:14:59,1.70851939705e-07,5.15195551473e-09,8.8864259017e-10,9.04865798436e-10
2019-11-01 05:29:59,1.63599960881e-07,2.14544806576e-09,8.10491626908e-10,8.29397401358e-10
2019-11-01 05:44:59,5.56845546856e-08,1.63634137412e-09,9.56928220665e-10,9.73944544255e-10
2019-11-01 05:59:59,5.67226207735e-08,1.9374259819e-09,1.07351800984e-09,1.08525021716e-09
2019-11-01 06:14:59,5.5566410564e-08,1.70398291748e-09,9.4999855668e-10,9.61455641775e-10
2019-11-01 06:29:59,5.58246889658e-08,1.81393930945e-09,1.03102893395e-09,1.04440814881e-09
2019-11-01 06:44:59,5.64520841636e-08,1.97603501853e-09,1.2102124675e-09,1.22411164901e-09
2019-11-01 06:59:59,5.71192202077e-08,1.86010254667e-09,1.0802239383e-09,1.09482875187e-09
2019-11-01 07:14:59,5.81051187111e-08,1.99765430713e-09,1.15351608456e-09,1.1691967552e-09
2019-11-01 07:29:59,5.77993982173e-08,2.17705117117e-09,1.23421210458e-09,1.25146115882e-09
2019-11-01 07:44:59,5.78465295114e-08,2.43769843241e-09,1.38300375719e-09,1.40195486136e-09
2019-11-01 07:59:59,5.7666229672e-08,2.59550963892e-09,1.57007830998e-09,1.59216393015e-09
2019-11-01 08:14:59,5.76232801692e-08,2.29509994409e-09,1.44149443336e-09,1.46865972083e-09
2019-11-01 08:29:59,5.90432754434e-08,2.27400562004e-09,1.43065460442e-09,1.44679489971e-09
2019-11-01 08:44:59,5.87908512908e-08,2.685626986e-09,1.8503427671e-09,1.86768444041e-09
2019-11-01 08:59:59,5.67817499164e-08,2.76651208443e-09,1.90202974897e-09,1.92175332116e-09
2019-11-01 09:14:59,5.52316735265e-08,2.92922203294e-09,2.06488743406e-09,2.09455589786e-09
2019-11-01 09:29:59,5.71008195618e-08,2.98193717574e-09,1.9370706237e-09,1.9748619202e-09
2019-11-01 09:44:59,5.66599385502e-08,3.00534869502e-09,1.74091414672e-09,1.77480267944e-09
2019-11-01 09:59:59,5.7749833786e-08,3.02244335727e-09,1.84908308204e-09,1.87150539745e-09
2019-11-01 10:14:59,5.75079007895e-08,2.90223339358e-09,1.8146228111e-09,1.85301412627e-09
2019-11-01 10:29:59,5.96715946645e-08,3.14208188511e-09,1.81743081697e-09,1.84984871205e-09
2019-11-01 10:44:59,5.63264387191e-08,3.14076912044e-09,1.78386477558e-09,1.81189202838e-09
2019-11-01 10:59:59,5.51521205254e-08,3.06636171951e-09,1.86054750136e-09,1.89578706833e-09
2019-11-01 11:14:59,5.48344204802e-08,2.98459525716e-09,1.84722426932e-09,1.87568009403e-09
2019-11-01 11:29:59,5.56717327197e-08,2.78386773555e-09,1.81468956362e-09,1.84513992267e-09
2019-11-01 11:44:59,5.34320502502e-08,3.01533667858e-09,1.96979948856e-09,1.99741368073e-09
2019-11-01 11:59:59,5.16815873404e-08,3.16048801683e-09,2.08983124818e-09,2.12494687263e-09
2019-11-01 12:14:59,5.34931651967e-08,2.87418858344e-09,1.77892814099e-09,1.81194727113e-09
2019-11-01 12:29:59,5.59123264927e-08,2.98074183367e-09,1.77207409631e-09,1.79636162524e-09
2019-11-01 12:44:59,5.46876714426e-08,2.72787289547e-09,1.68099637924e-09,1.70848739698e-09
2019-11-01 12:59:59,5.04680973257e-08,2.88621543581e-09,1.84104535684e-09,1.86964563077e-09
2019-11-01 13:14:59,5.25685971415e-08,2.93143048514e-09,1.79689781994e-09,1.82271714236e-09
2019-11-01 13:29:59,5.43186145442e-08,3.00339249251e-09,1.81058410309e-09,1.844169855e-09
2019-11-01 13:44:59,5.29407281909e-08,2.87985959801e-09,1.72153404738e-09,1.75657807548e-09
2019-11-01 13:59:59,5.15701262021e-08,2.99701404325e-09,2.02403705717e-09,2.04921399703e-09
2019-11-01 14:14:59,5.30948405065e-08,3.05617165245e-09,2.10570754809e-09,2.13399100143e-09
2019-11-01 14:29:59,5.35578220615e-08,2.91809384147e-09,1.89897208761e-09,1.93010263754e-09
2019-11-01 14:44:59,5.1246052035e-08,2.77111989625e-09,1.69937149548e-09,1.73080520509e-09
2019-11-01 14:59:59,5.25593423072e-08,2.75461571536e-09,1.74125711134e-09,1.77070716829e-09
2019-11-01 15:14:59,5.3539230526e-08,2.81554488063e-09,1.65003406621e-09,1.67969199495e-09
2019-11-01 15:29:59,5.41259963787e-08,3.07312912705e-09,1.98657601828e-09,2.01068440625e-09
2019-11-01 15:44:59,5.28162005163e-08,3.06234846701e-09,1.99366951248e-09,2.01641505955e-09
2019-11-01 15:59:59,5.33780848831e-08,2.8576771404e-09,1.71890091049e-09,1.74211604836e-09
2019-11-01 16:14:59,5.28693783901e-08,2.70496083184e-09,1.66723977769e-09,1.68981261473e-09
2019-11-01 16:29:59,5.28785218725e-08,2.73301539346e-09,1.70694928837e-09,1.72740007328e-09
2019-11-01 16:44:59,5.09660754844e-08,2.86422232766e-09,1.74348430895e-09,1.76560540529e-09
2019-11-01 16:59:59,5.17724868149e-08,2.92527719715e-09,1.7701680051e-09,1.80032934153e-09
2019-11-01 17:14:59,5.43907833154e-08,2.92723929945e-09,1.6745874769e-09,1.71110401762e-09
2019-11-01 17:29:59,5.60280323539e-08,2.83891886308e-09,1.66721145286e-09,1.69705133458e-09
2019-11-01 17:44:59,5.70652572902e-08,2.60638861631e-09,1.58558991896e-09,1.60876672138e-09
2019-11-01 17:59:59,5.56746631676e-08,2.5181325733e-09,1.55130661887e-09,1.57819179773e-09
2019-11-01 18:14:59,5.51929164605e-08,2.47169561867e-09,1.49905512708e-09,1.52314183813e-09
2019-11-01 18:29:59,5.44947015548e-08,2.50341993033e-09,1.47211422109e-09,1.49345930304e-09
2019-11-01 18:44:59,5.58910609757e-08,2.43418784762e-09,1.51149982547e-09,1.53182173166e-09
2019-11-01 18:59:59,6.01866725626e-08,2.45710769257e-09,1.55095396733e-09,1.5681814299e-09
2019-11-01 19:14:59,5.62971965237e-08,2.63968027474e-09,1.77340213191e-09,1.78766716101e-09
2019-11-01 19:29:59,5.80985802976e-08,2.65265675335e-09,1.83868512398e-09,1.85282150502e-09
2019-11-01 19:44:59,6.38976988024e-08,2.29055084629e-09,1.38902636443e-09,1.40866442387e-09
2019-11-01 19:59:59,6.5398324868e-08,2.2426396592e-09,1.39660833583e-09,1.41890874792e-09
2019-11-01 20:14:59,6.69083176237e-08,2.28628850033e-09,1.42012017336e-09,1.44042454789e-09
2019-11-01 20:29:59,6.76091504648e-08,2.38820894664e-09,1.46469566963e-09,1.48747028393e-09
2019-11-01 20:44:59,6.72837769674e-08,2.30500047913e-09,1.46421426804e-09,1.48244072844e-09
2019-11-01 20:59:59,7.17479334096e-08,2.1306370289e-09,1.2896150681e-09,1.30714272917e-09
2019-11-01 21:14:59,6.97604879862e-08,2.20373528129e-09,1.29837277517e-09,1.31694238217e-09
2019-11-01 21:29:59,7.03662753355e-08,2.25000562466e-09,1.33076394104e-09,1.35479969564e-09
2019-11-01 21:44:59,7.17593366256e-08,2.21402774788e-09,1.30230469499e-09,1.3230452631e-09
2019-11-01 21:59:59,7.28996697547e-08,2.12772980192e-09,1.27573706479e-09,1.29568822456e-09
2019-11-01 22:14:59,7.2563411737e-08,2.09681649632e-09,1.1559921255e-09,1.17378059607e-09
2019-11-01 22:29:59,7.76166807336e-08,2.34985517627e-09,1.11598723829e-09,1.13047294805e-09
2019-11-01 22:44:59,7.9178993993e-08,2.3687242451e-09,1.11587991386e-09,1.12992202859e-09
2019-11-01 22:59:59,7.67005734315e-08,2.07019570728e-09,1.15172056122e-09,1.167236655e-09
2019-11-01 23:14:59,7.67807313184e-08,1.80592504198e-09,1.06854931673e-09,1.08494902047e-09
2019-11-01 23:29:59,7.62076295708e-08,1.92404116483e-09,9.60626516855e-10,9.74906546644e-10
2019-11-01 23:44:59,7.76222704979e-08,2.12762692493e-09,1.02376177703e-09,1.03750930688e-09
2019-11-01 23:59:59,8.09665681702e-08,2.33973377211e-09,9.92956027614e-10,1.01273159489e-09
2019-11-02 00:14:59,9.02057419371e-08,2.06983156501e-09,1.30087854251e-09,1.31932611523e-09
2019-11-02 00:29:59,8.87572867439e-08,1.80532795532e-09,1.09816212932e-09,1.11652726399e-09
2019-11-02 00:44:59,8.73345538954e-08,1.94398025249e-09,1.06537781887e-09,1.08485281748e-09
2019-11-02 00:59:59,9.0992803768e-08,2.42406331642e-09,1.35094467586e-09,1.36424263943e-09
2019-11-02 01:14:59,9.45669626641e-08,2.13675776619e-09,1.1577318443e-09,1.17012847202e-09
2019-11-02 01:29:59,9.25936042875e-08,2.02166232358e-09,1.31659694275e-09,1.33013323545e-09
2019-11-02 01:44:59,9.6882189136e-08,1.93447192432e-09,1.0001469801e-09,1.01563933782e-09
2019-11-02 01:59:59,1.00502558927e-07,2.39255145992e-09,1.38819904175e-09,1.4012006258e-09
2019-11-02 02:14:59,1.03487448091e-07,2.024209852e-09,1.20718562536e-09,1.2191869429e-09
2019-11-02 02:29:59,1.06148265275e-07,1.97375836547e-09,1.20726092824e-09,1.22112533345e-09
2019-11-02 02:44:59,1.07172057555e-07,2.0164455449e-09,1.16557428657e-09,1.18008822301e-09
2019-11-02 02:59:59,1.12462270472e-07,2.24790607997e-09,1.04941019514e-09,1.06693385526e-09
2019-11-02 03:14:59,1.10665400442e-07,2.40605515356e-09,1.17867776279e-09,1.20095032521e-09
2019-11-02 03:29:59,1.17152150882e-07,2.06310407596e-09,1.05654185202e-09,1.07493007756e-09
2019-11-02 03:44:59,1.19189768968e-07,1.74246110801e-09,9.61525223265e-10,9.74885170439e-10
2019-11-02 03:59:59,1.16167611384e-07,1.80894553379e-09,1.04048375749e-09,1.05735621351e-09
2019-11-02 04:14:59,1.20788315388e-07,1.86167775136e-09,1.16672766916e-09,1.18345101742e-09
2019-11-02 04:29:59,1.26413585756e-07,1.86913555505e-09,1.13818028445e-09,1.16861184863e-09
2019-11-02 04:44:59,1.25690852481e-07,1.91997159588e-09,1.09328041251e-09,1.11879246866e-09
2019-11-02 04:59:59,1.27249198611e-07,1.99201941027e-09,1.22526617901e-09,1.24424048262e-09
2019-11-02 05:14:59,1.31087511967e-07,2.2758452909e-09,1.26503327574e-09,1.28365590565e-09
2019-11-02 05:29:59,1.40979666896e-07,2.55355870901e-09,1.20272992094e-09,1.22087344088e-09
2019-11-02 05:44:59,1.53901477888e-07,2.53793929228e-09,1.28199052984e-09,1.29979456943e-09
2019-11-02 05:59:59,1.53971662928e-07,2.6837343466e-09,1.41665161435e-09,1.44102667348e-09
2019-11-02 06:14:59,1.5364293663e-07,3.0835112357e-09,1.82439593106e-09,1.84763126739e-09
2019-11-02 06:29:59,1.61246700291e-07,3.08410276317e-09,1.79239919451e-09,1.81089671076e-09
2019-11-02 06:44:59,1.7282841782e-07,2.95475804639e-09,1.7129517365e-09,1.72895486933e-09
2019-11-02 06:59:59,1.77149392797e-07,2.98545624859e-09,1.76212134373e-09,1.7804519139e-09
2019-11-02 07:14:59,1.87948596229e-07,3.21230338034e-09,1.85894816198e-09,1.87929531151e-09
2019-11-02 07:29:59,1.78705618408e-07,3.36190948164e-09,1.94272635729e-09,1.96377006537e-09
2019-11-02 07:44:59,1.92020794287e-07,3.44103444148e-09,2.07437692488e-09,2.09370113316e-09
2019-11-02 07:59:59,1.95265691165e-07,3.62493976196e-09,2.26789673013e-09,2.28936267249e-09
2019-11-02 08:14:59,1.91324845027e-07,3.80824983385e-09,2.3788268525e-09,2.40318208951e-09
2019-11-02 08:29:59,2.01749166033e-07,3.937929567e-09,2.45307651552e-09,2.48014117687e-09
2019-11-02 08:44:59,2.03097950933e-07,3.65149648699e-09,2.17509604012e-09,2.19657909536e-09
2019-11-02 08:59:59,2.06441873806e-07,3.74678779018e-09,2.18220754387e-09,2.2121821716e-09
2019-11-02 09:14:59,2.28228542559e-07,3.55850028259e-09,2.0986326979e-09,2.122939148e-09
2019-11-02 09:29:59,2.3434839537e-07,3.69636739346e-09,2.21482613285e-09,2.24131692622e-09
2019-11-02 09:44:59,2.07140263963e-07,3.86738988684e-09,2.33606107942e-09,2.36622871713e-09
2019-11-02 09:59:59,2.13113622662e-07,3.77836538834e-09,2.27926895502e-09,2.30832414244e-09
2019-11-02 10:14:59,2.30127104257e-07,3.69826519273e-09,2.24412701709e-09,2.2891886355e-09
2019-11-02 10:29:59,2.20528241316e-07,3.66074490345e-09,2.11295345608e-09,2.15482354375e-09
2019-11-02 10:44:59,2.06115361329e-07,3.60807345365e-09,2.06598819607e-09,2.10491313852e-09
2019-11-02 10:59:59,2.45397791558e-07,3.49508952689e-09,2.12039055565e-09,2.15491608398e-09
2019-11-02 11:14:59,2.32283290637e-07,3.64366795775e-09,2.16147016934e-09,2.18768665156e-09
2019-11-02 11:29:59,2.15023926627e-07,3.58120234356e-09,2.18217309448e-09,2.21137522843e-09
2019-11-02 11:44:59,2.42232211213e-07,3.46011296237e-09,2.04886630528e-09,2.07719244614e-09
2019-11-02 11:59:59,2.44912233427e-07,3.50886676254e-09,2.0807154039e-09,2.10721977371e-09
2019-11-02 12:14:59,2.3616448696e-07,3.39633576047e-09,1.97767146631e-09,2.00865147113e-09
2019-11-02 12:29:59,2.38280425665e-07,3.581180847e-09,2.04973684903e-09,2.08619047015e-09
2019-11-02 12:44:59,2.24350616326e-07,3.66783356616e-09,2.13415017184e-09,2.17306677762e-09
2019-11-02 12:59:59,2.35383253881e-07,3.80384964147e-09,2.29866634339e-09,2.33740926858e-09
2019-11-02 13:14:59,2.40553796921e-07,3.75320241909e-09,2.19927821e-09,2.23806607797e-09
2019-11-02 13:29:59,2.35074919553e-07,3.63664680151e-09,2.14149385052e-09,2.17306748766e-09
