,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:59.000001,8.69158736058e-08,1.16384260817e-09,1.07685101679e-10,1.08727092356e-10
2019-10-31 23:44:59.000001,8.91034117548e-08,1.14587696779e-09,1.30287499229e-10,1.31228929605e-10
2019-10-31 23:59:59.000001,8.49886107459e-08,1.16430322755e-09,1.43052432118e-10,1.43892633227e-10
2019-11-01 00:14:59.000001,8.39884884484e-08,1.12722813989e-09,1.12169933806e-10,1.12822781015e-10
2019-11-01 00:29:59.000001,8.37664728035e-08,1.12236189235e-09,1.00831752911e-10,1.01386154653e-10
2019-11-01 00:44:59.000001,8.69704663155e-08,1.08108749933e-09,8.80276152773e-11,8.85139481774e-11
2019-11-01 00:59:59.000001,8.38652421206e-08,1.03784647911e-09,7.75659918464e-11,7.82991944045e-11
2019-11-01 01:14:59.000001,7.90733582525e-08,1.06246864081e-09,7.54070116154e-11,7.62848930171e-11
2019-11-01 01:29:59.000001,8.23163470292e-08,1.11843300983e-09,8.15152479313e-11,8.23013344022e-11
2019-11-01 01:44:59.000001,8.25162330748e-08,1.12228182727e-09,8.89899408593e-11,8.97994169495e-11
2019-11-01 01:59:59.000001,8.3112431316e-08,1.08296080317e-09,9.04310113406e-11,9.10898132797e-11
2019-11-01 02:14:59.000001,8.12933747333e-08,1.04085083938e-09,7.24016457199e-11,7.32056253086e-11
2019-11-01 02:29:59.000001,8.19761947359e-08,1.08379056174e-09,7.71384239786e-11,7.79050478509e-11
2019-11-01 02:44:59.000001,8.14452032794e-08,1.11287644096e-09,8.41958212175e-11,8.49504202541e-11
2019-11-01 02:59:59.000001,8.34107345015e-08,1.04357623448e-09,9.81234936471e-11,9.85834684837e-11
2019-11-01 03:14:59.000001,8.15896761976e-08,1.08453510305e-09,1.01292496303e-10,1.01821430721e-10
2019-11-01 03:29:59.000001,7.9907810973e-08,1.11060361212e-09,9.14265846741e-11,9.21333966984e-11
2019-11-01 03:44:59.000001,7.82094468373e-08,1.12234464392e-09,8.81981165539e-11,8.8768875349e-11
2019-11-01 03:59:59.000001,7.728666446e-08,1.13118281374e-09,1.04943175428e-10,1.05801391964e-10
2019-11-01 04:14:59.000001,7.84708724558e-08,1.20027998014e-09,1.1190784291e-10,1.12769478466e-10
2019-11-01 04:29:59.000001,7.84730321689e-08,1.23879084866e-09,1.11304654322e-10,1.12099818339e-10
2019-11-01 04:44:59.000001,8.02631574058e-08,1.2684135992e-09,1.12744925085e-10,1.13555039048e-10
2019-11-01 04:59:59.000001,8.48253813021e-08,1.24088247051e-09,1.08805038865e-10,1.0968476061e-10
2019-11-01 05:14:59.000001,1.44755302514e-07,2.07175748343e-09,1.17476494088e-10,1.18552784549e-10
2019-11-01 05:29:59.000001,1.44693019957e-07,1.49666130059e-09,1.09683123328e-10,1.10610887898e-10
2019-11-01 05:44:59.000001,8.12560653675e-08,1.32243495808e-09,9.19360289981e-11,9.28048421129e-11
2019-11-01 05:59:59.000001,7.97449730328e-08,1.33374366498e-09,1.00972158133e-10,1.02053014229e-10
2019-11-01 06:14:59.000001,8.30654540877e-08,1.35923485179e-09,1.01329188009e-10,1.02533409677e-10
2019-11-01 06:29:59.000001,8.27235996794e-08,1.29810485674e-09,1.04491709749e-10,1.06468298096e-10
2019-11-01 06:44:59.000001,7.79060239693e-08,1.23463045138e-09,1.03274396414e-10,1.05417554906e-10
2019-11-01 06:59:59.000001,8.06637535807e-08,1.29619146113e-09,1.03227941093e-10,1.04597642676e-10
2019-11-01 07:14:59.000001,7.88200263732e-08,1.32325215503e-09,1.21020560534e-10,1.22609201177e-10
2019-11-01 07:29:59.000001,7.7923097648e-08,1.34487602368e-09,1.17957015152e-10,1.19479014919e-10
2019-11-01 07:44:59.000001,7.71442508336e-08,1.41893019969e-09,1.22317699934e-10,1.24038775461e-10
2019-11-01 07:59:59.000001,7.86154950686e-08,1.45484718928e-09,1.27013022089e-10,1.29034146116e-10
2019-11-01 08:14:59.000001,7.91389194697e-08,1.42972284592e-09,1.40994963898e-10,1.432695928e-10
2019-11-01 08:29:59.000001,8.22483093673e-08,1.31486200723e-09,1.39562318281e-10,1.42047293917e-10
2019-11-01 08:44:59.000001,7.87529282701e-08,1.31440689754e-09,1.37535363613e-10,1.40254208115e-10
2019-11-01 08:59:59.000001,8.01595952749e-08,1.35693225633e-09,1.52447234501e-10,1.55208732835e-10
2019-11-01 09:14:59.000001,7.72955128788e-08,1.37412999369e-09,1.66132461028e-10,1.68817316964e-10
2019-11-01 09:29:59.000001,7.70092977291e-08,1.31635687965e-09,1.56650510175e-10,1.58787783859e-10
2019-11-01 09:44:59.000001,8.14287767077e-08,1.30865621182e-09,1.5355643624e-10,1.55830433611e-10
2019-11-01 09:59:59.000001,7.72238297199e-08,1.36372693949e-09,1.55227177974e-10,1.57744641202e-10
2019-11-01 10:14:59.000001,7.80065964968e-08,1.32072774145e-09,1.5114032928e-10,1.53189322443e-10
2019-11-01 10:29:59.000001,7.87346730108e-08,1.28285653127e-09,1.46589884843e-10,1.4850074923e-10
2019-11-01 10:44:59.000001,7.80680354494e-08,1.30600994946e-09,1.41000146754e-10,1.43156342323e-10
2019-11-01 10:59:59.000001,7.64943431435e-08,1.32646605425e-09,1.43464762589e-10,1.45960854751e-10
2019-11-01 11:14:59.000001,7.62785485902e-08,1.34551905258e-09,1.48121851666e-10,1.50528937177e-10
2019-11-01 11:29:59.000001,7.82944389938e-08,1.3815673617e-09,1.43455992331e-10,1.45496191129e-10
2019-11-01 11:44:59.000001,7.61662562489e-08,1.34026282175e-09,1.41850404857e-10,1.43811578584e-10
2019-11-01 11:59:59.000001,7.55768798357e-08,1.31066646805e-09,1.47777339517e-10,1.50312974525e-10
2019-11-01 12:14:59.000001,7.39656865309e-08,1.34244639354e-09,1.54093058629e-10,1.56983784842e-10
2019-11-01 12:29:59.000001,7.18495512258e-08,1.35945774033e-09,1.55783414158e-10,1.58274054055e-10
2019-11-01 12:44:59.000001,7.74011018051e-08,1.36390364475e-09,1.5517843665e-10,1.57058726757e-10
2019-11-01 12:59:59.000001,7.90730451262e-08,1.38013110208e-09,1.50330548283e-10,1.52441670758e-10
2019-11-01 13:14:59.000001,7.43750276002e-08,1.44440686203e-09,1.45848872393e-10,1.4828598238e-10
2019-11-01 13:29:59.000001,7.1985344513e-08,1.38180016832e-09,1.49111556912e-10,1.52014398937e-10
2019-11-01 13:44:59.000001,6.84256953672e-08,1.39774201206e-09,1.52128652172e-10,1.55628832716e-10
2019-11-01 13:59:59.000001,7.07152228762e-08,1.37461504598e-09,1.54628049472e-10,1.58027650961e-10
2019-11-01 14:14:59.000001,7.32673037758e-08,1.38891176253e-09,1.48959539116e-10,1.52178599722e-10
2019-11-01 14:29:59.000001,7.28746238113e-08,1.41109364689e-09,1.44995905536e-10,1.47811893838e-10
2019-11-01 14:44:59.000001,7.33068989775e-08,1.383872609e-09,1.50169111037e-10,1.53390026628e-10
2019-11-01 14:59:59.000001,7.00015213728e-08,1.38158125885e-09,1.51617179557e-10,1.54936846178e-10
2019-11-01 15:14:59.000001,7.1572053583e-08,1.44034527915e-09,1.62902160275e-10,1.65769078812e-10
2019-11-01 15:29:59.000001,7.27890717835e-08,1.4375093762e-09,1.62823297905e-10,1.65145390689e-10
2019-11-01 15:44:59.000001,7.10649735236e-08,1.3799287246e-09,1.50710616225e-10,1.53225035457e-10
2019-11-01 15:59:59.000001,6.79038062444e-08,1.34279226282e-09,1.41988488249e-10,1.44322401337e-10
2019-11-01 16:14:59.000001,7.1378890984e-08,1.36074860263e-09,1.37592386209e-10,1.40082710724e-10
2019-11-01 16:29:59.000001,7.42961411142e-08,1.35977481017e-09,1.37242138533e-10,1.39925997493e-10
2019-11-01 16:44:59.000001,7.54831954253e-08,1.38368476931e-09,1.32410832564e-10,1.34903452475e-10
2019-11-01 16:59:59.000001,7.66313605179e-08,1.42548854808e-09,1.34928681416e-10,1.37493952339e-10
2019-11-01 17:14:59.000001,7.4570113661e-08,1.4225000993e-09,1.38419678874e-10,1.40699789559e-10
2019-11-01 17:29:59.000001,7.38570546898e-08,1.41369118015e-09,1.34807910017e-10,1.36961056859e-10
2019-11-01 17:44:59.000001,7.69376158902e-08,1.36691883059e-09,1.26944379559e-10,1.28962807562e-10
2019-11-01 17:59:59.000001,7.93491035165e-08,1.36544143778e-09,1.27943127018e-10,1.29982400008e-10
2019-11-01 18:14:59.000001,7.95939864992e-08,1.40169558912e-09,1.36746142316e-10,1.38772709862e-10
2019-11-01 18:29:59.000001,7.77030744492e-08,1.34027393801e-09,1.32921103445e-10,1.34764522821e-10
2019-11-01 18:44:59.000001,7.59684565401e-08,1.32646157088e-09,1.41890114694e-10,1.43889928367e-10
2019-11-01 18:59:59.000001,8.00215298757e-08,1.34606682049e-09,1.37307963373e-10,1.391399653e-10
2019-11-01 19:14:59.000001,8.10381374155e-08,1.36132078531e-09,1.31320671261e-10,1.32923033104e-10
2019-11-01 19:29:59.000001,8.64070777164e-08,1.35714257952e-09,1.28429739969e-10,1.30171880054e-10
2019-11-01 19:44:59.000001,8.90442148124e-08,1.33759761941e-09,1.26460866482e-10,1.2796913478e-10
