,10.0-20.0,4.0-10.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:59,1.63793468957e-10,3.17376306149e-10,3.43029353014e-10,3.57805932569e-10
2019-10-31 23:44:59,1.48289023264e-10,3.22856140732e-10,3.43861137636e-10,3.55826745678e-10
2019-10-31 23:59:59,1.69074423886e-10,3.28395888609e-10,3.56331371695e-10,3.70095206295e-10
2019-11-01 00:14:59,2.02835686306e-10,3.48304500636e-10,3.88388780692e-10,4.03698207544e-10
2019-11-01 00:29:59,1.90166509838e-10,4.61180303896e-10,4.88299795199e-10,4.99359949414e-10
2019-11-01 00:44:59,1.55375782775e-10,4.71304644887e-10,4.87186227803e-10,4.9667205017e-10
2019-11-01 00:59:59,1.52746065867e-10,3.17691841062e-10,3.39914486771e-10,3.53115912366e-10
2019-11-01 01:14:59,1.67141274194e-10,3.20097340778e-10,3.45044810009e-10,3.61756180123e-10
2019-11-01 01:29:59,1.89918669367e-10,4.10712176635e-10,4.39527888906e-10,4.53409724349e-10
2019-11-01 01:44:59,1.97942173404e-10,6.47231786833e-10,6.69015358985e-10,6.77640337182e-10
2019-11-01 01:59:59,1.98339815984e-10,4.98755365474e-10,5.26901139378e-10,5.37980674247e-10
2019-11-01 02:14:59,2.28428031228e-10,4.94707427079e-10,5.32753339288e-10,5.46413717948e-10
2019-11-01 02:29:59,2.95062874703e-10,5.38998541708e-10,5.98406671346e-10,6.16062184319e-10
2019-11-01 02:44:59,3.07628161067e-10,5.62260023862e-10,6.25922226618e-10,6.42759730033e-10
2019-11-01 02:59:59,3.94066754824e-10,6.32599855083e-10,7.29363328304e-10,7.4767320081e-10
2019-11-01 03:14:59,4.36949533904e-10,7.09867555459e-10,8.13780646021e-10,8.36235187238e-10
2019-11-01 03:29:59,4.78352595629e-10,8.17386988712e-10,9.21427341889e-10,9.4983161878e-10
2019-11-01 03:44:59,5.71249276536e-10,9.62317911432e-10,1.08754081361e-09,1.12249224158e-09
2019-11-01 03:59:59,6.89715678815e-10,1.20563592495e-09,1.34775333944e-09,1.39344894926e-09
2019-11-01 04:14:59,7.53934206018e-10,1.36878199617e-09,1.52007447219e-09,1.56682412304e-09
2019-11-01 04:29:59,8.19251659203e-10,1.65156477462e-09,1.79720800436e-09,1.84729629831e-09
2019-11-01 04:44:59,8.20213619826e-10,1.87505871708e-09,2.00957511655e-09,2.05018852439e-09
2019-11-01 04:59:59,7.8802543599e-10,1.87699734077e-09,2.00015392042e-09,2.03916645632e-09
2019-11-01 05:14:59,8.13100379311e-10,1.68763290263e-09,1.825700294e-09,1.87748103049e-09
2019-11-01 05:29:59,1.02759476919e-09,1.91575240128e-09,2.09618240838e-09,2.17845509515e-09
2019-11-01 05:44:59,1.14170957348e-09,2.16719519996e-09,2.35974914712e-09,2.45365228071e-09
2019-11-01 05:59:59,1.13090863445e-09,2.34990522773e-09,2.53251351193e-09,2.61228934058e-09
2019-11-01 06:14:59,1.08225774748e-09,2.15098223078e-09,2.33952234182e-09,2.41245550509e-09
2019-11-01 06:29:59,1.07026646406e-09,2.30714404663e-09,2.47752973955e-09,2.54890301347e-09
2019-11-01 06:44:59,1.09727050405e-09,2.7015868838e-09,2.85264979751e-09,2.92038644089e-09
2019-11-01 06:59:59,1.11520522546e-09,2.49039613677e-09,2.67161606472e-09,2.7338830199e-09
2019-11-01 07:14:59,1.21018345171e-09,2.42019730707e-09,2.64001458741e-09,2.71237991243e-09
2019-11-01 07:29:59,1.21210700563e-09,2.44441427617e-09,2.6616392535e-09,2.73378891058e-09
2019-11-01 07:44:59,1.29393883096e-09,2.48139486771e-09,2.7128983916e-09,2.80389842545e-09
2019-11-01 07:59:59,1.3839745411e-09,2.58879251915e-09,2.83308211549e-09,2.94067716109e-09
2019-11-01 08:14:59,1.25085707258e-09,2.31866012215e-09,2.54452731168e-09,2.6387075912e-09
2019-11-01 08:29:59,1.06791732489e-09,2.13059825958e-09,2.31662112091e-09,2.38701039753e-09
2019-11-01 08:44:59,1.14680096575e-09,2.37000987045e-09,2.55797345061e-09,2.6365878008e-09
2019-11-01 08:59:59,1.1470099714e-09,2.33639801869e-09,2.54099578816e-09,2.60697415109e-09
2019-11-01 09:14:59,1.13882645285e-09,2.27011362066e-09,2.46781826568e-09,2.54444046333e-09
2019-11-01 09:29:59,1.00405380601e-09,1.97684639842e-09,2.16504710203e-09,2.22249245169e-09
2019-11-01 09:44:59,9.8848054797e-10,2.04679984388e-09,2.2270671263e-09,2.27871797724e-09
2019-11-01 09:59:59,9.10773758118e-10,1.98326391774e-09,2.1471187636e-09,2.18749239184e-09
2019-11-01 10:14:59,8.94887337823e-10,2.03283362807e-09,2.18347043512e-09,2.22546201111e-09
2019-11-01 10:29:59,9.48875470096e-10,2.18101899559e-09,2.3392741954e-09,2.38302405803e-09
2019-11-01 10:44:59,1.07347169304e-09,2.46753419579e-09,2.64545653284e-09,2.69563253415e-09
2019-11-01 10:59:59,1.19529839204e-09,2.7347760289e-09,2.92950240836e-09,2.98906338742e-09
2019-11-01 11:14:59,1.21580515801e-09,2.56920396103e-09,2.76636136911e-09,2.84696843322e-09
2019-11-01 11:29:59,1.1864561267e-09,2.49297651137e-09,2.68873160694e-09,2.76590693884e-09
2019-11-01 11:44:59,1.19026121572e-09,2.56097143711e-09,2.75295394464e-09,2.82904622036e-09
2019-11-01 11:59:59,1.21310822089e-09,2.842276913e-09,3.02149440277e-09,3.09443650989e-09
2019-11-01 12:14:59,1.17040549946e-09,2.77792851126e-09,2.94565479821e-09,3.01824424428e-09
2019-11-01 12:29:59,1.11784535773e-09,2.66228138682e-09,2.8291886303e-09,2.89118110153e-09
2019-11-01 12:44:59,2.51549745953e-09,6.09464435853e-09,6.4401721762e-09,6.60856432898e-09
2019-11-01 12:59:59,2.55859663331e-09,6.11653501671e-09,6.46513536646e-09,6.64635067812e-09
2019-11-01 13:14:59,8.79014456834e-10,2.23388041552e-09,2.35004692915e-09,2.40390018339e-09
2019-11-01 13:29:59,8.5438278358e-10,2.27707893057e-09,2.38856766912e-09,2.43561518243e-09
2019-11-01 13:44:59,9.9774056786e-10,2.49900868724e-09,2.62985832731e-09,2.69447023076e-09
2019-11-01 13:59:59,1.08283808911e-09,2.15910395981e-09,2.35653267851e-09,2.41865950528e-09
2019-11-01 14:14:59,9.61577100659e-10,1.96731677624e-09,2.13070790161e-09,2.19245815207e-09
2019-11-01 14:29:59,9.76213580509e-10,2.07500115137e-09,2.23318265102e-09,2.29576103974e-09
2019-11-01 14:44:59,1.04016598035e-09,2.24432006695e-09,2.3946702825e-09,2.4763160274e-09
