,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:59,7.36162853604e-08,1.75398216529e-09,3.06629063337e-10,3.06958303032e-10
2019-10-31 23:44:59,7.36379211019e-08,1.71138289607e-09,2.96470591709e-10,2.96750631559e-10
2019-10-31 23:59:59,7.32154888764e-08,1.76756889347e-09,3.47682855659e-10,3.47902056793e-10
2019-11-01 00:14:59,7.07446413802e-08,1.69775569301e-09,3.55928038977e-10,3.56160035431e-10
2019-11-01 00:29:59,6.90029241418e-08,1.5645650314e-09,2.92252115266e-10,2.925203995e-10
2019-11-01 00:44:59,7.09016108295e-08,1.58057031402e-09,2.61335240262e-10,2.61589770464e-10
2019-11-01 00:59:59,7.09615103286e-08,1.68030714282e-09,2.741848648e-10,2.74409305809e-10
2019-11-01 01:14:59,7.17310171899e-08,1.58844901212e-09,2.87461807144e-10,2.8770593638e-10
2019-11-01 01:29:59,7.0987806181e-08,1.49706808669e-09,2.92029934308e-10,2.92291942085e-10
2019-11-01 01:44:59,7.23545736e-08,1.50937460456e-09,2.80963627127e-10,2.8124098022e-10
2019-11-01 01:59:59,7.03674514851e-08,1.48841858255e-09,3.19755386909e-10,3.19986740714e-10
2019-11-01 02:14:59,7.03446621651e-08,1.44406285325e-09,3.19441404991e-10,3.19663362116e-10
2019-11-01 02:29:59,7.36014741689e-08,1.44672651592e-09,2.78377160584e-10,2.78639505962e-10
2019-11-01 02:44:59,7.74264557198e-08,1.45139280296e-09,2.73809021645e-10,2.74101509035e-10
2019-11-01 02:59:59,7.13599137231e-08,1.51296801049e-09,3.44321807284e-10,3.44524159807e-10
2019-11-01 03:14:59,7.20151304663e-08,1.43432391716e-09,3.11602674501e-10,3.118418474e-10
2019-11-01 03:29:59,7.3912968723e-08,1.43503702004e-09,2.66901132975e-10,2.67159956024e-10
2019-11-01 03:44:59,7.2339272933e-08,1.45855026449e-09,2.60489777787e-10,2.60770306204e-10
2019-11-01 03:59:59,7.35417069572e-08,1.45875404327e-09,2.48848539673e-10,2.49166655537e-10
2019-11-01 04:14:59,7.19427254243e-08,1.44629442025e-09,2.41661416247e-10,2.4201222602e-10
2019-11-01 04:29:59,7.10345131964e-08,1.40588614403e-09,2.67725703577e-10,2.68208609813e-10
2019-11-01 04:44:59,7.07358301535e-08,1.36590410893e-09,2.93379085474e-10,2.93832831975e-10
2019-11-01 04:59:59,7.16521129514e-08,1.34689154794e-09,2.88924660829e-10,2.89257182126e-10
2019-11-01 05:14:59,2.17177938134e-07,1.7881785326e-09,3.12973731245e-10,3.13297289676e-10
2019-11-01 05:29:59,2.19346565691e-07,1.40899179765e-09,3.08779759202e-10,3.09178885513e-10
2019-11-01 05:44:59,6.91582885689e-08,1.2324303721e-09,2.71546831568e-10,2.72078849457e-10
2019-11-01 05:59:59,6.92329125761e-08,1.29961687984e-09,2.69270716753e-10,2.69746199436e-10
2019-11-01 06:14:59,6.90388521641e-08,1.31120318041e-09,2.72381108828e-10,2.73007538944e-10
2019-11-01 06:29:59,6.84011085244e-08,1.35248513451e-09,2.91914356136e-10,2.92597302815e-10
2019-11-01 06:44:59,7.15593099106e-08,1.39770138669e-09,3.02941099588e-10,3.03663862407e-10
2019-11-01 06:59:59,7.4304833903e-08,1.38110891439e-09,2.92111113985e-10,2.92953591114e-10
2019-11-01 07:14:59,7.24803634645e-08,1.40125747184e-09,2.87007755553e-10,2.87938132912e-10
2019-11-01 07:29:59,7.27991275916e-08,1.43478524292e-09,2.96774188124e-10,2.97719687398e-10
