,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:59.000000,8.72072189502e-08,2.35355625164e-07,1.18622005415e-10,2.35355448327e-07
2019-10-31 23:44:59.000000,8.68374703683e-08,2.33641693581e-07,4.27294846471e-11,2.33641643468e-07
2019-10-31 23:59:59.000000,8.88405078155e-08,2.36516856763e-07,1.94286310099e-10,2.36508555422e-07
2019-11-01 00:14:59.000000,9.35289753699e-08,2.34855844813e-07,1.83758144365e-10,2.34848513708e-07
2019-11-01 00:29:59.000000,9.28914581479e-08,2.25432715786e-07,5.66051628209e-11,2.25432663918e-07
2019-11-01 00:44:59.000000,8.41735592759e-08,2.30488516427e-07,3.51776694e-11,2.30488473073e-07
2019-11-01 00:59:59.000000,8.85387481243e-08,2.27941653454e-07,1.19089124201e-10,2.27941452241e-07
2019-11-01 01:14:59.000000,8.3607248969e-08,2.26978883731e-07,1.79322340748e-10,2.26978439313e-07
2019-11-01 01:29:59.000000,8.29300148258e-08,2.31072953978e-07,4.38867613285e-11,2.3107288813e-07
2019-11-01 01:44:59.000000,8.58324680168e-08,2.36098457105e-07,4.16942494416e-11,2.36098385196e-07
2019-11-01 01:59:59.000000,8.74899744611e-08,2.30594383965e-07,3.30286277084e-11,2.30594332009e-07
2019-11-01 02:14:59.000000,8.84481099192e-08,2.11603475992e-07,2.9226962812e-11,2.11603422268e-07
2019-11-01 02:29:59.000000,8.52261860825e-08,2.14318093002e-07,3.58983303275e-11,2.14317907892e-07
2019-11-01 02:44:59.000000,9.24848751927e-08,2.26456888339e-07,8.36676849852e-11,2.26456655154e-07
2019-11-01 02:59:59.000000,8.92099241997e-08,2.38373514605e-07,8.3079701155e-11,2.38373426822e-07
2019-11-01 03:14:59.000000,8.39236496243e-08,2.37928606589e-07,4.40387825687e-11,2.37928540061e-07
2019-11-01 03:29:59.000000,8.70550958438e-08,2.22643022518e-07,1.21628008579e-10,2.22642923605e-07
2019-11-01 03:44:59.000000,8.80022394546e-08,2.24969843945e-07,4.4111520083e-11,2.24969756185e-07
2019-11-01 03:59:59.000000,8.53657379765e-08,2.29916692545e-07,2.88696683727e-11,2.2991661358e-07
2019-11-01 04:14:59.000000,8.5522959362e-08,2.23382352722e-07,2.63935750769e-11,2.23382275798e-07
2019-11-01 04:29:59.000000,8.33842989197e-08,2.21161780713e-07,2.72234467234e-11,2.2116168361e-07
2019-11-01 04:44:59.000000,7.79267110934e-08,2.30885045631e-07,2.83882443561e-11,2.30884958423e-07
2019-11-01 04:59:59.000000,8.17837501882e-08,2.25379068984e-07,2.61187381585e-11,2.25378996516e-07
2019-11-01 05:14:59.000000,8.16133324599e-08,2.17996596536e-07,2.51077148229e-11,2.17996522066e-07
2019-11-01 05:29:59.000000,7.52459583577e-08,2.19629442091e-07,2.44940565479e-11,2.19629371186e-07
2019-11-01 05:44:59.000000,7.52546467132e-08,2.19500657009e-07,2.40139001584e-11,2.19500592686e-07
2019-11-01 05:59:59.000000,7.80521250704e-08,2.21972749979e-07,2.47948878893e-11,2.21972684109e-07
2019-11-01 06:14:59.000000,8.33021882214e-08,2.34633011188e-07,3.50613423034e-11,2.34632943947e-07
2019-11-01 06:29:59.000000,7.81655766024e-08,2.27863347672e-07,3.04214267153e-11,2.27863289141e-07
2019-11-01 06:44:59.000000,8.04079247953e-08,2.25311858547e-07,3.15262501584e-11,2.25311755089e-07
2019-11-01 06:59:59.000000,7.46237709682e-08,2.34283593968e-07,2.8991372154e-11,2.34283482129e-07
2019-11-01 07:14:59.000000,7.77382553679e-08,2.32481417712e-07,2.53624805346e-11,2.32481357041e-07
2019-11-01 07:29:59.000000,7.94207221122e-08,2.25213578907e-07,3.77290836833e-11,2.25213501603e-07
2019-11-01 07:44:59.000000,7.90962025833e-08,2.20525647146e-07,2.58746497585e-11,2.20525579833e-07
2019-11-01 07:59:59.000000,7.58336143677e-08,2.23012346733e-07,2.54039212339e-11,2.23012281203e-07
2019-11-01 08:14:59.000000,7.89135183774e-08,2.35760150397e-07,2.56290189066e-11,2.35760084847e-07
2019-11-01 08:29:59.000000,7.55713007842e-08,2.32750952493e-07,2.51871449634e-11,2.32750888998e-07
2019-11-01 08:44:59.000000,7.73030926399e-08,2.20172863259e-07,2.84441106388e-11,2.20172789699e-07
2019-11-01 08:59:59.000000,7.07338806677e-08,2.186412503e-07,3.12677157395e-11,2.18641176441e-07
2019-11-01 09:14:59.000000,7.42847806776e-08,2.24197288703e-07,9.48287032395e-11,2.24197090797e-07
2019-11-01 09:29:59.000000,7.72040126109e-08,2.32678161577e-07,1.08801688103e-10,2.32677943759e-07
2019-11-01 09:44:59.000000,8.05389100665e-08,2.27261760777e-07,8.14240871415e-11,2.27261643075e-07
2019-11-01 09:59:59.000000,7.91662067222e-08,2.2267835351e-07,1.0554503294e-10,2.22678243415e-07
2019-11-01 10:14:59.000000,7.57761473474e-08,2.29384958012e-07,8.07532599814e-11,2.29384870661e-07
2019-11-01 10:29:59.000000,7.72027500886e-08,2.2391171164e-07,2.7248129267e-11,2.23911643695e-07
2019-11-01 10:44:59.000000,8.05766168749e-08,2.33680837525e-07,4.9349241191e-11,2.33680753663e-07
2019-11-01 10:59:59.000000,7.95942114484e-08,2.16751796478e-07,5.76816458857e-11,2.16751691072e-07
2019-11-01 11:14:59.000000,7.77959755205e-08,2.22408094496e-07,4.2930869374e-11,2.22408008177e-07
