,0.1-1.0,1.0-20.0,4.0-14.0,60.0-90.0
2019-12-23 23:26:40,8.2615428664e-08,3.70032998431e-10,1.48719958658e-10,2.76287400124e-11
2019-12-23 23:41:40,8.42818849259e-08,3.71987503117e-10,1.55269193143e-10,2.79567715824e-11
2019-12-23 23:56:40,8.32596602063e-08,3.65963466395e-10,1.51763364992e-10,2.85793024737e-11
2019-12-24 00:11:40,8.42874784872e-08,3.58097781127e-10,1.41058063196e-10,2.8637105067e-11
2019-12-24 00:26:40,8.47322734512e-08,3.57786836156e-10,1.36828089084e-10,2.80626410968e-11
2019-12-24 00:41:40,8.07895968332e-08,3.63863218223e-10,1.34494770301e-10,2.81427116783e-11
2019-12-24 00:56:40,7.68094158087e-08,3.62212726673e-10,1.31520943174e-10,2.82661579211e-11
2019-12-24 01:11:40,8.10544108138e-08,3.637513478e-10,1.31675430763e-10,2.82459407326e-11
2019-12-24 01:26:40,8.43464920863e-08,3.75419750553e-10,1.35380547834e-10,2.85601787944e-11
2019-12-24 01:41:40,7.99959971095e-08,3.87534643181e-10,1.35496069302e-10,2.78650186174e-11
2019-12-24 01:56:40,7.86459369076e-08,3.79185693994e-10,1.36161524913e-10,2.75447105926e-11
2019-12-24 02:11:40,7.64338544141e-08,3.65710688941e-10,1.35730764993e-10,2.75415461521e-11
2019-12-24 02:26:40,8.38132085279e-08,3.64840381178e-10,1.3804811036e-10,2.8109489804e-11
2019-12-24 02:41:40,8.29390892966e-08,3.79470602795e-10,1.43111998386e-10,2.80338436457e-11
2019-12-24 02:56:40,7.93279870323e-08,3.86931115434e-10,1.54461777912e-10,2.76417449884e-11
2019-12-24 03:11:40,7.91216279842e-08,3.93192575041e-10,1.57931674069e-10,2.78796369079e-11
2019-12-24 03:26:40,8.0517479847e-08,3.85003580042e-10,1.55342982133e-10,2.85615270619e-11
2019-12-24 03:41:40,7.8991604282e-08,3.97851216541e-10,1.6625634509e-10,2.83871096851e-11
2019-12-24 03:56:40,7.98904182747e-08,4.14005901406e-10,1.85396921259e-10,2.81393202541e-11
2019-12-24 04:11:40,7.92190515859e-08,4.35236311314e-10,1.95098024501e-10,3.00495923498e-11
2019-12-24 04:26:40,8.28318141723e-08,5.13562904904e-10,2.15567856429e-10,3.31014747878e-11
2019-12-24 04:41:40,8.25039902399e-08,5.75687075522e-10,2.20602349486e-10,3.42239050398e-11
2019-12-24 04:56:40,8.22279183574e-08,5.8535868445e-10,2.28379948931e-10,3.45743326452e-11
2019-12-24 05:11:40,7.8395216986e-08,5.89638725931e-10,2.36836804323e-10,3.45701984802e-11
2019-12-24 05:26:40,7.7396617938e-08,5.88216407621e-10,2.39670603745e-10,3.40278797079e-11
2019-12-24 05:41:40,7.74837251364e-08,6.00601133658e-10,2.3742530499e-10,3.45098472204e-11
2019-12-24 05:56:40,7.83382213549e-08,6.06913899353e-10,2.42387505408e-10,3.42954119584e-11
2019-12-24 06:11:40,8.62456661399e-08,6.02304670001e-10,2.41486793415e-10,3.40901859272e-11
2019-12-24 06:26:40,8.49160202955e-08,6.10474544574e-10,2.46781949061e-10,3.4339588653e-11
2019-12-24 06:41:40,7.99901992715e-08,6.1917890799e-10,2.40246697272e-10,3.40416448079e-11
2019-12-24 06:56:40,7.80258831778e-08,6.28030047733e-10,2.45247847591e-10,3.45927598389e-11
