,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:59.008400,3.97619404891e-07,7.88121967428e-09,1.03939931451e-09,1.04176788245e-09
2019-10-31 23:44:59.008400,3.84776233108e-07,7.82311330072e-09,1.03697264047e-09,1.03927713875e-09
2019-10-31 23:59:59.008400,4.06616569171e-07,7.78470300265e-09,1.08347011369e-09,1.08684515898e-09
2019-11-01 00:14:59.008400,3.98145389298e-07,8.19763716795e-09,1.16751148618e-09,1.1725145363e-09
2019-11-01 00:29:59.008400,3.69411633757e-07,8.33987695222e-09,1.20288113691e-09,1.2078854069e-09
2019-11-01 00:44:59.008400,3.82176606575e-07,8.17622251956e-09,1.20053661068e-09,1.20589301377e-09
2019-11-01 00:59:59.008400,3.8199427247e-07,7.99241159098e-09,1.27053406108e-09,1.27620886687e-09
2019-11-01 01:14:59.008400,3.89422457808e-07,8.1634859443e-09,1.2582784739e-09,1.2648802487e-09
2019-11-01 01:29:59.008400,3.74925608931e-07,8.24466089294e-09,1.24858178206e-09,1.25510443078e-09
2019-11-01 01:44:59.008400,3.79340891048e-07,8.27380311386e-09,1.21994376198e-09,1.22606108084e-09
2019-11-01 01:59:59.008400,3.92629947324e-07,7.9460788293e-09,1.18629122715e-09,1.19217477948e-09
2019-11-01 02:14:59.008400,3.94886756604e-07,8.40903492422e-09,1.17728941053e-09,1.18356521555e-09
2019-11-01 02:29:59.008400,4.01899661989e-07,8.37557602408e-09,1.22045176069e-09,1.22660284111e-09
2019-11-01 02:44:59.008400,3.72418309429e-07,7.72210919227e-09,1.1834397109e-09,1.18965676858e-09
2019-11-01 02:59:59.008400,3.90898634997e-07,7.70919458997e-09,1.16788309966e-09,1.17401329781e-09
2019-11-01 03:14:59.008400,4.09670538571e-07,7.78904080455e-09,1.19173960291e-09,1.19757377365e-09
2019-11-01 03:29:59.008400,3.87343993175e-07,7.79555531378e-09,1.12971666385e-09,1.13554938215e-09
2019-11-01 03:44:59.008400,3.62374221212e-07,7.44177841122e-09,1.03176421292e-09,1.03714693984e-09
2019-11-01 03:59:59.008400,3.68851132226e-07,7.24860973177e-09,1.05183000755e-09,1.05596983097e-09
2019-11-01 04:14:59.008400,3.84065380347e-07,7.21062828031e-09,1.0361903365e-09,1.04035986711e-09
