,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:55.550000,1.03882000343e-07,5.75132114867e-09,9.02838619004e-10,9.59065269232e-10
2019-10-31 23:44:55.550000,1.04046572488e-07,5.93606364091e-09,9.42005978676e-10,1.00837977677e-09
2019-10-31 23:59:55.550000,1.10023312172e-07,6.26610310517e-09,7.76283784544e-10,8.19224832962e-10
2019-11-01 00:14:55.550000,1.17135781727e-07,6.80999588514e-09,7.01838708028e-10,7.28081943802e-10
2019-11-01 00:29:55.550000,1.17071086651e-07,6.87581724451e-09,6.56803489966e-10,6.90002825124e-10
2019-11-01 00:44:55.550000,1.14236918446e-07,6.66013388708e-09,7.0057776862e-10,7.48577870267e-10
2019-11-01 00:59:55.550000,1.14267122597e-07,6.47780087121e-09,7.31215158807e-10,7.65743834144e-10
2019-11-01 01:14:55.550000,1.18085337548e-07,6.08773429039e-09,6.65567027158e-10,6.86283654262e-10
2019-11-01 01:29:55.550000,1.20713741077e-07,5.81063866142e-09,6.8088669663e-10,7.06511568624e-10
2019-11-01 01:44:55.550000,1.31763045602e-07,6.01670100991e-09,7.49434230369e-10,7.71757966344e-10
2019-11-01 01:59:55.550000,1.27459949831e-07,6.07241572583e-09,8.06432049965e-10,8.34325098634e-10
2019-11-01 02:14:55.550000,1.32889722658e-07,5.83901043617e-09,8.05640768232e-10,8.3131004241e-10
2019-11-01 02:29:55.550000,1.33565525383e-07,6.03919024001e-09,8.96876145151e-10,9.2632556146e-10
2019-11-01 02:44:55.550000,1.30655290517e-07,6.13439763675e-09,9.95404370148e-10,1.01191036838e-09
2019-11-01 02:59:55.550000,1.40128303542e-07,6.30314865717e-09,1.20179211214e-09,1.21958480533e-09
2019-11-01 03:14:55.550000,1.36690383543e-07,6.87454086826e-09,1.27843980961e-09,1.30746933783e-09
2019-11-01 03:29:55.550000,1.46717974096e-07,7.95163130118e-09,1.27448946348e-09,1.30171822669e-09
2019-11-01 03:44:55.550000,1.55218510851e-07,8.50337282027e-09,1.49555368544e-09,1.53141106718e-09
2019-11-01 03:59:55.550000,1.48374445377e-07,8.12561367191e-09,1.66110261892e-09,1.71236151496e-09
2019-11-01 04:14:55.550000,1.52232197124e-07,7.80136045358e-09,1.70481316282e-09,1.74538464722e-09
2019-11-01 04:29:55.550000,1.54326375988e-07,7.56090241391e-09,1.85316064894e-09,1.9485094857e-09
2019-11-01 04:44:55.550000,1.49593811229e-07,7.64639733662e-09,1.80800841683e-09,1.87802077077e-09
2019-11-01 04:59:55.550000,3.53032008116e-07,4.50457337015e-08,2.59459048411e-09,2.65093487236e-09
2019-11-01 05:14:55.550000,9.7707693542e-07,8.00403578566e-08,3.40157571021e-09,3.46098124894e-09
2019-11-01 05:29:55.550000,2.04733040146e-07,8.3591035867e-09,2.07440946365e-09,2.16892175328e-09
2019-11-01 05:44:55.550000,1.55774707107e-07,8.28231497616e-09,2.27156617013e-09,2.39991121279e-09
2019-11-01 05:59:55.550000,1.50383062408e-07,8.54171147484e-09,2.21193453539e-09,2.34624551445e-09
2019-11-01 06:14:55.550000,1.53185593879e-07,8.51071868804e-09,2.16106613978e-09,2.28590140375e-09
2019-11-01 06:29:55.550000,1.73483284348e-07,8.5761675956e-09,2.17324861145e-09,2.28540820238e-09
2019-11-01 06:44:55.550000,1.78729406175e-07,8.82326564567e-09,2.13296734417e-09,2.21154232343e-09
2019-11-01 06:59:55.550000,1.67467403475e-07,8.90425450197e-09,2.23922746406e-09,2.32189025389e-09
2019-11-01 07:14:55.550000,1.78378480974e-07,8.34870408185e-09,2.15418740393e-09,2.25766123293e-09
2019-11-01 07:29:55.550000,1.91200647042e-07,1.31771019633e-08,2.9096992899e-09,2.98153973219e-09
2019-11-01 07:44:55.550000,1.98772478343e-07,1.36690166143e-08,2.95081775175e-09,3.01735268141e-09
2019-11-01 07:59:55.550000,1.88688492077e-07,8.83861044239e-09,2.197908376e-09,2.30007457962e-09
2019-11-01 08:14:55.550000,1.95875776181e-07,8.93541003508e-09,2.26193543796e-09,2.36133899284e-09
2019-11-01 08:29:55.550000,2.02862437217e-07,8.75019216219e-09,2.29002079789e-09,2.38473641899e-09
2019-11-01 08:44:55.550000,2.02682204814e-07,8.64483665447e-09,2.17791130638e-09,2.28119408859e-09
2019-11-01 08:59:55.550000,1.95916933462e-07,8.64012753573e-09,2.21873207222e-09,2.31574567542e-09
2019-11-01 09:14:55.550000,1.90803983262e-07,8.5630144684e-09,2.17181411963e-09,2.2471928759e-09
2019-11-01 09:29:55.550000,2.01546107177e-07,8.44521629711e-09,2.16865058956e-09,2.26261151569e-09
2019-11-01 09:44:55.550000,2.00868908549e-07,8.40228549368e-09,2.2743152166e-09,2.38119715536e-09
2019-11-01 09:59:55.550000,2.08101988406e-07,8.41216742684e-09,2.30348673242e-09,2.41864352637e-09
2019-11-01 10:14:55.550000,2.06285845214e-07,8.69870379984e-09,2.31556469649e-09,2.40109382056e-09
2019-11-01 10:29:55.550000,2.02809117252e-07,8.86075134288e-09,2.33286045987e-09,2.41843914016e-09
2019-11-01 10:44:55.550000,1.88500529829e-07,9.01260138761e-09,2.33891025503e-09,2.44040438774e-09
2019-11-01 10:59:55.550000,1.90683850868e-07,9.19089822084e-09,2.31883524269e-09,2.42012529109e-09
2019-11-01 11:14:55.550000,1.84338733245e-07,9.37181320529e-09,2.31447932259e-09,2.42345674206e-09
2019-11-01 11:29:55.550000,1.87493574815e-07,9.94381216765e-09,2.40049182545e-09,2.53383246821e-09
2019-11-01 11:44:55.550000,1.80173002308e-07,1.01160574084e-08,2.3985747865e-09,2.50868314235e-09
2019-11-01 11:59:55.550000,1.75014146637e-07,1.01066819716e-08,2.38775513109e-09,2.48645626243e-09
2019-11-01 12:14:55.550000,1.79113764248e-07,1.01973759509e-08,2.30338412234e-09,2.39266729078e-09
2019-11-01 12:29:55.550000,1.92605269055e-07,1.02853313932e-08,2.34143269257e-09,2.45876143815e-09
2019-11-01 12:44:55.550000,1.94261886101e-07,1.02036212086e-08,2.34108530702e-09,2.47414966084e-09
2019-11-01 12:59:55.550000,1.73660868241e-07,9.88603213228e-09,2.31827938488e-09,2.44251832946e-09
2019-11-01 13:14:55.550000,1.68852689516e-07,9.36721451888e-09,2.26514611386e-09,2.37413408042e-09
2019-11-01 13:29:55.550000,1.7832710495e-07,9.31614977376e-09,2.2953953619e-09,2.40787166168e-09
2019-11-01 13:44:55.550000,1.74270941201e-07,9.66232907252e-09,2.30807432984e-09,2.43606864138e-09
2019-11-01 13:59:55.550000,1.64153222266e-07,9.69256515449e-09,2.41856816032e-09,2.56966108738e-09
2019-11-01 14:14:55.550000,1.655911147e-07,9.5958846456e-09,2.3781584278e-09,2.53664412103e-09
2019-11-01 14:29:55.550000,1.69206805386e-07,8.99074922149e-09,2.20333509561e-09,2.34485112989e-09
2019-11-01 14:44:55.550000,1.74064841791e-07,8.87356321579e-09,2.37174252288e-09,2.50998839906e-09
2019-11-01 14:59:55.550000,1.77624047497e-07,8.32769042203e-09,2.43980651814e-09,2.58282563066e-09
2019-11-01 15:14:55.550000,1.70053693058e-07,8.66414889979e-09,2.19631389327e-09,2.34476588277e-09
2019-11-01 15:29:55.550000,1.63065661197e-07,8.97621065085e-09,2.10851023803e-09,2.23146784264e-09
2019-11-01 15:44:55.550000,1.61000206682e-07,9.09621884907e-09,2.03473123103e-09,2.14021955907e-09
