,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:58.140000,1.320449622e-07,1.68793498626e-09,2.51914522964e-10,3.67701717128e-10
2019-10-31 23:44:58.140000,1.26443249206e-07,1.72006226332e-09,2.72402944769e-10,3.75522982748e-10
2019-10-31 23:59:58.140000,1.37883061346e-07,1.70254011591e-09,2.52107967552e-10,3.60401253261e-10
2019-11-01 00:14:58.140000,1.33774742025e-07,1.82768212337e-09,2.29842012966e-10,3.45890309412e-10
2019-11-01 00:29:58.140000,1.27994401279e-07,2.23551467125e-09,2.27158316918e-10,3.48993375235e-10
2019-11-01 00:44:58.140000,1.1486541953e-07,3.05659167585e-09,2.21282889826e-10,3.37486442387e-10
2019-11-01 00:59:58.140000,1.23455691873e-07,3.99035172539e-09,2.19610643699e-10,3.31127165952e-10
2019-11-01 01:14:58.140000,1.34834256365e-07,4.380594578e-09,2.2362519872e-10,3.36813049564e-10
2019-11-01 01:29:58.140000,1.4211637227e-07,4.17267212649e-09,2.07933477634e-10,3.20280856599e-10
2019-11-01 01:44:58.140000,1.52860016371e-07,4.03655266801e-09,2.26571672813e-10,3.3737021113e-10
2019-11-01 01:59:58.140000,1.46492944614e-07,3.83266966152e-09,2.38070988844e-10,3.4749773206e-10
2019-11-01 02:14:58.140000,1.48589134715e-07,3.03213948404e-09,2.49462135112e-10,3.55958079737e-10
2019-11-01 02:29:58.140000,1.34708304967e-07,2.54791838352e-09,3.15599586793e-10,4.04819071326e-10
2019-11-01 02:44:58.140000,1.21330153952e-07,2.20531016516e-09,3.66845450835e-10,4.57815634512e-10
2019-11-01 02:59:58.140000,1.1624531574e-07,2.07680519506e-09,3.64255591551e-10,4.45304641329e-10
2019-11-01 03:14:58.140000,1.19338824335e-07,2.13389995688e-09,4.6156985934e-10,5.52810640614e-10
2019-11-01 03:29:58.140000,1.23410456708e-07,2.25717956051e-09,4.90774531976e-10,5.9588302182e-10
2019-11-01 03:44:58.140000,1.28293954875e-07,2.25123559199e-09,5.38488931322e-10,6.42989426215e-10
2019-11-01 03:59:58.140000,1.33275842664e-07,2.18119148093e-09,5.9664257927e-10,7.10350461601e-10
2019-11-01 04:14:58.140000,1.32939419256e-07,2.23639487656e-09,6.00407144552e-10,7.02318023009e-10
2019-11-01 04:29:58.140000,1.28973397817e-07,2.32952956352e-09,6.42251162458e-10,7.43862301023e-10
2019-11-01 04:44:58.140000,1.26790603896e-07,2.4382316038e-09,7.21993425142e-10,8.29292016979e-10
2019-11-01 04:59:58.140000,9.29624801699e-07,1.18531196689e-07,3.06317639651e-09,3.09469927402e-09
2019-11-01 05:14:58.140000,1.49905302562e-06,1.69734638367e-07,4.23714901402e-09,4.26148197644e-09
2019-11-01 05:29:58.140000,1.87374846163e-07,2.58769692413e-09,7.77686018459e-10,9.07223192511e-10
2019-11-01 05:44:58.140000,1.36185182602e-07,2.43806938304e-09,8.2786230434e-10,9.5502914046e-10
2019-11-01 05:59:58.140000,1.30175010102e-07,2.27962913595e-09,8.26531634626e-10,9.51419692722e-10
2019-11-01 06:14:58.140000,1.41619571598e-07,2.48006946453e-09,8.18395941544e-10,9.47875424323e-10
2019-11-01 06:29:58.140000,1.41052042558e-07,3.14845852884e-09,8.20954882015e-10,9.51844372581e-10
2019-11-01 06:44:58.140000,1.35347642858e-07,2.89916726247e-09,8.35848330559e-10,9.66084104515e-10
2019-11-01 06:59:58.140000,1.22589667725e-07,2.13427377957e-09,8.51363212717e-10,9.80649764322e-10
2019-11-01 07:14:58.140000,1.18032736415e-07,2.03298039973e-09,7.85875761613e-10,9.05554881956e-10
2019-11-01 07:29:58.140000,1.39890156738e-07,7.84190260252e-09,9.84717217346e-10,1.07505488865e-09
2019-11-01 07:44:58.140000,1.51472698568e-07,7.97660836362e-09,9.92673186713e-10,1.08755799721e-09
2019-11-01 07:59:58.140000,1.26193956408e-07,2.30872865558e-09,7.67645897072e-10,8.84082714485e-10
2019-11-01 08:14:58.140000,1.28840618474e-07,2.15685487407e-09,7.35759455759e-10,8.5296602284e-10
2019-11-01 08:29:58.140000,1.31389576682e-07,2.08423231079e-09,7.51802628144e-10,8.73176078928e-10
2019-11-01 08:44:58.140000,1.29501190659e-07,2.07098247209e-09,7.60958041943e-10,8.82158651039e-10
2019-11-01 08:59:58.140000,1.30267071393e-07,2.0980510477e-09,7.79528713002e-10,9.01270182184e-10
2019-11-01 09:14:58.140000,1.31534363114e-07,2.34845668902e-09,7.18546733342e-10,8.33817852636e-10
2019-11-01 09:29:58.140000,1.24693798884e-07,2.23058420964e-09,7.11497162009e-10,8.29181616216e-10
2019-11-01 09:44:58.140000,1.245597089e-07,2.13328194989e-09,7.41698890342e-10,8.6332608318e-10
2019-11-01 09:59:58.140000,1.22481892615e-07,2.18726885931e-09,7.74046099994e-10,8.94205656569e-10
2019-11-01 10:14:58.140000,1.19340659921e-07,2.22137560692e-09,8.09869808443e-10,9.18277381837e-10
2019-11-01 10:29:58.140000,1.21116708316e-07,2.11277546099e-09,7.86210379049e-10,8.97234184774e-10
2019-11-01 10:44:58.140000,1.22490037037e-07,2.10056659219e-09,7.5979423264e-10,8.75125236515e-10
2019-11-01 10:59:58.140000,1.25219936725e-07,2.06228364504e-09,7.46893237113e-10,8.59874015067e-10
