,0.1-1.0,1.0-20.0,4.0-14.0,10.0-19.0
2019-10-31 23:29:59.019536,3.73707994301e-07,5.79874124111e-09,2.78105928945e-11,1.43917335953e-11
2019-10-31 23:44:59.019536,3.9380269368e-07,5.76851286646e-09,2.6280223456e-11,1.41181402175e-11
2019-10-31 23:59:59.019536,3.80713996183e-07,5.81957828116e-09,2.71588508112e-11,1.42129689602e-11
2019-11-01 00:14:59.019536,3.62453741914e-07,5.74084758777e-09,2.39268022839e-11,1.32650579794e-11
2019-11-01 00:29:59.019536,3.95956056622e-07,5.66708491092e-09,1.84115577173e-11,1.18568012521e-11
2019-11-01 00:44:59.019536,4.13164322032e-07,5.80477901846e-09,1.5352656446e-11,1.12497861218e-11
2019-11-01 00:59:59.019536,4.04884582387e-07,5.79419578656e-09,1.41333458928e-11,1.12380962443e-11
2019-11-01 01:14:59.019536,3.93472804032e-07,5.77311869247e-09,1.3480788961e-11,1.10990508464e-11
2019-11-01 01:29:59.019536,3.82432775894e-07,5.74639039282e-09,1.404366702e-11,1.10549904206e-11
2019-11-01 01:44:59.019536,3.90392425877e-07,5.65941066638e-09,1.45314254696e-11,1.09173211542e-11
2019-11-01 01:59:59.019536,4.0482975277e-07,5.62392123778e-09,1.46064734024e-11,1.10120460585e-11
2019-11-01 02:14:59.019536,4.22146779401e-07,5.67338071329e-09,1.43200361969e-11,1.09053247757e-11
2019-11-01 02:29:59.019536,4.06338737138e-07,5.48684716198e-09,1.51339315846e-11,1.11661996654e-11
2019-11-01 02:44:59.019536,4.12715262342e-07,5.41102597586e-09,1.69811885828e-11,1.15460034382e-11
2019-11-01 02:59:59.019536,4.16238450267e-07,5.55120288532e-09,1.91799335835e-11,1.19532583553e-11
2019-11-01 03:14:59.019536,4.14440136005e-07,5.15453315254e-09,2.15855052839e-11,1.25342208809e-11
2019-11-01 03:29:59.019536,4.05438086838e-07,5.25909137318e-09,2.7723121804e-11,1.45834541068e-11
2019-11-01 03:44:59.019536,4.15533202587e-07,5.58716198017e-09,2.94593799999e-11,1.43672585662e-11
2019-11-01 03:59:59.019536,4.15694341547e-07,5.59934894446e-09,2.4899998469e-11,1.26368581892e-11
2019-11-01 04:14:59.019536,4.44403013507e-07,5.57905674287e-09,2.28579420364e-11,1.25332359325e-11
2019-11-01 04:29:59.019536,4.33582465965e-07,5.62989241883e-09,2.39535427225e-11,1.27752057168e-11
2019-11-01 04:44:59.019536,4.22921711462e-07,5.73027083052e-09,2.23326521464e-11,1.24315059909e-11
2019-11-01 04:59:59.019536,4.43628331369e-07,5.74848321979e-09,1.9489753242e-11,1.20090128284e-11
2019-11-01 05:14:59.019536,4.43338134835e-07,5.82521256717e-09,1.81653199556e-11,1.17350436159e-11
2019-11-01 05:29:59.019536,4.37892495441e-07,5.63095617897e-09,1.82976808001e-11,1.17272590795e-11
2019-11-01 05:44:59.019536,4.55200173654e-07,5.85981683832e-09,1.79743432566e-11,1.155902622e-11
2019-11-01 05:59:59.019536,4.45822658617e-07,5.83656037977e-09,1.62938735586e-11,1.12504226656e-11
2019-11-01 06:14:59.019536,4.39197827325e-07,5.71278900324e-09,1.497614753e-11,1.11281871245e-11
2019-11-01 06:29:59.019536,4.16509058479e-07,5.68213330011e-09,1.50550498511e-11,1.10096430601e-11
2019-11-01 06:44:59.019536,4.39350471936e-07,5.60964681166e-09,1.52080781313e-11,1.09257026245e-11
2019-11-01 06:59:59.019536,4.43044957226e-07,5.50802113982e-09,1.51548079129e-11,1.1028641133e-11
2019-11-01 07:14:59.019536,4.54206963859e-07,5.45992751382e-09,1.45900478926e-11,1.09914285141e-11
2019-11-01 07:29:59.019536,4.61674974745e-07,5.44506474733e-09,1.47253024002e-11,1.09111660304e-11
2019-11-01 07:44:59.019536,4.51111494815e-07,5.47851458163e-09,1.73979202937e-11,1.2908114796e-11
2019-11-01 07:59:59.019536,4.62483092648e-07,5.42115968926e-09,1.73194374473e-11,1.27094323468e-11
2019-11-01 08:14:59.019536,4.80584205425e-07,5.4794867065e-09,1.51312908214e-11,1.10612106143e-11
2019-11-01 08:29:59.019536,4.91144203083e-07,5.49257110105e-09,1.82387530742e-11,1.30043789804e-11
2019-11-01 08:44:59.019536,4.93057762763e-07,5.57861739545e-09,1.65049826485e-11,1.25049907078e-11
2019-11-01 08:59:59.019536,4.89384205484e-07,5.43765718718e-09,1.78506044239e-11,1.29291043531e-11
2019-11-01 09:14:59.019536,4.70530719344e-07,5.38661293594e-09,1.84450980578e-11,1.22199890951e-11
2019-11-01 09:29:59.019536,4.69877183036e-07,5.2726540654e-09,2.1749531118e-11,1.55109740092e-11
2019-11-01 09:44:59.019536,4.85667277986e-07,5.17507033216e-09,2.42719419415e-11,1.66357620265e-11
2019-11-01 09:59:59.019536,4.83336278869e-07,5.1039864639e-09,1.67267649618e-11,1.15731115292e-11
2019-11-01 10:14:59.019536,4.92134953282e-07,5.12508115223e-09,2.05019307522e-11,1.48297561164e-11
2019-11-01 10:29:59.019536,4.86140685855e-07,4.99654936136e-09,2.22676756634e-11,1.43445815923e-11
2019-11-01 10:44:59.019536,4.75576713453e-07,5.19607228025e-09,2.57408949485e-11,1.65227203365e-11
2019-11-01 10:59:59.019536,4.61559238902e-07,5.14785907734e-09,2.33950956094e-11,1.21744622326e-11
