,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:59.019538,4.64646131593e-07,3.0922332013e-09,1.10100274079e-10,7.88278560304e-10
2019-10-31 23:44:59.019538,4.50591387635e-07,3.12276831986e-09,9.98516317817e-11,7.56464715949e-10
2019-10-31 23:59:59.019538,3.97468036519e-07,3.20983183297e-09,1.30373670809e-10,7.66471633187e-10
2019-11-01 00:14:59.019538,4.09901126326e-07,3.2660245994e-09,2.0573721247e-10,8.17922847577e-10
2019-11-01 00:29:59.019538,4.52475930487e-07,3.33616886568e-09,2.19230399057e-10,8.17887013503e-10
2019-11-01 00:44:59.019538,4.01075085395e-07,3.3410592548e-09,1.57081275912e-10,7.88474679289e-10
2019-11-01 00:59:59.019538,4.11053296507e-07,3.29333834131e-09,9.89881091463e-11,7.96891238107e-10
2019-11-01 01:14:59.019538,3.90733662351e-07,3.32822106275e-09,9.9622534415e-11,8.14554827801e-10
2019-11-01 01:29:59.019538,3.90797353976e-07,3.36779808604e-09,9.90222660026e-11,7.91780734405e-10
2019-11-01 01:44:59.019538,4.22298008648e-07,3.40748088199e-09,1.05527413524e-10,7.81647756701e-10
2019-11-01 01:59:59.019538,4.28899675679e-07,3.41452047063e-09,1.18057727177e-10,7.82866098812e-10
2019-11-01 02:14:59.019538,4.14167107865e-07,3.50360773649e-09,1.41955364039e-10,7.90566332762e-10
2019-11-01 02:29:59.019538,4.29326622757e-07,3.35779898147e-09,1.51393846811e-10,7.73849270077e-10
2019-11-01 02:44:59.019538,4.29628172183e-07,3.3777852503e-09,1.67535676989e-10,7.71368993767e-10
2019-11-01 02:59:59.019538,4.17607516445e-07,3.50916500598e-09,2.30865130515e-10,7.98313049588e-10
2019-11-01 03:14:59.019538,4.13101986507e-07,3.69951940351e-09,3.77821366513e-10,9.09665418065e-10
2019-11-01 03:29:59.019538,4.20682742331e-07,3.62070106934e-09,3.58834114392e-10,8.95486940103e-10
2019-11-01 03:44:59.019538,4.25928745929e-07,3.5124023507e-09,3.04820235313e-10,8.14542830305e-10
2019-11-01 03:59:59.019538,4.42317174661e-07,3.52644653377e-09,2.95297843191e-10,8.36412201329e-10
2019-11-01 04:14:59.019538,4.56825021686e-07,3.52912124859e-09,3.06375623037e-10,8.71859511456e-10
2019-11-01 04:29:59.019538,4.13961586939e-07,3.51060522556e-09,3.045948433e-10,8.49105020113e-10
2019-11-01 04:44:59.019538,4.45211428711e-07,3.4515448935e-09,2.73826770805e-10,8.15848770483e-10
2019-11-01 04:59:59.019538,4.2704885505e-07,3.51515782933e-09,3.1291778675e-10,8.34214814327e-10
2019-11-01 05:14:59.019538,4.12786474227e-07,3.62245676784e-09,3.11380971388e-10,8.54826011484e-10
2019-11-01 05:29:59.019538,3.8170600738e-07,3.49775104048e-09,2.85000456253e-10,8.46484551108e-10
2019-11-01 05:44:59.019538,3.34179286735e-07,3.51809997526e-09,2.81736472255e-10,8.48442196133e-10
2019-11-01 05:59:59.019538,3.86480704625e-07,3.5024037276e-09,2.84430209231e-10,8.21030296318e-10
2019-11-01 06:14:59.019538,4.45085745902e-07,3.46018920604e-09,2.81153725374e-10,8.21768150693e-10
2019-11-01 06:29:59.019538,4.29213186535e-07,3.49816169214e-09,2.96549394406e-10,8.3733126949e-10
