,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-11-30 23:29:59.019537,8.03590799339555e-08,1.7322452356306595e-09,2.488194954237745e-10,8.69649017599593e-10
2019-11-30 23:44:59.019537,8.177911397897095e-08,2.0932253412189823e-09,2.819901469508221e-10,9.105718323101268e-10
2019-11-30 23:59:59.019537,8.49002167336936e-08,2.1812134407014642e-09,3.397537940478744e-10,8.950624163256653e-10
2019-12-01 00:14:59.019537,8.047101691239341e-08,1.5352171809528548e-09,3.788764701384979e-10,8.897942858587373e-10
2019-12-01 00:29:59.019537,8.253481527873739e-08,1.2009019015767982e-09,3.6310871609098864e-10,9.001444290376786e-10
2019-12-01 00:44:59.019537,8.519636515038049e-08,1.2438183975920136e-09,2.2069634794055995e-10,8.719404379849247e-10
2019-12-01 00:59:59.019537,8.240113947324538e-08,1.127026356132082e-09,2.1627648740165018e-10,8.76681737443927e-10
2019-12-01 01:14:59.019537,8.297826269703235e-08,1.1093887836777163e-09,2.7402461979544563e-10,8.864113324924375e-10
2019-12-01 01:29:59.019537,7.786654096989066e-08,1.3686809936714243e-09,3.6377497102958575e-10,8.940240329710644e-10
2019-12-01 01:44:59.019537,8.167668207533526e-08,2.622310317845837e-09,6.633997782044005e-10,1.0658018747947574e-09
2019-12-01 01:59:59.019537,8.644930748419788e-08,2.518781001354072e-09,6.916018730053205e-10,1.085996822325849e-09
2019-12-01 02:14:59.019537,8.142804725355899e-08,1.4875041112601586e-09,5.946609265644404e-10,1.0092498973160688e-09
2019-12-01 02:29:59.019537,8.765106612146382e-08,1.6366264211634987e-09,4.2467917435899807e-10,9.32426719588884e-10
2019-12-01 02:44:59.019537,8.526831371447482e-08,1.91229625932623e-09,5.763753671221461e-10,1.0157132791365754e-09
2019-12-01 02:59:59.019537,8.523753895910608e-08,2.65472634056725e-09,6.563434098789265e-10,1.0770998401164505e-09
2019-12-01 03:14:59.019537,8.345287501007222e-08,2.583910618587271e-09,7.568552914807433e-10,1.1515951032591534e-09
2019-12-01 03:29:59.019537,8.405676916459042e-08,3.407841852471376e-09,1.9123636521207274e-09,2.1468764687591833e-09
