,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:59.019539,1.64479032841e-07,2.05011897349e-09,4.39861959291e-10,8.37771977231e-10
2019-10-31 23:44:59.019539,1.76769866629e-07,2.01184815027e-09,4.3103377113e-10,8.14731583298e-10
2019-10-31 23:59:59.019539,1.61414975143e-07,2.09056412143e-09,4.19797136156e-10,8.09243056979e-10
2019-11-01 00:14:59.019539,1.63063741799e-07,2.05589420728e-09,4.2418422988e-10,8.36126863539e-10
2019-11-01 00:29:59.019539,1.605473309e-07,1.95214625606e-09,4.19768518969e-10,8.45291211973e-10
2019-11-01 00:44:59.019539,1.64818221975e-07,1.94758001871e-09,4.00693845872e-10,8.29369404632e-10
2019-11-01 00:59:59.019539,1.74194594498e-07,1.84438739974e-09,3.80990015943e-10,7.95080067294e-10
2019-11-01 01:14:59.019539,1.83143736885e-07,1.81025813613e-09,3.69183892909e-10,8.02752675313e-10
2019-11-01 01:29:59.019539,1.80083317704e-07,1.88997029877e-09,3.69412156394e-10,7.99086936793e-10
2019-11-01 01:44:59.019539,1.85768470061e-07,1.80339241934e-09,3.6608540862e-10,7.91476846496e-10
2019-11-01 01:59:59.019539,1.72780929139e-07,1.84317969213e-09,3.55718021688e-10,8.12974986111e-10
2019-11-01 02:14:59.019539,1.78185977248e-07,1.83846582759e-09,3.47423148628e-10,8.10898887337e-10
2019-11-01 02:29:59.019539,1.8484676246e-07,1.85050473395e-09,3.8404230849e-10,8.0791443907e-10
2019-11-01 02:44:59.019539,1.77118304734e-07,1.87302820591e-09,3.77968989428e-10,8.17101684674e-10
2019-11-01 02:59:59.019539,1.93648975146e-07,1.870185532e-09,3.81482445447e-10,8.24671905129e-10
2019-11-01 03:14:59.019539,1.88297199355e-07,2.00020474612e-09,4.31419061623e-10,8.10649395158e-10
2019-11-01 03:29:59.019539,1.77755891429e-07,1.95124241225e-09,5.12314611391e-10,8.52489771211e-10
2019-11-01 03:44:59.019539,1.69827946641e-07,1.97112787009e-09,6.25210369349e-10,9.45284458708e-10
2019-11-01 03:59:59.019539,1.81388059782e-07,1.86373407344e-09,4.4316587275e-10,8.40088307136e-10
2019-11-01 04:14:59.019539,1.90307007717e-07,1.84860685076e-09,3.79848159448e-10,7.94270540314e-10
2019-11-01 04:29:59.019539,1.72955496248e-07,1.8577797285e-09,3.46590678852e-10,7.85529339931e-10
2019-11-01 04:44:59.019539,1.70212070267e-07,1.84736134575e-09,3.86807144705e-10,8.15769319834e-10
2019-11-01 04:59:59.019539,1.86745063575e-07,1.87303463556e-09,3.78571004008e-10,8.17885039342e-10
2019-11-01 05:14:59.019539,1.85602170026e-07,1.86318683919e-09,3.60822881972e-10,7.89414921579e-10
2019-11-01 05:29:59.019539,1.91497646513e-07,1.83673883333e-09,3.56662389957e-10,7.6895216749e-10
2019-11-01 05:44:59.019539,1.87985565492e-07,1.72641924116e-09,3.21898348145e-10,7.44245329744e-10
2019-11-01 05:59:59.019539,1.85231235843e-07,1.80238716062e-09,4.32796982886e-10,8.42194681518e-10
2019-11-01 06:14:59.019539,1.85557048284e-07,1.94960691406e-09,6.31026875782e-10,9.71004824065e-10
2019-11-01 06:29:59.019539,1.75774714448e-07,1.80644601478e-09,3.68697853586e-10,8.25413027886e-10
2019-11-01 06:44:59.019539,1.65548554519e-07,1.78608204429e-09,3.71437843179e-10,7.90217171267e-10
2019-11-01 06:59:59.019539,1.65790658963e-07,2.01160597692e-09,7.61810184565e-10,1.0556476438e-09
2019-11-01 07:14:59.019539,1.72076431424e-07,1.93465725229e-09,7.31192300889e-10,1.02656865594e-09
2019-11-01 07:29:59.019539,1.64794184664e-07,1.79280710195e-09,3.48444656784e-10,8.00772745407e-10
2019-11-01 07:44:59.019539,1.73242674345e-07,1.72378418892e-09,2.97290327065e-10,7.77749347631e-10
2019-11-01 07:59:59.019539,1.82468249939e-07,1.70741300949e-09,3.02407169038e-10,7.83017316821e-10
2019-11-01 08:14:59.019539,1.81469200299e-07,1.67917993045e-09,2.95125547374e-10,7.61420115455e-10
2019-11-01 08:29:59.019539,1.7996323746e-07,1.66677301067e-09,3.12644637419e-10,7.84549280947e-10
2019-11-01 08:44:59.019539,1.77851481875e-07,1.71610421881e-09,3.39412338499e-10,8.07802642592e-10
2019-11-01 08:59:59.019539,1.79535067414e-07,1.75860361964e-09,3.97198547369e-10,8.26671962217e-10
2019-11-01 09:14:59.019539,1.83213143503e-07,1.7664257828e-09,3.88243580661e-10,8.14490907633e-10
2019-11-01 09:29:59.019539,1.74497422937e-07,1.69890324147e-09,3.38238449189e-10,7.73133142149e-10
2019-11-01 09:44:59.019539,1.80240401839e-07,1.70624605469e-09,3.43187597048e-10,7.68333021661e-10
2019-11-01 09:59:59.019539,1.71217261242e-07,1.76195802674e-09,3.74104294247e-10,8.17729385583e-10
2019-11-01 10:14:59.019539,1.76666945879e-07,1.74053687349e-09,3.50760885028e-10,8.11673589189e-10
2019-11-01 10:29:59.019539,1.73396941174e-07,1.82152975038e-09,4.4312587285e-10,8.68276018686e-10
2019-11-01 10:44:59.019539,1.64931341303e-07,1.92906593226e-09,5.03822818178e-10,8.93699272691e-10
2019-11-01 10:59:59.019539,1.67092293952e-07,1.84059150554e-09,4.03565790532e-10,8.28363774331e-10
2019-11-01 11:14:59.019539,1.72425481819e-07,1.8057454311e-09,3.77839308184e-10,8.29490298497e-10
2019-11-01 11:29:59.019539,1.67989249616e-07,1.75340008707e-09,3.57946527645e-10,8.11254572906e-10
2019-11-01 11:44:59.019539,1.66864427358e-07,1.73531439677e-09,3.64847616435e-10,8.15114262265e-10
2019-11-01 11:59:59.019539,1.78307524335e-07,1.75137901309e-09,3.70991015647e-10,8.00761062992e-10
2019-11-01 12:14:59.019539,1.77469897183e-07,1.7664538787e-09,3.79760598275e-10,8.46329709914e-10
2019-11-01 12:29:59.019539,1.73585688865e-07,1.74860505311e-09,3.86812402921e-10,8.29490801016e-10
2019-11-01 12:44:59.019539,1.67456430196e-07,1.78407598914e-09,3.97249297118e-10,8.2035852483e-10
2019-11-01 12:59:59.019539,1.49666021883e-07,1.78496006448e-09,3.84754188249e-10,8.0908529149e-10
2019-11-01 13:14:59.019539,1.61921482119e-07,1.79832912848e-09,4.37311444463e-10,8.39110798765e-10
2019-11-01 13:29:59.019539,1.66242460502e-07,1.82183794087e-09,5.49747716998e-10,9.01487551773e-10
2019-11-01 13:44:59.019539,1.56437863114e-07,1.78458919011e-09,4.76862575598e-10,8.36291696446e-10
2019-11-01 13:59:59.019539,1.62861749939e-07,1.77833740216e-09,4.16268304014e-10,8.10744696243e-10
2019-11-01 14:14:59.019539,1.75652640995e-07,1.77702581121e-09,4.22497512817e-10,8.0108116205e-10
2019-11-01 14:29:59.019539,1.75292191023e-07,1.77148300571e-09,4.14517646548e-10,8.10765053846e-10
2019-11-01 14:44:59.019539,1.73770230921e-07,1.81702635307e-09,4.53128233736e-10,8.32172515686e-10
2019-11-01 14:59:59.019539,1.56848905147e-07,1.86817843838e-09,5.76122646722e-10,8.99150451032e-10
2019-11-01 15:14:59.019539,1.88468449698e-07,1.94608683912e-09,5.68485093788e-10,9.12415661887e-10
2019-11-01 15:29:59.019539,1.844271803e-07,1.99944408835e-09,5.9956218486e-10,9.23315099844e-10
2019-11-01 15:44:59.019539,1.61763163569e-07,1.93651820776e-09,5.75436645548e-10,9.12028198715e-10
2019-11-01 15:59:59.019539,1.59769840845e-07,1.93473715867e-09,6.0671690993e-10,9.60707460289e-10
2019-11-01 16:14:59.019539,1.63699222796e-07,1.93800884186e-09,5.80420498653e-10,9.45907845618e-10
2019-11-01 16:29:59.019539,1.65703820593e-07,1.90269710367e-09,5.39166152393e-10,8.99548303868e-10
2019-11-01 16:44:59.019539,1.58661486212e-07,1.90545963752e-09,5.56901580939e-10,8.99517991379e-10
2019-11-01 16:59:59.019539,1.67369882718e-07,1.96641387978e-09,5.55928826832e-10,8.89749971662e-10
2019-11-01 17:14:59.019539,1.57445394724e-07,1.97726531243e-09,5.78650314917e-10,9.07015704159e-10
2019-11-01 17:29:59.019539,1.55939001182e-07,2.0316315969e-09,5.52710691758e-10,9.2580379097e-10
2019-11-01 17:44:59.019539,1.49100431288e-07,1.97502514515e-09,4.82549973275e-10,8.72660368772e-10
2019-11-01 17:59:59.019539,1.46263630862e-07,1.88261481581e-09,4.15292877947e-10,8.09885759241e-10
2019-11-01 18:14:59.019539,1.44424729411e-07,1.88570626429e-09,3.7947344723e-10,7.8444175945e-10
2019-11-01 18:29:59.019539,1.58177955053e-07,1.88703281036e-09,3.95436037762e-10,8.05909573391e-10
2019-11-01 18:44:59.019539,1.66433760457e-07,1.88424375503e-09,3.97330543724e-10,8.26851710487e-10
2019-11-01 18:59:59.019539,1.55679157344e-07,1.84857871025e-09,3.56517094905e-10,8.14952044555e-10
