,0.1-1.0,1.0-20.0,4.0-14.0,10.0-19.0
2019-10-31 23:29:59.019536,1.46903995129e-07,1.37781587794e-09,1.07606787608e-10,6.10706521666e-11
2019-10-31 23:44:59.019536,1.49620251558e-07,1.37496657584e-09,1.24166443398e-10,7.18633943728e-11
2019-10-31 23:59:59.019536,1.47812690862e-07,1.37885562931e-09,1.44161520246e-10,8.6376866411e-11
2019-11-01 00:14:59.019536,1.39838119769e-07,1.3313183477e-09,1.46705023453e-10,8.05728827523e-11
2019-11-01 00:29:59.019536,1.37215850855e-07,1.34950865184e-09,1.51985050002e-10,8.44658134344e-11
2019-11-01 00:44:59.019536,1.33359652548e-07,1.3907340888e-09,1.59286531964e-10,8.3496380304e-11
2019-11-01 00:59:59.019536,1.29306199223e-07,1.40766260848e-09,1.63712744544e-10,8.75316330893e-11
2019-11-01 01:14:59.019536,1.31169104404e-07,1.41946480874e-09,1.6621790894e-10,8.74533383931e-11
2019-11-01 01:29:59.019536,1.32965004632e-07,1.43743512267e-09,1.77062730917e-10,9.61016825569e-11
2019-11-01 01:44:59.019536,1.43258990056e-07,1.44283938362e-09,1.73106282876e-10,1.00348711839e-10
2019-11-01 01:59:59.019536,1.41394813873e-07,1.38056079489e-09,1.76100726978e-10,9.35944827186e-11
2019-11-01 02:14:59.019536,1.35733645589e-07,1.44346281701e-09,1.73384873321e-10,9.0709953168e-11
2019-11-01 02:29:59.019536,1.42766366219e-07,1.47693310054e-09,1.72292463134e-10,1.04251718579e-10
2019-11-01 02:44:59.019536,1.3763162038e-07,1.40012268064e-09,1.75266998768e-10,1.07408350524e-10
2019-11-01 02:59:59.019536,1.32086446244e-07,1.38718899244e-09,1.82675284682e-10,9.94050885472e-11
2019-11-01 03:14:59.019536,1.38806857814e-07,1.37048873613e-09,1.89640232219e-10,1.02082253315e-10
2019-11-01 03:29:59.019536,1.41505428168e-07,1.36970740086e-09,1.89729713343e-10,1.04569652404e-10
2019-11-01 03:44:59.019536,1.34969113307e-07,1.38232218472e-09,1.87106212069e-10,1.0789497268e-10
2019-11-01 03:59:59.019536,1.26626181874e-07,1.39396634025e-09,1.9455524129e-10,1.21350746162e-10
2019-11-01 04:14:59.019536,1.26701449103e-07,1.3587807312e-09,1.9457323809e-10,1.1857667255e-10
2019-11-01 04:29:59.019536,1.23407429689e-07,1.34042587587e-09,1.85567860354e-10,1.01750818636e-10
2019-11-01 04:44:59.019536,1.2585151908e-07,1.37934793711e-09,1.92994101303e-10,1.05428865997e-10
2019-11-01 04:59:59.019536,1.27498155801e-07,1.33296037033e-09,1.97405878054e-10,1.08047344834e-10
2019-11-01 05:14:59.019536,1.25313807055e-07,1.32524803344e-09,2.01146995725e-10,1.18193541316e-10
