,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:59.019538,5.62253928812e-07,5.33426105231e-09,5.26597704727e-11,1.16190028945e-09
2019-10-31 23:44:59.019538,5.67943023806e-07,5.7386621145e-09,5.18925065509e-11,1.13626016731e-09
2019-10-31 23:59:59.019538,5.46557325987e-07,5.73292569898e-09,5.21177027002e-11,1.10750544634e-09
2019-11-01 00:14:59.019538,5.76326263932e-07,5.57965420066e-09,5.08113507979e-11,1.1261201904e-09
2019-11-01 00:29:59.019538,5.85729204491e-07,5.49974111924e-09,5.13604302752e-11,1.1059626325e-09
2019-11-01 00:44:59.019538,5.1674187898e-07,5.2473524718e-09,5.15447181113e-11,1.08996171752e-09
2019-11-01 00:59:59.019538,5.7055602247e-07,4.98071375302e-09,4.99694995359e-11,1.07720367945e-09
2019-11-01 01:14:59.019538,5.59061577524e-07,4.99959613839e-09,4.74328814131e-11,1.14811877082e-09
2019-11-01 01:29:59.019538,5.19281979487e-07,5.08703742918e-09,5.14860308058e-11,1.12574832741e-09
2019-11-01 01:44:59.019538,5.57800111991e-07,4.8865857024e-09,8.99483591407e-11,1.1113612774e-09
2019-11-01 01:59:59.019538,5.66171409115e-07,5.01529928703e-09,9.08592117342e-11,1.13247634172e-09
2019-11-01 02:14:59.019538,5.54452724533e-07,5.05831306314e-09,5.00939081106e-11,1.15219705427e-09
2019-11-01 02:29:59.019538,5.44088952122e-07,5.10317842125e-09,5.03554432734e-11,1.11277552201e-09
2019-11-01 02:44:59.019538,5.91156422727e-07,5.0302688049e-09,4.78419656221e-11,1.0939240811e-09
2019-11-01 02:59:59.019538,5.8739327665e-07,5.01410984018e-09,4.55715338377e-11,1.09920225907e-09
2019-11-01 03:14:59.019538,5.52265608641e-07,5.09109211911e-09,4.73476942889e-11,1.10432373794e-09
2019-11-01 03:29:59.019538,5.55306858346e-07,4.95688321547e-09,4.59044472636e-11,1.11614685361e-09
2019-11-01 03:44:59.019538,5.51115562266e-07,4.87224513428e-09,4.53489755118e-11,1.12939014546e-09
2019-11-01 03:59:59.019538,5.73901197448e-07,4.91675531537e-09,4.58877007074e-11,1.09392427733e-09
2019-11-01 04:14:59.019538,5.21252233211e-07,4.82799688221e-09,4.80523586704e-11,1.1382370781e-09
2019-11-01 04:29:59.019538,5.01238836362e-07,4.76730609453e-09,6.04611564004e-11,1.13981020237e-09
2019-11-01 04:44:59.019538,5.03241183059e-07,4.64919987275e-09,9.04670498154e-11,1.15507424686e-09
2019-11-01 04:59:59.019538,4.99437970488e-07,4.70383698139e-09,7.59647044602e-11,1.14946717653e-09
2019-11-01 05:14:59.019538,5.21879677631e-07,4.9517882982e-09,9.26047685632e-11,1.1544466684e-09
2019-11-01 05:29:59.019538,5.15234747848e-07,4.94352297714e-09,5.08214654468e-11,1.14051975875e-09
2019-11-01 05:44:59.019538,5.25283720877e-07,4.87475423185e-09,9.27629331941e-11,1.13683089207e-09
2019-11-01 05:59:59.019538,5.26893620681e-07,4.73095213365e-09,9.24773013159e-11,1.13860891785e-09
2019-11-01 06:14:59.019538,5.25072526636e-07,4.86293932325e-09,5.08993741159e-11,1.11655986676e-09
2019-11-01 06:29:59.019538,5.75638691374e-07,4.78264619121e-09,5.63235412409e-11,1.13031304325e-09
2019-11-01 06:44:59.019538,5.83112324443e-07,4.85540718423e-09,6.32187249036e-11,1.11650395207e-09
2019-11-01 06:59:59.019538,5.54257119585e-07,4.73252664541e-09,1.20989407064e-10,1.04381290523e-09
2019-11-01 07:14:59.019538,5.22371478781e-07,4.82510351266e-09,1.10545415221e-10,1.12653549539e-09
2019-11-01 07:29:59.019538,5.20459758232e-07,5.0154684187e-09,6.84726048679e-11,1.16066697043e-09
2019-11-01 07:44:59.019538,5.23977095068e-07,5.09526947606e-09,9.05272131713e-11,1.11397490551e-09
2019-11-01 07:59:59.019538,5.47921415136e-07,5.04495331497e-09,8.64262964515e-11,1.12903347229e-09
2019-11-01 08:14:59.019538,5.23747743393e-07,5.11041985997e-09,8.90092726551e-11,1.13329465806e-09
2019-11-01 08:29:59.019538,5.67625036947e-07,5.19498796917e-09,7.91766805169e-11,1.12615850337e-09
2019-11-01 08:44:59.019538,5.53697149477e-07,5.30056044849e-09,2.07225053542e-10,1.13915419675e-09
2019-11-01 08:59:59.019538,5.44966609717e-07,5.42197067815e-09,3.41835462374e-10,1.18589648139e-09
2019-11-01 09:14:59.019538,4.96544078164e-07,5.46477621715e-09,2.24696069415e-10,1.15504495605e-09
2019-11-01 09:29:59.019538,5.13645158521e-07,5.41998196879e-09,9.54200379862e-11,1.1038046587e-09
2019-11-01 09:44:59.019538,5.52353131574e-07,5.70447208024e-09,8.92875519155e-11,1.15282555892e-09
2019-11-01 09:59:59.019538,5.03182596785e-07,5.85937030892e-09,1.57741765954e-10,1.10411349123e-09
2019-11-01 10:14:59.019538,4.95973339232e-07,5.66201434744e-09,1.80633439075e-10,1.11663494876e-09
2019-11-01 10:29:59.019538,5.32514758413e-07,5.74933190926e-09,1.18462006593e-10,1.14573901842e-09
2019-11-01 10:44:59.019538,5.41817811859e-07,5.6592408866e-09,8.05011472526e-11,1.10592948089e-09
2019-11-01 10:59:59.019538,5.12305193614e-07,5.72568571045e-09,1.07914231903e-10,1.08646136849e-09
2019-11-01 11:14:59.019538,5.32926157124e-07,5.84765851024e-09,1.02354693115e-10,1.08084635388e-09
2019-11-01 11:29:59.019538,5.36241425709e-07,5.81740963985e-09,9.63460356171e-11,1.12794375381e-09
2019-11-01 11:44:59.019538,5.62799925983e-07,5.5595990708e-09,1.08660044061e-10,1.14632606991e-09
2019-11-01 11:59:59.019538,5.46687128667e-07,5.59768445541e-09,9.14539752217e-11,1.1099190141e-09
2019-11-01 12:14:59.019538,5.55284305034e-07,5.75749036403e-09,2.05023692778e-10,1.18031846225e-09
2019-11-01 12:29:59.019538,5.36892002078e-07,5.8539445091e-09,1.9193728968e-10,1.18212764675e-09
2019-11-01 12:44:59.019538,5.64555795979e-07,5.65835782819e-09,1.11523099635e-10,1.16595959061e-09
2019-11-01 12:59:59.019538,5.26862165041e-07,5.70851113498e-09,1.6202122623e-10,1.14167799049e-09
2019-11-01 13:14:59.019538,5.07353838227e-07,5.82381000131e-09,1.74733386026e-10,1.13789906973e-09
2019-11-01 13:29:59.019538,5.06497432581e-07,5.81291055324e-09,1.23879204112e-10,1.16222074222e-09
2019-11-01 13:44:59.019538,5.00120518777e-07,5.70422254768e-09,1.15418929013e-10,1.10649390755e-09
2019-11-01 13:59:59.019538,5.31980420518e-07,5.79349103801e-09,1.41260986688e-10,1.11726673556e-09
2019-11-01 14:14:59.019538,5.3578937418e-07,5.8427697609e-09,1.01715177006e-10,1.12598871346e-09
2019-11-01 14:29:59.019538,5.50201817462e-07,5.77653336355e-09,1.15086756558e-10,1.13858151743e-09
2019-11-01 14:44:59.019538,5.63656813194e-07,5.70635941849e-09,1.62099170413e-10,1.13236275472e-09
2019-11-01 14:59:59.019538,5.19001032161e-07,5.91827279562e-09,1.18654094677e-10,1.13875035269e-09
2019-11-01 15:14:59.019538,4.95135637103e-07,5.80786335702e-09,1.95734983554e-10,1.17225830678e-09
2019-11-01 15:29:59.019538,5.08143042807e-07,5.66776122374e-09,2.31409642261e-10,1.15605001778e-09
2019-11-01 15:44:59.019538,5.05666390065e-07,5.88984835388e-09,1.88175659351e-10,1.11818240853e-09
2019-11-01 15:59:59.019538,5.06308606288e-07,5.9986319653e-09,1.40366977865e-10,1.13969147458e-09
2019-11-01 16:14:59.019538,5.2042508667e-07,6.05031785906e-09,1.61089785432e-10,1.10802689017e-09
2019-11-01 16:29:59.019538,5.00388806252e-07,5.99700092966e-09,1.30254613136e-10,1.13014375716e-09
2019-11-01 16:44:59.019538,4.67277298556e-07,5.98625730988e-09,1.97724229555e-10,1.1644045404e-09
2019-11-01 16:59:59.019538,4.74918944392e-07,6.03847466084e-09,1.08566455631e-10,1.11736814279e-09
2019-11-01 17:14:59.019538,5.04332308013e-07,6.00103010495e-09,9.2567760015e-11,1.14182240078e-09
2019-11-01 17:29:59.019538,5.11912172601e-07,5.94965635239e-09,1.25095911669e-10,1.16069449222e-09
2019-11-01 17:44:59.019538,4.86475039465e-07,5.95377709912e-09,1.8048186062e-10,1.14799929098e-09
2019-11-01 17:59:59.019538,5.06900295607e-07,5.82012201444e-09,2.16182243135e-10,1.16446772991e-09
2019-11-01 18:14:59.019538,4.98666929874e-07,5.79593920164e-09,1.19190910863e-10,1.13433115113e-09
2019-11-01 18:29:59.019538,5.02114020833e-07,6.14465504809e-09,1.43086138096e-10,1.15738735247e-09
2019-11-01 18:44:59.019538,4.92721052479e-07,5.96537640067e-09,1.2351949517e-10,1.12536813591e-09
2019-11-01 18:59:59.019538,4.70540933973e-07,5.72814107443e-09,2.13785910759e-10,1.12765865934e-09
2019-11-01 19:14:59.019538,4.67477203282e-07,5.80138582523e-09,9.09705460038e-11,1.14632841926e-09
2019-11-01 19:29:59.019538,5.06562985172e-07,6.04211901549e-09,1.28182708741e-10,1.1383704019e-09
2019-11-01 19:44:59.019538,5.0085133545e-07,6.12827752345e-09,1.41614757256e-10,1.13769293404e-09
2019-11-01 19:59:59.019538,4.82389612729e-07,5.97655312565e-09,1.42990191603e-10,1.15912154332e-09
2019-11-01 20:14:59.019538,5.2850903251e-07,5.84297731424e-09,1.18576707068e-10,1.14980625353e-09
2019-11-01 20:29:59.019538,5.0948069838e-07,5.93634451696e-09,1.2911909993e-10,1.18474079268e-09
2019-11-01 20:44:59.019538,4.91811943486e-07,5.94659333172e-09,1.24241291837e-10,1.14286852236e-09
2019-11-01 20:59:59.019538,4.80693509901e-07,6.20665308484e-09,6.71447516778e-11,1.1599406735e-09
2019-11-01 21:14:59.019538,4.5479119661e-07,6.10751415884e-09,5.46351111333e-11,1.1622154178e-09
2019-11-01 21:29:59.019538,4.90040321978e-07,6.01458481727e-09,5.5743092663e-11,1.1132048053e-09
2019-11-01 21:44:59.019538,5.06738294569e-07,6.05687757012e-09,7.77132427981e-11,1.14728964729e-09
2019-11-01 21:59:59.019538,4.74713649423e-07,6.04527854046e-09,1.23648995921e-10,1.0900386027e-09
2019-11-01 22:14:59.019538,4.58246168488e-07,6.13219966901e-09,5.87079794022e-11,1.06711355789e-09
2019-11-01 22:29:59.019538,4.77938127357e-07,6.17278308267e-09,4.87705176225e-11,1.09700495004e-09
2019-11-01 22:44:59.019538,4.92813995074e-07,5.96499320278e-09,4.69209529295e-11,1.12587696013e-09
2019-11-01 22:59:59.019538,4.79746867584e-07,5.99524739509e-09,4.89787091024e-11,1.11588563253e-09
2019-11-01 23:14:59.019538,4.67598872432e-07,6.00174826664e-09,5.46658796017e-11,1.11656000007e-09
2019-11-01 23:29:59.019538,4.59517021817e-07,5.86633365487e-09,5.06347145537e-11,1.14274837679e-09
2019-11-01 23:44:59.019538,4.80428491469e-07,5.87806394651e-09,4.59511593158e-11,1.10878380841e-09
2019-11-01 23:59:59.019538,5.05440355204e-07,6.25362692456e-09,4.60745822134e-11,1.14843162528e-09
2019-11-02 00:29:59.019536,4.86218620914e-07,5.93423886732e-09,1.41965278058e-10,1.17111702948e-09
2019-11-02 00:44:59.019536,4.74325966613e-07,5.85681902902e-09,9.58018162803e-11,1.18402456063e-09
2019-11-02 00:59:59.019536,4.83705070841e-07,5.75742690419e-09,4.83206132273e-11,1.17646119636e-09
2019-11-02 01:14:59.019536,4.67792603195e-07,5.83311432762e-09,4.4340315138e-11,1.09969602887e-09
2019-11-02 01:29:59.019536,4.80232605053e-07,5.7733411082e-09,6.0516120786e-11,1.11270501533e-09
2019-11-02 01:44:59.019536,4.63939678587e-07,5.88343268972e-09,5.98519172949e-11,1.15239287824e-09
2019-11-02 01:59:59.019536,4.50757464317e-07,6.03834197692e-09,4.12079886595e-11,1.13989458699e-09
2019-11-02 02:14:59.019536,4.675100485e-07,5.97412729689e-09,4.18443893658e-11,1.15613597474e-09
2019-11-02 02:29:59.019536,4.83280740339e-07,5.85591289045e-09,4.5133930415e-11,1.16708653907e-09
2019-11-02 02:44:59.019536,4.86540135122e-07,6.02796404728e-09,4.38003744445e-11,1.10214766633e-09
2019-11-02 02:59:59.019536,4.67615795832e-07,5.90390491267e-09,4.12622951377e-11,1.12278249425e-09
2019-11-02 03:14:59.019536,4.67664213534e-07,5.89282255025e-09,4.07446432563e-11,1.10054822962e-09
2019-11-02 03:29:59.019536,4.7519970151e-07,5.80364865976e-09,4.38333275698e-11,1.10975426653e-09
2019-11-02 03:44:59.019536,4.61840950641e-07,5.74538389932e-09,4.12593695309e-11,1.13498434009e-09
