,2.0-20.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:59.019538,9.65087521166e-10,2.18894554328e-09,2.3359930863e-10,9.16947801958e-10
2019-10-31 23:44:59.019538,9.75352940633e-10,2.25416993918e-09,2.34830209757e-10,9.26359151893e-10
2019-10-31 23:59:59.019538,9.64639320164e-10,2.24352788761e-09,2.27286060271e-10,9.16263893139e-10
2019-11-01 00:14:59.019538,9.64834162173e-10,2.30934789613e-09,2.37774367955e-10,9.15593616236e-10
2019-11-01 00:29:59.019538,9.83611025277e-10,2.41698953327e-09,2.35985117565e-10,9.32063988162e-10
2019-11-01 00:44:59.019538,9.87973900099e-10,2.41475350735e-09,2.28488077867e-10,9.33227182754e-10
2019-11-01 00:59:59.019538,9.5970314263e-10,2.43555460769e-09,2.24677859733e-10,9.11358016631e-10
2019-11-01 01:14:59.019538,9.37582438479e-10,2.44455357545e-09,2.15114784821e-10,8.88515968434e-10
2019-11-01 01:29:59.019538,9.65462495219e-10,2.40590245738e-09,2.12652354419e-10,9.08184590795e-10
2019-11-01 01:44:59.019538,9.80504645478e-10,2.48340837894e-09,2.18191686818e-10,9.19550271661e-10
2019-11-01 01:59:59.019538,9.6151720893e-10,2.41741328954e-09,2.07660883672e-10,9.06334522989e-10
2019-11-01 02:14:59.019538,9.59975052131e-10,2.45316166935e-09,2.08939774854e-10,9.08872837417e-10
2019-11-01 02:29:59.019538,9.46120644111e-10,2.52037462668e-09,2.14341208745e-10,8.95928114993e-10
2019-11-01 02:44:59.019538,9.41381731606e-10,2.47246076186e-09,2.23846812898e-10,8.91637719395e-10
2019-11-01 02:59:59.019538,9.49020295693e-10,2.50709053538e-09,2.2726404759e-10,8.96412209068e-10
2019-11-01 03:14:59.019538,9.5369412059e-10,2.58979541464e-09,2.29839949973e-10,9.00859947618e-10
2019-11-01 03:29:59.019538,9.654945306e-10,2.63196559322e-09,2.29342539278e-10,9.14426702248e-10
2019-11-01 03:44:59.019538,9.94912224501e-10,2.63765779858e-09,2.39718949023e-10,9.46534276099e-10
2019-11-01 03:59:59.019538,9.79386086645e-10,2.91740185598e-09,2.36674216729e-10,9.29831860418e-10
2019-11-01 04:14:59.019538,9.71744512884e-10,3.06779636604e-09,2.19129768908e-10,9.23958000425e-10
2019-11-01 04:29:59.019538,9.36773902263e-10,3.40585632305e-09,2.09459591952e-10,8.96403281299e-10
2019-11-01 04:44:59.019538,9.41176540408e-10,3.99026331385e-09,2.08771860975e-10,9.0050064382e-10
2019-11-01 04:59:59.019538,9.44503779683e-10,4.97382493096e-09,2.08381394091e-10,9.05559520824e-10
2019-11-01 05:14:59.019538,9.69069961772e-10,4.92283712509e-09,2.15378640666e-10,9.30382246439e-10
2019-11-01 05:29:59.019538,9.67855266467e-10,3.87177369148e-09,2.0028257998e-10,9.2852986732e-10
2019-11-01 05:44:59.019538,9.59859697252e-10,3.67284411122e-09,1.94336828204e-10,9.19813817333e-10
2019-11-01 05:59:59.019538,9.64393049752e-10,3.31311428583e-09,1.95680505392e-10,9.28483701581e-10
2019-11-01 06:14:59.019538,9.50424271117e-10,2.73361343989e-09,1.867061621e-10,9.16674510191e-10
2019-11-01 06:29:59.019538,9.3774954987e-10,2.4367995601e-09,1.78024832136e-10,9.06350233816e-10
2019-11-01 06:44:59.019538,9.35806571212e-10,2.2542552702e-09,1.79170850175e-10,9.07809567524e-10
2019-11-01 06:59:59.019538,9.25358167107e-10,2.17557622346e-09,1.77035239523e-10,8.99541876136e-10
2019-11-01 07:14:59.019538,9.07184453064e-10,2.11449465458e-09,1.71344105911e-10,8.82490089914e-10
2019-11-01 07:29:59.019538,9.29205811336e-10,2.07511921085e-09,1.61089273466e-10,9.05099559239e-10
2019-11-01 07:44:59.019538,9.56715868497e-10,2.05779917005e-09,1.58295315914e-10,9.21478392206e-10
2019-11-01 07:59:59.019538,9.68227480124e-10,2.00408097304e-09,1.55651917139e-10,9.22336899665e-10
2019-11-01 08:14:59.019538,9.54649445058e-10,1.98128846229e-09,1.66608456376e-10,9.01860505317e-10
2019-11-01 08:29:59.019538,9.46694292254e-10,1.94968196782e-09,1.75113219984e-10,8.78545110419e-10
2019-11-01 08:44:59.019538,9.69533402196e-10,1.9002848689e-09,1.55569133709e-10,9.11073933931e-10
2019-11-01 08:59:59.019538,9.09272940898e-10,1.85304616447e-09,1.24096329833e-10,8.90174313521e-10
2019-11-01 09:14:59.019538,9.2513887055e-10,1.85142878576e-09,1.12435043506e-10,9.12757440896e-10
2019-11-01 09:29:59.019538,8.86721715261e-10,1.8216636968e-09,1.00084657986e-10,8.7615624775e-10
2019-11-01 09:44:59.019538,8.69854176085e-10,1.80856106434e-09,9.78319669065e-11,8.59778979916e-10
2019-11-01 09:59:59.019538,8.83957111017e-10,1.69878456402e-09,1.03251724952e-10,8.73323076855e-10
2019-11-01 10:14:59.019538,9.12677591845e-10,1.7137047482e-09,9.70029007588e-11,9.03279690136e-10
2019-11-01 10:29:59.019538,9.38600170031e-10,1.76360606349e-09,9.96471650718e-11,9.295341354e-10
2019-11-01 10:44:59.019538,9.16143450476e-10,1.77288618834e-09,1.02554278633e-10,9.06276565833e-10
2019-11-01 10:59:59.019538,9.03080080439e-10,1.75416041045e-09,8.76686464899e-11,8.93304612986e-10
2019-11-01 11:14:59.019538,9.09528097259e-10,1.73201342251e-09,7.82254283208e-11,9.00543140118e-10
2019-11-01 11:29:59.019538,9.2135074256e-10,1.75574280154e-09,7.93492119282e-11,9.12814081695e-10
2019-11-01 11:44:59.019538,8.93945764705e-10,1.74639062595e-09,8.29676696669e-11,8.84850916333e-10
2019-11-01 11:59:59.019538,9.3081849012e-10,1.85187718097e-09,7.23440896822e-11,9.21905556102e-10
2019-11-01 12:14:59.019538,8.90147349848e-10,1.82727308854e-09,6.2736369126e-11,8.80702971091e-10
2019-11-01 12:29:59.019538,9.04621360894e-10,1.82506333616e-09,6.08480010004e-11,8.95297673981e-10
2019-11-01 12:44:59.019538,9.16670117852e-10,1.85729443624e-09,6.40996514741e-11,9.08186915954e-10
2019-11-01 12:59:59.019538,9.25044732557e-10,1.83471699546e-09,6.1080153877e-11,9.16655547183e-10
2019-11-01 13:14:59.019538,9.16416795284e-10,1.85952847102e-09,5.20740023948e-11,9.08177948917e-10
2019-11-01 13:29:59.019538,8.81255358103e-10,1.87006332307e-09,5.0158112373e-11,8.72713356235e-10
2019-11-01 13:44:59.019538,8.88009492343e-10,1.90943114501e-09,5.27820001619e-11,8.79454014511e-10
2019-11-01 13:59:59.019538,8.86365066813e-10,2.00439092409e-09,5.6449426597e-11,8.77628036138e-10
2019-11-01 14:14:59.019538,8.92831612698e-10,1.94902907327e-09,4.70006379367e-11,8.8481419285e-10
2019-11-01 14:29:59.019538,8.77300757102e-10,1.87667690068e-09,4.67060623394e-11,8.69723639256e-10
2019-11-01 14:44:59.019538,8.71347692513e-10,1.89087950993e-09,4.07434189136e-11,8.64463161881e-10
2019-11-01 14:59:59.019538,9.02315104385e-10,1.90313570568e-09,3.94092613907e-11,8.96157889942e-10
2019-11-01 15:14:59.019538,8.93412827471e-10,1.86833815378e-09,4.01448496059e-11,8.87762928454e-10
2019-11-01 15:29:59.019538,8.843302912e-10,1.80567423323e-09,3.68583031123e-11,8.78878409381e-10
2019-11-01 15:44:59.019538,9.0105502585e-10,1.83562025199e-09,3.81022189277e-11,8.95366076422e-10
2019-11-01 15:59:59.019538,9.01179368356e-10,1.91408684421e-09,4.27967372208e-11,8.94860230749e-10
2019-11-01 16:14:59.019538,8.80697254363e-10,1.87870664293e-09,4.06470176286e-11,8.73351190962e-10
2019-11-01 16:29:59.019538,8.82950111147e-10,1.87799503822e-09,3.98691509446e-11,8.75333883019e-10
2019-11-01 16:44:59.019538,8.90675559296e-10,1.8526007231e-09,3.92091467803e-11,8.84414484215e-10
2019-11-01 16:59:59.019538,8.97769354996e-10,1.86987118513e-09,3.38558095108e-11,8.9227126141e-10
2019-11-01 17:14:59.019538,8.65649988773e-10,1.8331065079e-09,3.64891947427e-11,8.58682987014e-10
2019-11-01 17:29:59.019538,8.87455298794e-10,1.83988650393e-09,4.72765870567e-11,8.79747181643e-10
2019-11-01 17:44:59.019538,9.0690710349e-10,1.81134122897e-09,5.13311324464e-11,8.99282306885e-10
2019-11-01 17:59:59.019538,9.00453625109e-10,1.8777120803e-09,4.75185861567e-11,8.92549988514e-10
2019-11-01 18:14:59.019538,9.0912768656e-10,1.92979289453e-09,4.97775317447e-11,9.00339366782e-10
2019-11-01 18:29:59.019538,9.21594669773e-10,1.90443905442e-09,5.86474214185e-11,9.1372727531e-10
2019-11-01 18:44:59.019538,9.00381374671e-10,1.89101651836e-09,6.21678321643e-11,8.91230678646e-10
2019-11-01 18:59:59.019538,9.0462574616e-10,1.89475690474e-09,7.15221227604e-11,8.92305898345e-10
2019-11-01 19:14:59.019538,9.16094665959e-10,1.89803508208e-09,7.50971907503e-11,9.04122016365e-10
2019-11-01 19:29:59.019538,9.13065448682e-10,1.93419011323e-09,8.79898325579e-11,9.0044104052e-10
2019-11-01 19:44:59.019538,9.46804328804e-10,1.99279345098e-09,1.03219862582e-10,9.33802751884e-10
2019-11-01 19:59:59.019538,9.109766826e-10,2.00951508714e-09,9.06261333952e-11,8.9591768943e-10
2019-11-01 20:14:59.019538,8.89013083454e-10,1.97594522857e-09,1.01642335473e-10,8.70160661558e-10
2019-11-01 20:29:59.019538,9.03420407337e-10,1.99644694079e-09,1.06855074863e-10,8.85792722371e-10
2019-11-01 20:44:59.019538,9.45847924166e-10,2.14600894409e-09,1.16990982978e-10,9.28304664077e-10
2019-11-01 20:59:59.019538,9.16846405949e-10,2.15279020889e-09,1.52271110187e-10,8.9601858606e-10
2019-11-01 21:14:59.019538,9.22415564597e-10,2.09872600749e-09,1.67676520428e-10,9.01686718907e-10
2019-11-01 21:29:59.019538,9.14056511628e-10,2.15445423054e-09,1.50380820282e-10,8.93135941554e-10
2019-11-01 21:44:59.019538,9.10489816012e-10,2.22164206334e-09,1.3712461101e-10,8.89562434516e-10
2019-11-01 21:59:59.019538,9.25794782914e-10,2.19655407276e-09,1.40719151047e-10,9.05105644845e-10
2019-11-01 22:14:59.019538,9.03520180936e-10,2.13223175025e-09,1.5102508771e-10,8.81942761041e-10
2019-11-01 22:29:59.019538,9.35842742035e-10,2.09516314059e-09,1.49189463372e-10,9.12164639669e-10
2019-11-01 22:44:59.019538,9.34723107082e-10,2.16901114005e-09,1.46504390523e-10,9.11892856709e-10
2019-11-01 22:59:59.019538,9.26621449767e-10,2.22254048114e-09,1.47073304115e-10,9.03410620219e-10
2019-11-01 23:14:59.019538,9.17713427958e-10,2.1914883345e-09,1.59244468798e-10,8.93813679748e-10
2019-11-01 23:29:59.019538,9.3142720034e-10,2.2374536557e-09,1.63722626709e-10,9.05447188462e-10
2019-11-01 23:44:59.019538,9.31902303413e-10,2.21720415159e-09,1.71530570795e-10,9.05963347046e-10
2019-11-01 23:59:59.019538,9.01866940117e-10,2.05409344987e-09,1.59191536256e-10,8.76777167939e-10
2019-11-02 00:14:59.019538,8.94238378923e-10,2.00092998725e-09,1.62653250143e-10,8.70965185947e-10
2019-11-02 00:29:59.019538,8.91839773179e-10,2.01567360191e-09,1.62917207331e-10,8.66505204263e-10
2019-11-02 00:44:59.019538,9.13455583503e-10,1.98233514686e-09,1.55998499409e-10,8.89454062665e-10
2019-11-02 00:59:59.019538,9.41636656384e-10,2.02389357095e-09,1.58015918442e-10,9.19341757321e-10
2019-11-02 01:14:59.019538,9.49810276432e-10,2.06166605131e-09,1.70008840192e-10,9.2626315869e-10
2019-11-02 01:29:59.019538,9.20356835168e-10,2.1121962405e-09,1.57467007072e-10,8.96668321074e-10
2019-11-02 01:44:59.019538,8.9758089276e-10,2.14685211765e-09,1.55147830088e-10,8.72168749419e-10
2019-11-02 01:59:59.019538,8.91590166368e-10,2.18912202698e-09,1.58460850259e-10,8.64942534684e-10
2019-11-02 02:14:59.019538,9.03918189318e-10,2.23753184863e-09,1.65672810495e-10,8.78813372059e-10
2019-11-02 02:29:59.019538,9.34790176638e-10,2.23360631876e-09,1.68235603221e-10,9.11499922606e-10
2019-11-02 02:44:59.019538,9.5464366387e-10,2.17205207715e-09,1.59046104976e-10,9.31808764212e-10
2019-11-02 02:59:59.019538,9.11057275418e-10,2.08738751893e-09,1.59709439739e-10,8.84706970666e-10
2019-11-02 03:14:59.019538,9.04602702812e-10,2.09239410152e-09,1.6790969663e-10,8.78162116327e-10
2019-11-02 03:29:59.019538,8.99177603195e-10,2.10153246796e-09,1.57246712903e-10,8.73195564583e-10
2019-11-02 03:44:59.019538,9.07067701785e-10,2.01689722594e-09,1.58767732418e-10,8.82984480464e-10
2019-11-02 03:59:59.019538,9.18829275975e-10,2.00095676907e-09,1.5171311818e-10,8.95866472112e-10
2019-11-02 04:14:59.019538,9.17569771182e-10,1.96310333035e-09,1.56462861258e-10,8.93238023541e-10
