,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-11-01 02:08:50.170,1.14658526877e-07,7.40446902019e-09,2.92687427669e-09,3.16704180791e-09
2019-11-01 02:23:50.170,1.53449978025e-07,7.3637925715e-09,2.7625891298e-09,3.03100262691e-09
2019-11-01 02:38:50.170,1.48552193205e-07,7.9569623055e-09,2.9896470951e-09,3.22097353048e-09
2019-11-01 02:53:50.170,1.12914158828e-07,9.55906629415e-09,3.86932025812e-09,4.03521080088e-09
2019-11-01 03:08:50.170,1.13300018298e-07,9.66821985787e-09,3.51390552192e-09,3.70735313513e-09
2019-11-01 03:23:50.170,1.15498959495e-07,1.02211886874e-08,3.32260510099e-09,3.54541287393e-09
2019-11-01 03:38:50.170,1.1733023217e-07,1.24237644516e-08,4.06519145585e-09,4.25408555099e-09
2019-11-01 03:53:50.170,1.12882949607e-07,1.31687080831e-08,4.04354858566e-09,4.2008125216e-09
2019-11-01 04:08:50.170,1.14910950512e-07,1.33246633448e-08,3.58719379193e-09,3.81336843354e-09
2019-11-01 04:23:50.170,1.17175578157e-07,1.32642264784e-08,3.74669009675e-09,3.99838450011e-09
2019-11-01 04:38:50.170,1.13285181221e-07,1.38733548819e-08,3.98441075835e-09,4.14860749163e-09
2019-11-01 04:53:50.170,1.15722778963e-07,1.37657428439e-08,3.85760671481e-09,4.04049248935e-09
2019-11-01 05:08:50.170,1.04738408631e-07,1.3497143168e-08,3.89334974837e-09,4.11278894459e-09
2019-11-01 05:23:50.170,1.07585453159e-07,1.3388315066e-08,3.88496062276e-09,4.09964068808e-09
2019-11-01 05:38:50.170,1.02021938636e-07,1.33480366138e-08,4.41991668021e-09,4.63130760663e-09
2019-11-01 05:53:50.170,1.0587179131e-07,1.35488748447e-08,5.07112594818e-09,5.26812350701e-09
2019-11-01 06:08:50.170,1.08777717037e-07,1.23024261655e-08,3.67735858593e-09,3.88162411125e-09
2019-11-01 06:23:50.170,1.07876182417e-07,1.25047825512e-08,3.30729244782e-09,3.50205620094e-09
2019-11-01 06:38:50.170,1.01035515776e-07,1.33089587189e-08,3.67625299293e-09,3.85125034163e-09
2019-11-01 06:53:50.170,1.06060408724e-07,1.27182902883e-08,3.81915996855e-09,4.00855842987e-09
2019-11-01 07:08:50.170,1.06935381547e-07,1.21486755154e-08,3.3853839801e-09,3.61706637499e-09
2019-11-01 07:23:50.170,1.01674738671e-07,1.19389706166e-08,3.52784056598e-09,3.77164955764e-09
2019-11-01 07:38:50.170,9.9767228431e-08,1.22098134269e-08,3.92795518748e-09,4.13566347034e-09
