,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:59.000,4.60621885424e-08,3.59701577111e-09,1.7904600768e-09,2.13917484614e-09
2019-10-31 23:44:59.000,4.76723278224e-08,4.41122181852e-09,2.3049458323e-09,2.61504840036e-09
2019-10-31 23:59:59.000,4.59948427608e-08,4.4825558497e-09,2.6947179413e-09,3.15999134939e-09
2019-11-01 00:14:59.000,4.50599959044e-08,4.5360044789e-09,2.78621243935e-09,3.42868346066e-09
2019-11-01 00:29:59.000,4.59723382387e-08,4.63350700055e-09,2.72739775617e-09,3.36752390879e-09
2019-11-01 00:44:59.000,4.73727943205e-08,4.31039709628e-09,2.76122743288e-09,3.36249497684e-09
2019-11-01 00:59:59.000,5.02484092574e-08,4.12022407538e-09,2.68876239773e-09,3.33181772213e-09
2019-11-01 01:14:59.000,4.906826436e-08,4.31978790305e-09,2.76511809714e-09,3.4439256647e-09
2019-11-01 01:29:59.000,4.90165684055e-08,4.17539051471e-09,2.9907068518e-09,3.68978359318e-09
2019-11-01 01:44:59.000,4.64718440122e-08,3.51300338761e-09,2.50473025428e-09,3.23181101199e-09
2019-11-01 01:59:59.000,4.73887633255e-08,3.22404190609e-09,2.28347607313e-09,3.0140005021e-09
2019-11-01 02:14:59.000,5.93206338045e-08,4.34759847257e-09,2.83525608049e-09,3.63037261302e-09
2019-11-01 02:29:59.000,7.55723042274e-08,4.59448065035e-09,2.54485733125e-09,3.33733234734e-09
2019-11-01 02:44:59.000,5.72517940297e-08,3.13125098411e-09,2.04544387577e-09,2.70653124971e-09
2019-11-01 02:59:59.000,4.92669928294e-08,2.86348109351e-09,1.95855304614e-09,2.55657065312e-09
2019-11-01 03:14:59.000,4.78712779439e-08,2.83932441819e-09,2.00917636506e-09,2.56121661859e-09
2019-11-01 03:29:59.000,4.75273189177e-08,2.91660436389e-09,2.06688249682e-09,2.6501997495e-09
2019-11-01 03:44:59.000,4.66968263137e-08,3.56415638989e-09,2.23435690182e-09,2.83837115873e-09
2019-11-01 03:59:59.000,4.5613404219e-08,3.70542632226e-09,2.32347227399e-09,2.88525176254e-09
2019-11-01 04:14:59.000,4.51772261566e-08,3.16904349691e-09,2.06115103891e-09,2.7492947227e-09
2019-11-01 04:29:59.000,4.61624003062e-08,3.10162586753e-09,1.94130767471e-09,2.71623023255e-09
2019-11-01 04:44:59.000,4.57882862502e-08,3.40712199101e-09,2.11731146953e-09,2.97264302847e-09
2019-11-01 04:59:59.000,4.89044121613e-08,3.34350928528e-09,2.12010126487e-09,2.92872466957e-09
2019-11-01 05:14:59.000,4.79515735004e-08,3.71296898878e-09,2.30863293379e-09,3.13256100427e-09
2019-11-01 05:29:59.000,4.63707688019e-08,3.67141373618e-09,2.14413156212e-09,2.92335825052e-09
2019-11-01 05:44:59.000,4.58908977129e-08,3.32753321995e-09,1.89279750655e-09,2.70366790788e-09
2019-11-01 05:59:59.000,4.72994319573e-08,3.47816094399e-09,2.23577387729e-09,2.96687425494e-09
2019-11-01 06:14:59.000,4.64699800143e-08,3.45523324736e-09,2.37960278505e-09,3.02908083289e-09
2019-11-01 06:29:59.000,4.44035417539e-08,3.55047602734e-09,2.33124900507e-09,2.98735921124e-09
2019-11-01 06:44:59.000,4.24675362947e-08,3.87012487657e-09,2.60240591004e-09,3.35562372173e-09
2019-11-01 06:59:59.000,4.35772277085e-08,3.6723797975e-09,2.39577404907e-09,3.11109957054e-09
2019-11-01 07:14:59.000,4.52837001173e-08,3.90678116331e-09,2.46285003278e-09,3.19536269004e-09
2019-11-01 07:29:59.000,4.82676352286e-08,3.46303043059e-09,2.13667323356e-09,2.99474918544e-09
2019-11-01 07:44:59.000,4.47211169431e-08,3.21904274625e-09,2.14944259041e-09,2.88533236551e-09
2019-11-01 07:59:59.000,4.35385502335e-08,3.36273160434e-09,2.20298454686e-09,2.91300206985e-09
