,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-11-30 23:29:40.537499,7.308926258289222e-08,8.924356124542613e-09,8.690781832868796e-09,8.690781832868796e-09
2019-11-30 23:44:40.537499,7.281260100157616e-08,9.1008052994247e-09,8.862486896318037e-09,8.862486896318037e-09
2019-11-30 23:59:40.537499,7.180281387398484e-08,9.27573823754161e-09,9.128774154646653e-09,9.128774154646653e-09
2019-12-01 00:14:40.537499,7.300991195353447e-08,9.977177346780277e-09,9.835808813733191e-09,9.835808813733191e-09
2019-12-01 00:29:40.537499,7.481900276840047e-08,8.807027806746526e-09,8.649821228424221e-09,8.649821228424221e-09
2019-12-01 00:44:40.537499,7.528437224770191e-08,8.826061424678845e-09,8.634231873975956e-09,8.634231873975956e-09
2019-12-01 00:59:40.537499,7.652415523411514e-08,9.506358038184585e-09,9.309828480675008e-09,9.309828480675008e-09
2019-12-01 01:14:40.537499,7.94417042554275e-08,9.067673072243867e-09,8.850753162012116e-09,8.850753162012116e-09
2019-12-01 01:29:40.537499,7.619721502868779e-08,8.980176914344316e-09,8.718004690719426e-09,8.718004690719426e-09
2019-12-01 01:44:40.537499,7.225459270255284e-08,1.1876101480607608e-08,1.1624544717431336e-08,1.1624544717431336e-08
2019-12-01 01:59:40.537499,7.446273462740503e-08,1.2688814027026537e-08,1.243206192857113e-08,1.243206192857113e-08
2019-12-01 02:14:40.537499,7.513075180281539e-08,9.648169649035696e-09,9.31062415778372e-09,9.31062415778372e-09
2019-12-01 02:29:40.537499,7.826464410965543e-08,9.204000732354201e-09,8.823589525846924e-09,8.823589525846924e-09
2019-12-01 02:44:40.537499,7.838503507060363e-08,1.0178084581155435e-08,9.788648455004857e-09,9.788648455004857e-09
2019-12-01 02:59:40.537499,7.721166976184577e-08,1.0738774091299317e-08,1.0359124225216575e-08,1.0359124225216575e-08
2019-12-01 03:14:40.537499,7.557890681928502e-08,1.1131485572365555e-08,1.0663921797482782e-08,1.0663921797482782e-08
2019-12-01 03:29:40.537499,7.191832971420828e-08,1.0735762029971574e-08,1.0110265995408844e-08,1.0110265995408844e-08
2019-12-01 03:44:40.537499,7.133108097042085e-08,1.1482345710774521e-08,1.0727268483951982e-08,1.0727268483951982e-08
2019-12-01 03:59:40.537499,7.315824707207697e-08,1.3089858848607642e-08,1.2192699326087145e-08,1.2192699326087145e-08
2019-12-01 04:14:40.537499,7.547085094263824e-08,1.3873310129452872e-08,1.2848708864631e-08,1.2848708864631e-08
2019-12-01 04:29:40.537499,7.318356717540961e-08,1.63338235944934e-08,1.529208248502753e-08,1.529208248502753e-08
2019-12-01 04:44:40.537499,6.906003099689306e-08,2.292216996595384e-08,2.1998529514434465e-08,2.1998529514434465e-08
2019-12-01 04:59:40.537499,7.18451296964499e-08,3.055629239318338e-08,2.9313484764344662e-08,2.9313484764344662e-08
2019-12-01 05:14:40.537499,7.761237855953726e-08,4.1568420377726673e-08,4.0285317439994035e-08,4.0285317439994035e-08
2019-12-01 05:29:40.537499,7.851743616710566e-08,3.653508550232095e-08,3.5153903526487235e-08,3.5153903526487235e-08
2019-12-01 05:44:40.537499,8.741125666827772e-08,3.1894373654178736e-08,3.0671722003501226e-08,3.0671722003501226e-08
2019-12-01 05:59:40.537499,8.505123595723084e-08,2.861763454099007e-08,2.7175295810576773e-08,2.7175295810576773e-08
2019-12-01 06:14:40.537499,7.793725229480376e-08,2.3207461939335063e-08,2.1566296627829543e-08,2.1566296627829543e-08
2019-12-01 06:29:40.537499,7.102225479892364e-08,2.6992490486394646e-08,2.540103535534622e-08,2.540103535534622e-08
2019-12-01 06:44:40.537499,7.1541689286811e-08,2.7554948691010654e-08,2.588547136040292e-08,2.588547136040292e-08
2019-12-01 06:59:40.537499,7.172992074733716e-08,2.925622559058497e-08,2.779667193846256e-08,2.779667193846256e-08
2019-12-01 07:14:40.537499,7.243090195637988e-08,3.182205069017391e-08,3.015849927865555e-08,3.015849927865555e-08
2019-12-01 07:29:40.537499,7.023022080808078e-08,3.3901483730497677e-08,3.2077472957663115e-08,3.2077472957663115e-08
2019-12-01 07:44:40.537499,7.050922577556214e-08,3.725278852738828e-08,3.543073903173939e-08,3.543073903173939e-08
2019-12-01 07:59:40.537499,7.140040760331425e-08,4.725509814799563e-08,4.575342394486227e-08,4.575342394486227e-08
2019-12-01 08:14:40.537499,7.19053753275042e-08,4.78420549262936e-08,4.640810281378241e-08,4.640810281378241e-08
2019-12-01 08:29:40.537499,7.120458415512292e-08,3.5205879487220745e-08,3.3732769685410945e-08,3.3732769685410945e-08
2019-12-01 08:44:40.537499,6.804126129290259e-08,3.31948876601657e-08,3.1621656771188465e-08,3.1621656771188465e-08
2019-12-01 08:59:40.537499,7.640228298055466e-08,3.912995019454068e-08,3.020720424135641e-08,3.020720424135641e-08
2019-12-01 09:14:40.537499,6.75381183850442e-08,2.4448680272537973e-08,2.2726649997775807e-08,2.2726649997775807e-08
2019-12-01 09:29:40.537499,7.043422615614508e-08,4.0183049353914415e-08,3.72098939324584e-08,3.72098939324584e-08
2019-12-01 09:44:40.537499,7.431604337410878e-08,3.821400978654696e-08,2.9826963098987034e-08,2.9826963098987034e-08
2019-12-01 09:59:40.537499,6.896207415434058e-08,1.6238811276868243e-08,1.4367400745500905e-08,1.4367400745500905e-08
2019-12-01 10:14:40.537499,6.752200176385388e-08,1.6998627363293797e-08,1.5208573873824692e-08,1.5208573873824692e-08
2019-12-01 10:29:40.537499,6.89092568280063e-08,4.196117752108214e-08,4.111889282132059e-08,4.111889282132059e-08
2019-12-01 10:44:40.537499,6.835205633025735e-08,5.3041089654277494e-08,5.194894247103986e-08,5.194894247103986e-08
2019-12-01 10:59:40.537499,6.921632052363037e-08,4.716188604465589e-08,4.5629858322382235e-08,4.5629858322382235e-08
2019-12-01 11:14:40.537499,6.960730607201163e-08,4.648749370439211e-08,4.4313124606067904e-08,4.4313124606067904e-08
2019-12-01 11:29:40.537499,6.886369697345254e-08,4.70429345005794e-08,4.554962241334959e-08,4.554962241334959e-08
2019-12-01 11:44:40.537499,6.712861615927539e-08,4.873873534510555e-08,4.7143032310677634e-08,4.7143032310677634e-08
2019-12-01 11:59:40.537499,6.815449185900591e-08,3.893219675262235e-08,3.747928174584239e-08,3.747928174584239e-08
2019-12-01 12:14:40.537499,7.037755621982612e-08,4.622666006209648e-08,4.4864353448510074e-08,4.4864353448510074e-08
2019-12-01 12:29:40.537499,6.895136600147544e-08,4.595409106757751e-08,4.407355613112233e-08,4.407355613112233e-08
2019-12-01 12:44:40.537499,7.029940138850951e-08,3.337546819799066e-08,3.168153958145928e-08,3.168153958145928e-08
2019-12-01 12:59:40.537499,7.575750474697842e-08,3.3154179991141e-08,2.6207583470414516e-08,2.6207583470414516e-08
2019-12-01 13:14:40.537499,7.164900589387147e-08,3.377560564858558e-08,2.56073134097767e-08,2.56073134097767e-08
2019-12-01 13:29:40.537499,6.455218068973136e-08,3.577999526726097e-08,3.445983266341926e-08,3.445983266341926e-08
2019-12-01 13:44:40.537499,6.527984155596691e-08,4.430290606728292e-08,4.291225752297058e-08,4.291225752297058e-08
2019-12-01 13:59:40.537499,6.431549695479866e-08,4.3834016616974086e-08,4.14512094775439e-08,4.14512094775439e-08
2019-12-01 14:14:40.537499,6.343868442805968e-08,2.26537285365679e-08,2.0507158303915763e-08,2.0507158303915763e-08
2019-12-01 14:29:40.537499,6.298419519468627e-08,1.738164418681501e-08,1.6327406868032434e-08,1.6327406868032434e-08
2019-12-01 14:44:40.537499,6.736754176382434e-08,1.555428812173496e-08,1.438017572462407e-08,1.438017572462407e-08
2019-12-01 14:59:40.537499,7.197469380233101e-08,1.4571703747005855e-08,1.3650366050686371e-08,1.3650366050686371e-08
2019-12-01 15:14:40.537499,6.60522142715325e-08,1.5431315463369426e-08,1.4551317383232396e-08,1.4551317383232396e-08
2019-12-01 15:29:40.537499,6.625278558729927e-08,1.818800243066153e-08,1.7511004946698167e-08,1.7511004946698167e-08
2019-12-01 15:44:40.537499,6.717348515177396e-08,1.4917938965864746e-08,1.4331447181032048e-08,1.4331447181032048e-08
2019-12-01 15:59:40.537499,6.593122149492196e-08,1.2826880355554761e-08,1.2199324976640654e-08,1.2199324976640654e-08
2019-12-01 16:14:40.537499,6.714254046236538e-08,1.298383865449446e-08,1.2349528654294278e-08,1.2349528654294278e-08
2019-12-01 16:29:40.537499,6.741775655654836e-08,1.2968734688728026e-08,1.2387215241080854e-08,1.2387215241080854e-08
2019-12-01 16:44:40.537499,6.890432383601384e-08,1.0999183703585443e-08,1.0429902425280569e-08,1.0429902425280569e-08
2019-12-01 16:59:40.537499,6.713137357284282e-08,1.0692623775193586e-08,1.0157479768663997e-08,1.0157479768663997e-08
2019-12-01 17:14:40.537499,6.792425812603847e-08,1.1697427353597213e-08,1.1213236019165361e-08,1.1213236019165361e-08
2019-12-01 17:29:40.537499,6.51254777460581e-08,1.2506127394606752e-08,1.2023021066160896e-08,1.2023021066160896e-08
2019-12-01 17:44:40.537499,6.102876998766704e-08,1.2164819470601085e-08,1.172700060949782e-08,1.172700060949782e-08
2019-12-01 17:59:40.537499,6.155032360061556e-08,1.2400647320136732e-08,1.194620516103931e-08,1.194620516103931e-08
2019-12-01 18:14:40.537499,6.263600251354418e-08,1.4973667308740593e-08,1.4615527322342274e-08,1.4615527322342274e-08
2019-12-01 18:29:40.537499,6.35784721947347e-08,1.3885010678646218e-08,1.3528340255427951e-08,1.3528340255427951e-08
2019-12-01 18:44:40.537499,6.29170262805363e-08,1.166166994312601e-08,1.1245379292129874e-08,1.1245379292129874e-08
2019-12-01 18:59:40.537499,6.361647629764151e-08,1.2138175059139591e-08,1.1781097252251301e-08,1.1781097252251301e-08
2019-12-01 19:14:40.537499,6.698322261307792e-08,1.2601335970933599e-08,1.23061180930703e-08,1.23061180930703e-08
2019-12-01 19:29:40.537499,7.111880064785854e-08,1.171215927250479e-08,1.1435041980242993e-08,1.1435041980242993e-08
2019-12-01 19:44:40.537499,6.625123734179474e-08,1.1371328765433175e-08,1.1083354980243558e-08,1.1083354980243558e-08
2019-12-01 19:59:40.537499,6.502390503224711e-08,1.1591793662421634e-08,1.1241199234313189e-08,1.1241199234313189e-08
2019-12-01 20:14:40.537499,6.422425691134114e-08,1.1170549621489375e-08,1.0835896257074902e-08,1.0835896257074902e-08
2019-12-01 20:29:40.537499,6.54632072499498e-08,1.1169736264590268e-08,1.0876947016548683e-08,1.0876947016548683e-08
2019-12-01 20:44:40.537499,6.78215129844896e-08,1.0778086952853129e-08,1.0528285109110534e-08,1.0528285109110534e-08
2019-12-01 20:59:40.537499,6.814568797015944e-08,1.0915857605220118e-08,1.0620185459125278e-08,1.0620185459125278e-08
2019-12-01 21:14:40.537499,6.726162137804139e-08,1.111006015721592e-08,1.0805280065089249e-08,1.0805280065089249e-08
2019-12-01 21:29:40.537499,6.727113738726912e-08,1.1397760418008301e-08,1.1098141746711945e-08,1.1098141746711945e-08
2019-12-01 21:44:40.537499,6.867397394683016e-08,1.0253501024753368e-08,9.986625815303368e-09,9.986625815303368e-09
2019-12-01 21:59:40.537499,6.646708442855096e-08,9.642537609453431e-09,9.392624884841306e-09,9.392624884841306e-09
2019-12-01 22:14:40.537499,6.606787341056766e-08,9.94826284960747e-09,9.674796837542989e-09,9.674796837542989e-09
2019-12-01 22:29:40.537499,6.918509453910941e-08,1.009633730669005e-08,9.84140164688308e-09,9.84140164688308e-09
2019-12-01 22:44:40.537499,7.413144444991178e-08,1.0019321587672671e-08,9.752298796929613e-09,9.752298796929613e-09
2019-12-01 22:59:40.537499,7.682429896047546e-08,1.0005396983238864e-08,9.732316756722902e-09,9.732316756722902e-09
2019-12-01 23:14:40.537499,7.615265317332545e-08,9.585137480001337e-09,9.28762416812088e-09,9.28762416812088e-09
2019-12-01 23:29:40.537499,7.20241472441687e-08,8.827325130780917e-09,8.425674794336204e-09,8.425674794336204e-09
2019-12-01 23:44:40.537499,7.550777407457443e-08,9.271009716899913e-09,8.871544978871784e-09,8.871544978871784e-09
2019-12-01 23:59:40.537499,7.796554544720922e-08,9.79714625263024e-09,9.477003371707924e-09,9.477003371707924e-09
2019-12-01 23:59:46.237499,7.805834732771413e-08,9.791167103233793e-09,9.471140414793757e-09,9.471140414793757e-09
2019-12-02 00:14:46.237499,7.636495845044544e-08,9.595088321004924e-09,9.218785050487328e-09,9.218785050487328e-09
