,0.1-1.0,1.0-20.0,4.0-14.0,9.0-19.0
2019-10-31 23:29:59.019538,3.23453512867e-07,4.53170893305e-09,3.07635435053e-10,2.74058422606e-10
2019-10-31 23:44:59.019538,3.52038615819e-07,4.50435031965e-09,2.62516092361e-10,2.23760225191e-10
2019-10-31 23:59:59.019538,3.42959864421e-07,4.50364323677e-09,2.70930034881e-10,2.28574696985e-10
2019-11-01 00:14:59.019538,3.51957310682e-07,4.64241407316e-09,2.77044800933e-10,2.34617921335e-10
2019-11-01 00:29:59.019538,3.53759617432e-07,4.60282403235e-09,2.28619866339e-10,1.75403300439e-10
2019-11-01 00:44:59.019538,3.6202660949e-07,4.69510270617e-09,2.09139341042e-10,1.48252884169e-10
2019-11-01 00:59:59.019538,3.43344285079e-07,4.70783578196e-09,2.53048377458e-10,2.01151675756e-10
2019-11-01 01:14:59.019538,3.62478129027e-07,4.6531914951e-09,2.14261555165e-10,1.45912527439e-10
2019-11-01 01:29:59.019538,3.13438068196e-07,4.7107301785e-09,2.2634123234e-10,1.66821110105e-10
2019-11-01 01:44:59.019538,3.3544182687e-07,4.78134947378e-09,2.34006293415e-10,1.76058537404e-10
2019-11-01 01:59:59.019538,3.55069298525e-07,4.86726384284e-09,2.05632589381e-10,1.30149134679e-10
2019-11-01 02:14:59.019538,3.04621832692e-07,4.94827927764e-09,1.85973723938e-10,1.02174768146e-10
2019-11-01 02:29:59.019538,3.21341904207e-07,4.94441396251e-09,1.79769558739e-10,9.51528447069e-11
2019-11-01 02:44:59.019538,3.44273145299e-07,4.8942460806e-09,2.01621993406e-10,1.28170105581e-10
2019-11-01 02:59:59.019538,3.83048009529e-07,4.76948568901e-09,2.10772115986e-10,1.31173290606e-10
2019-11-01 03:14:59.019538,3.62882533683e-07,4.87764607758e-09,1.82789054328e-10,8.57010911092e-11
2019-11-01 03:29:59.019538,3.75240066222e-07,4.95771809565e-09,1.74499470018e-10,6.88595056198e-11
