,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-11-30 23:29:59.019537,1.4538506305982333e-06,5.900794284415238e-08,1.2738057265799415e-08,1.2806890908278397e-08
2019-11-30 23:44:59.019537,1.4357343866540173e-06,4.721148019138236e-08,1.238969352505824e-08,1.2494554461378271e-08
2019-11-30 23:59:59.019537,1.5244132492214873e-06,4.8804969515081575e-08,1.3435384528590202e-08,1.3528951574191319e-08
2019-12-01 00:14:59.019537,1.3968715481334552e-06,4.91731436800602e-08,1.2830409840394134e-08,1.2930063036091803e-08
2019-12-01 00:29:59.019537,1.3820361195228628e-06,4.951903664039345e-08,1.2367310498204837e-08,1.2479501831096341e-08
2019-12-01 00:44:59.019537,1.5040856068557354e-06,4.893658716557014e-08,1.2110850897074137e-08,1.2198115884493049e-08
2019-12-01 00:59:59.019537,1.428307867207712e-06,4.98617700040237e-08,1.178197263938245e-08,1.1862082923792595e-08
2019-12-01 01:14:59.019537,1.3508806362292953e-06,4.9552815332985636e-08,1.210074743952925e-08,1.2167342138783088e-08
2019-12-01 01:29:59.019537,1.4499199449750554e-06,5.7153221204292326e-08,1.3768973060439029e-08,1.3828028823735163e-08
2019-12-01 01:44:59.019537,1.5111860179349459e-06,6.578970937664035e-08,1.2784601038220516e-08,1.287979895655624e-08
2019-12-01 01:59:59.019537,1.4686894690709266e-06,7.3874706617126e-08,1.1901453043312044e-08,1.2011923427095291e-08
2019-12-01 02:14:59.019537,1.4260185994056686e-06,7.091016155803951e-08,1.2563681377817398e-08,1.2654482284155617e-08
2019-12-01 02:29:59.019537,1.4680656721601716e-06,5.571767530086365e-08,1.3124124779354253e-08,1.3206724338749211e-08
2019-12-01 02:44:59.019537,1.355897371990779e-06,5.516636586710152e-08,1.2809400538503242e-08,1.2876825523569963e-08
2019-12-01 02:59:59.019537,1.4281797499317588e-06,5.1074218380132334e-08,1.2009904809050497e-08,1.2136851893726295e-08
2019-12-01 03:14:59.019537,1.6263257205306375e-06,5.388206188446274e-08,1.115608947006397e-08,1.1271266268497315e-08
2019-12-01 03:29:59.019537,1.6001458341299776e-06,4.86687391871849e-08,1.0166028107787891e-08,1.0239793555089406e-08
2019-12-01 03:44:59.019537,1.5106378384775824e-06,4.171842253315925e-08,1.0903186047095215e-08,1.0973205838283707e-08
2019-12-01 03:59:59.019537,1.4579040799023179e-06,5.4364605136711694e-08,1.1404870076376471e-08,1.1479728629681295e-08
2019-12-01 04:14:59.019537,1.3673391026196808e-06,5.8886546915339164e-08,1.0793472504621524e-08,1.0869831019442058e-08
2019-12-01 04:29:59.019537,1.5413388469972412e-06,5.957284236467257e-08,1.071506350141109e-08,1.0789122247101928e-08
2019-12-01 04:44:59.019537,1.61478545567588e-06,7.093577449772685e-08,1.2506563248698221e-08,1.2575337002141097e-08
2019-12-01 04:59:59.019537,1.5021858012409477e-06,5.031085299196067e-08,1.1321715943569713e-08,1.1383993145999091e-08
2019-12-01 05:14:59.019537,1.6427318962738322e-06,5.6748588052409616e-08,1.2782953177176708e-08,1.2843755277939315e-08
2019-12-01 05:29:59.019537,1.5340423511836199e-06,4.799151559431594e-08,1.3085716069832132e-08,1.3141102477604295e-08
2019-12-01 05:44:59.019537,1.5978781855039845e-06,4.872063573053182e-08,1.335905011362006e-08,1.3414248276753058e-08
2019-12-01 05:59:59.019537,1.7581507280587586e-06,4.864550885725879e-08,1.1559140804928873e-08,1.1630823628437808e-08
2019-12-01 06:14:59.019537,1.8594452922095525e-06,6.142311401308033e-08,1.0650553718471185e-08,1.0726275346191813e-08
2019-12-01 06:29:59.019537,1.6460793060156897e-06,6.600917172492374e-08,1.0354478292348255e-08,1.0423807862688387e-08
2019-12-01 06:44:59.019537,1.620004438924052e-06,6.184650859423461e-08,1.0863986336268369e-08,1.0934632170851972e-08
2019-12-01 06:59:59.019537,1.6838120173361822e-06,6.053714328650863e-08,1.1446792264982184e-08,1.1512814374623504e-08
2019-12-01 07:14:59.019537,1.8904912076562347e-06,4.614244569764471e-08,1.158917206620976e-08,1.1650379589275197e-08
2019-12-01 07:29:59.019537,1.7022088099726787e-06,4.846825777368981e-08,1.1202833071959261e-08,1.1267359301922341e-08
2019-12-01 07:44:59.019537,1.6743704745848973e-06,5.040456607889247e-08,1.2486440519849238e-08,1.2548308961572142e-08
2019-12-01 07:59:59.019537,1.7790162535759452e-06,4.6185547757052087e-08,1.2013036023874004e-08,1.2075733304296263e-08
2019-12-01 08:14:59.019537,1.7754441805151065e-06,5.007244571785235e-08,1.2391881527768284e-08,1.2458503763930816e-08
2019-12-01 08:29:59.019537,1.7937424444427239e-06,4.430940161485951e-08,1.2091526783881719e-08,1.2156662119007031e-08
2019-12-01 08:44:59.019537,1.6737661046900367e-06,4.5199844713287515e-08,1.1837692771931217e-08,1.1904322426870301e-08
2019-12-01 08:59:59.019537,1.7582875757861259e-06,4.448124595321414e-08,1.1055401775456348e-08,1.112905243392468e-08
2019-12-01 09:14:59.019537,1.640123353373453e-06,4.1693559045915814e-08,1.1083278482129607e-08,1.115344713118307e-08
2019-12-01 09:29:59.019537,1.7073855447932273e-06,3.709356265063284e-08,1.2183952856947193e-08,1.2243651716101033e-08
2019-12-01 09:44:59.019537,1.6983564913786235e-06,4.068117606613968e-08,1.2857804116489742e-08,1.2911560755044862e-08
2019-12-01 09:59:59.019537,1.7042984315074696e-06,4.0242424358467374e-08,1.186232934236236e-08,1.1917964115950677e-08
2019-12-01 10:14:59.019537,1.6998111108658823e-06,3.793511579816925e-08,1.1729129728654726e-08,1.1789512503350042e-08
