,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:59.019541,1.98751211369e-07,8.91556007696e-10,6.587492464e-11,8.53793773944e-11
2019-10-31 23:44:59.019541,1.84082963948e-07,9.03819262323e-10,5.9791808125e-11,8.18679693754e-11
2019-10-31 23:59:59.019541,1.79869780233e-07,8.60656763659e-10,5.80716382517e-11,7.90616346892e-11
2019-11-01 00:14:59.019541,1.77004646263e-07,8.37042026238e-10,6.29041988121e-11,8.37649035853e-11
2019-11-01 00:29:59.019541,1.8672079066e-07,8.58078794282e-10,6.60967841855e-11,8.60810586851e-11
2019-11-01 00:44:59.019541,1.9223355123e-07,8.659267313e-10,5.31004976713e-11,7.55063495573e-11
2019-11-01 00:59:59.019541,1.84570491638e-07,8.78282485437e-10,4.19832261515e-11,6.90142354178e-11
2019-11-01 01:14:59.019541,1.81686274439e-07,8.96670692636e-10,7.37526524361e-11,9.23991746447e-11
2019-11-01 01:29:59.019541,1.80321423182e-07,9.25098670567e-10,6.53981386232e-11,8.47698063894e-11
2019-11-01 01:44:59.019541,1.73648828102e-07,8.99884177649e-10,5.27020735947e-11,7.62475632943e-11
2019-11-01 01:59:59.019541,1.64093048316e-07,8.78355318934e-10,6.195192006e-11,8.24992596627e-11
2019-11-01 02:14:59.019541,1.67068027067e-07,8.89217541723e-10,4.05865092072e-11,6.56142895374e-11
2019-11-01 02:29:59.019541,1.83383345719e-07,8.73718297942e-10,3.38079900061e-11,6.33121648714e-11
2019-11-01 02:44:59.019541,1.70165879132e-07,8.61614792311e-10,3.08252206066e-11,6.22252227061e-11
2019-11-01 02:59:59.019541,1.66103891155e-07,8.8677928271e-10,2.89293502385e-11,6.15308551882e-11
2019-11-01 03:14:59.019541,1.66251964396e-07,8.99062394199e-10,2.94779053381e-11,6.07667088116e-11
2019-11-01 03:29:59.019541,1.68372489786e-07,8.92782351077e-10,4.77338014179e-11,7.10935412988e-11
2019-11-01 03:44:59.019541,1.63262171158e-07,9.1516140233e-10,5.75071372276e-11,7.76902396559e-11
2019-11-01 03:59:59.019541,1.63294596612e-07,9.321727772e-10,4.74615747033e-11,7.23861857562e-11
2019-11-01 04:14:59.019541,1.66258114999e-07,1.00397946513e-09,5.38003114204e-11,7.7386592731e-11
2019-11-01 04:29:59.019541,1.61696827987e-07,1.00536416479e-09,6.22561652902e-11,8.27920144878e-11
2019-11-01 04:44:59.019541,1.71728446066e-07,9.40867248643e-10,6.38697448043e-11,8.34088734003e-11
2019-11-01 04:59:59.019541,1.66587881858e-07,9.56554650517e-10,6.57356025697e-11,8.60529384226e-11
2019-11-01 05:14:59.019541,1.73336961366e-07,1.33408817316e-09,6.71776689862e-11,8.78229974556e-11
2019-11-01 05:29:59.019541,1.88171519105e-07,1.15900955036e-09,7.00357382259e-11,8.92443270977e-11
2019-11-01 05:44:59.019541,1.65846246683e-07,1.01279042366e-09,8.30342649964e-11,1.00174142579e-10
2019-11-01 05:59:59.019541,1.65368913479e-07,1.01989779865e-09,1.3469508209e-10,1.45429519185e-10
2019-11-01 06:14:59.019541,1.62035256164e-07,1.03274373728e-09,1.34760138337e-10,1.45553946598e-10
2019-11-01 06:29:59.019541,1.55010745757e-07,1.06130639399e-09,1.59154033351e-10,1.68098319911e-10
2019-11-01 06:44:59.019541,1.60172688396e-07,1.0854413237e-09,1.58247642438e-10,1.67589588393e-10
