,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-11-30 23:29:59.019537,6.337525952806285e-08,3.030774603167859e-10,5.108696006704797e-11,7.404421998187262e-11
2019-11-30 23:44:59.019537,6.35841504930727e-08,3.239569713203571e-10,4.996103998367085e-11,7.420814558768739e-11
2019-11-30 23:59:59.019537,6.192661469234018e-08,2.893445603077244e-10,5.038032783270087e-11,7.538689783016491e-11
2019-12-01 00:14:59.019537,6.304628041891058e-08,2.888336132822337e-10,7.30701080298039e-11,9.210980791133633e-11
2019-12-01 00:29:59.019537,6.465006288109607e-08,2.6867892605064435e-10,5.0217895554674266e-11,7.47357184999827e-11
2019-12-01 00:44:59.019537,6.406138696153714e-08,2.643431064660756e-10,4.707063488481088e-11,7.476796583688004e-11
2019-12-01 00:59:59.019537,6.38071808755147e-08,2.764912432627798e-10,4.652564667588448e-11,7.331884471129062e-11
2019-12-01 01:14:59.019537,6.516403567503771e-08,2.888870695182097e-10,5.6565624814131824e-11,7.894963807559722e-11
2019-12-01 01:29:59.019537,6.301622580973541e-08,2.8314544939470143e-10,4.547425683021941e-11,7.033164615124416e-11
2019-12-01 01:44:59.019537,6.481080957761792e-08,2.852265217607388e-10,4.4450167358477387e-11,7.110052786697385e-11
2019-12-01 01:59:59.019537,6.264151826293168e-08,2.589911110322717e-10,4.238253289226707e-11,6.998718106636593e-11
2019-12-01 02:14:59.019537,5.96196160769394e-08,2.3648682165748825e-10,4.309934506561557e-11,6.936407391723598e-11
2019-12-01 02:29:59.019537,6.161701895384517e-08,2.462044994183356e-10,4.1570252897885415e-11,6.9817181556326e-11
2019-12-01 02:44:59.019537,5.948861453339053e-08,2.5483741530407447e-10,4.939936520897455e-11,7.562900535412186e-11
2019-12-01 02:59:59.019537,6.156532697574982e-08,2.921846463635189e-10,5.210367375913812e-11,7.566394184392268e-11
2019-12-01 03:14:59.019537,6.415578157110972e-08,2.906932711940444e-10,4.7777338909924746e-11,7.310886974260635e-11
2019-12-01 03:29:59.019537,6.508508095620443e-08,2.9914770834531434e-10,6.056874907062357e-11,8.272532145845669e-11
2019-12-01 03:44:59.019537,6.445331099947656e-08,2.5180513537853204e-10,5.7450450244268264e-11,8.039975556612703e-11
2019-12-01 03:59:59.019537,6.343232162233147e-08,2.4777992011555393e-10,5.400096796940035e-11,7.80183539878585e-11
2019-12-01 04:14:59.019537,6.54333734926537e-08,2.625822667326852e-10,4.970998399865668e-11,7.510324191446925e-11
2019-12-01 04:29:59.019537,6.478389100991808e-08,2.673767532723372e-10,5.3815615773865975e-11,7.810193135444877e-11
2019-12-01 04:44:59.019537,6.342109328648742e-08,3.0317597739020253e-10,9.197028999635962e-11,1.081070341522744e-10
2019-12-01 04:59:59.019537,6.53271291809089e-08,2.738380695674514e-10,6.294516588388638e-11,8.469746947111547e-11
2019-12-01 05:14:59.019537,6.524721901468127e-08,2.5571394868669455e-10,5.4358319081173766e-11,7.744148007447881e-11
2019-12-01 05:29:59.019537,6.863858995771e-08,2.9662688902162446e-10,5.38102471780656e-11,7.648404176627753e-11
2019-12-01 05:44:59.019537,7.514334548112115e-08,5.419614506009193e-10,6.962203276842233e-11,8.952903790659369e-11
2019-12-01 05:59:59.019537,7.564255498904946e-08,4.803670668330825e-10,7.168854169121642e-11,9.038497085025696e-11
2019-12-01 06:14:59.019537,7.111506673472675e-08,2.616044811825225e-10,5.413827468412997e-11,7.782675807759212e-11
2019-12-01 06:29:59.019537,7.250108775822212e-08,2.4669438013125735e-10,4.568874062000221e-11,7.084314000310115e-11
2019-12-01 06:44:59.019537,6.809705268088407e-08,2.4787057036233003e-10,5.663152239125216e-11,8.046178780603523e-11
2019-12-01 06:59:59.019537,6.753990272814736e-08,2.8720657223699463e-10,7.886448508305369e-11,9.759118363180128e-11
2019-12-01 07:14:59.019537,6.473573018269543e-08,2.9890392574385404e-10,9.5250658570686e-11,1.1082458018939694e-10
2019-12-01 07:29:59.019537,6.71073872087864e-08,2.6995819176421336e-10,8.351465035931803e-11,1.0105720465260769e-10
2019-12-01 07:44:59.019537,7.024422727211669e-08,3.4742421229123975e-10,7.802745459306237e-11,9.632496617166422e-11
2019-12-01 07:59:59.019537,7.063333997367293e-08,3.438805513438856e-10,7.074547952167043e-11,9.103913039379442e-11
2019-12-01 08:14:59.019537,7.128688075479169e-08,2.47116660641643e-10,4.855530615750028e-11,7.314672222407714e-11
2019-12-01 08:29:59.019537,6.756178275365222e-08,2.629865364485049e-10,6.959157032958831e-11,8.900122577429883e-11
