,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:59,1.38782121246e-07,3.88200880315e-08,1.65025371271e-08,1.71539078261e-08
2019-10-31 23:44:59,1.36888570136e-07,3.78972517804e-08,1.42340667373e-08,1.50125712103e-08
2019-10-31 23:59:59,1.36858406511e-07,4.04874648577e-08,1.35187580553e-08,1.42652189659e-08
2019-11-01 00:14:59,1.46139579904e-07,4.73927451929e-08,1.21814086551e-08,1.28619994797e-08
2019-11-01 00:29:59,1.70315062163e-07,5.46061395303e-08,1.16802402966e-08,1.23741563087e-08
2019-11-01 00:44:59,2.19025363432e-07,6.29955262684e-08,1.43323699391e-08,1.4947324672e-08
2019-11-01 00:59:59,2.88920863767e-07,6.45933137828e-08,1.38155897253e-08,1.43539867658e-08
2019-11-01 01:14:59,3.31082666268e-07,5.8495769059e-08,1.01026686931e-08,1.07032581969e-08
2019-11-01 01:29:59,3.42986275502e-07,6.82437046794e-08,1.04692183004e-08,1.10587660988e-08
2019-11-01 01:44:59,3.57561138895e-07,6.58408274862e-08,1.30993309601e-08,1.35562226932e-08
2019-11-01 01:59:59,3.83046024855e-07,5.69344378788e-08,1.0931776463e-08,1.14684412276e-08
2019-11-01 02:14:59,4.01229696796e-07,5.17219046063e-08,9.61248330271e-09,1.02690734527e-08
2019-11-01 02:29:59,3.69755209783e-07,5.4049711693e-08,1.30665829861e-08,1.35741021258e-08
2019-11-01 02:44:59,3.43713430124e-07,5.23331428666e-08,1.33641515031e-08,1.38488399198e-08
2019-11-01 02:59:59,3.19621853751e-07,4.51522122059e-08,9.26911066894e-09,9.92097139677e-09
2019-11-01 03:14:59,2.85927403364e-07,4.08697504014e-08,9.47790701995e-09,1.01034073359e-08
2019-11-01 03:29:59,2.61482765192e-07,3.75394583121e-08,1.25319514173e-08,1.31235462394e-08
2019-11-01 03:44:59,2.32861820418e-07,3.54127725826e-08,1.26004063911e-08,1.32134844278e-08
2019-11-01 03:59:59,2.11894881198e-07,3.42434016264e-08,1.2268401491e-08,1.29285555441e-08
2019-11-01 04:14:59,1.98530080343e-07,3.42616710954e-08,1.47293454354e-08,1.52699399143e-08
2019-11-01 04:29:59,1.7978909706e-07,3.59249793136e-08,1.89731211508e-08,1.94823630418e-08
2019-11-01 04:44:59,1.72927909369e-07,3.35134982736e-08,1.77055796122e-08,1.82481791477e-08
2019-11-01 04:59:59,1.82172671009e-07,5.02255588564e-08,1.51853601174e-08,1.58024768934e-08
2019-11-01 05:14:59,7.06177170099e-07,9.7760244229e-08,1.91295965546e-08,1.97171138276e-08
2019-11-01 05:29:59,2.89992112624e-07,4.15912603869e-08,2.12451147718e-08,2.18099450358e-08
2019-11-01 05:44:59,1.68658743225e-07,4.15394244692e-08,1.81692991182e-08,1.88399612603e-08
2019-11-01 05:59:59,1.7488039555e-07,4.24767976713e-08,1.9066956174e-08,1.9835975096e-08
2019-11-01 06:14:59,1.76274133426e-07,4.21038779561e-08,2.01779896658e-08,2.09511652998e-08
2019-11-01 06:29:59,1.76496291953e-07,4.35564891431e-08,2.25510021439e-08,2.32278525127e-08
2019-11-01 06:44:59,1.85198588614e-07,4.43392507801e-08,2.28626229235e-08,2.35570194646e-08
2019-11-01 06:59:59,1.80036688145e-07,4.30185779219e-08,2.08461965805e-08,2.15180761963e-08
2019-11-01 07:14:59,1.79709121874e-07,4.32206708117e-08,2.01199197333e-08,2.08458079583e-08
2019-11-01 07:29:59,1.95553490729e-07,4.43273968555e-08,1.90627571629e-08,1.98575778683e-08
2019-11-01 07:44:59,2.08637877774e-07,4.59488507905e-08,1.93275687259e-08,2.01239387109e-08
2019-11-01 07:59:59,2.07669725738e-07,4.6100162017e-08,1.97721181121e-08,2.05467783837e-08
2019-11-01 08:14:59,2.14147267392e-07,4.86536620585e-08,2.13658158295e-08,2.21327382497e-08
2019-11-01 08:29:59,2.23872518289e-07,4.86605479171e-08,1.86416753043e-08,1.94517958814e-08
2019-11-01 08:44:59,2.33265286419e-07,4.79373315999e-08,1.88182185312e-08,1.96376070449e-08
2019-11-01 08:59:59,2.428333278e-07,4.80701536365e-08,1.81349696228e-08,1.89713933862e-08
2019-11-01 09:14:59,2.51901318562e-07,4.80346416444e-08,1.97348191301e-08,2.05680186069e-08
2019-11-01 09:29:59,2.59320313061e-07,4.84491428067e-08,2.05239611612e-08,2.13702761179e-08
2019-11-01 09:44:59,2.73618716327e-07,4.82276120666e-08,1.93120320545e-08,2.01833236933e-08
2019-11-01 09:59:59,3.01083671625e-07,4.77817612445e-08,1.88107447544e-08,1.96990194974e-08
2019-11-01 10:14:59,3.05186189361e-07,4.72524206823e-08,1.85260995039e-08,1.94470161465e-08
2019-11-01 10:29:59,2.93114231171e-07,4.77820380651e-08,1.87695571187e-08,1.96824945854e-08
2019-11-01 10:44:59,2.78460891657e-07,4.86730148351e-08,1.95918162822e-08,2.04531695644e-08
2019-11-01 10:59:59,2.88310032861e-07,4.91035584772e-08,1.97551757547e-08,2.06348392448e-08
2019-11-01 11:14:59,2.94001019108e-07,4.8612994178e-08,2.04156661303e-08,2.12627143102e-08
2019-11-01 11:29:59,2.84925075327e-07,4.84545618705e-08,1.99026663976e-08,2.07705612332e-08
