,0.1-1,1-20,4-14,10-20 
2019-11-01 00:07:30.000,1.233691e-07,2.383602e-08,9.014205e-10,5.000807e-10, 
2019-11-01 00:22:30.000,1.145567e-07,2.304338e-08,8.485620e-10,4.026666e-10, 
2019-11-01 00:37:30.000,1.159338e-07,2.390344e-08,8.209134e-10,4.232370e-10, 
2019-11-01 00:52:30.000,1.110303e-07,2.199684e-08,7.763187e-10,4.288423e-10, 
2019-11-01 01:07:30.000,1.094428e-07,2.085667e-08,6.875790e-10,2.157287e-10, 
2019-11-01 01:22:30.000,1.142300e-07,2.718110e-08,7.678094e-10,2.652314e-10, 
2019-11-01 01:37:30.000,1.095510e-07,2.496345e-08,7.230246e-10,3.256766e-10, 
2019-11-01 01:52:30.000,1.089971e-07,2.509525e-08,7.009671e-10,2.056507e-10, 
2019-11-01 02:07:30.000,1.125655e-07,2.781892e-08,6.954233e-10,2.552851e-10, 
2019-11-01 02:22:30.000,9.573965e-08,1.700892e-08,5.711141e-10,1.873692e-10, 
2019-11-01 02:37:30.000,1.033908e-07,1.721586e-08,5.220500e-10,1.734126e-10, 
2019-11-01 02:52:30.000,1.056110e-07,2.325835e-08,6.214460e-10,1.670669e-10, 
2019-11-01 03:07:30.000,1.090701e-07,1.589432e-08,5.779800e-10,2.757374e-10, 
2019-11-01 03:22:30.000,1.081023e-07,1.856503e-08,5.080324e-10,1.622351e-10, 
2019-11-01 03:37:30.000,9.971462e-08,1.812858e-08,5.166530e-10,1.610897e-10, 
2019-11-01 03:52:30.000,9.755202e-08,1.970421e-08,5.607209e-10,1.554904e-10, 
2019-11-01 04:07:30.000,9.712846e-08,2.131796e-08,8.481992e-10,3.094350e-10, 
2019-11-01 04:22:30.000,1.105566e-07,2.015936e-08,7.647220e-10,4.104514e-10, 
2019-11-01 04:37:30.000,9.798000e-08,1.767710e-08,5.534468e-10,2.324370e-10, 
2019-11-01 04:52:30.000,1.024057e-07,1.989777e-08,7.189602e-10,3.772351e-10, 
2019-11-01 05:07:30.000,1.003941e-07,1.788713e-08,8.265123e-10,4.501322e-10, 
2019-11-01 05:22:30.000,9.609504e-08,1.962182e-08,8.318885e-10,5.312826e-10, 
2019-11-01 05:37:30.000,1.480393e-07,2.161606e-08,8.946640e-10,5.573548e-10, 
2019-11-01 05:52:30.000,1.154570e-07,2.111986e-08,9.454406e-10,5.024609e-10, 
2019-11-01 06:07:30.000,1.027936e-07,2.045262e-08,9.413149e-10,5.288275e-10, 
2019-11-01 06:22:30.000,1.054942e-07,2.342799e-08,9.590815e-10,4.502594e-10, 
2019-11-01 06:37:30.000,1.093338e-07,2.105184e-08,1.184059e-09,7.027835e-10, 
2019-11-01 06:52:30.000,1.093584e-07,2.280686e-08,1.073792e-09,6.237022e-10, 
2019-11-01 07:07:30.000,1.033795e-07,2.437370e-08,1.522396e-09,7.062464e-10, 
2019-11-01 07:22:30.000,1.024618e-07,2.209136e-08,1.401049e-09,8.758443e-10, 
2019-11-01 07:37:30.000,9.595168e-08,1.946927e-08,1.406858e-09,8.092346e-10, 
2019-11-01 07:52:30.000,1.012436e-07,2.023127e-08,1.562537e-09,1.002536e-09, 
2019-11-01 08:07:30.000,1.117590e-07,2.159173e-08,1.530624e-09,9.685732e-10, 
2019-11-01 08:22:30.000,1.137591e-07,1.887626e-08,1.652850e-09,1.037504e-09, 
2019-11-01 08:37:30.000,1.128715e-07,2.044814e-08,1.797783e-09,1.170395e-09, 
2019-11-01 08:52:30.000,1.042636e-07,2.072402e-08,1.688451e-09,1.154372e-09, 
2019-11-01 09:07:30.000,1.072625e-07,1.959200e-08,1.678556e-09,1.102412e-09, 
2019-11-01 09:22:30.000,1.041662e-07,1.886245e-08,1.760626e-09,1.039812e-09, 
2019-11-01 09:37:30.000,1.148947e-07,1.696557e-08,1.707822e-09,1.057389e-09, 
2019-11-01 09:52:30.000,1.153285e-07,2.070287e-08,1.830035e-09,1.119557e-09, 
2019-11-01 10:07:30.000,1.095116e-07,1.866059e-08,1.731119e-09,1.025832e-09, 
2019-11-01 10:22:30.000,1.052008e-07,1.911003e-08,1.611639e-09,9.559184e-10, 
2019-11-01 10:37:30.000,1.024804e-07,1.927506e-08,1.575941e-09,9.737251e-10, 
2019-11-01 10:52:30.000,9.863322e-08,1.979131e-08,1.693604e-09,1.101431e-09, 
2019-11-01 11:07:30.000,1.018563e-07,2.010917e-08,1.588449e-09,1.072019e-09, 
2019-11-01 11:22:30.000,1.087310e-07,1.975102e-08,1.534942e-09,1.078104e-09, 
2019-11-01 11:37:30.000,1.065167e-07,2.031183e-08,1.577444e-09,9.711319e-10, 
2019-11-01 11:52:30.000,1.044866e-07,2.024414e-08,1.506408e-09,1.065893e-09, 
2019-11-01 12:07:30.000,1.042871e-07,2.076688e-08,1.475720e-09,8.859047e-10, 
2019-11-01 12:22:30.000,1.074701e-07,1.854183e-08,1.295674e-09,8.265533e-10, 
2019-11-01 12:37:30.000,1.015209e-07,1.786810e-08,1.181566e-09,6.329467e-10, 
2019-11-01 12:52:30.000,1.107564e-07,1.992460e-08,1.091414e-09,6.641057e-10, 
2019-11-01 13:07:30.000,1.027427e-07,2.257308e-08,1.188089e-09,7.560146e-10, 
2019-11-01 13:22:30.000,1.118371e-07,2.404106e-08,1.193412e-09,7.174354e-10, 
2019-11-01 13:37:30.000,1.090524e-07,2.261028e-08,1.296454e-09,8.866303e-10, 
2019-11-01 13:52:30.000,1.068000e-07,2.115101e-08,1.325774e-09,9.049858e-10, 
2019-11-01 14:07:30.000,1.068181e-07,1.981239e-08,1.310848e-09,8.581218e-10, 
2019-11-01 14:22:30.000,1.058519e-07,2.297602e-08,1.399202e-09,8.878798e-10, 
2019-11-01 14:37:30.000,1.105756e-07,2.278827e-08,1.320145e-09,8.381186e-10, 
2019-11-01 14:52:30.000,1.139492e-07,2.840667e-08,1.287054e-09,7.781122e-10, 
2019-11-01 15:07:30.000,1.246850e-07,2.704850e-08,1.261984e-09,8.354736e-10, 
2019-11-01 15:22:30.000,1.345566e-07,2.983772e-08,1.429379e-09,8.615774e-10, 
2019-11-01 15:37:30.000,1.540169e-07,2.607976e-08,1.449259e-09,9.279599e-10, 
2019-11-01 15:52:30.000,1.648752e-07,2.861931e-08,1.431533e-09,9.328686e-10, 
2019-11-01 16:07:30.000,1.538983e-07,2.596924e-08,1.568282e-09,1.024858e-09, 
2019-11-01 16:22:30.000,1.437525e-07,2.736708e-08,1.413275e-09,8.494742e-10, 
2019-11-01 16:37:30.000,1.422233e-07,3.079577e-08,1.350157e-09,8.578606e-10, 
2019-11-01 16:52:30.000,1.427527e-07,2.776607e-08,1.421392e-09,9.308209e-10, 
2019-11-01 17:07:30.000,1.324466e-07,2.593212e-08,1.255351e-09,8.153311e-10, 
2019-11-01 17:22:30.000,1.288774e-07,2.335332e-08,1.178599e-09,7.008849e-10, 
2019-11-01 17:37:30.000,1.288410e-07,2.289429e-08,1.206570e-09,7.986311e-10, 
2019-11-01 17:52:30.000,1.297918e-07,2.257671e-08,1.330314e-09,8.415323e-10, 
2019-11-01 18:07:30.000,1.221080e-07,2.158087e-08,1.171314e-09,7.798859e-10, 
2019-11-01 18:22:30.000,1.258698e-07,2.313930e-08,1.128263e-09,6.823704e-10, 
2019-11-01 18:37:30.000,1.168762e-07,2.140570e-08,1.224071e-09,7.737538e-10, 
2019-11-01 18:52:30.000,1.130170e-07,2.018168e-08,1.093897e-09,6.129771e-10, 
