,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:59.000000,5.5815431557e-08,1.61942931866e-08,1.39583967865e-08,1.46684984139e-08
2019-10-31 23:44:59.000000,5.5780677154e-08,1.79665051221e-08,1.57637305882e-08,1.66410673432e-08
2019-10-31 23:59:59.000000,5.82806519243e-08,1.72042135511e-08,1.57233062655e-08,1.65549476398e-08
2019-11-01 00:14:59.000000,5.84951213229e-08,1.32572474448e-08,1.18292821389e-08,1.25781657335e-08
2019-11-01 00:29:59.000000,5.80765444451e-08,1.2022489794e-08,1.06215839272e-08,1.1427703521e-08
2019-11-01 00:44:59.000000,5.88091632204e-08,1.15116316724e-08,1.00774881229e-08,1.09928990411e-08
2019-11-01 00:59:59.000000,5.58069028364e-08,1.19524733687e-08,1.0634128732e-08,1.1533873854e-08
2019-11-01 01:14:59.000000,5.77824813745e-08,1.18502798676e-08,1.035127707e-08,1.12548049697e-08
2019-11-01 01:29:59.000000,5.84058889369e-08,1.17851164241e-08,1.05208734547e-08,1.15202815663e-08
2019-11-01 01:44:59.000000,5.61457986464e-08,1.22299758318e-08,1.11533602504e-08,1.20236771582e-08
2019-11-01 01:59:59.000000,5.86554673525e-08,1.16277291183e-08,1.06565097935e-08,1.14059805439e-08
2019-11-01 02:14:59.000000,5.94619740776e-08,1.24160811523e-08,1.12054690174e-08,1.22197932745e-08
2019-11-01 02:29:59.000000,5.93403206982e-08,1.27261662812e-08,1.16304583853e-08,1.24378480305e-08
2019-11-01 02:44:59.000000,5.81285693903e-08,1.24479446641e-08,1.11900178221e-08,1.21905492214e-08
2019-11-01 02:59:59.000000,5.74820814788e-08,1.2645032084e-08,1.13883331631e-08,1.24331708036e-08
2019-11-01 03:14:59.000000,5.5933548667e-08,1.21757554658e-08,1.10414817426e-08,1.19943173739e-08
2019-11-01 03:29:59.000000,5.49602228824e-08,1.20208380642e-08,1.08498748175e-08,1.1850884522e-08
2019-11-01 03:44:59.000000,5.93027443888e-08,1.32856400703e-08,1.19160378921e-08,1.31015136853e-08
2019-11-01 03:59:59.000000,7.90832343434e-08,1.23049251286e-08,1.10020864095e-08,1.19662904992e-08
2019-11-01 04:14:59.000000,5.39585378096e-08,1.44631575597e-08,1.30339018546e-08,1.42353013148e-08
2019-11-01 04:29:59.000000,5.56551186367e-08,1.49354792604e-08,1.35553089603e-08,1.4687307018e-08
2019-11-01 04:44:59.000000,6.0855490644e-08,2.00865306684e-08,1.9165562961e-08,1.98604641525e-08
2019-11-01 04:59:59.000000,1.37934471581e-07,1.30777095211e-08,1.15337105564e-08,1.20998671712e-08
2019-11-01 05:14:59.000000,2.39460703073e-07,2.25581991755e-08,1.65125298795e-08,1.70872574299e-08
2019-11-01 05:29:59.000000,2.11726467656e-07,1.63177513259e-08,1.48341335658e-08,1.54229297859e-08
2019-11-01 05:44:59.000000,1.33020644359e-07,1.55248322136e-08,1.3926005476e-08,1.47977371877e-08
2019-11-01 05:59:59.000000,1.43526603117e-07,1.31456549353e-08,1.12298413101e-08,1.21138383953e-08
2019-11-01 06:14:59.000000,1.32152776172e-07,1.40936935857e-08,1.20599000419e-08,1.32771675133e-08
2019-11-01 06:29:59.000000,1.20086339061e-07,2.4974688216e-08,2.36500045642e-08,2.45270983386e-08
2019-11-01 06:44:59.000000,1.05822726022e-07,2.79127254525e-08,2.66835708762e-08,2.7523081328e-08
2019-11-01 06:59:59.000000,9.23162493921e-08,2.57341359543e-08,2.43269764006e-08,2.53403734402e-08
2019-11-01 07:14:59.000000,1.23406276599e-07,2.1325732049e-08,2.00136372217e-08,2.07729900487e-08
2019-11-01 07:29:59.000000,1.0133819352e-07,2.40530335214e-08,2.28232032275e-08,2.36109608145e-08
2019-11-01 07:44:59.000000,8.9588882451e-08,2.00011728753e-08,1.84964949999e-08,1.94959980732e-08
2019-11-01 07:59:59.000000,8.65230332268e-08,2.0976994581e-08,1.96226891323e-08,2.04457345058e-08
2019-11-01 08:14:59.000000,6.12676781507e-08,1.92158449762e-08,1.77260850434e-08,1.86519087159e-08
2019-11-01 08:29:59.000000,5.75716030436e-08,1.88533999532e-08,1.746692954e-08,1.82923030398e-08
2019-11-01 08:44:59.000000,5.5982709417e-08,2.08250348564e-08,1.94271463147e-08,2.03014676217e-08
2019-11-01 08:59:59.000000,5.78920379423e-08,1.90901228077e-08,1.78636867442e-08,1.85579541096e-08
2019-11-01 09:14:59.000000,5.84762621127e-08,1.80385102792e-08,1.68768965788e-08,1.75032660535e-08
2019-11-01 09:29:59.000000,5.58975847704e-08,1.82235643062e-08,1.69742889528e-08,1.76423736826e-08
2019-11-01 09:44:59.000000,5.53084519146e-08,1.89543340217e-08,1.766433261e-08,1.84102631292e-08
2019-11-01 09:59:59.000000,5.34035566077e-08,1.92500793935e-08,1.80025489332e-08,1.87296971961e-08
2019-11-01 10:14:59.000000,5.34248428838e-08,1.77984233756e-08,1.66863561235e-08,1.7231404342e-08
2019-11-01 10:29:59.000000,5.59258819654e-08,1.78831629817e-08,1.67697352113e-08,1.73036274872e-08
2019-11-01 10:44:59.000000,5.68350252106e-08,1.87035634691e-08,1.75732295714e-08,1.81417574126e-08
2019-11-01 10:59:59.000000,5.62393701549e-08,1.72148314512e-08,1.60986915898e-08,1.65900853012e-08
2019-11-01 11:14:59.000000,5.63383825677e-08,1.74446687775e-08,1.62685996475e-08,1.67890428399e-08
2019-11-01 11:29:59.000000,5.46116841069e-08,1.83431090072e-08,1.71461904752e-08,1.7705231201e-08
2019-11-01 11:44:59.000000,5.68049911857e-08,1.82517579899e-08,1.70544205478e-08,1.76505979393e-08
2019-11-01 11:59:59.000000,7.87695547099e-08,1.83791114274e-08,1.72637394743e-08,1.78006288462e-08
2019-11-01 12:14:59.000000,7.04524472048e-08,2.12983092871e-08,2.01916694304e-08,2.06892520077e-08
2019-11-01 12:29:59.000000,5.40213316216e-08,2.15113228568e-08,2.04652380771e-08,2.10188481583e-08
2019-11-01 12:44:59.000000,4.97412682053e-08,1.86398390903e-08,1.74553618683e-08,1.81162418271e-08
2019-11-01 12:59:59.000000,5.04729887405e-08,1.88788464637e-08,1.76365812728e-08,1.83109884264e-08
2019-11-01 13:14:59.000000,5.21283875824e-08,1.81803982155e-08,1.70247510433e-08,1.75526964319e-08
2019-11-01 13:29:59.000000,5.39625739743e-08,1.89599293067e-08,1.78083916998e-08,1.83547460132e-08
2019-11-01 13:44:59.000000,5.21225228125e-08,1.88107852133e-08,1.77039082263e-08,1.82644737429e-08
2019-11-01 13:59:59.000000,5.00018757056e-08,1.70682197586e-08,1.59593929653e-08,1.65283263382e-08
2019-11-01 14:14:59.000000,4.91766844978e-08,1.72847496259e-08,1.61838831912e-08,1.67712924252e-08
2019-11-01 14:29:59.000000,4.93200878755e-08,1.90748074626e-08,1.80224586941e-08,1.8596302372e-08
2019-11-01 14:44:59.000000,4.91569420507e-08,1.82777560857e-08,1.71434490858e-08,1.77813357382e-08
2019-11-01 14:59:59.000000,5.01204205877e-08,1.74206392159e-08,1.62892654188e-08,1.69120301244e-08
2019-11-01 15:14:59.000000,5.08921553419e-08,1.81993879026e-08,1.70852144107e-08,1.76528796603e-08
2019-11-01 15:29:59.000000,5.14180889271e-08,1.80741620369e-08,1.6967902615e-08,1.7505394017e-08
2019-11-01 15:44:59.000000,4.98186441596e-08,1.75378704759e-08,1.64188806357e-08,1.69797855412e-08
2019-11-01 15:59:59.000000,4.81780113815e-08,1.84222187929e-08,1.72746407134e-08,1.78882715256e-08
2019-11-01 16:14:59.000000,5.10067362578e-08,1.93459166972e-08,1.81591667284e-08,1.88307791158e-08
2019-11-01 16:29:59.000000,5.2432343926e-08,1.9173759665e-08,1.80774221149e-08,1.86564576341e-08
2019-11-01 16:44:59.000000,4.92218011987e-08,1.84910786671e-08,1.74220450974e-08,1.79533906458e-08
2019-11-01 16:59:59.000000,5.05498799069e-08,1.73170983079e-08,1.62641009906e-08,1.67716575734e-08
2019-11-01 17:14:59.000000,4.7183853493e-08,1.73412484324e-08,1.61305138493e-08,1.66727489639e-08
2019-11-01 17:29:59.000000,4.8277471673e-08,1.84635637953e-08,1.7280223804e-08,1.78469924763e-08
2019-11-01 17:44:59.000000,5.24590205522e-08,1.848302746e-08,1.74524092013e-08,1.79627080567e-08
2019-11-01 17:59:59.000000,5.34421042456e-08,2.22432569383e-08,2.12758517425e-08,2.17572168425e-08
2019-11-01 18:14:59.000000,5.43780496272e-08,1.82860392102e-08,1.70737867579e-08,1.76938976016e-08
2019-11-01 18:29:59.000000,5.20095657391e-08,2.06478019201e-08,1.97062407477e-08,2.02311766078e-08
2019-11-01 18:44:59.000000,4.94373471667e-08,2.23380616092e-08,2.14214376211e-08,2.19782086708e-08
2019-11-01 18:59:59.000000,5.36004728039e-08,2.07234636006e-08,1.96990774506e-08,2.03237618747e-08
2019-11-01 19:14:59.000000,5.38753975969e-08,2.3432213003e-08,2.25074149013e-08,2.30722976372e-08
2019-11-01 19:29:59.000000,5.56153587249e-08,2.20249279667e-08,2.09351542403e-08,2.14170030944e-08
2019-11-01 19:44:59.000000,5.48082238573e-08,2.03364882615e-08,1.89497480488e-08,1.96093348616e-08
2019-11-01 19:59:59.000000,5.17252080746e-08,1.83419218051e-08,1.73371532169e-08,1.79407223172e-08
2019-11-01 20:14:59.000000,6.74012493903e-08,1.85904088282e-08,1.74745732982e-08,1.80246425589e-08
2019-11-01 20:29:59.000000,6.8098178544e-08,1.6131842453e-08,1.49083992048e-08,1.5467432476e-08
2019-11-01 20:44:59.000000,5.3620163621e-08,2.15922990395e-08,2.07029974764e-08,2.12282297919e-08
2019-11-01 20:59:59.000000,5.55763168684e-08,1.8101908402e-08,1.71043594829e-08,1.77265560768e-08
2019-11-01 21:14:59.000000,5.82106771454e-08,1.86861166335e-08,1.77235860643e-08,1.83638359608e-08
2019-11-01 21:29:59.000000,5.56086805e-08,1.70487453901e-08,1.60024203326e-08,1.66547049307e-08
2019-11-01 21:44:59.000000,5.33155611738e-08,1.64624813808e-08,1.53386245953e-08,1.61718407596e-08
2019-11-01 21:59:59.000000,5.17531048635e-08,1.53743895544e-08,1.42799785771e-08,1.50763966246e-08
2019-11-01 22:14:59.000000,5.37374806785e-08,1.65666886432e-08,1.54782826516e-08,1.62533591923e-08
2019-11-01 22:29:59.000000,5.69870128043e-08,1.74678024019e-08,1.61769485455e-08,1.70536338103e-08
2019-11-01 22:44:59.000000,5.8668309756e-08,1.5816232986e-08,1.43943485682e-08,1.53601611208e-08
2019-11-01 22:59:59.000000,5.83231921718e-08,1.82183556108e-08,1.6993425379e-08,1.79631248694e-08
2019-11-01 23:14:59.000000,5.7297265591e-08,1.72677646787e-08,1.61015129342e-08,1.70039932345e-08
2019-11-01 23:29:59.000000,5.93723788039e-08,1.49280138493e-08,1.35336133112e-08,1.4435445181e-08
2019-11-01 23:44:59.000000,5.75076105418e-08,1.56457193383e-08,1.40130160963e-08,1.51161056306e-08
2019-11-01 23:59:59.000000,5.73305607004e-08,1.47217328954e-08,1.34550564564e-08,1.4488539193e-08
2019-11-02 00:14:59.000100,5.90257305212e-08,1.58952296862e-08,1.47601484821e-08,1.57174071912e-08
2019-11-02 00:29:59.000100,5.96240372341e-08,1.34762096478e-08,1.24440155024e-08,1.32848147937e-08
2019-11-02 00:44:59.000100,6.10638030667e-08,1.02348707484e-08,9.3650452443e-09,1.00679277306e-08
2019-11-02 00:59:59.000100,6.07220503026e-08,9.57687749946e-09,8.66957306531e-09,9.40708219008e-09
2019-11-02 01:14:59.000100,6.37959757379e-08,9.52413391462e-09,8.69597883068e-09,9.37937938705e-09
2019-11-02 01:29:59.000100,6.42724684253e-08,8.93786956528e-09,7.99130155998e-09,8.79638050822e-09
2019-11-02 01:44:59.000100,6.22089849223e-08,8.73746309124e-09,7.67097530009e-09,8.57841180768e-09
