,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:59.000000,5.20406456849e-08,1.12949817279e-08,7.70977614094e-09,8.09383796491e-09
2019-10-31 23:44:59.000000,5.12330596014e-08,8.51279269343e-09,4.95358426012e-09,5.37649154183e-09
2019-10-31 23:59:59.000000,4.78530663776e-08,9.10748743747e-09,5.43181622422e-09,5.91345467606e-09
2019-11-01 00:14:59.000000,4.94179352248e-08,9.49327095304e-09,6.23244993346e-09,6.61935662942e-09
2019-11-01 00:29:59.000000,5.01705115559e-08,8.84263897892e-09,5.41015045872e-09,5.77781321638e-09
2019-11-01 00:44:59.000000,4.82382260023e-08,8.0865182929e-09,5.07655467748e-09,5.45703193378e-09
2019-11-01 00:59:59.000000,4.56365796643e-08,7.24244795455e-09,4.71079667701e-09,5.00429777562e-09
2019-11-01 01:14:59.000000,4.46800185351e-08,7.71949181341e-09,4.53513862267e-09,4.69877111859e-09
2019-11-01 01:29:59.000000,4.75349351397e-08,7.81900455003e-09,4.04103100302e-09,4.24652111325e-09
2019-11-01 01:44:59.000000,5.02205296789e-08,7.04951373603e-09,3.25471244939e-09,3.46306849196e-09
2019-11-01 01:59:59.000000,5.20649244847e-08,7.1740710682e-09,3.246155506e-09,3.44293606157e-09
2019-11-01 02:14:59.000000,4.56114971219e-08,6.65216868783e-09,3.08932008868e-09,3.28559571644e-09
2019-11-01 02:29:59.000000,4.69251213472e-08,6.48505715437e-09,3.21961962276e-09,3.42026956196e-09
2019-11-01 02:44:59.000000,4.72993580266e-08,7.38850945106e-09,4.08178517907e-09,4.24905337436e-09
2019-11-01 02:59:59.000000,4.89871799532e-08,6.9375477636e-09,3.85474350386e-09,4.01402426845e-09
2019-11-01 03:14:59.000000,4.87188947727e-08,8.3545728001e-09,4.0564934045e-09,4.23565292189e-09
2019-11-01 03:29:59.000000,4.71838463786e-08,8.74175795004e-09,4.29369537397e-09,4.45088969104e-09
2019-11-01 03:44:59.000000,4.72304262412e-08,8.02505672563e-09,4.98629991944e-09,5.23744453139e-09
2019-11-01 03:59:59.000000,4.83680635782e-08,1.04973879443e-08,7.22209848353e-09,7.48863945552e-09
2019-11-01 04:14:59.000000,4.74680105266e-08,1.17623602053e-08,7.71398337962e-09,7.93130934846e-09
2019-11-01 04:29:59.000000,4.39497166565e-08,1.24769035988e-08,9.0871565058e-09,9.36273658075e-09
2019-11-01 04:44:59.000000,4.45621210362e-08,1.33393957634e-08,9.84519837588e-09,1.01594266846e-08
2019-11-01 04:59:59.000000,4.80974838832e-08,1.35547039413e-08,8.75598303562e-09,9.08485395796e-09
2019-11-01 05:14:59.000000,3.88041117952e-08,1.00916620138e-08,6.17658170903e-09,6.39942532115e-09
2019-11-01 05:29:59.000000,1.71705258715e-08,4.64570706328e-09,3.07549556743e-09,3.19764869959e-09
2019-11-01 05:44:59.000000,4.14925200204e-08,1.15433322797e-08,7.82764036796e-09,8.17607260279e-09
2019-11-01 05:59:59.000000,5.12695283681e-08,1.52847235487e-08,1.15220153974e-08,1.1857739678e-08
2019-11-01 06:14:59.000000,5.12778979341e-08,1.39319318338e-08,1.02738476233e-08,1.05636703907e-08
2019-11-01 06:29:59.000000,4.95722267578e-08,1.2466608252e-08,8.50379324947e-09,8.88639874655e-09
2019-11-01 06:44:59.000000,5.21263698707e-08,1.31760994799e-08,9.07709931906e-09,9.48043314161e-09
2019-11-01 06:59:59.000000,5.13079548524e-08,1.27291377904e-08,8.54775299226e-09,8.97270024085e-09
2019-11-01 07:14:59.000000,4.67720911115e-08,1.15775514341e-08,7.76264371454e-09,8.11544356357e-09
2019-11-01 07:29:59.000000,4.73614982801e-08,1.17460823089e-08,7.42550782544e-09,7.7962350783e-09
2019-11-01 07:44:59.000000,5.1412543468e-08,1.29685910505e-08,8.21306207422e-09,8.63039614905e-09
2019-11-01 07:59:59.000000,4.6914643517e-08,1.25848312179e-08,8.22451821992e-09,8.64069658959e-09
2019-11-01 08:14:59.000000,4.65958959375e-08,1.23799752065e-08,7.87545667414e-09,8.24634898352e-09
2019-11-01 08:29:59.000000,4.9494748335e-08,1.31154154211e-08,8.39222988726e-09,8.85236760034e-09
2019-11-01 08:44:59.000000,4.83000537547e-08,1.38646953388e-08,8.73128411859e-09,9.16212507801e-09
2019-11-01 08:59:59.000000,4.87264505569e-08,1.48153369173e-08,9.84829895997e-09,1.0260203668e-08
2019-11-01 09:14:59.000000,4.97461599607e-08,1.37656189666e-08,9.39863508065e-09,9.81704643211e-09
2019-11-01 09:29:59.000000,4.8095894901e-08,1.4358410782e-08,1.02300418102e-08,1.06126568157e-08
2019-11-01 09:44:59.000000,5.06060728157e-08,1.49604690507e-08,1.12360918816e-08,1.15652019522e-08
2019-11-01 09:59:59.000000,4.8938061216e-08,1.45186520966e-08,1.04414454118e-08,1.08223156e-08
2019-11-01 10:14:59.000000,4.92958229842e-08,1.30663685586e-08,8.46093516945e-09,8.9513312947e-09
2019-11-01 10:29:59.000000,4.95969946703e-08,1.27546849678e-08,8.17560767235e-09,8.61846289681e-09
2019-11-01 10:44:59.000000,5.01256509868e-08,1.28140534227e-08,8.30235861014e-09,8.74485289908e-09
2019-11-01 10:59:59.000000,4.87974940691e-08,1.27568380976e-08,8.2177362386e-09,8.6829745457e-09
2019-11-01 11:14:59.000000,4.65552555396e-08,1.31537106817e-08,8.48357745428e-09,9.02823273653e-09
2019-11-01 11:29:59.000000,4.70087222026e-08,1.31828956101e-08,8.83864425627e-09,9.30165572008e-09
2019-11-01 11:44:59.000000,4.52248356267e-08,1.25695515637e-08,8.18564055562e-09,8.7269872684e-09
2019-11-01 11:59:59.000000,4.40263064973e-08,1.26137161932e-08,8.23484931499e-09,8.68697841875e-09
2019-11-01 12:14:59.000000,4.39726033402e-08,1.26631623446e-08,8.24202723385e-09,8.62734001339e-09
2019-11-01 12:29:59.000000,4.66605715684e-08,1.24697288846e-08,8.10435963106e-09,8.54693826079e-09
2019-11-01 12:44:59.000000,4.5784569494e-08,1.28703466744e-08,8.54862757646e-09,8.9956236536e-09
2019-11-01 12:59:59.000000,4.40536262359e-08,1.33442349146e-08,9.06491342199e-09,9.54304483142e-09
2019-11-01 13:14:59.000000,4.39760137961e-08,1.3652490551e-08,9.10875926442e-09,9.60806080237e-09
2019-11-01 13:29:59.000000,4.29796299819e-08,1.40188471872e-08,8.90431860024e-09,9.38269173285e-09
2019-11-01 13:44:59.000000,4.12203844485e-08,1.35942537779e-08,8.5472313651e-09,9.10336890395e-09
2019-11-01 13:59:59.000000,4.14636319568e-08,1.38005284818e-08,8.93875376692e-09,9.50057975311e-09
2019-11-01 14:14:59.000000,4.36688459509e-08,1.37737548956e-08,8.56108348742e-09,9.08487963424e-09
2019-11-01 14:29:59.000000,4.30759060052e-08,1.29163484624e-08,8.37980926203e-09,8.84239922106e-09
2019-11-01 14:44:59.000000,4.19702169425e-08,1.25995373684e-08,8.08217003227e-09,8.53344751163e-09
2019-11-01 14:59:59.000000,4.15764199804e-08,1.2914037598e-08,8.30766467619e-09,8.76319568231e-09
2019-11-01 15:14:59.000000,4.22471570845e-08,1.31292555425e-08,8.37896148707e-09,8.85953171864e-09
2019-11-01 15:29:59.000000,4.2709956423e-08,1.27493777946e-08,8.18822975401e-09,8.65788138993e-09
2019-11-01 15:44:59.000000,4.30756293683e-08,1.27474810344e-08,8.20716750837e-09,8.71255775371e-09
2019-11-01 15:59:59.000000,4.24562783653e-08,1.34631726112e-08,8.87006476522e-09,9.34684008269e-09
2019-11-01 16:14:59.000000,4.19379684604e-08,1.29275851537e-08,8.32217132905e-09,8.85019802141e-09
2019-11-01 16:29:59.000000,4.26469750799e-08,1.24548300059e-08,7.6804492703e-09,8.1783863435e-09
2019-11-01 16:44:59.000000,4.07166346292e-08,1.29808686147e-08,8.41510199907e-09,8.84513183711e-09
2019-11-01 16:59:59.000000,4.26788948276e-08,1.2865410553e-08,8.42237752919e-09,8.90811859528e-09
2019-11-01 17:14:59.000000,4.24733620832e-08,1.3231349235e-08,8.66712191072e-09,9.18595962014e-09
2019-11-01 17:29:59.000000,4.28148884817e-08,1.31041284204e-08,8.69493187882e-09,9.13630225153e-09
