,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:59.000,1.83886671471e-07,9.96273251554e-09,3.27183828028e-09,4.60952052843e-09
2019-10-31 23:44:59.000,1.79598565879e-07,1.15774922278e-08,5.59685181174e-09,6.80393259288e-09
2019-10-31 23:59:59.000,1.88786992908e-07,1.18944733491e-08,6.32473674592e-09,7.39173310912e-09
2019-11-01 00:14:59.000,1.85579001124e-07,1.16591553066e-08,5.51884332124e-09,6.9810745487e-09
2019-11-01 00:29:59.000,1.81560256946e-07,1.11613878982e-08,4.19504616552e-09,5.68175047488e-09
2019-11-01 00:44:59.000,1.86310801592e-07,1.18260516373e-08,5.56122063649e-09,6.88448225482e-09
2019-11-01 00:59:59.000,1.90737883056e-07,1.03255167526e-08,4.98114479843e-09,6.15555757944e-09
2019-11-01 01:14:59.000,1.89361222481e-07,9.76450173845e-09,4.29917892751e-09,5.44428493062e-09
2019-11-01 01:29:59.000,1.79767675993e-07,1.08664018903e-08,5.30614851011e-09,6.64354684247e-09
2019-11-01 01:44:59.000,1.80824097184e-07,1.14290193587e-08,5.73688213979e-09,7.22672297471e-09
2019-11-01 01:59:59.000,1.94425353458e-07,1.16040900089e-08,5.54801784321e-09,7.01982872559e-09
2019-11-01 02:14:59.000,1.87483912509e-07,1.400323899e-08,7.06196617642e-09,8.69379179047e-09
2019-11-01 02:29:59.000,1.92040489675e-07,1.53245379511e-08,8.81709728654e-09,1.04477092405e-08
2019-11-01 02:44:59.000,1.88941753599e-07,1.44825709127e-08,7.5623514674e-09,9.42778008432e-09
2019-11-01 02:59:59.000,1.91739309937e-07,1.67009699155e-08,8.72590448083e-09,1.07245793027e-08
2019-11-01 03:14:59.000,1.91696647485e-07,2.15423023928e-08,1.17307768368e-08,1.41942273944e-08
2019-11-01 03:29:59.000,1.88566617332e-07,2.23954064421e-08,1.20872374424e-08,1.48656676451e-08
2019-11-01 03:44:59.000,1.86033276855e-07,2.13961367971e-08,1.15838685186e-08,1.41645298084e-08
2019-11-01 03:59:59.000,1.78318097187e-07,2.18473724163e-08,1.15967127491e-08,1.40740709914e-08
2019-11-01 04:14:59.000,1.81479920237e-07,2.3860109771e-08,1.17470542126e-08,1.4367070932e-08
2019-11-01 04:29:59.000,1.86415526859e-07,2.43264151898e-08,1.14184164608e-08,1.41531812139e-08
2019-11-01 04:44:59.000,1.85245356784e-07,2.50920586694e-08,1.17153264386e-08,1.45332976917e-08
2019-11-01 04:59:59.000,2.01105923521e-07,2.94633615589e-08,1.3052015836e-08,1.56505789433e-08
2019-11-01 05:14:59.000,6.68348558969e-07,3.80565473297e-08,1.427271424e-08,1.78703905542e-08
2019-11-01 05:29:59.000,5.4653393986e-07,3.36425257745e-08,1.46615378938e-08,1.84668077926e-08
2019-11-01 05:44:59.000,1.85717044144e-07,3.1407403826e-08,1.46538115014e-08,1.84841323964e-08
2019-11-01 05:59:59.000,1.93082884162e-07,3.38671293629e-08,1.63016538581e-08,2.07474984993e-08
2019-11-01 06:14:59.000,2.00384489103e-07,3.2733246949e-08,1.45818975715e-08,1.84285469527e-08
2019-11-01 06:29:59.000,1.90614766164e-07,3.18926400937e-08,1.56039501229e-08,1.8521109575e-08
2019-11-01 06:44:59.000,3.75328909522e-07,3.35898394675e-08,1.58031559945e-08,1.88536333385e-08
2019-11-01 06:59:59.000,4.27497673686e-07,3.46672927668e-08,1.59971735857e-08,1.93582337056e-08
2019-11-01 07:14:59.000,2.09919634019e-07,3.31643449506e-08,1.60232585766e-08,1.97337631917e-08
2019-11-01 07:29:59.000,2.0410424567e-07,3.39443426555e-08,1.58446665033e-08,1.96678247104e-08
2019-11-01 07:44:59.000,2.10164629207e-07,3.1447997452e-08,1.3717028484e-08,1.66561454587e-08
2019-11-01 07:59:59.000,2.03594529581e-07,3.10504968438e-08,1.39926631152e-08,1.71981737371e-08
2019-11-01 08:14:59.000,2.21677740998e-07,3.31606928113e-08,1.40219917218e-08,1.74230156728e-08
2019-11-01 08:29:59.000,2.36791550194e-07,3.28227788541e-08,1.29052627946e-08,1.65656795775e-08
2019-11-01 08:44:59.000,2.53672136025e-07,3.30690939664e-08,1.25147204748e-08,1.63252380238e-08
2019-11-01 08:59:59.000,2.65122421544e-07,3.20399312938e-08,1.25215226491e-08,1.53878168926e-08
2019-11-01 09:14:59.000,2.48671886632e-07,3.17440915624e-08,1.36968619485e-08,1.6907940135e-08
2019-11-01 09:29:59.000,2.43668036823e-07,3.12080367293e-08,1.36562051006e-08,1.67016535327e-08
2019-11-01 09:44:59.000,2.38008955186e-07,3.13318369363e-08,1.46343609003e-08,1.72419533581e-08
2019-11-01 09:59:59.000,4.19584525742e-07,2.10764619679e-07,3.78541753778e-08,3.91809772663e-08
2019-11-01 10:14:59.000,3.77701601664e-07,1.78563132329e-07,3.12268617805e-08,3.29406970339e-08
2019-11-01 10:29:59.000,2.90785242781e-07,3.40467643177e-08,1.47881218703e-08,1.94824408256e-08
2019-11-01 10:44:59.000,2.93030117187e-07,3.45619079395e-08,1.48610729835e-08,1.92664870054e-08
2019-11-01 10:59:59.000,2.39167679825e-07,3.42919091817e-08,1.42749398928e-08,1.80926752441e-08
2019-11-01 11:14:59.000,2.44090083239e-07,3.50834551958e-08,1.4526809419e-08,1.80112658701e-08
2019-11-01 11:29:59.000,2.99965861319e-07,3.87910983755e-08,1.4866281717e-08,1.80744806995e-08
2019-11-01 11:44:59.000,3.14344466127e-07,4.10851556798e-08,1.44052228144e-08,1.75184131462e-08
2019-11-01 11:59:59.000,2.73103802528e-07,4.27296054293e-08,1.35134575203e-08,1.65165503288e-08
2019-11-01 12:14:59.000,2.64990935495e-07,4.02226729828e-08,1.12125831537e-08,1.3675970279e-08
2019-11-01 12:29:59.000,2.5064019843e-07,3.87368566233e-08,1.08482435918e-08,1.3701466906e-08
2019-11-01 12:44:59.000,2.56650756672e-07,3.88554182388e-08,1.13295759432e-08,1.40614179538e-08
2019-11-01 12:59:59.000,2.58656757931e-07,3.84427921444e-08,1.13105106046e-08,1.39552682101e-08
2019-11-01 13:14:59.000,2.73811676504e-07,3.88933555264e-08,1.26367187556e-08,1.55557854516e-08
2019-11-01 13:29:59.000,3.42188030796e-07,3.86874175271e-08,1.29352468827e-08,1.64372140582e-08
2019-11-01 13:44:59.000,2.61123583978e-07,3.87363713867e-08,1.29020755899e-08,1.64488931421e-08
2019-11-01 13:59:59.000,2.64998387714e-07,3.83073377408e-08,1.33160148153e-08,1.67618372692e-08
2019-11-01 14:14:59.000,2.62569768979e-07,3.77118456963e-08,1.32314503746e-08,1.70877259793e-08
2019-11-01 14:29:59.000,2.64374640794e-07,3.87385018065e-08,1.24317418749e-08,1.51501316922e-08
2019-11-01 14:44:59.000,2.61977140518e-07,3.80502363646e-08,1.1589976694e-08,1.4036167852e-08
2019-11-01 14:59:59.000,2.56512809318e-07,3.49515139724e-08,1.07534316956e-08,1.28736056075e-08
2019-11-01 15:14:59.000,2.5085284141e-07,3.08286814106e-08,1.12549736233e-08,1.3482570865e-08
2019-11-01 15:29:59.000,2.48280640723e-07,2.88387053224e-08,1.14800685345e-08,1.37677219789e-08
2019-11-01 15:44:59.000,2.4917204807e-07,2.77542053675e-08,1.15485670777e-08,1.37108061532e-08
2019-11-01 15:59:59.000,2.41647014027e-07,2.8673531037e-08,1.19419913942e-08,1.48435833295e-08
2019-11-01 16:14:59.000,2.28922486583e-07,2.94015624583e-08,1.25345917062e-08,1.62599442226e-08
2019-11-01 16:29:59.000,2.32279469447e-07,2.86230709156e-08,1.2161678376e-08,1.60344506555e-08
2019-11-01 16:44:59.000,2.37802176184e-07,2.68575242469e-08,1.09616752733e-08,1.46609401029e-08
2019-11-01 16:59:59.000,2.35094966329e-07,2.58731973234e-08,1.11993314199e-08,1.34757344001e-08
2019-11-01 17:14:59.000,2.3281565653e-07,2.58335085383e-08,1.10895220137e-08,1.32895506825e-08
2019-11-01 17:29:59.000,2.24574092987e-07,2.59698866931e-08,1.09160969548e-08,1.326329501e-08
2019-11-01 17:44:59.000,2.28173818268e-07,2.67471395582e-08,1.11860871504e-08,1.35681084495e-08
2019-11-01 17:59:59.000,2.24592043225e-07,2.66052704693e-08,1.14581968484e-08,1.35072195811e-08
2019-11-01 18:14:59.000,2.26161757886e-07,2.60875895184e-08,1.1019689651e-08,1.30270110909e-08
2019-11-01 18:29:59.000,2.28647205989e-07,2.5494961868e-08,1.12695514418e-08,1.33085879367e-08
2019-11-01 18:44:59.000,2.32586986715e-07,2.36076087136e-08,1.08993385267e-08,1.28256419556e-08
2019-11-01 18:59:59.000,2.27293433141e-07,2.28315090385e-08,1.09592393964e-08,1.27813436814e-08
2019-11-01 19:14:59.000,2.26219275111e-07,2.2226247979e-08,1.05226739859e-08,1.25288735301e-08
2019-11-01 19:29:59.000,2.21595223498e-07,2.2158360995e-08,1.07104173074e-08,1.2756412381e-08
2019-11-01 19:44:59.000,2.22716503901e-07,2.23200059534e-08,1.12520791217e-08,1.31647971345e-08
2019-11-01 19:59:59.000,3.39360887836e-07,5.84271644064e-08,1.18927264712e-08,1.3820154158e-08
2019-11-01 20:14:59.000,3.35643617666e-07,5.78770390609e-08,1.0400883462e-08,1.2511625033e-08
2019-11-01 20:29:59.000,2.1843842297e-07,1.9125925841e-08,9.47215174405e-09,1.12633053067e-08
2019-11-01 20:44:59.000,2.16457482582e-07,1.83969022625e-08,9.45197809331e-09,1.10361477568e-08
2019-11-01 20:59:59.000,2.15366714274e-07,1.7798726319e-08,8.36337799963e-09,1.00871367101e-08
2019-11-01 21:14:59.000,2.11589391198e-07,1.64304066498e-08,7.97592010288e-09,9.46829798998e-09
2019-11-01 21:29:59.000,2.11108831455e-07,1.60252706684e-08,8.00431488578e-09,9.47568274044e-09
2019-11-01 21:44:59.000,2.15266784145e-07,1.78472634827e-08,8.46434109009e-09,1.01241318954e-08
2019-11-01 21:59:59.000,2.17003576902e-07,1.9587576485e-08,8.27591271351e-09,1.00072991871e-08
2019-11-01 22:14:59.000,2.178168488e-07,1.97137013021e-08,8.37517206892e-09,9.96528903588e-09
2019-11-01 22:29:59.000,2.19657447151e-07,1.9266610624e-08,8.82921979655e-09,1.02282695524e-08
2019-11-01 22:44:59.000,2.21219285208e-07,1.84382963952e-08,8.22992925738e-09,9.50014099393e-09
2019-11-01 22:59:59.000,2.25062020187e-07,1.8094369774e-08,7.43353207627e-09,8.64026913594e-09
2019-11-01 23:14:59.000,2.28021796138e-07,1.95121503669e-08,7.4059371671e-09,8.57245089343e-09
2019-11-01 23:29:59.000,2.3038351594e-07,1.7497146102e-08,7.55643973295e-09,8.66522503487e-09
2019-11-01 23:44:59.000,2.26008963233e-07,1.58830907233e-08,6.66629557423e-09,7.86673766912e-09
2019-11-01 23:59:59.000,2.26678253758e-07,1.55180527043e-08,6.63361603519e-09,7.74645561812e-09
2019-11-02 00:14:59.000,2.33213291335e-07,1.68341160367e-08,8.62221598817e-09,9.59564107068e-09
2019-11-02 00:29:59.000,2.35367377269e-07,1.71722660217e-08,8.67683661422e-09,9.68034060172e-09
2019-11-02 00:44:59.000,2.43988675167e-07,1.5593618615e-08,6.68485322146e-09,7.74487010359e-09
2019-11-02 00:59:59.000,2.42982722258e-07,1.48353614039e-08,6.48980699256e-09,7.60036197316e-09
2019-11-02 01:14:59.000,2.53135152498e-07,1.60351070608e-08,7.9991327676e-09,9.11404889511e-09
2019-11-02 01:29:59.000,2.41854161547e-07,1.61820291761e-08,8.96344941241e-09,1.01363701682e-08
2019-11-02 01:44:59.000,2.31865811572e-07,1.50593980035e-08,7.82759043944e-09,9.14347399761e-09
2019-11-02 01:59:59.000,2.3672340537e-07,1.52085660738e-08,6.48059289855e-09,7.83014261712e-09
2019-11-02 02:14:59.000,2.36975745788e-07,1.45192095082e-08,4.65734448821e-09,6.01031350114e-09
2019-11-02 02:29:59.000,2.3452311153e-07,1.52433452417e-08,5.99096959625e-09,7.49660533643e-09
2019-11-02 02:44:59.000,2.40242586603e-07,1.84053297136e-08,7.79477651088e-09,9.59851572824e-09
2019-11-02 02:59:59.000,2.51648436009e-07,2.11120768498e-08,9.38096430366e-09,1.16103821901e-08
2019-11-02 03:14:59.000,2.50228408056e-07,2.30903705269e-08,1.17528135052e-08,1.43209251133e-08
2019-11-02 03:29:59.000,2.47414344768e-07,2.3377578049e-08,1.22690346592e-08,1.47617149623e-08
2019-11-02 03:44:59.000,2.46095901154e-07,2.24933769825e-08,1.1307147819e-08,1.37297517938e-08
2019-11-02 03:59:59.000,2.44549302698e-07,2.24005477787e-08,1.12856587304e-08,1.35778395216e-08
2019-11-02 04:14:59.000,2.43044643477e-07,2.2655271677e-08,1.04004773049e-08,1.28937935845e-08
2019-11-02 04:29:59.000,2.35726825819e-07,2.4169953736e-08,1.07609297958e-08,1.33726191364e-08
2019-11-02 04:44:59.000,2.35787404828e-07,2.58875051011e-08,1.1520777721e-08,1.42414968479e-08
2019-11-02 04:59:59.000,2.38205561206e-07,2.72168240141e-08,1.14662128142e-08,1.40302617441e-08
2019-11-02 05:14:59.000,2.43124049481e-07,2.69776832873e-08,1.12046261673e-08,1.38246733304e-08
2019-11-02 05:29:59.000,2.25652192805e-07,2.68580322328e-08,1.15867760226e-08,1.44550580463e-08
2019-11-02 05:44:59.000,2.26393072372e-07,2.78704106426e-08,1.28300643792e-08,1.58609560098e-08
2019-11-02 05:59:59.000,2.32092718867e-07,2.92238402953e-08,1.51526152067e-08,1.80798435059e-08
2019-11-02 06:14:59.000,2.42128856381e-07,2.87404999532e-08,1.34506746842e-08,1.63054248201e-08
2019-11-02 06:29:59.000,2.40645616505e-07,2.91036039112e-08,1.45641532294e-08,1.70701783305e-08
2019-11-02 06:44:59.000,2.38929380251e-07,2.97155646779e-08,1.47773013893e-08,1.7420351505e-08
2019-11-02 06:59:59.000,2.47701099627e-07,3.06330359109e-08,1.49579974099e-08,1.77228929405e-08
2019-11-02 07:14:59.000,2.43555934002e-07,3.05448950174e-08,1.48141495487e-08,1.77037091329e-08
2019-11-02 07:29:59.000,2.34648410165e-07,2.94202391481e-08,1.38922929461e-08,1.67726923287e-08
2019-11-02 07:44:59.000,2.31151114471e-07,3.0126990026e-08,1.45867949791e-08,1.72764478991e-08
