,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:59,2.51301366958e-07,3.45783511845e-09,5.14548977504e-10,5.23778102354e-10
2019-10-31 23:44:59,2.59305000639e-07,3.60831556843e-09,5.34044808034e-10,5.44133233815e-10
2019-10-31 23:59:59,2.66669611966e-07,3.63135971559e-09,5.25290711738e-10,5.35675490368e-10
2019-11-01 00:14:59,2.61647521042e-07,3.61530360188e-09,4.8206251925e-10,4.91190354884e-10
2019-11-01 00:29:59,2.52427806676e-07,3.53431895048e-09,4.78593925773e-10,4.87452821461e-10
2019-11-01 00:44:59,2.54823577288e-07,3.49879965507e-09,4.16199842033e-10,4.23447343249e-10
2019-11-01 00:59:59,2.61771707846e-07,3.4873607681e-09,3.93184333305e-10,4.01639888481e-10
2019-11-01 01:14:59,2.47976999486e-07,3.54512773549e-09,4.31904832417e-10,4.40848470516e-10
2019-11-01 01:29:59,2.30502183494e-07,3.59759836181e-09,4.80622246684e-10,4.94833996778e-10
2019-11-01 01:44:59,2.35335120069e-07,3.66929770253e-09,4.54998509155e-10,4.69896032914e-10
2019-11-01 01:59:59,2.37882319455e-07,4.01666929559e-09,4.73982616049e-10,4.85653157491e-10
2019-11-01 02:14:59,2.19031809866e-07,4.2350102737e-09,7.50048634673e-10,7.67567221715e-10
2019-11-01 02:29:59,2.28366732401e-07,4.08153103748e-09,7.8454659453e-10,8.04151099599e-10
2019-11-01 02:44:59,2.42135904497e-07,3.73770208855e-09,7.01922858179e-10,7.14375666141e-10
2019-11-01 02:59:59,2.48119516337e-07,3.71873887762e-09,1.25723315448e-09,1.27864872354e-09
2019-11-01 03:14:59,2.40484745804e-07,4.25130050911e-09,1.9395717308e-09,1.98325542919e-09
2019-11-01 03:29:59,2.32015161384e-07,4.26177459813e-09,1.65776434035e-09,1.70336967624e-09
2019-11-01 03:44:59,2.39335611445e-07,4.77631301254e-09,2.13308610757e-09,2.18715439234e-09
2019-11-01 03:59:59,2.34926056281e-07,5.29263847431e-09,2.38869767908e-09,2.45585939822e-09
2019-11-01 04:14:59,2.30155826006e-07,5.44447944901e-09,2.88097099598e-09,2.95949747134e-09
2019-11-01 04:29:59,2.28591222025e-07,5.32003453686e-09,2.571626851e-09,2.67641397106e-09
2019-11-01 04:44:59,2.30480164784e-07,5.68016925637e-09,2.43583313395e-09,2.56765132738e-09
2019-11-01 04:59:59,2.37602081055e-07,6.03324528833e-09,2.24168528037e-09,2.36712084922e-09
2019-11-01 05:14:59,3.23853974062e-07,8.67447667803e-09,2.84708119441e-09,2.98153526095e-09
2019-11-01 05:29:59,2.96111165589e-07,6.74460363348e-09,3.3339647027e-09,3.4910580084e-09
2019-11-01 05:44:59,2.44656074641e-07,6.46787848421e-09,3.17685168265e-09,3.31423519584e-09
2019-11-01 05:59:59,2.49734946817e-07,5.88107663097e-09,2.6332405054e-09,2.74660619549e-09
2019-11-01 06:14:59,2.38522385089e-07,5.98165891427e-09,3.05076649677e-09,3.15301164493e-09
2019-11-01 06:29:59,2.37536337809e-07,5.91944683115e-09,3.05262973742e-09,3.18565700207e-09
2019-11-01 06:44:59,2.41148654198e-07,5.89874722937e-09,3.06074946182e-09,3.19213558154e-09
