,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:59.000,6.89157120825e-08,5.6165771164e-09,5.51318798881e-10,5.59322583306e-10
2019-10-31 23:44:59.000,6.74247313779e-08,5.29833278084e-09,5.7070769916e-10,5.79171623276e-10
2019-10-31 23:59:59.000,7.22279569848e-08,5.17838453273e-09,6.11178916018e-10,6.51117225336e-10
2019-11-01 00:14:59.000,7.37883347291e-08,4.79333460374e-09,8.56696957455e-10,9.50609389837e-10
2019-11-01 00:29:59.000,7.36634356187e-08,5.11914356177e-09,3.76564925732e-10,3.97903121236e-10
2019-11-01 00:44:59.000,6.9154436723e-08,5.43399402297e-09,3.93887449358e-10,4.10083315139e-10
2019-11-01 00:59:59.000,6.61963995742e-08,5.32383974931e-09,4.93275561917e-10,5.01845465716e-10
2019-11-01 01:14:59.000,6.53347334099e-08,7.34286867575e-09,2.40978309835e-09,2.44119479819e-09
2019-11-01 01:29:59.000,6.77015964268e-08,6.22976341938e-09,2.32550216024e-09,2.34250383075e-09
2019-11-01 01:44:59.000,6.89904452686e-08,4.76567000952e-09,4.33990337245e-10,4.48378288631e-10
2019-11-01 01:59:59.000,7.10738351183e-08,6.21147860483e-09,5.69737476428e-10,5.84823687389e-10
2019-11-01 02:14:59.000,6.79579972586e-08,6.76265051622e-09,5.57218977047e-10,5.71872192803e-10
2019-11-01 02:29:59.000,6.79429125957e-08,6.16151994836e-09,5.40040685462e-10,5.66670977106e-10
2019-11-01 02:44:59.000,6.78469054837e-08,6.14020796538e-09,6.66293360177e-10,6.9089370814e-10
2019-11-01 02:59:59.000,6.80962851725e-08,6.83395917879e-09,1.49947116828e-09,1.51334380718e-09
2019-11-01 03:14:59.000,6.94206792335e-08,5.92749613904e-09,1.55428846821e-09,1.58219045525e-09
2019-11-01 03:29:59.000,7.04510844341e-08,6.13114780064e-09,1.82542249456e-09,1.86802657408e-09
2019-11-01 03:44:59.000,6.94536728086e-08,7.03926291634e-09,2.22864367139e-09,2.28453197709e-09
2019-11-01 03:59:59.000,6.68552124055e-08,7.94434499243e-09,2.51307186961e-09,2.5980538082e-09
2019-11-01 04:14:59.000,6.43435970422e-08,8.64709891665e-09,2.8984903538e-09,3.03487653749e-09
2019-11-01 04:29:59.000,6.82457216967e-08,8.58957656086e-09,3.18194006815e-09,3.32893386427e-09
2019-11-01 04:44:59.000,7.18860409783e-08,9.42201983773e-09,3.43651388739e-09,3.60824711341e-09
2019-11-01 04:59:59.000,6.95389092527e-08,9.61949247224e-09,3.97263473246e-09,4.18118704611e-09
2019-11-01 05:14:59.000,6.95466930536e-08,1.02833629094e-08,4.45281957245e-09,4.66438643058e-09
2019-11-01 05:29:59.000,7.35794988906e-08,1.06198282093e-08,4.83374724956e-09,5.02964744908e-09
2019-11-01 05:44:59.000,7.42520534458e-08,1.0691721912e-08,4.63095604814e-09,4.87382637429e-09
2019-11-01 05:59:59.000,7.12135918561e-08,1.21348688648e-08,4.59400815375e-09,4.83375077156e-09
2019-11-01 06:14:59.000,7.0149298487e-08,1.14304024799e-08,4.49047726161e-09,4.69215922447e-09
2019-11-01 06:29:59.000,7.53325006467e-08,1.09713995505e-08,4.44607654023e-09,4.64693759538e-09
2019-11-01 06:44:59.000,7.56915731173e-08,1.11769284481e-08,4.54311396953e-09,4.73802626953e-09
2019-11-01 06:59:59.000,6.98777955012e-08,1.15234752457e-08,4.73524695785e-09,4.92338730928e-09
2019-11-01 07:14:59.000,7.2155565046e-08,1.11982095915e-08,4.91859751248e-09,5.08705312066e-09
2019-11-01 07:29:59.000,7.39299417602e-08,1.10749411832e-08,4.8361115397e-09,4.98072435555e-09
2019-11-01 07:44:59.000,7.56393024461e-08,1.28915012029e-08,5.23577977107e-09,5.37783879089e-09
2019-11-01 07:59:59.000,6.978115005e-08,1.20928996754e-08,5.16082573204e-09,5.35132230007e-09
2019-11-01 08:14:59.000,6.6228466998e-08,1.24144378803e-08,5.05621765963e-09,5.22749344074e-09
2019-11-01 08:29:59.000,7.11471112637e-08,1.2244814556e-08,5.22276005153e-09,5.34024176156e-09
2019-11-01 08:44:59.000,7.35174059629e-08,1.14913314395e-08,5.07012400176e-09,5.18893190932e-09
2019-11-01 08:59:59.000,7.34716582077e-08,1.21873825282e-08,4.85345423985e-09,4.98840087731e-09
2019-11-01 09:14:59.000,6.97840680856e-08,1.33290863875e-08,4.87328278512e-09,5.05848507358e-09
2019-11-01 09:29:59.000,7.08593295899e-08,1.29116169461e-08,4.66632967403e-09,4.79059857803e-09
2019-11-01 09:44:59.000,7.23541938598e-08,1.31905379853e-08,4.51766516992e-09,4.65744578575e-09
2019-11-01 09:59:59.000,6.89166074012e-08,1.42551289677e-08,4.3327855369e-09,4.48553332645e-09
2019-11-01 10:14:59.000,6.73342626773e-08,1.31474211874e-08,4.04879833654e-09,4.30122359086e-09
2019-11-01 10:29:59.000,6.72236606169e-08,1.09574138452e-08,3.9591662158e-09,4.08298460801e-09
2019-11-01 10:44:59.000,7.01154355977e-08,1.19422067535e-08,4.16382052731e-09,4.28223425223e-09
2019-11-01 10:59:59.000,7.3322418287e-08,1.37381468016e-08,4.52315127988e-09,4.6442909635e-09
2019-11-01 11:14:59.000,7.62418221217e-08,1.56776171214e-08,4.66578292863e-09,4.75938248112e-09
2019-11-01 11:29:59.000,6.83870341897e-08,1.7377639047e-08,4.88845895514e-09,4.99494916687e-09
2019-11-01 11:44:59.000,7.02263869151e-08,1.70505828891e-08,4.93783685603e-09,5.06528594692e-09
2019-11-01 11:59:59.000,7.22299135439e-08,1.66561329618e-08,4.89716268936e-09,5.04312720982e-09
2019-11-01 12:14:59.000,7.33706980863e-08,1.5784613213e-08,5.04160722688e-09,5.20504765438e-09
2019-11-01 12:29:59.000,7.32055969561e-08,1.41412236946e-08,5.24206894148e-09,5.41813653103e-09
2019-11-01 12:44:59.000,7.26466000185e-08,1.37866861954e-08,5.51682421593e-09,5.69729969435e-09
2019-11-01 12:59:59.000,6.98920392549e-08,1.38964453812e-08,5.51295400063e-09,5.69334281976e-09
2019-11-01 13:14:59.000,7.08058998275e-08,1.50337848255e-08,5.19838557461e-09,5.38428469858e-09
2019-11-01 13:29:59.000,6.77063161728e-08,1.5807472389e-08,5.20513803569e-09,5.37366194496e-09
2019-11-01 13:44:59.000,6.87746516851e-08,1.49281199954e-08,5.22457791132e-09,5.384865254e-09
