,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:59.010,3.34644477131e-07,4.38078462358e-09,1.50201835199e-09,2.03424853191e-09
2019-10-31 23:44:59.010,3.33475617255e-07,4.31170943777e-09,1.4434167164e-09,2.01705148831e-09
2019-10-31 23:59:59.010,3.2874478484e-07,4.23347483527e-09,1.39836633665e-09,1.9849051865e-09
2019-11-01 00:14:59.010,3.39414105085e-07,4.29757103066e-09,1.43268128614e-09,2.01877720918e-09
2019-11-01 00:29:59.010,3.36179322588e-07,4.33971713102e-09,1.46038863666e-09,2.01260171489e-09
2019-11-01 00:44:59.010,3.31806962435e-07,4.3134987886e-09,1.39453324079e-09,1.93721524165e-09
2019-11-01 00:59:59.010,3.1740920625e-07,4.54158524752e-09,1.4025050172e-09,1.97866207037e-09
2019-11-01 01:14:59.010,3.37674193338e-07,4.58981592381e-09,1.43308095281e-09,2.01167102135e-09
2019-11-01 01:29:59.010,3.36993434627e-07,4.47736375749e-09,1.36519387165e-09,1.91573650371e-09
2019-11-01 01:44:59.010,3.15456131972e-07,4.47565958974e-09,1.32377327804e-09,1.86689906932e-09
2019-11-01 01:59:59.010,3.19541946843e-07,4.52729955119e-09,1.28702352336e-09,1.83831700531e-09
2019-11-01 02:14:59.010,3.13811557075e-07,4.5773276676e-09,1.32226304218e-09,1.87080466685e-09
2019-11-01 02:29:59.010,3.06004345396e-07,4.79805737845e-09,1.33480002853e-09,1.88694633416e-09
2019-11-01 02:44:59.010,3.18815701342e-07,4.72989451855e-09,1.25767576324e-09,1.82568686093e-09
2019-11-01 02:59:59.010,3.32280302396e-07,4.59813959895e-09,1.25177991921e-09,1.84308482992e-09
2019-11-01 03:14:59.010,3.24860000325e-07,4.55284238617e-09,1.22358262949e-09,1.81617663176e-09
2019-11-01 03:29:59.010,3.17994907267e-07,4.59210597187e-09,1.16176895186e-09,1.75444008262e-09
2019-11-01 03:44:59.010,3.09989561722e-07,4.65827222649e-09,1.13094085872e-09,1.7395635761e-09
2019-11-01 03:59:59.010,3.2586827098e-07,4.60984971129e-09,1.12310361742e-09,1.72493126565e-09
