,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:58.998393,8.03020906994e-08,1.24152733787e-08,5.51494833831e-09,5.52904110459e-09
2019-10-31 23:44:58.998393,7.76359679659e-08,1.10078396212e-08,5.10969321127e-09,5.12348530432e-09
2019-10-31 23:59:58.998393,8.26632467451e-08,1.07121536415e-08,4.89216765898e-09,4.90399762675e-09
2019-11-01 00:14:58.998393,9.01204907905e-08,1.24685206021e-08,5.20206819031e-09,5.21662237325e-09
2019-11-01 00:29:58.998393,8.9943403403e-08,1.16893022264e-08,5.16120869502e-09,5.17049595553e-09
2019-11-01 00:44:58.998393,9.09144509146e-08,1.09101055175e-08,4.72916924959e-09,4.74273719091e-09
2019-11-01 00:59:58.998393,8.64177899675e-08,9.77490041432e-09,4.54630822821e-09,4.5693602609e-09
2019-11-01 01:14:58.998393,8.23886695179e-08,9.35764189743e-09,4.41397845194e-09,4.43169137554e-09
2019-11-01 01:29:58.998393,8.38303806051e-08,1.04545415707e-08,5.0604812977e-09,5.0715234734e-09
2019-11-01 01:44:58.998393,8.79994112317e-08,1.09110898515e-08,5.27317217404e-09,5.28487323858e-09
2019-11-01 01:59:58.998393,8.70770997874e-08,1.10753962495e-08,4.64608388364e-09,4.66041269954e-09
2019-11-01 02:14:58.998393,8.10839393098e-08,1.06476622621e-08,4.93359564588e-09,4.94568711144e-09
2019-11-01 02:29:58.998393,8.25333435058e-08,1.18116888809e-08,5.27194927969e-09,5.28408255544e-09
2019-11-01 02:44:58.998393,7.98146249582e-08,1.39246423551e-08,5.46968313681e-09,5.48564102326e-09
2019-11-01 02:59:58.998393,7.80706584646e-08,1.5282196526e-08,6.35669293102e-09,6.37052971955e-09
2019-11-01 03:14:58.998393,7.58824275468e-08,1.71262252995e-08,6.57379999653e-09,6.58708150645e-09
2019-11-01 03:29:58.998393,8.37765115942e-08,1.81453354484e-08,7.87724119377e-09,7.90288691448e-09
2019-11-01 03:44:58.998393,8.2765698282e-08,2.27381938233e-08,9.46379686649e-09,9.48249796262e-09
2019-11-01 03:59:58.998393,8.24044582132e-08,3.12003014651e-08,1.17527753704e-08,1.17717828374e-08
2019-11-01 04:14:58.998393,7.51488022254e-08,3.19262285028e-08,1.28793355441e-08,1.29062050174e-08
2019-11-01 04:29:58.998393,8.08563416246e-08,3.65703045263e-08,1.67173670153e-08,1.67515175189e-08
2019-11-01 04:44:58.998393,8.51347421583e-08,4.1203909994e-08,1.94768837634e-08,1.95236405691e-08
2019-11-01 04:59:58.998393,8.21620055973e-08,4.57845926164e-08,2.16695084685e-08,2.17181640265e-08
2019-11-01 05:14:58.998393,2.14860878148e-07,5.16069520246e-08,2.41194377493e-08,2.41911151247e-08
2019-11-01 05:29:58.998393,1.79916983284e-07,5.13453736681e-08,2.42169205307e-08,2.43000016414e-08
2019-11-01 05:44:58.998393,7.53408079524e-08,5.58627428358e-08,2.57939826815e-08,2.58606314077e-08
2019-11-01 05:59:58.998393,7.44865189922e-08,6.35998111144e-08,2.89640831374e-08,2.90241021855e-08
2019-11-01 06:14:58.998393,8.06277687522e-08,6.88168967543e-08,3.17316198679e-08,3.17841308978e-08
2019-11-01 06:29:58.998393,8.04190238156e-08,7.08479461903e-08,3.14218367716e-08,3.14694560384e-08
2019-11-01 06:44:58.998393,8.17214730003e-08,6.57364476834e-08,2.9589679197e-08,2.96418371555e-08
2019-11-01 06:59:58.998393,7.89693197982e-08,6.64670953167e-08,3.19771767404e-08,3.20309518447e-08
2019-11-01 07:14:58.998393,7.90029070679e-08,7.34280173849e-08,3.4989474045e-08,3.50485286854e-08
2019-11-01 07:29:58.998393,7.64923307419e-08,7.32210957137e-08,3.32247123232e-08,3.32799377902e-08
2019-11-01 07:44:58.998393,7.39184868671e-08,7.56978379467e-08,3.39827692774e-08,3.40407065721e-08
2019-11-01 07:59:58.998393,7.95038389075e-08,7.55225669067e-08,3.31558718044e-08,3.32114392859e-08
2019-11-01 08:14:58.998393,8.09486255376e-08,7.82217725421e-08,3.3715282344e-08,3.3759489612e-08
2019-11-01 08:29:58.998393,7.80772948368e-08,7.71683711683e-08,3.30170395012e-08,3.30564296717e-08
2019-11-01 08:44:58.998393,7.25410247976e-08,7.7380917988e-08,3.34061609118e-08,3.34506230075e-08
2019-11-01 08:59:58.998393,7.54495549302e-08,7.5213626937e-08,3.13044083649e-08,3.13565232378e-08
2019-11-01 09:14:58.998393,7.90129808372e-08,7.42187769471e-08,3.03599192059e-08,3.04304711408e-08
2019-11-01 09:29:58.998393,7.7265035021e-08,7.40366364799e-08,3.13458095374e-08,3.14159776418e-08
2019-11-01 09:44:58.998393,7.81209066766e-08,6.55940633823e-08,2.83113684772e-08,2.83711705222e-08
2019-11-01 09:59:58.998393,7.67644285385e-08,5.84570659677e-08,2.63298546948e-08,2.6384110048e-08
2019-11-01 10:14:58.998393,7.63907720209e-08,6.21406591746e-08,2.52519882284e-08,2.53075321785e-08
2019-11-01 10:29:58.998393,7.45783217859e-08,6.59877686479e-08,2.58636764518e-08,2.59243032161e-08
2019-11-01 10:44:58.998393,7.22998969558e-08,6.94736598391e-08,2.83293422405e-08,2.83835533145e-08
2019-11-01 10:59:58.998393,7.27925821624e-08,6.89263772965e-08,2.92348582782e-08,2.92916260771e-08
2019-11-01 11:14:58.998393,7.36141610709e-08,7.24046861641e-08,3.05279319388e-08,3.05920200685e-08
2019-11-01 11:29:58.998393,7.4351083289e-08,6.95921707357e-08,3.04881364493e-08,3.05492402124e-08
2019-11-01 11:44:58.998393,7.68184327755e-08,6.72494596555e-08,3.09603919037e-08,3.10277599631e-08
2019-11-01 11:59:58.998393,7.75000010676e-08,7.30644658676e-08,3.17163247544e-08,3.17974586173e-08
2019-11-01 12:14:58.998393,7.38514040014e-08,7.81011331373e-08,3.45121048897e-08,3.45721677994e-08
2019-11-01 12:29:58.998393,7.29351691258e-08,7.61954929053e-08,3.69143222643e-08,3.69758166699e-08
2019-11-01 12:44:58.998393,7.40146661077e-08,7.2639185761e-08,3.3275210033e-08,3.33439557463e-08
2019-11-01 12:59:58.998393,7.49235933412e-08,7.20615178048e-08,3.17597563984e-08,3.18139670545e-08
2019-11-01 13:14:58.998393,7.21210742193e-08,7.18279100453e-08,3.15925727235e-08,3.16549092786e-08
2019-11-01 13:29:58.998393,7.19548744515e-08,7.17395981742e-08,3.25325565966e-08,3.25936312995e-08
2019-11-01 13:44:58.998393,7.7107430879e-08,7.04883468012e-08,3.09736247034e-08,3.10528072515e-08
2019-11-01 13:59:58.998393,7.52538281643e-08,6.53752625008e-08,2.87924499714e-08,2.88552567345e-08
2019-11-01 14:14:58.998393,7.6071323442e-08,6.16752574598e-08,2.70729277665e-08,2.71348978912e-08
2019-11-01 14:29:58.998393,7.86841241326e-08,5.40422940697e-08,2.41201460978e-08,2.41899053763e-08
2019-11-01 14:44:58.998393,7.78687810262e-08,5.13913003935e-08,2.25944946906e-08,2.26705634889e-08
2019-11-01 14:59:58.998393,7.54061984172e-08,5.27947027255e-08,2.33741066537e-08,2.34501027709e-08
2019-11-01 15:14:58.998393,7.74680939454e-08,4.92848845034e-08,2.21019714206e-08,2.21736102802e-08
2019-11-01 15:29:58.998393,7.8188317158e-08,4.69905902401e-08,2.12075902957e-08,2.12840186579e-08
2019-11-01 15:44:58.998393,7.50003262053e-08,4.80848100956e-08,2.11834861626e-08,2.12521386126e-08
2019-11-01 15:59:58.998393,7.63695461483e-08,4.99697129026e-08,2.30964648716e-08,2.31475974855e-08
2019-11-01 16:14:58.998393,7.90299701106e-08,4.86583600611e-08,2.23794794889e-08,2.24283922058e-08
2019-11-01 16:29:58.998393,7.50234893674e-08,5.13438498181e-08,2.18585739803e-08,2.18992358206e-08
2019-11-01 16:44:58.998393,8.34971980822e-08,5.2488071977e-08,2.32714015503e-08,2.33070527915e-08
2019-11-01 16:59:58.998393,7.90295631275e-08,4.46750627186e-08,2.09436909907e-08,2.09843271786e-08
2019-11-01 17:14:58.998393,7.80973205949e-08,4.49565920365e-08,2.07059886251e-08,2.07499117577e-08
2019-11-01 17:29:58.998393,8.48662476489e-08,3.79293014229e-08,1.73148153543e-08,1.73534292597e-08
2019-11-01 17:44:58.998393,8.13300025427e-08,3.71695702021e-08,1.79913036871e-08,1.80277022163e-08
2019-11-01 17:59:58.998393,8.1637970516e-08,3.52251894211e-08,1.74185306735e-08,1.74581895448e-08
2019-11-01 18:14:58.998393,8.53542576629e-08,3.21053712534e-08,1.51602686576e-08,1.51941288298e-08
2019-11-01 18:29:58.998393,8.68736662111e-08,3.00555568754e-08,1.4502607675e-08,1.45416846197e-08
2019-11-01 18:44:58.998393,8.10961346326e-08,3.06507804998e-08,1.44165285611e-08,1.44440996867e-08
2019-11-01 18:59:58.998393,8.41971498346e-08,2.77609266039e-08,1.29781535982e-08,1.30044936264e-08
2019-11-01 19:14:58.998393,8.825171491e-08,2.66286376288e-08,1.29576934958e-08,1.29832071335e-08
2019-11-01 19:29:58.998393,9.11309254749e-08,2.66684575736e-08,1.2766599202e-08,1.27927299986e-08
2019-11-01 19:44:58.998393,9.21862496673e-08,2.59234866528e-08,1.2059689847e-08,1.208352162e-08
2019-11-01 19:59:58.998393,9.00866003329e-08,2.61072558696e-08,1.20982377673e-08,1.21230505196e-08
2019-11-01 20:14:58.998393,8.81623774543e-08,2.56129772568e-08,1.28424686955e-08,1.28732851552e-08
2019-11-01 20:29:58.998393,8.66974849164e-08,2.29178007691e-08,1.14482089225e-08,1.148610209e-08
2019-11-01 20:44:58.998393,8.89292760546e-08,2.19725546301e-08,1.11927688594e-08,1.12230639795e-08
2019-11-01 20:59:58.998393,9.09985396654e-08,2.14992957648e-08,1.08379775418e-08,1.08661707476e-08
2019-11-01 21:14:58.998393,9.75775657638e-08,2.10770021582e-08,1.06033645888e-08,1.06439220393e-08
2019-11-01 21:29:58.998393,1.04235118695e-07,1.91350046066e-08,9.65889726149e-09,9.68342897574e-09
2019-11-01 21:44:58.998393,1.05147293992e-07,1.77838007751e-08,8.21510318285e-09,8.23950022405e-09
2019-11-01 21:59:58.998393,1.01035535957e-07,1.85451509638e-08,8.19885636835e-09,8.21838973765e-09
2019-11-01 22:14:58.998393,9.99666640543e-08,1.7460211579e-08,7.34540073888e-09,7.36554189532e-09
2019-11-01 22:29:58.998393,9.6221434777e-08,1.70532201627e-08,7.75621991354e-09,7.76980543978e-09
2019-11-01 22:44:58.998393,1.014065795e-07,1.45709392532e-08,7.40827851767e-09,7.41910071004e-09
2019-11-01 22:59:58.998393,1.03885099725e-07,1.35141435147e-08,6.29878921356e-09,6.31044722641e-09
2019-11-01 23:14:58.998393,1.05123638633e-07,1.3469974273e-08,6.75637634902e-09,6.77577486051e-09
