,2.0-20.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:59.019539,1.30087758792e-07,1.51287963197e-07,3.85867430151e-08,3.85867430151e-08
2019-10-31 23:44:59.019539,1.35768433653e-07,1.59205800416e-07,4.08801991321e-08,4.08801991321e-08
2019-10-31 23:59:59.019539,1.42868239372e-07,1.63006803827e-07,4.35158431432e-08,4.35158431432e-08
2019-11-01 00:14:59.019539,1.40586565811e-07,1.57198825361e-07,4.26143169059e-08,4.26143169059e-08
2019-11-01 00:29:59.019539,1.41103431981e-07,1.67489332214e-07,4.02598586008e-08,4.02598586008e-08
2019-11-01 00:44:59.019539,1.46003081162e-07,1.75035562127e-07,4.1212649542e-08,4.1212649542e-08
2019-11-01 00:59:59.019539,1.3773210571e-07,1.64784358432e-07,3.97698212146e-08,3.97698212146e-08
2019-11-01 01:14:59.019539,1.36711003767e-07,1.72945845317e-07,4.13318445779e-08,4.13318445779e-08
2019-11-01 01:29:59.019539,1.28323180017e-07,1.58794965469e-07,3.94936824904e-08,3.94936824904e-08
2019-11-01 01:44:59.019539,1.3178920305e-07,1.56955898603e-07,3.95107205686e-08,3.95107205686e-08
2019-11-01 01:59:59.019539,1.3042472345e-07,1.51354252322e-07,3.83947859182e-08,3.83947859182e-08
2019-11-01 02:14:59.019539,1.25060312515e-07,1.70564863822e-07,3.9089091541e-08,3.9089091541e-08
2019-11-01 02:29:59.019539,1.14839871254e-07,1.53816826972e-07,3.76661178416e-08,3.76661178416e-08
2019-11-01 02:44:59.019539,1.16155384386e-07,1.44261052472e-07,3.78343571925e-08,3.78343571925e-08
2019-11-01 02:59:59.019539,1.18767175449e-07,1.68720944952e-07,3.76585559085e-08,3.76585559085e-08
2019-11-01 03:14:59.019539,1.15464950885e-07,1.5352524611e-07,3.72708772346e-08,3.72708772346e-08
2019-11-01 03:29:59.019539,1.19688817896e-07,1.59410712913e-07,3.69956124501e-08,3.69956124501e-08
2019-11-01 03:44:59.019539,1.21080717794e-07,1.53502314349e-07,3.43510783987e-08,3.43510783987e-08
2019-11-01 03:59:59.019539,1.36601275496e-07,1.56302234373e-07,3.37679694645e-08,3.37679694645e-08
2019-11-01 04:14:59.019539,1.24214455504e-07,1.46629227071e-07,3.44158868025e-08,3.44158868025e-08
2019-11-01 04:29:59.019539,1.14506548017e-07,1.35815472797e-07,3.5209085276e-08,3.5209085276e-08
2019-11-01 04:44:59.019539,1.18665703291e-07,1.4052121392e-07,3.52523007043e-08,3.52523007043e-08
2019-11-01 04:59:59.019539,1.27479782531e-07,1.52664110375e-07,3.67905598386e-08,3.67905598386e-08
2019-11-01 05:14:59.019539,1.26173842892e-07,1.48962167375e-07,3.68900021788e-08,3.68900021788e-08
2019-11-01 05:29:59.019539,1.23457509242e-07,1.44951229293e-07,3.67078991226e-08,3.67078991226e-08
2019-11-01 05:44:59.019539,1.22921855932e-07,1.45339331359e-07,3.66210882443e-08,3.66210882443e-08
2019-11-01 05:59:59.019539,1.28276196907e-07,1.47552506922e-07,3.95944344389e-08,3.95944344389e-08
2019-11-01 06:14:59.019539,1.39243997297e-07,1.66667075269e-07,4.43272830216e-08,4.43272830216e-08
2019-11-01 06:29:59.019539,1.48184280372e-07,1.80434644564e-07,4.624762773e-08,4.624762773e-08
2019-11-01 06:44:59.019539,1.45803570014e-07,1.68323530326e-07,4.54850781216e-08,4.54850781216e-08
2019-11-01 06:59:59.019539,1.46704662446e-07,1.68477031888e-07,4.66829468288e-08,4.66829468288e-08
2019-11-01 07:14:59.019539,1.45826874646e-07,1.64526457072e-07,4.62839097512e-08,4.62839097512e-08
2019-11-01 07:29:59.019539,1.4672722936e-07,1.64444846297e-07,4.58283053125e-08,4.58283053125e-08
2019-11-01 07:44:59.019539,1.57832899535e-07,1.74398405829e-07,4.51243549194e-08,4.51243549194e-08
