,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:59.000,2.66813444439e-07,5.74590168558e-09,1.71118109476e-09,2.17429630501e-09
2019-10-31 23:44:59.000,2.67299616008e-07,5.8747014976e-09,2.21549003669e-09,2.62535315331e-09
2019-10-31 23:59:59.000,2.56668860554e-07,4.88234236124e-09,1.341844358e-09,1.40238698924e-09
2019-11-01 00:14:59.000,2.5343459471e-07,4.71635306215e-09,3.68086468405e-10,4.70027911923e-10
2019-11-01 00:29:59.000,2.80981700443e-07,4.6694030702e-09,3.46552784873e-10,3.66333827881e-10
2019-11-01 00:44:59.000,2.68646452551e-07,4.59450200315e-09,7.29202014826e-10,1.09167025988e-09
2019-11-01 00:59:59.000,2.69392055915e-07,4.68424700929e-09,1.0576301437e-09,1.66144980533e-09
2019-11-01 01:14:59.000,2.92884898746e-07,4.2695281165e-09,1.12042442576e-09,1.64304415198e-09
2019-11-01 01:29:59.000,2.91678299641e-07,4.08455676265e-09,1.1241640016e-09,1.64962460257e-09
2019-11-01 01:44:59.000,2.66151698171e-07,3.6630759248e-09,3.19308341638e-10,3.50456334443e-10
2019-11-01 01:59:59.000,2.53728195321e-07,3.7004213268e-09,4.2719550106e-10,5.4212695397e-10
2019-11-01 02:14:59.000,2.42183074689e-07,4.33887582652e-09,4.48154110698e-10,4.71704279381e-10
2019-11-01 02:29:59.000,2.54930759458e-07,4.27268246763e-09,3.6395918267e-10,3.7583352409e-10
2019-11-01 02:44:59.000,2.7352212982e-07,4.30748922661e-09,1.3715793664e-09,2.11007747214e-09
2019-11-01 02:59:59.000,2.56472502632e-07,4.21265119241e-09,1.37825661534e-09,2.12277286496e-09
2019-11-01 03:14:59.000,2.72459243146e-07,3.47344488879e-09,3.95672428094e-10,4.55913475306e-10
2019-11-01 03:29:59.000,2.63374775744e-07,3.48239416665e-09,3.48125846356e-10,3.90076642509e-10
2019-11-01 03:44:59.000,2.53711995406e-07,3.5303179672e-09,2.82287051914e-10,3.10283904651e-10
2019-11-01 03:59:59.000,2.62352457899e-07,3.59656042142e-09,2.6009534342e-10,2.77148775161e-10
2019-11-01 04:14:59.000,3.03291798328e-07,3.7122878736e-09,2.56166416966e-10,2.74144644774e-10
2019-11-01 04:29:59.000,3.01546937812e-07,3.73695465817e-09,2.56400840201e-10,3.46120779076e-10
2019-11-01 04:44:59.000,2.79995364213e-07,3.71764212037e-09,2.54602253895e-10,3.00355445226e-10
2019-11-01 04:59:59.000,2.77934497979e-07,3.73029212924e-09,2.52226015657e-10,2.76653967151e-10
2019-11-01 05:14:59.000,2.9597372471e-07,3.80184196823e-09,2.46815647832e-10,2.70899540141e-10
2019-11-01 05:29:59.000,3.14638315545e-07,3.85061650945e-09,2.31461018665e-10,2.51104082588e-10
