,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-11-01 00:00:00,4.96627638173e-07,7.8440221001e-09,6.9254590007e-09,7.29339995402e-09
2019-11-01 00:15:00,5.05558790925e-07,7.63772767438e-09,6.84439765675e-09,7.13087588621e-09
2019-11-01 00:30:00,5.36158884389e-07,6.40596495861e-09,5.58529592193e-09,5.80965434323e-09
2019-11-01 00:45:00,5.42029002914e-07,3.3156008553e-09,2.09535898712e-09,2.18672583061e-09
2019-11-01 01:00:00,4.90729500192e-07,2.75035387615e-08,1.92884042359e-08,2.0017897353e-08
2019-11-01 01:15:00,4.99231159774e-07,2.75787878954e-08,1.9403819923e-08,2.01294209281e-08
2019-11-01 01:30:00,4.59179466231e-07,3.27827642532e-09,1.97330871916e-09,2.02336156475e-09
2019-11-01 01:45:00,4.81253066439e-07,3.64539362049e-09,2.44972946461e-09,2.51346200527e-09
2019-11-01 02:00:00,5.12933252146e-07,3.02243899872e-09,1.79592026529e-09,1.84322047028e-09
2019-11-01 02:15:00,5.39919499992e-07,3.25376934773e-09,2.16135297911e-09,2.22043755088e-09
2019-11-01 02:30:00,5.22993726808e-07,4.18450515889e-09,3.19097835795e-09,3.31220766579e-09
2019-11-01 02:45:00,5.24763730011e-07,4.24042393109e-09,3.1536260667e-09,3.37979822759e-09
2019-11-01 03:00:00,4.90058323339e-07,4.16738981802e-09,3.08773392271e-09,3.3459284067e-09
2019-11-01 03:15:00,4.93074671518e-07,4.12534765333e-09,2.98911457407e-09,3.33631099661e-09
2019-11-01 03:30:00,4.99414582676e-07,4.13928991005e-09,3.01527368834e-09,3.36398672259e-09
2019-11-01 03:45:00,4.92199515019e-07,4.07726007371e-09,3.02952179741e-09,3.26925085363e-09
2019-11-01 04:00:00,4.75771301302e-07,4.34112739624e-09,3.32651885088e-09,3.5398189206e-09
2019-11-01 04:15:00,4.62104218614e-07,4.48088253453e-09,3.4442060577e-09,3.6859941991e-09
2019-11-01 04:30:00,4.74221338327e-07,4.22256311528e-09,3.16894984294e-09,3.41148067807e-09
2019-11-01 04:45:00,4.56410885793e-07,4.75509357473e-09,3.79588830619e-09,4.07673015239e-09
2019-11-01 05:00:00,5.04098193374e-07,5.12094592488e-09,4.24726340814e-09,4.51625195323e-09
2019-11-01 05:15:00,5.29389268532e-07,5.32339525153e-09,4.43672696074e-09,4.71509253312e-09
2019-11-01 05:30:00,5.11216140825e-07,5.31271007173e-09,4.41586438404e-09,4.68910641969e-09
2019-11-01 05:45:00,5.11820158715e-07,5.2540314568e-09,4.38831933111e-09,4.66170978261e-09
2019-11-01 06:00:00,4.8263072041e-07,5.56148193122e-09,4.7377576962e-09,4.99904348751e-09
2019-11-01 06:15:00,4.94014494894e-07,5.81905722466e-09,4.96564214525e-09,5.22517441781e-09
2019-11-01 06:30:00,5.03968186995e-07,5.34735811447e-09,4.39775650763e-09,4.6869777862e-09
2019-11-01 06:45:00,4.59967399419e-07,1.55710264398e-08,5.15607408922e-09,5.44727870657e-09
2019-11-01 07:00:00,4.63865701595e-07,9.5621049777e-09,4.75625885535e-09,5.07512016813e-09
2019-11-01 07:15:00,4.73005674353e-07,5.9224604882e-09,4.81557895416e-09,5.14695481973e-09
2019-11-01 07:30:00,4.80383054399e-07,6.20786402703e-09,4.97937975375e-09,5.29679175264e-09
2019-11-01 07:45:00,4.81851636143e-07,5.71121540078e-09,4.85682112944e-09,5.18047137452e-09
2019-11-01 08:00:00,5.15344820017e-07,6.15202641149e-09,5.31544870643e-09,5.63264911317e-09
2019-11-01 08:15:00,4.88068068179e-07,5.63713353773e-09,4.7831948153e-09,5.11461519928e-09
2019-11-01 08:30:00,4.49803113646e-07,5.80993109988e-09,4.96352354935e-09,5.28911610127e-09
2019-11-01 08:45:00,4.34995887623e-07,6.0365851596e-09,5.17427715262e-09,5.48255029788e-09
2019-11-01 09:00:00,4.50663025523e-07,6.07366478056e-09,5.02708294583e-09,5.29959715906e-09
2019-11-01 09:15:00,4.27243507715e-07,1.34203683821e-07,7.88514206935e-08,7.88776662202e-08
2019-11-01 09:30:00,4.91277513072e-07,1.32023314059e-07,7.78575911047e-08,7.78801790196e-08
2019-11-01 09:45:00,5.09194601263e-07,4.84994669986e-09,3.99146388996e-09,4.26402482494e-09
2019-11-01 10:00:00,4.67363109093e-07,4.91977795321e-09,4.0851457575e-09,4.35424451347e-09
2019-11-01 10:15:00,5.09071699044e-07,5.23050914625e-09,4.38341659855e-09,4.63842233032e-09
2019-11-01 10:30:00,5.3719573436e-07,6.33501351193e-09,5.52421260247e-09,5.77628178342e-09
2019-11-01 10:45:00,5.08313057839e-07,5.94728659303e-09,5.13983728449e-09,5.39425895857e-09
2019-11-01 11:00:00,4.54578586795e-07,5.34358468613e-09,4.50063070611e-09,4.76100298955e-09
2019-11-01 11:15:00,4.37024833303e-07,5.78479085452e-09,4.89805551423e-09,5.19197698948e-09
2019-11-01 11:30:00,4.55380417013e-07,5.62172620905e-09,4.76239111326e-09,5.08347844624e-09
2019-11-01 11:45:00,4.75210939872e-07,5.47473573515e-09,4.38967083211e-09,4.71802726106e-09
2019-11-01 12:00:00,4.6400991624e-07,5.50407547082e-09,4.39359438465e-09,4.71542292516e-09
2019-11-01 12:15:00,4.56348770018e-07,5.22732475278e-09,4.31507152316e-09,4.63904039136e-09
2019-11-01 12:30:00,4.68919717544e-07,5.25351872468e-09,4.38881564809e-09,4.69315138957e-09
2019-11-01 12:45:00,4.73021896121e-07,5.72267556542e-09,4.50499921437e-09,4.82490444674e-09
2019-11-01 13:00:00,4.77179432723e-07,6.21601780433e-09,4.98781002805e-09,5.31417449304e-09
2019-11-01 13:15:00,4.43258450557e-07,5.74286216015e-09,4.71719364935e-09,5.04276824654e-09
2019-11-01 13:30:00,4.6063035451e-07,5.58615760429e-09,4.59732328307e-09,4.91257024708e-09
2019-11-01 13:45:00,5.14427575963e-07,5.57143897616e-09,4.60063519073e-09,4.87824967522e-09
2019-11-01 14:00:00,5.13410541349e-07,6.55494211388e-09,5.42482546495e-09,5.70034083709e-09
2019-11-01 14:15:00,4.87405061985e-07,6.88723802037e-09,5.69043935115e-09,5.98602900945e-09
2019-11-01 14:30:00,4.79113420725e-07,9.21194178974e-09,6.7758693344e-09,7.0984803882e-09
2019-11-01 14:45:00,4.76909788579e-07,1.06714248377e-08,8.23051397826e-09,8.61083269564e-09
2019-11-01 15:00:00,5.01609222069e-07,1.04583933751e-08,8.75227270675e-09,9.0965722235e-09
2019-11-01 15:15:00,4.40167777846e-07,1.20693060027e-08,7.85366978276e-09,8.30926982581e-09
2019-11-01 15:30:00,3.89989227263e-07,1.00268947047e-08,6.21747711204e-09,6.64429404555e-09
2019-11-01 15:45:00,4.30403812715e-07,7.92261859898e-09,6.23290085873e-09,6.46642905469e-09
2019-11-01 16:00:00,4.30005320223e-07,8.11856826291e-09,6.24179773192e-09,6.34284841878e-09
2019-11-01 16:15:00,4.86097885127e-07,8.02694159192e-09,6.38165898012e-09,6.60001338593e-09
2019-11-01 16:30:00,4.80883263052e-07,8.38335758594e-09,6.76850225736e-09,7.1287061222e-09
2019-11-01 16:45:00,4.53204890306e-07,7.59359516164e-09,5.7099355496e-09,5.85982039195e-09
2019-11-01 17:00:00,4.65269085882e-07,8.62868465533e-09,6.73186447076e-09,6.86871624978e-09
2019-11-01 17:15:00,4.73155105889e-07,1.27979086959e-08,8.7915993073e-09,9.02201727356e-09
2019-11-01 17:30:00,4.95855023831e-07,1.2510753839e-08,8.47421383377e-09,8.65751054946e-09
2019-11-01 17:45:00,4.70826052511e-07,1.24933768515e-08,8.41154295748e-09,8.47978020057e-09
2019-11-01 18:00:00,4.62985731533e-07,1.1144319914e-08,8.18335556603e-09,8.34351634582e-09
2019-11-01 18:15:00,4.87753836349e-07,9.77206322729e-09,7.27567116301e-09,7.45881206651e-09
2019-11-01 18:30:00,4.84635796661e-07,7.20658413328e-09,5.89977646367e-09,6.02039169904e-09
2019-11-01 18:45:00,4.82993088121e-07,6.74005382151e-09,5.36845024208e-09,5.49319908939e-09
2019-11-01 19:00:00,4.53221237478e-07,6.13942609855e-09,4.8683221468e-09,4.96193441803e-09
2019-11-01 19:15:00,4.61740244408e-07,7.52055677577e-09,5.6761297468e-09,5.78037214195e-09
2019-11-01 19:30:00,5.17218144425e-07,8.09153894436e-09,5.9017659384e-09,6.00463169845e-09
2019-11-01 19:45:00,4.70396781433e-07,9.83213402827e-09,6.63878544717e-09,6.76839026824e-09
2019-11-01 20:00:00,4.74488130496e-07,9.43631980285e-09,6.58681901168e-09,6.71028160574e-09
2019-11-01 20:15:00,5.16574522883e-07,8.12723271324e-09,6.18470180672e-09,6.27926336134e-09
2019-11-01 20:30:00,4.66773445985e-07,9.36673508828e-09,6.4251695695e-09,6.49546843911e-09
2019-11-01 20:45:00,4.49331102993e-07,8.0724722652e-09,5.5759135477e-09,5.64144064812e-09
2019-11-01 21:00:00,4.31184709516e-07,8.59781977345e-09,6.87984058549e-09,7.02839792471e-09
2019-11-01 21:15:00,4.48939883778e-07,1.12439679065e-08,9.18353480283e-09,9.42030332424e-09
2019-11-01 21:30:00,4.59989304763e-07,9.58125844798e-09,7.70542813462e-09,7.78554614067e-09
2019-11-01 21:45:00,4.27211127655e-07,8.86374181496e-09,6.45227928582e-09,6.50846474828e-09
2019-11-01 22:00:00,4.45450833636e-07,1.02703486072e-08,6.94390896364e-09,6.98879282089e-09
2019-11-01 22:15:00,4.72284221724e-07,9.92731992162e-09,7.07679158306e-09,7.1544081414e-09
2019-11-01 22:30:00,4.71300498414e-07,8.35868617888e-09,6.77472420638e-09,7.05532449873e-09
2019-11-01 22:45:00,4.60577989074e-07,6.83861323187e-09,5.39472220872e-09,5.90201369435e-09
2019-11-01 23:00:00,4.60351315336e-07,5.29644739268e-09,3.81869989385e-09,4.17138330174e-09
2019-11-01 23:15:00,4.60755132056e-07,4.10048771595e-09,2.42088839565e-09,2.51245932976e-09
2019-11-01 23:30:00,4.58304017032e-07,5.38230922344e-09,3.94759102294e-09,4.26419390965e-09
2019-11-01 23:45:00,4.39536069899e-07,5.89958122654e-09,4.71733164777e-09,5.07442372724e-09
2019-11-02 00:00:00,4.64441894067e-07,4.63627622926e-09,3.59413765084e-09,3.78651832718e-09
2019-11-02 00:29:59,4.40814986289e-07,3.78889802998e-09,2.61014656795e-09,2.74006998722e-09
2019-11-02 00:44:59,4.47124411715e-07,3.37977099849e-09,2.05731630897e-09,2.12046160305e-09
2019-11-02 00:59:59,4.33117228968e-07,3.34892196886e-09,2.0744438465e-09,2.13778457443e-09
2019-11-02 01:14:59,4.8094666745e-07,3.33041205977e-09,2.11184524193e-09,2.17321472802e-09
2019-11-02 01:29:59,4.7822515701e-07,3.39437839193e-09,2.12236756699e-09,2.18487091349e-09
2019-11-02 01:44:59,4.47166023158e-07,3.66485170308e-09,1.87053882713e-09,1.94188787935e-09
