,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-11-01 00:00:00.005,1.56958741034e-07,4.34146310284e-09,1.89474689984e-09,2.13296362842e-09
2019-11-01 00:15:00.005,1.55478130756e-07,2.4362602854e-09,1.24856693099e-09,1.41164889622e-09
2019-11-01 00:30:00.005,1.61214064826e-07,2.41895648689e-09,1.21940636701e-09,1.38450933533e-09
2019-11-01 00:45:00.005,1.66057858452e-07,1.97253629542e-09,9.5140036285e-10,1.13261195506e-09
2019-11-01 01:00:00.005,1.52329205629e-07,3.93006141447e-08,2.87785932235e-08,2.9414587067e-08
2019-11-01 01:15:00.005,1.58271142947e-07,3.93015343347e-08,2.8789862613e-08,2.942528144e-08
2019-11-01 01:30:00.005,1.48624374607e-07,1.79332824323e-09,9.67757423367e-10,1.1409115461e-09
2019-11-01 01:45:00.005,1.54900573775e-07,1.7139501642e-09,8.86760360951e-10,1.08911387743e-09
2019-11-01 02:00:00.005,1.68093539104e-07,1.60020793169e-09,8.62462928187e-10,1.08389606124e-09
2019-11-01 02:15:00.005,1.6871320437e-07,1.58836668125e-09,8.70334886674e-10,1.06097834084e-09
2019-11-01 02:30:00.005,1.60176805547e-07,1.67409309554e-09,8.40315024039e-10,1.08391181124e-09
2019-11-01 02:45:00.005,1.5513675327e-07,1.86677587256e-09,9.87567666727e-10,1.34566253532e-09
2019-11-01 03:00:00.005,1.46732278321e-07,1.58785852522e-09,9.22709548228e-10,1.12363248479e-09
2019-11-01 03:15:00.005,1.5113654928e-07,1.55522409804e-09,8.00743180808e-10,1.02254852717e-09
2019-11-01 03:30:00.005,1.53975218266e-07,1.59688401218e-09,8.80405624302e-10,1.08388931961e-09
2019-11-01 03:45:00.005,1.44751917451e-07,1.76014835461e-09,1.04811064423e-09,1.22124269581e-09
2019-11-01 04:00:00.005,1.42322762513e-07,1.6859052585e-09,9.30485868032e-10,1.10360571493e-09
2019-11-01 04:15:00.005,1.32554711726e-07,1.62552757071e-09,8.53945992166e-10,1.05378302408e-09
2019-11-01 04:30:00.005,1.3776350636e-07,1.49233891286e-09,8.5961650476e-10,1.05209553493e-09
2019-11-01 04:45:00.005,1.4729701559e-07,1.41073901065e-09,7.69365771886e-10,1.02118700046e-09
2019-11-01 05:00:00.005,1.48518884818e-07,1.41079912383e-09,8.09591430345e-10,1.051672161e-09
2019-11-01 05:15:00.005,1.5471782286e-07,1.3637564524e-09,7.82061668549e-10,9.97919479648e-10
2019-11-01 05:30:00.005,1.49308523519e-07,1.33482002417e-09,7.3944415393e-10,9.88507712087e-10
2019-11-01 05:45:00.005,1.43086844301e-07,1.23834943572e-09,6.22180141448e-10,9.05311573645e-10
2019-11-01 06:00:00.005,1.43667294636e-07,1.28215594495e-09,6.89775745689e-10,8.96665764302e-10
2019-11-01 06:15:00.005,1.43164682927e-07,1.55392740872e-09,9.53991234584e-10,1.15131351698e-09
2019-11-01 06:30:00.005,1.34313438393e-07,1.92518282465e-09,1.13376382185e-09,1.31941101726e-09
2019-11-01 06:45:00.005,1.38910710991e-07,1.37230546723e-08,4.21256841758e-09,4.27046897767e-09
2019-11-01 07:00:00.005,1.33656597191e-07,7.52716370792e-09,2.32626989893e-09,2.4002263981e-09
2019-11-01 07:15:00.005,1.31983682475e-07,2.83515048093e-09,1.63016328427e-09,1.72978923424e-09
2019-11-01 07:30:00.005,1.43258622795e-07,3.50774399543e-09,2.0482155662e-09,2.13189307403e-09
2019-11-01 07:45:00.005,1.39811764892e-07,1.12781756587e-09,6.37340688889e-10,8.52845596934e-10
2019-11-01 08:00:00.005,1.43064990456e-07,1.15482307523e-09,6.3917910262e-10,8.55948116967e-10
2019-11-01 08:15:00.005,1.33818040583e-07,1.04965386826e-09,5.28665542823e-10,7.65405030883e-10
2019-11-01 08:30:00.005,1.40014581428e-07,1.12319650236e-09,5.81430952856e-10,8.12170426855e-10
2019-11-01 08:45:00.005,1.28785207558e-07,1.35356799097e-09,7.184805566e-10,9.20206954228e-10
2019-11-01 09:00:00.005,1.26756155507e-07,2.9546400629e-09,1.69123173639e-09,1.7845170369e-09
2019-11-01 09:15:00.005,1.35749609491e-07,1.52877330116e-07,6.2877924275e-08,6.2888342096e-08
2019-11-01 09:30:00.005,1.39300430569e-07,1.50150007742e-07,6.18606667973e-08,6.18706060062e-08
2019-11-01 09:45:00.005,1.32011029022e-07,1.06000026675e-09,5.5436006488e-10,7.88761279885e-10
2019-11-01 10:00:00.005,1.27092498925e-07,1.08805090148e-09,5.87812998302e-10,8.06504416387e-10
2019-11-01 10:15:00.005,1.30321028537e-07,1.12966407221e-09,6.13756107844e-10,8.24264185852e-10
2019-11-01 10:30:00.005,1.28617100895e-07,1.19708125166e-09,6.54000509423e-10,8.55581590566e-10
2019-11-01 10:45:00.005,1.34092414373e-07,1.13816398324e-09,5.83519849058e-10,8.05948366248e-10
2019-11-01 11:00:00.005,1.29802008159e-07,1.2220555818e-09,6.51351471056e-10,8.61837707622e-10
2019-11-01 11:15:00.005,1.25492190706e-07,1.33181175089e-09,7.50665301813e-10,9.41223209965e-10
2019-11-01 11:30:00.005,1.25016349898e-07,1.09999112542e-09,5.84853894184e-10,8.14510650644e-10
2019-11-01 11:45:00.005,1.25986139183e-07,1.93679879032e-09,7.98033276737e-10,9.76448411851e-10
2019-11-01 12:00:00.005,1.44017022022e-07,2.52911672415e-09,8.82277904607e-10,1.04215003247e-09
2019-11-01 12:15:00.005,1.33274014006e-07,1.99542482876e-09,7.25206835474e-10,9.13231644189e-10
2019-11-01 12:30:00.005,1.26980349094e-07,1.38156737001e-09,7.12783530515e-10,9.14255661044e-10
2019-11-01 12:45:00.005,1.26444990904e-07,2.74399384708e-09,8.75800093589e-10,1.04676327614e-09
2019-11-01 13:00:00.005,1.39257376499e-07,2.8583515671e-09,1.0738713036e-09,1.22105806939e-09
2019-11-01 13:15:00.005,1.37136899496e-07,2.10764807961e-09,1.0936029144e-09,1.23575038702e-09
2019-11-01 13:30:00.005,1.23856004793e-07,2.09205701789e-09,1.17867761201e-09,1.31436606552e-09
2019-11-01 13:45:00.005,1.14810932253e-07,3.73519043103e-09,2.98950983857e-09,3.08060997827e-09
2019-11-01 14:00:00.005,1.30563506973e-07,1.94781622732e-08,1.89308516888e-08,1.90411733485e-08
2019-11-01 14:15:00.005,1.32172177893e-07,1.95638234756e-08,1.89485431201e-08,1.9064685804e-08
2019-11-01 14:30:00.005,1.28116117308e-07,8.45800113336e-09,5.62067420507e-09,5.75129143124e-09
2019-11-01 14:45:00.005,1.41616591381e-07,1.21649092997e-08,8.77039912599e-09,8.98118428064e-09
2019-11-01 15:00:00.005,1.39195914921e-07,1.60957635577e-08,1.20982811365e-08,1.23754018429e-08
2019-11-01 15:15:00.005,1.28763130491e-07,1.05169405267e-08,7.84688716957e-09,7.91410980157e-09
2019-11-01 15:30:00.005,1.22194814329e-07,8.42293635751e-09,6.49326671588e-09,6.55299921888e-09
2019-11-01 15:45:00.005,1.19667724595e-07,8.18982561457e-09,6.79608182529e-09,6.84649667484e-09
2019-11-01 16:00:00.005,1.18165962012e-07,1.00023842054e-08,8.44351104623e-09,8.49276941528e-09
2019-11-01 16:15:00.005,1.24483376572e-07,7.52088918043e-09,4.07049686007e-09,4.15839277357e-09
2019-11-01 16:30:00.005,1.22454329127e-07,8.88370193392e-09,6.3510111132e-09,6.54845599248e-09
2019-11-01 16:45:00.005,1.21863189002e-07,1.16609832745e-08,9.7296129007e-09,1.00189528463e-08
2019-11-01 17:00:00.005,1.15699097026e-07,1.18786248198e-08,1.00244329063e-08,1.03258777709e-08
2019-11-01 17:15:00.005,1.19595891202e-07,1.29022717696e-08,1.08216892035e-08,1.11201268846e-08
2019-11-01 17:30:00.005,1.21902951599e-07,1.3740796327e-08,1.13830158362e-08,1.16472877318e-08
2019-11-01 17:45:00.005,1.25039727824e-07,1.2362122812e-08,9.37066986586e-09,9.49336311621e-09
2019-11-01 18:00:00.005,1.1268257056e-07,8.39006391484e-09,5.27445256681e-09,5.31629105541e-09
2019-11-01 18:15:00.005,1.15042114814e-07,8.77116310171e-09,3.74443780044e-09,3.80817850136e-09
2019-11-01 18:30:00.005,1.21432410436e-07,7.61760874295e-09,3.95069660904e-09,4.02255571171e-09
2019-11-01 18:45:00.005,1.1987250391e-07,5.2521112952e-09,2.86016211959e-09,2.94330039253e-09
2019-11-01 19:00:00.005,1.07609970041e-07,4.47989744054e-09,2.82002155866e-09,2.89360626238e-09
2019-11-01 19:15:00.005,1.12876952199e-07,6.85423198886e-09,4.72061598731e-09,4.79365068841e-09
2019-11-01 19:30:00.005,1.22206054143e-07,7.13395632813e-09,3.72604178336e-09,3.79795330092e-09
2019-11-01 19:45:00.005,1.25799755264e-07,6.02555155297e-09,2.43115890786e-09,2.50860038215e-09
2019-11-01 20:00:00.005,1.19661219608e-07,6.6410708936e-09,2.99559887318e-09,3.06398774051e-09
2019-11-01 20:15:00.005,1.16187380867e-07,9.16102385056e-09,3.63978320716e-09,3.6999413622e-09
2019-11-01 20:30:00.005,1.23903824262e-07,1.02489982524e-08,4.1098082404e-09,4.18177032954e-09
2019-11-01 20:45:00.005,1.19992475473e-07,7.75029845886e-09,3.70039364435e-09,3.7958152129e-09
2019-11-01 21:00:00.005,1.16846727694e-07,5.97952963017e-09,3.55505460688e-09,3.66442747527e-09
2019-11-01 21:15:00.005,1.16069190363e-07,7.1260594179e-09,3.80371335475e-09,3.90277271672e-09
2019-11-01 21:30:00.005,1.12931922663e-07,8.14699415112e-09,3.74034967246e-09,3.851146868e-09
2019-11-01 21:45:00.005,1.22116729541e-07,7.3254717914e-09,2.77882949691e-09,2.93478694648e-09
2019-11-01 22:00:00.005,1.18037843842e-07,6.72246860489e-09,3.06349269905e-09,3.17301927728e-09
2019-11-01 22:15:00.005,1.20671939212e-07,6.10868707705e-09,2.84719784259e-09,2.95288476747e-09
2019-11-01 22:30:00.005,1.18282800569e-07,6.06228806223e-09,2.56903402672e-09,2.69205929469e-09
2019-11-01 22:45:00.005,1.09815166917e-07,8.04159050494e-09,2.84747307096e-09,2.97646986052e-09
2019-11-01 23:00:00.005,1.0633808835e-07,7.79312601165e-09,2.4606865246e-09,2.61419258863e-09
2019-11-01 23:15:00.005,1.05880910594e-07,6.10587687363e-09,2.20010315018e-09,2.36221662624e-09
2019-11-01 23:30:00.005,1.00958957687e-07,5.43326792762e-09,2.14167194161e-09,2.4289975364e-09
2019-11-01 23:45:00.005,1.08240633677e-07,3.58903855304e-09,1.70980606884e-09,2.19281303421e-09
2019-11-02 00:00:00.005,1.18682528489e-07,3.09887155839e-09,1.3981534437e-09,1.59241812232e-09
2019-11-02 00:29:59.005,1.13090665258e-07,2.33047201154e-09,1.10164115794e-09,1.26378593642e-09
2019-11-02 00:44:59.005,1.17578898598e-07,2.33578107429e-09,1.13544633216e-09,1.29515016481e-09
2019-11-02 00:59:59.005,1.16896673464e-07,2.231527318e-09,1.19269729368e-09,1.34411544301e-09
2019-11-02 01:14:59.005,1.13516021338e-07,1.96551216589e-09,1.16048425797e-09,1.31063040121e-09
2019-11-02 01:29:59.005,1.10990214402e-07,1.87119592928e-09,1.11646708629e-09,1.26816637202e-09
2019-11-02 01:44:59.005,1.02326422585e-07,2.52497954484e-09,1.14595707044e-09,1.29406119749e-09
2019-11-02 01:59:59.005,1.07358071179e-07,2.94430523095e-09,1.0744600952e-09,1.23016786166e-09
2019-11-02 02:14:59.005,1.09362374644e-07,1.77951139301e-09,1.02838881414e-09,1.18780707309e-09
2019-11-02 02:29:59.005,1.01556659853e-07,1.79651245123e-09,1.15367855901e-09,1.30579320821e-09
2019-11-02 02:44:59.005,1.10174650046e-07,1.65262121229e-09,9.10576636723e-10,1.13113841098e-09
2019-11-02 02:59:59.005,1.08346269226e-07,1.52129021249e-09,7.82242721663e-10,9.97466853367e-10
2019-11-02 03:14:59.005,9.96543730654e-08,1.6207445548e-09,8.36982294427e-10,1.08378365193e-09
