,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:59.000000,3.74348701805e-07,3.13597940651e-09,1.04199453618e-09,1.17972453793e-09
2019-10-31 23:44:59.000000,3.93586267616e-07,3.17432350405e-09,1.06029958208e-09,1.20386452779e-09
2019-10-31 23:59:59.000000,3.41928531019e-07,3.06745727331e-09,1.04112341243e-09,1.1828987504e-09
2019-11-01 00:14:59.000000,3.42766584246e-07,3.21487301491e-09,1.05369853339e-09,1.2052509867e-09
2019-11-01 00:29:59.000000,3.54600658068e-07,3.18679227588e-09,9.95141327774e-10,1.1325057478e-09
2019-11-01 00:44:59.000000,3.2314583946e-07,3.20656908466e-09,1.01871371376e-09,1.14929950257e-09
2019-11-01 00:59:59.000000,3.18612299258e-07,3.17375256786e-09,1.05704879123e-09,1.18800452864e-09
2019-11-01 01:14:59.000000,3.25448726411e-07,3.23793313258e-09,1.07376313989e-09,1.21015660926e-09
2019-11-01 01:29:59.000000,3.45028664665e-07,3.25642145796e-09,1.04440026945e-09,1.19130954519e-09
2019-11-01 01:44:59.000000,3.43950136941e-07,3.29512185889e-09,9.99843687283e-10,1.14868949642e-09
2019-11-01 01:59:59.000000,3.3456735517e-07,3.36575030422e-09,1.05130575835e-09,1.18717122644e-09
2019-11-01 02:14:59.000000,3.43865711342e-07,3.43912176413e-09,9.92405728676e-10,1.141024312e-09
2019-11-01 02:29:59.000000,3.34971181415e-07,3.48922972176e-09,9.86066807603e-10,1.12958637221e-09
2019-11-01 02:44:59.000000,3.55343327568e-07,3.47552785239e-09,9.95011797014e-10,1.13093256604e-09
2019-11-01 02:59:59.000000,3.58951205859e-07,3.51134072909e-09,9.44456538329e-10,1.07999573563e-09
2019-11-01 03:14:59.000000,3.48305379117e-07,3.50783682764e-09,9.68901917695e-10,1.0870277944e-09
2019-11-01 03:29:59.000000,3.54877384952e-07,3.44506153999e-09,1.01315578756e-09,1.1360782394e-09
2019-11-01 03:44:59.000000,3.71542680303e-07,3.47918015898e-09,1.06234664419e-09,1.18491625664e-09
2019-11-01 03:59:59.000000,3.56060301713e-07,3.63788245945e-09,1.074616252e-09,1.18633173854e-09
2019-11-01 04:14:59.000000,3.46714304142e-07,3.59616850739e-09,1.04401154294e-09,1.15698512176e-09
2019-11-01 04:29:59.000000,3.61949445072e-07,3.6350106319e-09,9.90104914539e-10,1.10659466359e-09
2019-11-01 04:44:59.000000,3.56994605959e-07,3.67230406028e-09,1.01674105864e-09,1.14214559171e-09
2019-11-01 04:59:59.000000,3.55481114288e-07,3.66682022867e-09,1.0462530158e-09,1.15584003922e-09
2019-11-01 05:14:59.000000,3.77184056334e-07,3.74618996928e-09,1.1108810973e-09,1.20026754952e-09
2019-11-01 05:29:59.000000,3.81666744423e-07,3.91607100342e-09,1.25662277164e-09,1.33578596455e-09
2019-11-01 05:44:59.000000,3.87506313149e-07,3.91459253913e-09,1.15193409952e-09,1.23095063213e-09
2019-11-01 05:59:59.000000,3.86700378658e-07,3.70412157052e-09,9.63239419804e-10,1.04435517694e-09
2019-11-01 06:14:59.000000,3.76981698931e-07,3.80440753148e-09,9.71727072087e-10,1.04847914968e-09
2019-11-01 06:29:59.000000,3.82885563829e-07,3.91594871162e-09,1.04789246442e-09,1.12289395711e-09
2019-11-01 06:44:59.000000,3.9156139008e-07,3.87581260499e-09,1.06859981127e-09,1.14179841465e-09
2019-11-01 06:59:59.000000,4.09303288744e-07,3.94520357644e-09,1.05570074979e-09,1.12618006525e-09
2019-11-01 07:14:59.000000,4.18476212991e-07,3.90283503888e-09,1.01408510926e-09,1.08719274267e-09
2019-11-01 07:29:59.000000,4.40116873903e-07,3.90700923455e-09,9.9181229288e-10,1.06521014181e-09
2019-11-01 07:44:59.000000,4.51041331872e-07,3.86252497292e-09,9.64810533797e-10,1.04398379276e-09
2019-11-01 07:59:59.000000,4.46271435188e-07,3.81864049866e-09,1.00403529132e-09,1.07670216063e-09
2019-11-01 08:14:59.000000,4.69356572685e-07,3.90060667743e-09,9.84192797335e-10,1.06104538723e-09
2019-11-01 08:29:59.000000,4.76512256815e-07,4.07123644338e-09,1.05376950953e-09,1.13238453934e-09
2019-11-01 08:44:59.000000,5.1357095376e-07,3.98013368535e-09,9.8399472896e-10,1.07008166161e-09
2019-11-01 08:59:59.000000,5.38203448642e-07,3.77202927677e-09,9.2575186307e-10,1.03909035085e-09
2019-11-01 09:14:59.000000,5.31965746032e-07,3.57357058521e-09,8.40089436401e-10,9.73988319777e-10
2019-11-01 09:29:59.000000,5.49543190607e-07,3.53657703827e-09,8.38418894238e-10,9.65656786681e-10
2019-11-01 09:44:59.000000,5.94804072842e-07,3.62194219002e-09,9.08170320146e-10,1.03388562298e-09
2019-11-01 09:59:59.000000,6.3523625973e-07,3.73142729658e-09,9.89714090382e-10,1.12230607069e-09
2019-11-01 10:14:59.000000,6.642496751e-07,3.69744186997e-09,1.00494286998e-09,1.14973058086e-09
2019-11-01 10:29:59.000000,6.78510144682e-07,3.64989229841e-09,9.92843811669e-10,1.16308198642e-09
2019-11-01 10:44:59.000000,6.95328866089e-07,3.7587655139e-09,1.30064435533e-09,1.50402674367e-09
2019-11-01 10:59:59.000000,6.85458320581e-07,3.96506779513e-09,1.6287114786e-09,1.85728809006e-09
2019-11-01 11:14:59.000000,7.03298872726e-07,4.27349277641e-09,1.80900235743e-09,2.04604856228e-09
2019-11-01 11:29:59.000000,7.22506720019e-07,4.1617084305e-09,1.7983413107e-09,2.07859815216e-09
2019-11-01 11:44:59.000000,7.14409110962e-07,4.03282435149e-09,1.65175647626e-09,1.94600173943e-09
2019-11-01 11:59:59.000000,7.38661445314e-07,3.98591991663e-09,1.73610019398e-09,2.00981578016e-09
2019-11-01 12:14:59.000000,7.16887209747e-07,4.07644926224e-09,1.69726640813e-09,1.98775697643e-09
2019-11-01 12:29:59.000000,7.28838892158e-07,4.3518372031e-09,1.89100295698e-09,2.26280701485e-09
2019-11-01 12:44:59.000000,7.72775340062e-07,4.15073094656e-09,1.69259298106e-09,1.96243282776e-09
2019-11-01 12:59:59.000000,7.65480132106e-07,3.95915670628e-09,1.4167171267e-09,1.56970018293e-09
2019-11-01 13:14:59.000000,7.64435936255e-07,4.02505005108e-09,1.64676474209e-09,1.83444620462e-09
2019-11-01 13:29:59.000000,7.86537694628e-07,4.53177350451e-09,2.0487950514e-09,2.52951356993e-09
2019-11-01 13:44:59.000000,8.20925492267e-07,4.71281410589e-09,2.14657136485e-09,2.63623568881e-09
2019-11-01 13:59:59.000000,8.76908421849e-07,4.33369810754e-09,2.00962950275e-09,2.3596738929e-09
2019-11-01 14:14:59.000000,8.57858550449e-07,4.55359132981e-09,2.13461178143e-09,2.52083694608e-09
2019-11-01 14:29:59.000000,8.43942096587e-07,4.86594026605e-09,2.31239578922e-09,2.8260212642e-09
2019-11-01 14:44:59.000000,8.29843590088e-07,4.6260841763e-09,2.0412406809e-09,2.49358240904e-09
2019-11-01 14:59:59.000000,8.44531601128e-07,4.52717108013e-09,2.05454052906e-09,2.45507865523e-09
2019-11-01 15:14:59.000000,8.40065441462e-07,4.72940834749e-09,2.13891313872e-09,2.74485141442e-09
2019-11-01 15:29:59.000000,8.69233317952e-07,4.5034296232e-09,1.9482914237e-09,2.43833308348e-09
2019-11-01 15:44:59.000000,9.21155530664e-07,4.0808465343e-09,1.61394774486e-09,1.84431872977e-09
2019-11-01 15:59:59.000000,8.39841574834e-07,3.89654154616e-09,1.50651595487e-09,1.64773954061e-09
