,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:59.005000,3.97637540718e-07,2.36433015004e-09,1.70828632279e-10,1.75652056148e-10
2019-10-31 23:44:59.005000,4.22818746992e-07,2.36229036371e-09,1.95820477694e-10,2.01308181176e-10
2019-10-31 23:59:59.005000,4.01696357384e-07,2.43606303115e-09,1.90781629619e-10,1.96194564294e-10
2019-11-01 00:14:59.005000,3.94165493569e-07,2.48744261926e-09,1.65118333315e-10,1.69956619653e-10
2019-11-01 00:29:59.005000,3.94073170901e-07,2.4034259462e-09,1.56050450454e-10,1.61053876134e-10
2019-11-01 00:44:59.005000,3.87306208324e-07,2.47800138788e-09,1.59905115785e-10,1.64276972997e-10
2019-11-01 00:59:59.005000,3.69836928741e-07,2.48186276002e-09,1.73088900146e-10,1.78070085027e-10
2019-11-01 01:14:59.005000,3.72789340868e-07,2.46211798734e-09,1.66557348806e-10,1.71174423492e-10
2019-11-01 01:29:59.005000,3.75534954311e-07,2.491792793e-09,1.65214265604e-10,1.698656522e-10
2019-11-01 01:44:59.005000,3.60386699127e-07,2.55529569573e-09,1.69959795513e-10,1.74208284328e-10
2019-11-01 01:59:59.005000,3.54303756447e-07,2.66475557405e-09,1.81504664685e-10,1.85671339001e-10
2019-11-01 02:14:59.005000,3.63980007572e-07,2.8059803943e-09,1.87199435592e-10,1.91754050508e-10
2019-11-01 02:29:59.005000,3.55385047131e-07,2.74903181576e-09,1.71062459707e-10,1.75678694242e-10
2019-11-01 02:44:59.005000,3.70915638588e-07,2.70500617856e-09,1.550177058e-10,1.59324649021e-10
2019-11-01 02:59:59.005000,3.81834518735e-07,2.61033936627e-09,1.54014293337e-10,1.58669271195e-10
2019-11-01 03:14:59.005000,3.74001756199e-07,2.65081081975e-09,1.58146405951e-10,1.62591143203e-10
2019-11-01 03:29:59.005000,3.63656714595e-07,2.63324919821e-09,1.55762189503e-10,1.60098943505e-10
2019-11-01 03:44:59.005000,3.89158062504e-07,2.66355274312e-09,1.41446633392e-10,1.45544715321e-10
2019-11-01 03:59:59.005000,3.9306700719e-07,2.78071627559e-09,1.34434365779e-10,1.38598303724e-10
2019-11-01 04:14:59.005000,3.82779693355e-07,2.80067230244e-09,1.4213474522e-10,1.45928542153e-10
2019-11-01 04:29:59.005000,3.8418971602e-07,2.84637307276e-09,1.57449677722e-10,1.61522911347e-10
2019-11-01 04:44:59.005000,3.89300563376e-07,2.81555008591e-09,1.4684908039e-10,1.51054343977e-10
2019-11-01 04:59:59.005000,3.88246100941e-07,2.81804324806e-09,1.49647823777e-10,1.53302644117e-10
2019-11-01 05:14:59.005000,3.96438135444e-07,2.95320642972e-09,1.44012660459e-10,1.47504588236e-10
2019-11-01 05:29:59.005000,4.06252588437e-07,2.96697902718e-09,1.49602361645e-10,1.53378718656e-10
2019-11-01 05:44:59.005000,4.00015558655e-07,2.89550494745e-09,1.90285610754e-10,1.94511454785e-10
2019-11-01 05:59:59.005000,4.19713430267e-07,2.90494995376e-09,1.79017032261e-10,1.8289630114e-10
2019-11-01 06:14:59.005000,4.07286931249e-07,2.95806644834e-09,1.5331333781e-10,1.58652176264e-10
2019-11-01 06:29:59.005000,4.08240072885e-07,2.87695255756e-09,1.55839849856e-10,1.61338846063e-10
2019-11-01 06:44:59.005000,4.1462248966e-07,2.9694078305e-09,1.56071277182e-10,1.60693130227e-10
