,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:59.000000,4.157757537e-07,4.36307712893e-09,5.70379544519e-10,8.4354227567e-10
2019-10-31 23:44:59.000000,4.23752501921e-07,4.37308135021e-09,5.5900704194e-10,8.29977255632e-10
2019-10-31 23:59:59.000000,4.06589761156e-07,4.33461276654e-09,5.67257583694e-10,8.40278167599e-10
2019-11-01 00:14:59.000000,4.16158546667e-07,4.16897888075e-09,5.35196681246e-10,7.80967330317e-10
2019-11-01 00:29:59.000000,3.95195335047e-07,4.21921705249e-09,5.24559878975e-10,7.51709559458e-10
2019-11-01 00:44:59.000000,3.91310575748e-07,4.3438367122e-09,5.20557707314e-10,7.44461474131e-10
2019-11-01 00:59:59.000000,3.84111134186e-07,4.29718376344e-09,4.89613355103e-10,6.97379563004e-10
2019-11-01 01:14:59.000000,3.85750443135e-07,4.33742717573e-09,4.989046544e-10,6.98509136499e-10
2019-11-01 01:29:59.000000,3.93799924738e-07,4.41250561654e-09,4.56085118733e-10,6.38348487541e-10
2019-11-01 01:44:59.000000,3.87453587125e-07,4.58388091268e-09,4.46394334297e-10,6.31794223504e-10
2019-11-01 01:59:59.000000,3.92695570553e-07,4.59950562097e-09,4.34373333923e-10,6.13073736965e-10
2019-11-01 02:14:59.000000,3.8556838267e-07,4.55634464695e-09,4.62705299873e-10,6.42991056154e-10
2019-11-01 02:29:59.000000,3.8675068353e-07,4.58370138167e-09,4.66785768623e-10,6.39244175732e-10
2019-11-01 02:44:59.000000,3.93123493189e-07,4.79078220809e-09,4.55350969464e-10,6.31601567949e-10
2019-11-01 02:59:59.000000,3.73650706905e-07,4.7669937453e-09,4.36244884309e-10,6.18482694503e-10
2019-11-01 03:14:59.000000,3.83187979897e-07,4.77895976294e-09,3.95009819231e-10,5.26819344438e-10
2019-11-01 03:29:59.000000,3.63298082828e-07,4.92352879474e-09,4.14349885948e-10,5.53484494203e-10
2019-11-01 03:44:59.000000,3.73224265157e-07,4.94757099748e-09,4.02672146091e-10,5.28199757057e-10
2019-11-01 03:59:59.000000,3.82717824586e-07,5.12822070983e-09,4.03348853822e-10,5.28843776887e-10
2019-11-01 04:14:59.000000,3.84282584072e-07,5.27162953599e-09,3.95764252519e-10,5.08552553759e-10
2019-11-01 04:29:59.000000,3.86068474926e-07,5.23226806232e-09,4.27076467498e-10,5.59126440275e-10
2019-11-01 04:44:59.000000,3.86086249558e-07,5.44048377263e-09,4.71272902571e-10,6.08254811841e-10
2019-11-01 04:59:59.000000,4.0569696788e-07,5.516340486e-09,4.57319788959e-10,5.7364267448e-10
2019-11-01 05:14:59.000000,4.06211711203e-07,5.56585564207e-09,4.62397813935e-10,5.81139478324e-10
2019-11-01 05:29:59.000000,3.97588035201e-07,5.297096437e-09,4.40030236594e-10,5.32791679073e-10
2019-11-01 05:44:59.000000,4.02497206845e-07,5.53833182288e-09,4.04685534091e-10,4.73291688897e-10
2019-11-01 05:59:59.000000,3.99031041918e-07,5.46950615179e-09,3.7523172599e-10,4.39393415508e-10
2019-11-01 06:14:59.000000,4.11060652064e-07,5.50459280381e-09,3.55808429836e-10,4.24706090856e-10
2019-11-01 06:29:59.000000,4.5068414519e-07,5.12097179896e-09,4.00590817027e-10,4.9573331432e-10
2019-11-01 06:44:59.000000,4.64329418079e-07,4.70352629558e-09,3.83138243115e-10,4.80185015922e-10
2019-11-01 06:59:59.000000,5.00585595157e-07,4.46228276238e-09,3.14102111651e-10,3.83604113592e-10
2019-11-01 07:14:59.000000,5.25146297638e-07,4.21338152405e-09,3.06294916401e-10,3.7532694815e-10
2019-11-01 07:29:59.000000,5.45068787828e-07,4.12557056688e-09,3.17323599498e-10,3.94797561966e-10
2019-11-01 07:44:59.000000,6.05863695421e-07,4.05074105964e-09,3.24704977347e-10,4.05797377322e-10
2019-11-01 07:59:59.000000,6.37676876022e-07,3.91596178335e-09,3.59890341899e-10,4.62736372947e-10
2019-11-01 08:14:59.000000,6.64739093804e-07,3.78605472302e-09,4.03673920301e-10,5.24804288217e-10
2019-11-01 08:29:59.000000,6.98641942979e-07,3.67995809246e-09,4.60784847851e-10,6.06587191749e-10
2019-11-01 08:44:59.000000,7.4767532999e-07,3.716504272e-09,5.50724271536e-10,7.23114893557e-10
2019-11-01 08:59:59.000000,7.93187061561e-07,3.84873952302e-09,6.17951164948e-10,8.33952203359e-10
2019-11-01 09:14:59.000000,8.37148714363e-07,3.93877818753e-09,7.69789597897e-10,1.06396753279e-09
2019-11-01 09:29:59.000000,8.59572962962e-07,4.01255182197e-09,9.05419065244e-10,1.25130784735e-09
2019-11-01 09:44:59.000000,8.48343322554e-07,4.02570514473e-09,9.11082009064e-10,1.28667281893e-09
2019-11-01 09:59:59.000000,8.37852479853e-07,3.9261481125e-09,8.71480980127e-10,1.29027005449e-09
2019-11-01 10:14:59.000000,8.72934125333e-07,3.86025618625e-09,8.72144242968e-10,1.30436387172e-09
2019-11-01 10:29:59.000000,8.88181059839e-07,3.84613233609e-09,8.42623641612e-10,1.25361091219e-09
2019-11-01 10:44:59.000000,8.70333056346e-07,3.81350248327e-09,7.66067593313e-10,1.10754430314e-09
2019-11-01 10:59:59.000000,8.67006778301e-07,3.70452330221e-09,7.81384164346e-10,1.10934579702e-09
2019-11-01 11:14:59.000000,9.36980828857e-07,3.63029996468e-09,8.39712602625e-10,1.21243384344e-09
2019-11-01 11:29:59.000000,9.94080902804e-07,3.56437589916e-09,7.90591841817e-10,1.13754824077e-09
2019-11-01 11:44:59.000000,9.82861849521e-07,3.67505314146e-09,8.55281260496e-10,1.2204300322e-09
2019-11-01 11:59:59.000000,9.58716731697e-07,3.62660799156e-09,8.72522201302e-10,1.25664328057e-09
2019-11-01 12:14:59.000000,9.47041740835e-07,3.57506711509e-09,8.80165757796e-10,1.26126811707e-09
2019-11-01 12:29:59.000000,9.70286843593e-07,3.57994081095e-09,8.50067373971e-10,1.18734196612e-09
2019-11-01 12:44:59.000000,9.68181067826e-07,3.5822888023e-09,8.37263822058e-10,1.1692849364e-09
2019-11-01 12:59:59.000000,9.98012373204e-07,3.58776130797e-09,7.81878057842e-10,1.113808303e-09
2019-11-01 13:14:59.000000,9.57586703039e-07,3.61318107168e-09,8.1684714754e-10,1.17514489284e-09
2019-11-01 13:29:59.000000,9.62434240387e-07,3.62843120372e-09,8.91825405482e-10,1.3104361729e-09
2019-11-01 13:44:59.000000,9.80223178393e-07,3.71222193784e-09,9.90186928563e-10,1.38467676267e-09
2019-11-01 13:59:59.000000,9.32030846609e-07,3.78466240143e-09,1.0419725408e-09,1.42058560803e-09
2019-11-01 14:14:59.000000,9.98207622199e-07,3.74864931814e-09,1.05234391779e-09,1.43321070867e-09
2019-11-01 14:29:59.000000,1.01583599727e-06,3.86756819142e-09,1.08718127979e-09,1.47039124427e-09
2019-11-01 14:44:59.000000,1.01938829035e-06,3.81077324734e-09,1.05475737474e-09,1.43851637786e-09
2019-11-01 14:59:59.000000,9.90747272333e-07,3.74240569818e-09,1.04896639045e-09,1.41092055744e-09
2019-11-01 15:14:59.000000,9.79753694805e-07,3.84343561381e-09,1.08092210605e-09,1.46739957518e-09
2019-11-01 15:29:59.000000,9.59563296128e-07,3.73083724931e-09,1.10944161631e-09,1.51918046863e-09
2019-11-01 15:44:59.000000,9.63159344214e-07,3.75077719446e-09,1.10927432519e-09,1.51292551655e-09
2019-11-01 15:59:59.000000,9.18963794015e-07,3.67428765471e-09,1.10419999505e-09,1.51850429836e-09
2019-11-01 16:14:59.000000,8.71403082719e-07,3.73255674862e-09,1.09604672917e-09,1.5395986121e-09
2019-11-01 16:29:59.000000,8.56271356876e-07,3.73317898969e-09,1.08512412784e-09,1.5434890937e-09
2019-11-01 16:44:59.000000,8.75148251379e-07,3.82551511304e-09,1.10746340646e-09,1.54808754117e-09
2019-11-01 16:59:59.000000,8.2760686968e-07,3.939965641e-09,1.14306432931e-09,1.56748002437e-09
2019-11-01 17:14:59.000000,8.41253175926e-07,3.86562030117e-09,1.16235038741e-09,1.61357265759e-09
2019-11-01 17:29:59.000000,7.80787529292e-07,3.8021704741e-09,1.17538781908e-09,1.61663114668e-09
