,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-11-19 09:52:46.815,0.000231335062427,2.07399975272e-06,7.00074866453e-08,7.02037015803e-08
2019-11-19 10:07:46.815,3.86728886312e-06,2.28923719186e-07,3.96010720026e-08,3.98357339451e-08
2019-11-19 10:22:46.815,3.90533133395e-06,2.17651952291e-07,4.33791509177e-08,4.3590778791e-08
2019-11-19 10:37:46.815,3.7607870358e-06,2.20491500929e-07,4.45327700285e-08,4.47321694011e-08
2019-11-19 10:52:46.815,3.53167041395e-06,2.15077095605e-07,4.3653145957e-08,4.38708771286e-08
2019-11-19 11:07:46.815,3.66198496202e-06,2.03268595189e-07,4.22502551786e-08,4.24506717586e-08
2019-11-19 11:22:46.815,3.52399625551e-06,1.91650068574e-07,3.99856661447e-08,4.02112415979e-08
2019-11-19 11:37:46.815,3.44466407733e-06,1.84839945645e-07,3.85524264624e-08,3.87957914785e-08
2019-11-19 11:52:46.815,3.43084597925e-06,1.84019628976e-07,3.97384359136e-08,3.99869407065e-08
2019-11-19 12:07:46.815,3.35663755961e-06,1.80256618148e-07,4.13774493122e-08,4.17085724635e-08
2019-11-19 12:22:46.815,3.33360376574e-06,1.84506148461e-07,4.37713591804e-08,4.41369914945e-08
2019-11-19 12:37:46.815,3.22714601735e-06,1.87444674325e-07,4.47681534729e-08,4.50631601018e-08
2019-11-19 12:52:46.815,3.23907699585e-06,1.86448765681e-07,4.13500036996e-08,4.15807014105e-08
2019-11-19 13:07:46.815,3.15053279217e-06,1.88717229625e-07,4.14797608908e-08,4.17160633084e-08
2019-11-19 13:22:46.815,3.13023304764e-06,1.83465239232e-07,4.05407390083e-08,4.07937742745e-08
2019-11-19 13:37:46.815,3.10092079618e-06,1.8262531018e-07,4.06857383548e-08,4.09458105347e-08
2019-11-19 13:52:46.815,3.02564429699e-06,1.88364401797e-07,4.12747572586e-08,4.15281636353e-08
2019-11-19 14:07:46.815,3.08618338512e-06,1.93334986001e-07,4.16752564195e-08,4.19395569772e-08
2019-11-19 14:22:46.815,3.06683836329e-06,1.96346839849e-07,3.87168186865e-08,3.89602958032e-08
2019-11-19 14:37:46.815,3.05616841172e-06,1.92558619186e-07,3.95287327481e-08,3.97761831995e-08
2019-11-19 14:52:46.815,3.04280018439e-06,1.93024327739e-07,3.70304108741e-08,3.72836461406e-08
2019-11-19 15:07:46.815,3.04006672345e-06,1.87602722586e-07,3.83245952493e-08,3.85982373408e-08
2019-11-19 15:22:46.815,2.95531867093e-06,1.80894406105e-07,3.67198894647e-08,3.69879957388e-08
2019-11-19 15:37:46.815,2.93926165917e-06,1.76592685577e-07,3.66928601949e-08,3.69840982334e-08
2019-11-19 15:52:46.815,2.93476426047e-06,1.74197104211e-07,3.65080836763e-08,3.67681827727e-08
2019-11-19 16:07:46.815,2.87810596758e-06,1.74181905069e-07,3.71147278713e-08,3.73854692898e-08
