,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-11-01 00:00:00.000,9.09258914687e-06,9.09005080027e-08,9.11800714556e-09,9.57922549856e-09
2019-11-01 00:15:00.000,9.60021626521e-06,9.03672164453e-08,8.83873259852e-09,9.25378251307e-09
2019-11-01 00:30:00.000,9.4458706903e-06,8.94499400561e-08,8.98558424896e-09,9.43428433505e-09
2019-11-01 00:45:00.000,1.09024712737e-05,9.11670924786e-08,9.19320971883e-09,9.66734123562e-09
2019-11-01 01:00:00.000,1.00773763094e-05,9.26435216767e-08,9.07604249073e-09,9.47844642633e-09
2019-11-01 01:15:00.000,9.79731225639e-06,9.39470306377e-08,8.84347254545e-09,9.16567443251e-09
2019-11-01 01:30:00.000,9.86067664584e-06,9.11857943162e-08,8.75516895076e-09,9.07741528128e-09
2019-11-01 01:45:00.000,9.47227774293e-06,9.14816276446e-08,8.49618969874e-09,8.77167363709e-09
2019-11-01 02:00:00.000,9.63728909689e-06,9.02568970205e-08,8.02807062205e-09,8.23575297734e-09
2019-11-01 02:15:00.000,9.31070277771e-06,8.88280186113e-08,7.80784296763e-09,7.97113209505e-09
2019-11-01 02:30:00.000,9.08337246547e-06,9.14839662084e-08,7.67639213249e-09,7.82862666609e-09
2019-11-01 02:45:00.000,8.88319010328e-06,9.1765139562e-08,7.69126990983e-09,7.8490502364e-09
2019-11-01 03:00:00.000,8.81392077483e-06,9.15814641791e-08,7.67743734914e-09,7.87100700064e-09
2019-11-01 03:15:00.000,9.70796167465e-06,9.18534468128e-08,7.75479043169e-09,7.96362346866e-09
2019-11-01 03:30:00.000,9.67994910501e-06,9.09010114844e-08,7.7075074897e-09,7.87238403084e-09
2019-11-01 03:45:00.000,9.48938448234e-06,9.0115388786e-08,7.48906670311e-09,7.64524521972e-09
2019-11-01 04:00:00.000,9.73307613789e-06,8.99232485763e-08,7.48541660477e-09,7.63936798518e-09
2019-11-01 04:15:00.000,9.33292155768e-06,9.21236538766e-08,7.46978410422e-09,7.62215707146e-09
2019-11-01 04:30:00.000,8.8640750678e-06,9.07700535832e-08,7.43640902177e-09,7.59799875056e-09
2019-11-01 04:45:00.000,9.26881815045e-06,9.18541890741e-08,7.49280376229e-09,7.65884166387e-09
2019-11-01 05:00:00.000,9.41077764566e-06,8.92168315639e-08,7.33741215519e-09,7.47445141357e-09
2019-11-01 05:15:00.000,8.96708386145e-06,9.03875990931e-08,7.11289575361e-09,7.23509744856e-09
2019-11-01 05:30:00.000,8.55424660006e-06,9.30187347014e-08,6.90955825773e-09,7.0091383023e-09
2019-11-01 05:45:00.000,9.31887612103e-06,9.224545372e-08,6.67568531598e-09,6.73639493635e-09
2019-11-01 06:00:00.000,9.31186798573e-06,9.0338903729e-08,6.6088409004e-09,6.66048580662e-09
2019-11-01 06:15:00.000,9.0085199699e-06,9.16183823026e-08,6.69606473146e-09,6.75924778216e-09
2019-11-01 06:30:00.000,1.001566204e-05,9.40329494553e-08,6.80992790314e-09,6.88664976944e-09
2019-11-01 06:45:00.000,9.71412567292e-06,9.28995502153e-08,6.78541152288e-09,6.84782598155e-09
2019-11-01 07:00:00.000,9.07478053004e-06,9.10148774373e-08,6.67446584707e-09,6.72614655962e-09
2019-11-01 07:15:00.000,8.44748733803e-06,8.96212779199e-08,6.6581271454e-09,6.70624979265e-09
2019-11-01 07:30:00.000,9.98283717534e-06,9.06444836113e-08,6.69775763602e-09,6.74002472264e-09
2019-11-01 07:45:00.000,9.76899682751e-06,9.26927875198e-08,6.6308809715e-09,6.67452736279e-09
2019-11-01 08:00:00.000,8.53251164854e-06,9.20308456295e-08,6.52358765705e-09,6.56242466126e-09
2019-11-01 08:15:00.000,9.21910276858e-06,9.21895357707e-08,6.57593902222e-09,6.61231394638e-09
2019-11-01 08:30:00.000,9.29583812165e-06,9.26032335976e-08,6.56562270043e-09,6.60805827896e-09
2019-11-01 08:45:00.000,9.0020223839e-06,9.18693919402e-08,6.65425026993e-09,6.70109705374e-09
2019-11-01 09:00:00.000,9.74663433789e-06,8.98996848785e-08,6.5978384584e-09,6.64037615056e-09
